"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0C1RaT1eyqvoeqskbaTg3E","The Secret History","spotify:artist:2IS9rTtWwEfUEY4u3mecIT, spotify:artist:3HohCe6uYgTtBJcV4PamyK","The Chamber Orchestra Of London, Andrew Skeet","spotify:album:46Y0Rsn7iR4OqG58OS2kvM","Kerry Muzzey: The Architect","spotify:artist:2IS9rTtWwEfUEY4u3mecIT, spotify:artist:3HohCe6uYgTtBJcV4PamyK","The Chamber Orchestra Of London, Andrew Skeet","2014-08-26","https://i.scdn.co/image/ab67616d0000b2732b86d733dd42e2776570138e","1","4","302095","https://p.scdn.co/mp3-preview/97e71232da71fae706f2f8bca816125412bee40b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","ushm21496801","spotify:user:c1s1a1","2021-03-28T22:44:47Z"
"spotify:track:4uqS7Z7FHqBQdqLk3BCN4k","The Architect","spotify:artist:2IS9rTtWwEfUEY4u3mecIT, spotify:artist:3HohCe6uYgTtBJcV4PamyK","The Chamber Orchestra Of London, Andrew Skeet","spotify:album:46Y0Rsn7iR4OqG58OS2kvM","Kerry Muzzey: The Architect","spotify:artist:2IS9rTtWwEfUEY4u3mecIT, spotify:artist:3HohCe6uYgTtBJcV4PamyK","The Chamber Orchestra Of London, Andrew Skeet","2014-08-26","https://i.scdn.co/image/ab67616d0000b2732b86d733dd42e2776570138e","1","5","333418","https://p.scdn.co/mp3-preview/4741347b9910f35cba47f0982e59b84e564d2eb5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","ushm21496802","spotify:user:c1s1a1","2021-03-28T22:45:02Z"
"spotify:track:1Ojz92vyPK4fJ5K8RVnV5u","The Four Seasons - Summer in G Minor, RV. 315: III. Presto","spotify:artist:2QOIawHpSlOwXDvSqQ9YJR, spotify:artist:7qJsLLT3iv2Uc0XbpnmEKz, spotify:artist:15PIcAgtP1zCipRK3sniUN","Antonio Vivaldi, Adrian Chandler, La Serenissima","spotify:album:1mSVDEox7b18dnZ4Iblnkb","The Four Seasons & Concertos for Bassoon and Violin ""in tromba marina""","spotify:artist:2QOIawHpSlOwXDvSqQ9YJR, spotify:artist:15PIcAgtP1zCipRK3sniUN, spotify:artist:7qJsLLT3iv2Uc0XbpnmEKz, spotify:artist:0oEozFbdfXQPoJ0UbroMMl","Antonio Vivaldi, La Serenissima, Adrian Chandler, Peter Whelan","2015-09-04","https://i.scdn.co/image/ab67616d0000b273577bb481664d06b0b5d5ba58","1","6","167880","https://p.scdn.co/mp3-preview/ecc2be28e84f8ed094173e92e43d7db785cb43ad?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","GBELX1506024","spotify:user:c1s1a1","2021-03-28T22:45:43Z"
"spotify:track:3vLa18ko8VtiSh32m6ceP5","The Phantom of the Opera: Overture","spotify:artist:5GeMh4YY04Q71E55hL6D9A","Prague Cello Quartet","spotify:album:0oMltgMweWTGOBQPhuDU9j","The Phantom of the Opera: Overture","spotify:artist:5GeMh4YY04Q71E55hL6D9A","Prague Cello Quartet","2017-10-13","https://i.scdn.co/image/ab67616d0000b273132a1e7a0d4a7482b875a14a","1","1","197400","https://p.scdn.co/mp3-preview/b1aafd1f9adb90a4319685edf11869061b3597df?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","CZK361701001","spotify:user:c1s1a1","2021-03-28T22:46:10Z"
"spotify:track:1zYvYXoYJ2e7ADDnmxl7FF","Pulling a Thread","spotify:artist:2IS9rTtWwEfUEY4u3mecIT, spotify:artist:3HohCe6uYgTtBJcV4PamyK","The Chamber Orchestra Of London, Andrew Skeet","spotify:album:46Y0Rsn7iR4OqG58OS2kvM","Kerry Muzzey: The Architect","spotify:artist:2IS9rTtWwEfUEY4u3mecIT, spotify:artist:3HohCe6uYgTtBJcV4PamyK","The Chamber Orchestra Of London, Andrew Skeet","2014-08-26","https://i.scdn.co/image/ab67616d0000b2732b86d733dd42e2776570138e","1","1","273394","https://p.scdn.co/mp3-preview/c4eedfbfd3aeb45930cdaefa0d83a3b656ca8d95?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","ushm21496798","spotify:user:c1s1a1","2021-03-28T22:47:43Z"
"spotify:track:5OpuPJiAaSHVovaDLHw6EA","The Shores of Scotland","spotify:artist:2VZNmg4vCnew4Pavo8zDdW","Max Richter","spotify:album:10Whlk8FMk3aPNC4FgmBUo","Mary Queen Of Scots (Original Motion Picture Soundtrack)","spotify:artist:2VZNmg4vCnew4Pavo8zDdW","Max Richter","2018-12-07","https://i.scdn.co/image/ab67616d0000b273db3ad500403b92c73fe41c1a","1","1","111893","","false","36","DEN961801420","spotify:user:c1s1a1","2021-03-28T22:48:05Z"
"spotify:track:1rA6YeR0PnRdsBXGWpBB0j","My Crown","spotify:artist:2VZNmg4vCnew4Pavo8zDdW","Max Richter","spotify:album:10Whlk8FMk3aPNC4FgmBUo","Mary Queen Of Scots (Original Motion Picture Soundtrack)","spotify:artist:2VZNmg4vCnew4Pavo8zDdW","Max Richter","2018-12-07","https://i.scdn.co/image/ab67616d0000b273db3ad500403b92c73fe41c1a","1","5","171080","","false","26","DEN961801460","spotify:user:c1s1a1","2021-03-28T22:48:10Z"
"spotify:track:2lnFAlmLoGHHlrGxcTK3hi","Whispers","spotify:artist:2VZNmg4vCnew4Pavo8zDdW","Max Richter","spotify:album:3rrT5uScI3LcI9wH2VDTQg","My Brilliant Friend (TV Series Soundtrack)","spotify:artist:2VZNmg4vCnew4Pavo8zDdW","Max Richter","2018-12-07","https://i.scdn.co/image/ab67616d0000b27313932c393b4c6fa20196f0fc","1","2","221373","","false","40","DEN961802280","spotify:user:c1s1a1","2021-03-28T22:48:22Z"
"spotify:track:4xuGvvddb7hj5N9SZys971","Ceiling Games","spotify:artist:3lh6JVXJU1mcXuI7ctT4gh","Carlos Rafael Rivera","spotify:album:231jHEPm8jXsPThyoMfB7T","The Queen's Gambit (Music from the Netflix Limited Series)","spotify:artist:3lh6JVXJU1mcXuI7ctT4gh","Carlos Rafael Rivera","2020-10-23","https://i.scdn.co/image/ab67616d0000b273dfba96848555cfa1d56ec124","1","9","137454","","false","0","QZ8BZ2000661","spotify:user:c1s1a1","2021-03-28T22:48:58Z"
"spotify:track:44LTFkrvoxE2qflp8GEqKw","Main Title","spotify:artist:3lh6JVXJU1mcXuI7ctT4gh","Carlos Rafael Rivera","spotify:album:231jHEPm8jXsPThyoMfB7T","The Queen's Gambit (Music from the Netflix Limited Series)","spotify:artist:3lh6JVXJU1mcXuI7ctT4gh","Carlos Rafael Rivera","2020-10-23","https://i.scdn.co/image/ab67616d0000b273dfba96848555cfa1d56ec124","1","1","109896","","false","0","QZ8BZ2000653","spotify:user:c1s1a1","2021-03-28T22:49:01Z"
"spotify:track:6gyGLer8oKn0yxB659mGB0","Take It, It's Yours","spotify:artist:3lh6JVXJU1mcXuI7ctT4gh","Carlos Rafael Rivera","spotify:album:231jHEPm8jXsPThyoMfB7T","The Queen's Gambit (Music from the Netflix Limited Series)","spotify:artist:3lh6JVXJU1mcXuI7ctT4gh","Carlos Rafael Rivera","2020-10-23","https://i.scdn.co/image/ab67616d0000b273dfba96848555cfa1d56ec124","1","37","127663","","false","0","QZ8BZ2000689","spotify:user:c1s1a1","2021-03-28T22:49:08Z"
"spotify:track:5wc6TcHF6a44wTCKhkzEV3","Waltzing on Rooftops and Cobblestones","spotify:artist:3Rwlus4QnnBSnTe8pJV0rw, spotify:artist:5ct8AlcDgWMp4O25vbcjpC","Austin Wintory, Assassin's Creed","spotify:album:04djbQW5lHF6ZMcZQs0jBf","Assassin's Creed Syndicate (Original Game Soundtrack)","spotify:artist:3Rwlus4QnnBSnTe8pJV0rw, spotify:artist:5ct8AlcDgWMp4O25vbcjpC","Austin Wintory, Assassin's Creed","2015-10-23","https://i.scdn.co/image/ab67616d0000b273f4d41f3423642520a37f9e19","1","13","291348","https://p.scdn.co/mp3-preview/cef30b19095b5dc3120645324bee4a091d26e83b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","CA2BN1501693","spotify:user:c1s1a1","2021-03-28T22:50:10Z"
"spotify:track:1vWtTis3VRkkUp8qST4jY5","Dance For Me Wallis","spotify:artist:5RGAUCWFZyymaMSAZJeice","Abel Korzeniowski","spotify:album:0ILxbrvGwBj3jyhQjhzrP7","W.E. - Music From The Motion Picture","spotify:artist:5RGAUCWFZyymaMSAZJeice","Abel Korzeniowski","2012-01-01","https://i.scdn.co/image/ab67616d0000b273b96aa371fa634f635ab2a2d4","1","11","188346","","false","60","USUM71200032","spotify:user:c1s1a1","2021-03-28T22:50:22Z"
"spotify:track:7s9HuDh7X4h7nETlRawrKJ","Tempt Not A Desperate Man","spotify:artist:5RGAUCWFZyymaMSAZJeice","Abel Korzeniowski","spotify:album:2QENswe8i7Uaqgn9zbRKz3","Romeo & Juliet (Original Motion Picture Soundtrack)","spotify:artist:5RGAUCWFZyymaMSAZJeice","Abel Korzeniowski","2013-01-01","https://i.scdn.co/image/ab67616d0000b273b74c5484fd09ba6606672436","1","13","188386","https://p.scdn.co/mp3-preview/bda02503e5f79ace9d92d474ac516832961bab0e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","US6LQ0900765","spotify:user:c1s1a1","2021-03-28T22:51:02Z"
"spotify:track:1BncfTJAWxrsxyT9culBrj","Experience","spotify:artist:2uFUBdaVGtyMqckSeCl0Qj, spotify:artist:59r5UU2HOytn9V5uMZ5Vur, spotify:artist:1k1AM2ESRQseVAj6rvBdtx","Ludovico Einaudi, Daniel Hope, I Virtuosi Italiani","spotify:album:3uJ6D2WOPdjwJ0SrsH9EiG","In A Time Lapse","spotify:artist:2uFUBdaVGtyMqckSeCl0Qj","Ludovico Einaudi","2013-01-01","https://i.scdn.co/image/ab67616d0000b2736c8ef0538e04f2e28380dcc5","1","12","315426","","false","80","ITB281200070","spotify:user:c1s1a1","2021-03-28T22:51:44Z"
"spotify:track:2wUB5n1Kxm2d1d1TSuzjqX","Two Figures By A Fountain","spotify:artist:0s1ec6aPpRZ4DCj15w1EFg, spotify:artist:1Dot4uMsJMx8n1Xi7gAdV6, spotify:artist:2xOp0rCDPAmYqnL2UFbaDY, spotify:artist:2DO4p3CPDnInsJfg0jFfaF","Dario Marianelli, Jean-Yves Thibaudet, Benjamin Wallfisch, English Chamber Orchestra","spotify:album:08LLwEtgyMST8wRsKaZiLZ","Atonement OST","spotify:artist:0s1ec6aPpRZ4DCj15w1EFg, spotify:artist:1Dot4uMsJMx8n1Xi7gAdV6","Dario Marianelli, Jean-Yves Thibaudet","2007-01-01","https://i.scdn.co/image/ab67616d0000b2735d3d27da234181b983917c3f","1","3","75960","","false","45","GBUM70704846","spotify:user:c1s1a1","2021-03-28T22:51:51Z"
