"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2CzeD1R8Mt4QEUf9M3lY7I","Count to Five","spotify:artist:7COP1HCvVq1cIpZcLQYoNe","Bedroom","spotify:album:352FsrL4iOZAT4NO3ZAIeS","Count to Five","spotify:artist:7COP1HCvVq1cIpZcLQYoNe","Bedroom","2019-05-17","https://i.scdn.co/image/ab67616d0000b2737e71fd155d4d124da228ec0c","1","1","184443","","false","0","QZFP51971548","spotify:user:11100324499","2021-04-03T06:53:49Z"
"spotify:track:5UVBumEwdUnzvqxrXOYLFA","17","spotify:artist:1Z2KInfSmPOzAIYyiaXeti","Youth Lagoon","spotify:album:7jG32gfkuo10qarPgmWC7q","The Year of Hibernation","spotify:artist:1Z2KInfSmPOzAIYyiaXeti","Youth Lagoon","2011","https://i.scdn.co/image/ab67616d0000b2733ef1207895b314d646f6a3b7","1","4","236000","https://p.scdn.co/mp3-preview/99a79224a69c88769001d03e92a60e975897d41d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","USFP71125504","spotify:user:11100324499","2021-04-03T06:57:30Z"
"spotify:track:7D0cvGz8R9HnHMP5RVmE3y","My Nights Are More Beautiful Than Your Days","spotify:artist:0m5FakHKCQdA7UN0PIzMcL","Current Joys","spotify:album:1V4qtKgt66rKrgjEbgHIBj","A Different Age","spotify:artist:0m5FakHKCQdA7UN0PIzMcL","Current Joys","2018-03-02","https://i.scdn.co/image/ab67616d0000b2731f93d38b7481cb4c35ac2daf","1","8","368703","","false","0","QMBZ91743924","spotify:user:11100324499","2021-04-03T06:57:48Z"
"spotify:track:5NGE4brEgVVjh5gRy0URqD","Scorpion","spotify:artist:0qZyvjwZauLmrobrpJmvib","Dream\, Ivory","spotify:album:0zWhAGmf594Njhf8nyeomB","Scorpion","spotify:artist:0qZyvjwZauLmrobrpJmvib","Dream\, Ivory","2019-02-14","https://i.scdn.co/image/ab67616d0000b2735c8f4a734376d15df2c3e3f1","1","1","214927","","false","0","QZDA71943349","spotify:user:11100324499","2021-04-03T06:57:55Z"
"spotify:track:2dJjp32OXCi8NDe8lZ8YyX","Years of Your Life","spotify:artist:31412uPiG5Il6jKLs4u2C4","Sweatcult","spotify:album:0UeHfFWnJmYUvp2slevYwu","Years of Your Life","spotify:artist:31412uPiG5Il6jKLs4u2C4","Sweatcult","2019-02-12","https://i.scdn.co/image/ab67616d0000b27349fb5e02ee6aa2b7e5863bf4","1","1","311726","https://p.scdn.co/mp3-preview/d134406669e74ddbddc346a9482c0743a405be26?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","QZDA61926557","spotify:user:11100324499","2021-04-03T06:58:09Z"
"spotify:track:0yN4hukYAyRUnviZfnu9t1","Somewhere in the Universe","spotify:artist:5J3QKfJDFyjR3Q2qRcRaIU","Pity Party (Girls Club)","spotify:album:345lD3soEBYtsk26ZWgApN","I'm Sorry I'm Like This","spotify:artist:5J3QKfJDFyjR3Q2qRcRaIU","Pity Party (Girls Club)","2019-08-17","https://i.scdn.co/image/ab67616d0000b2731568a0995fd18db04da02577","1","5","100465","","true","0","QZFZ71936124","spotify:user:11100324499","2021-04-03T06:58:20Z"
"spotify:track:2K9yJguqTIc6a1MMqgA0db","Farther Reaches","spotify:artist:04GCjO1r1hPelibCUq9S8H","Fog Lake","spotify:album:4ls9AHpwSWzDduSd7apr4N","Farther Reaches","spotify:artist:04GCjO1r1hPelibCUq9S8H","Fog Lake","2013-01-01","https://i.scdn.co/image/ab67616d0000b2737daf7533d519b1c0a4007e1b","1","4","199916","","false","0","TCACO1640041","spotify:user:11100324499","2021-04-03T06:58:29Z"
"spotify:track:2GLhux0GiSvmy2gffnrp72","Agony","spotify:artist:1bwUhKRmEkOZ1wuTnV9XjC","Beach Fossils","spotify:album:4E6SkylAkFp3eYUK2pPMSt","Agony","spotify:artist:1bwUhKRmEkOZ1wuTnV9XjC","Beach Fossils","2018-02-14","https://i.scdn.co/image/ab67616d0000b273aafd0a68a847804326b9fd99","1","1","205335","","false","0","QM6YT1802001","spotify:user:11100324499","2021-04-03T06:58:40Z"
"spotify:track:2MQi8oVx3eOgDOqmeKJIJZ","Pepsi/Coke Suicide","spotify:artist:5a31Ij1sTxY9LUYVwgBp8m","Elvis Depressedly","spotify:album:4XaSEy61AGOk21OyZNYaXF","Holo Pleasures / California Dreamin'","spotify:artist:5a31Ij1sTxY9LUYVwgBp8m","Elvis Depressedly","2016-06-03","https://i.scdn.co/image/ab67616d0000b27313fd36cb75e0914a8524daa0","1","2","153095","","false","0","TCACE1510244","spotify:user:11100324499","2021-04-03T06:58:53Z"
"spotify:track:78TzliRJJhCgsZ0ARUm8vI","A Sad Song About a Girl I No Longer Know","spotify:artist:5zKinanOH8komuiAx6fmvL","Bedside Kites","spotify:album:49LaVq4xveyPNmLU165QRi","Bedside Kites","spotify:artist:5zKinanOH8komuiAx6fmvL","Bedside Kites","2018-05-05","https://i.scdn.co/image/ab67616d0000b273d534c1ab936971ab8434a97f","1","3","328421","https://p.scdn.co/mp3-preview/3be70b4ba3990751466413a273a6e96fb7316106?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","QZCE61896452","spotify:user:11100324499","2021-04-03T06:58:59Z"
