"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5n4xPVVmSlQfygeg4xqCfR","Keep Your Lips Sealed","spotify:artist:2mcNCn1qbZUQ3J9KHapUxj","The Dø","spotify:album:0q44mFwXE2oJiDGf7YXAcn","Shake Shook Shaken","spotify:artist:2mcNCn1qbZUQ3J9KHapUxj","The Dø","2014-09-29","https://i.scdn.co/image/ab67616d0000b2735f411b3c90058ad921934608","1","1","204354","https://p.scdn.co/mp3-preview/05e5a0536e0654eb11a22a51215d5b54aeeecb78?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","FR2MH1400010","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-06T23:26:38Z"
"spotify:track:5P7MbXUShunurTTYAjPZjX","Trustful Hands","spotify:artist:2mcNCn1qbZUQ3J9KHapUxj","The Dø","spotify:album:0q44mFwXE2oJiDGf7YXAcn","Shake Shook Shaken","spotify:artist:2mcNCn1qbZUQ3J9KHapUxj","The Dø","2014-09-29","https://i.scdn.co/image/ab67616d0000b2735f411b3c90058ad921934608","1","2","247074","https://p.scdn.co/mp3-preview/cfe02ae33cdb66a33dcb686e9e30fb9ebdeaa0d2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","FR2MH1400011","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-06T23:26:38Z"
"spotify:track:50DRMWm6dpvlX7FwHL7lnJ","Miracles (Back in Time)","spotify:artist:2mcNCn1qbZUQ3J9KHapUxj","The Dø","spotify:album:0q44mFwXE2oJiDGf7YXAcn","Shake Shook Shaken","spotify:artist:2mcNCn1qbZUQ3J9KHapUxj","The Dø","2014-09-29","https://i.scdn.co/image/ab67616d0000b2735f411b3c90058ad921934608","1","3","270723","https://p.scdn.co/mp3-preview/c9433b51e2c8bc69c45c3d690a1f074a203e129a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","FR2MH1400012","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-06T23:26:38Z"
"spotify:track:7cIRag6bqKvEBVyofGAk4c","Sparks","spotify:artist:2mcNCn1qbZUQ3J9KHapUxj","The Dø","spotify:album:0q44mFwXE2oJiDGf7YXAcn","Shake Shook Shaken","spotify:artist:2mcNCn1qbZUQ3J9KHapUxj","The Dø","2014-09-29","https://i.scdn.co/image/ab67616d0000b2735f411b3c90058ad921934608","1","4","227738","https://p.scdn.co/mp3-preview/cda463a3433ee25fd2d67811181d43173712a401?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","FR2MH1400013","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-06T23:26:38Z"
"spotify:track:0ImncbvtiyhHoILCPYksrv","Going Through Walls","spotify:artist:2mcNCn1qbZUQ3J9KHapUxj","The Dø","spotify:album:0q44mFwXE2oJiDGf7YXAcn","Shake Shook Shaken","spotify:artist:2mcNCn1qbZUQ3J9KHapUxj","The Dø","2014-09-29","https://i.scdn.co/image/ab67616d0000b2735f411b3c90058ad921934608","1","5","172103","https://p.scdn.co/mp3-preview/06f432941fe4e817a40dcea16f69f920da5f4f09?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","FR2MH1400014","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-06T23:26:38Z"
"spotify:track:0LuShx5q0CPiZZjSWHK7tN","Despair, Hangover & Ecstasy","spotify:artist:2mcNCn1qbZUQ3J9KHapUxj","The Dø","spotify:album:0q44mFwXE2oJiDGf7YXAcn","Shake Shook Shaken","spotify:artist:2mcNCn1qbZUQ3J9KHapUxj","The Dø","2014-09-29","https://i.scdn.co/image/ab67616d0000b2735f411b3c90058ad921934608","1","6","173814","https://p.scdn.co/mp3-preview/fdc9e35196814b9d1264d93aebb2fabb4c606420?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","FR2MH1400015","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-06T23:26:38Z"
"spotify:track:6psoyO7EFHZCSf112zoYbR","Anita No!","spotify:artist:2mcNCn1qbZUQ3J9KHapUxj","The Dø","spotify:album:0q44mFwXE2oJiDGf7YXAcn","Shake Shook Shaken","spotify:artist:2mcNCn1qbZUQ3J9KHapUxj","The Dø","2014-09-29","https://i.scdn.co/image/ab67616d0000b2735f411b3c90058ad921934608","1","7","182992","https://p.scdn.co/mp3-preview/8d8899fda07dc4f189857f026c491aa5250bc953?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","FR2MH1400016","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-06T23:26:38Z"
"spotify:track:2u2FNUAzeMt8lRK4DI32Ps","A Mess Like This","spotify:artist:2mcNCn1qbZUQ3J9KHapUxj","The Dø","spotify:album:0q44mFwXE2oJiDGf7YXAcn","Shake Shook Shaken","spotify:artist:2mcNCn1qbZUQ3J9KHapUxj","The Dø","2014-09-29","https://i.scdn.co/image/ab67616d0000b2735f411b3c90058ad921934608","1","8","263897","https://p.scdn.co/mp3-preview/4587bf1f2fdc20e5bec7593d9efb4ccefa72673e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","FR2MH1400017","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-06T23:26:38Z"
"spotify:track:1XaNLkkfVjUEyLOJKnH4MQ","Lick My Wounds","spotify:artist:2mcNCn1qbZUQ3J9KHapUxj","The Dø","spotify:album:0q44mFwXE2oJiDGf7YXAcn","Shake Shook Shaken","spotify:artist:2mcNCn1qbZUQ3J9KHapUxj","The Dø","2014-09-29","https://i.scdn.co/image/ab67616d0000b2735f411b3c90058ad921934608","1","9","199661","https://p.scdn.co/mp3-preview/3d907004a91ff1a8b8ef99a60f95b0b3d00dad31?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","FR2MH1400018","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-06T23:26:38Z"
"spotify:track:6Q1s41hGMROOSzEGKK815Z","Opposite Ways","spotify:artist:2mcNCn1qbZUQ3J9KHapUxj","The Dø","spotify:album:0q44mFwXE2oJiDGf7YXAcn","Shake Shook Shaken","spotify:artist:2mcNCn1qbZUQ3J9KHapUxj","The Dø","2014-09-29","https://i.scdn.co/image/ab67616d0000b2735f411b3c90058ad921934608","1","10","252653","https://p.scdn.co/mp3-preview/8fbb14676b259d4b830d6b9c0e23bd6c80e0a185?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","FR2MH1400019","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-06T23:26:38Z"
"spotify:track:74XqKuQsa0RUpZpkqHLeHi","Nature Will Remain","spotify:artist:2mcNCn1qbZUQ3J9KHapUxj","The Dø","spotify:album:0q44mFwXE2oJiDGf7YXAcn","Shake Shook Shaken","spotify:artist:2mcNCn1qbZUQ3J9KHapUxj","The Dø","2014-09-29","https://i.scdn.co/image/ab67616d0000b2735f411b3c90058ad921934608","1","11","219280","https://p.scdn.co/mp3-preview/df152096a594064db9828791baf116a8cbe162a1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","FR2MH1400020","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-11-06T23:26:38Z"
