"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4HhCCU6MT7GJ4tFOVHrfmv","Bulletproof Cupid","spotify:artist:6RZUqkomCmb8zCRqc9eznB","Placebo","spotify:album:4fUDor6o5gw0b18iYKEaRq","Sleeping With Ghosts","spotify:artist:6RZUqkomCmb8zCRqc9eznB","Placebo","2003-03-24","https://i.scdn.co/image/ab67616d0000b2736745a70abfc25f45612c4d32","1","1","142533","","false","0","GBAAA0201203","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-17T22:22:42Z"
"spotify:track:0lmXvQcZyRHKfXZxs1lbqC","English Summer Rain","spotify:artist:6RZUqkomCmb8zCRqc9eznB","Placebo","spotify:album:4fUDor6o5gw0b18iYKEaRq","Sleeping With Ghosts","spotify:artist:6RZUqkomCmb8zCRqc9eznB","Placebo","2003-03-24","https://i.scdn.co/image/ab67616d0000b2736745a70abfc25f45612c4d32","1","2","241466","","false","0","GBAAA0201204","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-17T22:22:42Z"
"spotify:track:5he7AYCR3MGloRnuWEMroT","This Picture","spotify:artist:6RZUqkomCmb8zCRqc9eznB","Placebo","spotify:album:4fUDor6o5gw0b18iYKEaRq","Sleeping With Ghosts","spotify:artist:6RZUqkomCmb8zCRqc9eznB","Placebo","2003-03-24","https://i.scdn.co/image/ab67616d0000b2736745a70abfc25f45612c4d32","1","3","214906","","false","1","GBAAA0201205","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-17T22:22:42Z"
"spotify:track:1bfYKGNXGk2953LF81F0gs","Sleeping With Ghosts","spotify:artist:6RZUqkomCmb8zCRqc9eznB","Placebo","spotify:album:4fUDor6o5gw0b18iYKEaRq","Sleeping With Ghosts","spotify:artist:6RZUqkomCmb8zCRqc9eznB","Placebo","2003-03-24","https://i.scdn.co/image/ab67616d0000b2736745a70abfc25f45612c4d32","1","4","278786","","false","0","GBAAA0201206","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-17T22:22:42Z"
"spotify:track:3WBPiogtVDBSXK7uOpxJ6m","The Bitter End","spotify:artist:6RZUqkomCmb8zCRqc9eznB","Placebo","spotify:album:4fUDor6o5gw0b18iYKEaRq","Sleeping With Ghosts","spotify:artist:6RZUqkomCmb8zCRqc9eznB","Placebo","2003-03-24","https://i.scdn.co/image/ab67616d0000b2736745a70abfc25f45612c4d32","1","5","190573","","false","6","GBAAA0201199","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-17T22:22:42Z"
"spotify:track:6whhbMBMMsCmbZoyHeBlXu","Something Rotten","spotify:artist:6RZUqkomCmb8zCRqc9eznB","Placebo","spotify:album:4fUDor6o5gw0b18iYKEaRq","Sleeping With Ghosts","spotify:artist:6RZUqkomCmb8zCRqc9eznB","Placebo","2003-03-24","https://i.scdn.co/image/ab67616d0000b2736745a70abfc25f45612c4d32","1","6","328493","","false","0","GBAAA0201208","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-17T22:22:42Z"
"spotify:track:7kONS6VBW5O5YhYuDCamjX","Plasticine","spotify:artist:6RZUqkomCmb8zCRqc9eznB","Placebo","spotify:album:4fUDor6o5gw0b18iYKEaRq","Sleeping With Ghosts","spotify:artist:6RZUqkomCmb8zCRqc9eznB","Placebo","2003-03-24","https://i.scdn.co/image/ab67616d0000b2736745a70abfc25f45612c4d32","1","7","206720","","false","0","GBAAA0201209","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-17T22:22:42Z"
"spotify:track:2h0HkReHGCQPOEDZXEMcTO","Special Needs","spotify:artist:6RZUqkomCmb8zCRqc9eznB","Placebo","spotify:album:4fUDor6o5gw0b18iYKEaRq","Sleeping With Ghosts","spotify:artist:6RZUqkomCmb8zCRqc9eznB","Placebo","2003-03-24","https://i.scdn.co/image/ab67616d0000b2736745a70abfc25f45612c4d32","1","8","315986","","false","2","GBAAA0201210","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-17T22:22:42Z"
"spotify:track:5qXJD4TwvmTsAH7XVtGgWC","I'll Be Yours","spotify:artist:6RZUqkomCmb8zCRqc9eznB","Placebo","spotify:album:4fUDor6o5gw0b18iYKEaRq","Sleeping With Ghosts","spotify:artist:6RZUqkomCmb8zCRqc9eznB","Placebo","2003-03-24","https://i.scdn.co/image/ab67616d0000b2736745a70abfc25f45612c4d32","1","9","212373","","false","0","GBAAA0201211","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-17T22:22:42Z"
"spotify:track:3IMn4WiiSTHg9j7LWqghrK","Second Sight","spotify:artist:6RZUqkomCmb8zCRqc9eznB","Placebo","spotify:album:4fUDor6o5gw0b18iYKEaRq","Sleeping With Ghosts","spotify:artist:6RZUqkomCmb8zCRqc9eznB","Placebo","2003-03-24","https://i.scdn.co/image/ab67616d0000b2736745a70abfc25f45612c4d32","1","10","169946","","false","0","GBAAA0201212","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-17T22:22:42Z"
