"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4j4IPsLxQP1KQZZSCs4U8P","Here's the Thing","spotify:artist:04JIxSs2P0iteVWtaskfeh","Sports Team","spotify:album:2UAvFXjUPn44EZGbyjMEmA","Deep Down Happy","spotify:artist:04JIxSs2P0iteVWtaskfeh","Sports Team","2020-06-05","https://i.scdn.co/image/ab67616d0000b273174861363fd0dc52fe2b34e8","1","7","175093","","false","0","GBUM71906069","spotify:user:klavgavin","2021-12-04T18:58:17Z"
"spotify:track:5fpizYGbi5IQoEraj6FP0R","Intergalactic - Remastered 2009","spotify:artist:03r4iKL2g2442PT9n2UKsx","Beastie Boys","spotify:album:6eGYLONkDMja0MNtZWnRRB","Hello Nasty (Deluxe Edition/Remastered)","spotify:artist:03r4iKL2g2442PT9n2UKsx","Beastie Boys","1998-07-14","https://i.scdn.co/image/ab67616d0000b273ab1d7b56d97842315dd0fdaa","1","7","231493","","false","73","USCA20903764","spotify:user:klavgavin","2021-12-04T18:58:17Z"
"spotify:track:0QyMDyosGai50pjaFbC1NO","Destination Unknown","spotify:artist:5CT7RBitS0e0u78T8tRBWQ","Missing Persons","spotify:album:08GAuXkchZVoRsnKdcihxs","Spring Session M.","spotify:artist:5CT7RBitS0e0u78T8tRBWQ","Missing Persons","1982","https://i.scdn.co/image/ab67616d0000b273af354a1d4eec6e83e8b58e4d","1","4","216840","","false","49","USCA28700330","spotify:user:klavgavin","2021-12-04T18:58:17Z"
"spotify:track:1YGZyfvdgZxzipWoWYVKxi","Kids In America","spotify:artist:73a6pNH4YtLNgDbPQwXveo","Kim Wilde","spotify:album:5vf8cU0vjl22ThptA93DDf","Kim Wilde","spotify:artist:73a6pNH4YtLNgDbPQwXveo","Kim Wilde","1981","https://i.scdn.co/image/ab67616d0000b273487fc5e15290dc70ec3154ae","1","5","205533","https://p.scdn.co/mp3-preview/6a501187271c631051947e14acacf189e0e88fd9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","GBAYE8100054","spotify:user:klavgavin","2021-12-04T18:58:17Z"
"spotify:track:3iYUYQZidlttLNt0iw7QD9","Momentary Bliss (feat. slowthai and Slaves)","spotify:artist:3AA28KZvwAUcZuOKwyblJQ, spotify:artist:3r1XkJ7vCs8kHBSzGvPLdP, spotify:artist:3xByNj8XW17oW0wsJhgzYL","Gorillaz, slowthai, SOFT PLAY","spotify:album:4ylpUUmMEz2FRtsWzuIbrS","Song Machine Episode 1","spotify:artist:3AA28KZvwAUcZuOKwyblJQ","Gorillaz","2020-01-30","https://i.scdn.co/image/ab67616d0000b2738698938a0982bf0d6d5af354","1","2","221386","https://p.scdn.co/mp3-preview/1617ab998304a7aadb7fc89d99f8d85e7994f2f6?cid=9950ac751e34487dbbe027c4fd7f8e99","true","47","GBAYE1901675","spotify:user:klavgavin","2021-12-04T18:58:17Z"
"spotify:track:0yPEHHXezar80rMIQVRfTu","Automatic","spotify:artist:2kreKea2n96dXjcyAU9j5N","The Pointer Sisters","spotify:album:0Kmw2yUjTfdaN1son7GTp5","Break Out","spotify:artist:2kreKea2n96dXjcyAU9j5N","The Pointer Sisters","1983-11-06","https://i.scdn.co/image/ab67616d0000b273892a6e0085d9d47cc796c545","1","2","286613","https://p.scdn.co/mp3-preview/1767f00b1bad79466123738e13583aae91bec9a4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","USRC18303287","spotify:user:klavgavin","2021-12-04T18:58:17Z"
"spotify:track:3VSUHq4D6izKYubuaiOaMk","Whispers And Moans","spotify:artist:7ohlPA8dRBtCf92zaZCaaB","Crowded House","spotify:album:1QSoW668F9DVj8Rk9azF7h","Woodface","spotify:artist:7ohlPA8dRBtCf92zaZCaaB","Crowded House","1991-06-24","https://i.scdn.co/image/ab67616d0000b2735f9e9291ab85c1e8fa88143f","1","6","219600","","false","38","USCA29100569","spotify:user:klavgavin","2021-12-04T18:58:17Z"
"spotify:track:5bfAtR5Lq43JM7brcXo3fp","Reasons to Be Cheerful, Pt. 3","spotify:artist:5PFSmueeFLrjYXqn3agenn, spotify:artist:52jfQPouCIphLVi3FqGa7x","Ian Dury, The Blockheads","spotify:album:24UJdk5DtKtLdr6TqOgceR","Sex & Drugs & Rock & Roll","spotify:artist:5PFSmueeFLrjYXqn3agenn, spotify:artist:52jfQPouCIphLVi3FqGa7x","Ian Dury, The Blockheads","1987-01-01","https://i.scdn.co/image/ab67616d0000b273dae87ee3330e96ced6669053","1","6","285586","https://p.scdn.co/mp3-preview/b22f79f6697270802cfaa9b7a2ce69a3e167b49e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","GBAFR7910097","spotify:user:klavgavin","2021-12-04T18:58:17Z"
"spotify:track:0Puj4YlTm6xNzDDADXHMI9","Sabotage","spotify:artist:03r4iKL2g2442PT9n2UKsx","Beastie Boys","spotify:album:6lfjbwFGzQ6aSNP1N3JlT8","Ill Communication","spotify:artist:03r4iKL2g2442PT9n2UKsx","Beastie Boys","1994-05-23","https://i.scdn.co/image/ab67616d0000b273436a305db8bd85b820da3e5a","1","6","178440","","true","78","USCA29400020","spotify:user:klavgavin","2021-12-04T18:58:17Z"
"spotify:track:3xpdefOloYCBXd3UR6MVyM","Turn the Lights Off","spotify:artist:7lqaPghwYv2mE9baz5XQmL","Tally Hall","spotify:album:2Vq0Y8wgiZRYtZ1mQ7zOMG","Good & Evil","spotify:artist:7lqaPghwYv2mE9baz5XQmL","Tally Hall","2011-06-21","https://i.scdn.co/image/ab67616d0000b27325a5a1ed28871e8e53e62d59","1","10","176626","https://p.scdn.co/mp3-preview/361654000b650fe3298373372a8caeba699fec28?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","TCAAX1184873","spotify:user:klavgavin","2021-12-04T18:58:17Z"
"spotify:track:6tCk1N85t6h4v1xXI6o0Ad","Dancin' Fool","spotify:artist:6ra4GIOgCZQZMOaUECftGN","Frank Zappa","spotify:album:4hBKoHOpEvQ6g4CQFsEAdU","Sheik Yerbouti","spotify:artist:6ra4GIOgCZQZMOaUECftGN","Frank Zappa","1979-03-03","https://i.scdn.co/image/ab67616d0000b273885d9d53e458006a99de2642","1","15","222800","","false","42","USZPE1200251","spotify:user:klavgavin","2021-12-04T18:58:17Z"
"spotify:track:22DnBQIIXFPJNRGuNjWlSg","Becoming Insane","spotify:artist:6S2tas4z6DyIklBajDqJxI","Infected Mushroom","spotify:album:50SGucGvMan1kbLqyuaEr6","Vicious Delicious","spotify:artist:6S2tas4z6DyIklBajDqJxI","Infected Mushroom","2007-04-01","https://i.scdn.co/image/ab67616d0000b2733d131b366db2f7f3556812ad","1","1","440266","https://p.scdn.co/mp3-preview/3a6770ff8dafa35d79934b115f01d0754b0f0bff?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","IL1080708106","spotify:user:klavgavin","2021-12-04T18:58:17Z"
"spotify:track:1r9ASoCKSjpvhGrXd7BOU9","So Many People In The Neighborhood","spotify:artist:3u1ulLq00Y3bfmq9FfjsPu","Ween","spotify:album:0GOWw5YVpOmIX6mUtjLi30","Quebec","spotify:artist:3u1ulLq00Y3bfmq9FfjsPu","Ween","2003-08-05","https://i.scdn.co/image/ab67616d0000b2734df4aa40b54416c3de8d5bf6","1","5","210000","https://p.scdn.co/mp3-preview/f9ce280b7d981da1b8ad152f3caeafd3df6c22cc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","GBAJE0300556","spotify:user:klavgavin","2021-12-04T18:58:17Z"
