"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2VGDntFPvgvqSiUf9ITEfW","Someone Great","spotify:artist:066X20Nz7iquqkkCW6Jxy6","LCD Soundsystem","spotify:album:1R8kkopLT4IAxzMMkjic6X","Sound of Silver","spotify:artist:066X20Nz7iquqkkCW6Jxy6","LCD Soundsystem","2007-03-12","https://i.scdn.co/image/ab67616d0000b273e6272ad26e7a55bc342a6dd0","1","4","390013","https://p.scdn.co/mp3-preview/0cb5dec8ea518ce5b3fa1b24c5eec74e7ed941b0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","US4GE0600017","spotify:user:uykulusanat%C3%A7%C4%B1","2021-05-09T03:38:51Z"
"spotify:track:1mvyqSb1tOvtVP1qfWEyPa","1901","spotify:artist:1xU878Z1QtBldR7ru9owdU","Phoenix","spotify:album:2TVvPbLNPTCZS8lPHs1rZW","Wolfgang Amadeus Phoenix","spotify:artist:1xU878Z1QtBldR7ru9owdU","Phoenix","2009","https://i.scdn.co/image/ab67616d0000b273cb36983369136148fecece5a","1","2","193120","https://p.scdn.co/mp3-preview/f3cf69c73fe64870f1bfc7898632aea9cedd6bd4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","FR31Q0900002","spotify:user:uykulusanat%C3%A7%C4%B1","2021-05-09T03:39:00Z"
"spotify:track:0dEIca2nhcxDUV8C5QkPYb","Give Life Back to Music","spotify:artist:4tZwfgrHOc3mvqYlEYSvVi","Daft Punk","spotify:album:4m2880jivSbbyEGAKfITCa","Random Access Memories","spotify:artist:4tZwfgrHOc3mvqYlEYSvVi","Daft Punk","2013-05-20","https://i.scdn.co/image/ab67616d0000b2739b9b36b0e22870b9f542d937","1","1","275386","https://p.scdn.co/mp3-preview/7974b74d938ac047700dd7a2a0766d1ede1ec023?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","USQX91300101","spotify:user:uykulusanat%C3%A7%C4%B1","2021-05-09T03:39:04Z"
"spotify:track:1ZBqJilDGBVYktvlCEo9jC","Obstacle 1","spotify:artist:3WaJSfKnzc65VDgmj2zU8B","Interpol","spotify:album:4sW8Eql2e2kdRP1A1R1clG","Turn On The Bright Lights","spotify:artist:3WaJSfKnzc65VDgmj2zU8B","Interpol","2002-08-20","https://i.scdn.co/image/ab67616d0000b27314f8df9fb9c2d3056a994390","1","2","251293","https://p.scdn.co/mp3-preview/ec96b8dcff9f275efb715a05ed39e87ca73b5757?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","USMTD0254502","spotify:user:uykulusanat%C3%A7%C4%B1","2021-05-09T03:39:06Z"
"spotify:track:2LMloFiV7DHpBhITOaBSam","Hard To Explain","spotify:artist:0epOFNiUfyON9EYx7Tpr6V","The Strokes","spotify:album:2yNaksHgeMQM9Quse463b5","Is This It","spotify:artist:0epOFNiUfyON9EYx7Tpr6V","The Strokes","2001-07-30","https://i.scdn.co/image/ab67616d0000b273a388a3f20d1bf2123249cc79","1","8","224426","https://p.scdn.co/mp3-preview/6388ca163a66361835b0bad85327961faa4f4bcf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","USRC10100768","spotify:user:uykulusanat%C3%A7%C4%B1","2021-05-09T03:39:10Z"
"spotify:track:1RKUoGiLEbcXN4GY4spQDx","Clint Eastwood","spotify:artist:3AA28KZvwAUcZuOKwyblJQ","Gorillaz","spotify:album:4tUxQkrduOE8sfgwJ5BI2F","Gorillaz","spotify:artist:3AA28KZvwAUcZuOKwyblJQ","Gorillaz","2001-03-26","https://i.scdn.co/image/ab67616d0000b273f6c46838e4425ea96e2562fe","1","5","340920","https://p.scdn.co/mp3-preview/5273a4def05afe6a5c27c352241a684c403f5b6a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","79","GBAYE0001408","spotify:user:uykulusanat%C3%A7%C4%B1","2021-05-09T03:39:14Z"
"spotify:track:0qG1teoBvooRo7Z5Z8edCk","La ritournelle","spotify:artist:23ymPLjbtAMzTJS2qRtQ8Z","Sébastien Tellier","spotify:album:05MRLgXFBdHFMww01vbvWY","Politics","spotify:artist:23ymPLjbtAMzTJS2qRtQ8Z","Sébastien Tellier","2004-01-01","https://i.scdn.co/image/ab67616d0000b273f4497b79f6cc676a29b77117","1","5","454480","https://p.scdn.co/mp3-preview/a592be2ca3609f263e337fd1ef234427cf7625f8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","FRS710300071","spotify:user:uykulusanat%C3%A7%C4%B1","2021-05-09T03:39:17Z"
"spotify:track:2VEZx7NWsZ1D0eJ4uv5Fym","Digital Love","spotify:artist:4tZwfgrHOc3mvqYlEYSvVi","Daft Punk","spotify:album:2noRn2Aes5aoNVsU6iWThc","Discovery","spotify:artist:4tZwfgrHOc3mvqYlEYSvVi","Daft Punk","2001-03-12","https://i.scdn.co/image/ab67616d0000b273b33d46dfa2635a47eebf63b2","1","3","301373","https://p.scdn.co/mp3-preview/1975b7202f835305dc2e8b44995bea0e1dc9b557?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","GBDUW0000058","spotify:user:uykulusanat%C3%A7%C4%B1","2021-05-09T03:39:19Z"
"spotify:track:64R2n9O7Aif7YP3ivkOWYS","The Light","spotify:artist:54QMjE4toDfiCryzYWCpXX","Metronomy","spotify:album:7IzNAyOsxeWhKPyNNz1urS","Metronomy Forever","spotify:artist:54QMjE4toDfiCryzYWCpXX","Metronomy","2019-09-13","https://i.scdn.co/image/ab67616d0000b273066b837095e31189aea7b2b7","1","9","272973","https://p.scdn.co/mp3-preview/eab5408758cd34dcf77a3520f43acb190180f9ff?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","GBMVH1900150","spotify:user:uykulusanat%C3%A7%C4%B1","2021-05-09T03:39:22Z"
"spotify:track:20I8RduZC2PWMWTDCZuuAN","Take Me Out","spotify:artist:0XNa1vTidXlvJ2gHSsRi4A","Franz Ferdinand","spotify:album:0vi5ePiEHrGZJF7QhnDW2z","Franz Ferdinand","spotify:artist:0XNa1vTidXlvJ2gHSsRi4A","Franz Ferdinand","2004-02-16","https://i.scdn.co/image/ab67616d0000b27309a90531b85be7899c3234c4","1","3","237026","https://p.scdn.co/mp3-preview/f91cfdf3dd5f7114cf47f8c8b2567b7a8a76d9ed?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","GBCEL0300192","spotify:user:uykulusanat%C3%A7%C4%B1","2021-05-09T03:39:24Z"
"spotify:track:57Xjny5yNzAcsxnusKmAfA","Reptilia","spotify:artist:0epOFNiUfyON9EYx7Tpr6V","The Strokes","spotify:album:3HFbH1loOUbqCyPsLuHLLh","Room On Fire","spotify:artist:0epOFNiUfyON9EYx7Tpr6V","The Strokes","2003-10-28","https://i.scdn.co/image/ab67616d0000b2730f35726025e0f025da4c688f","1","2","219826","https://p.scdn.co/mp3-preview/35521d82091e8c9a6a1cee80fb59dc2f6b5cb776?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","USRC10301519","spotify:user:uykulusanat%C3%A7%C4%B1","2021-05-09T03:39:26Z"
