"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:39sdlCugrGBsoC4Flos0HO","Love's In Need Of Love Today","spotify:artist:7guDJrEfX3qb6FEbdPA5qi","Stevie Wonder","spotify:album:6YUCc2RiXcEKS9ibuZxjt0","Songs In The Key Of Life","spotify:artist:7guDJrEfX3qb6FEbdPA5qi","Stevie Wonder","1976-09-28","https://i.scdn.co/image/ab67616d0000b2732fee61bfec596bb6f5447c50","1","1","425826","","false","57","USUMG0000359","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-21T22:04:55Z"
"spotify:track:5grvrZh5z2jsPjCOy1d8fP","Have A Talk With God","spotify:artist:7guDJrEfX3qb6FEbdPA5qi","Stevie Wonder","spotify:album:6YUCc2RiXcEKS9ibuZxjt0","Songs In The Key Of Life","spotify:artist:7guDJrEfX3qb6FEbdPA5qi","Stevie Wonder","1976-09-28","https://i.scdn.co/image/ab67616d0000b2732fee61bfec596bb6f5447c50","1","2","162400","","false","49","USUMG0000360","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-21T22:04:55Z"
"spotify:track:1xZv5HMOdnP1V4pfDFHdA1","Village Ghetto Land","spotify:artist:7guDJrEfX3qb6FEbdPA5qi","Stevie Wonder","spotify:album:6YUCc2RiXcEKS9ibuZxjt0","Songs In The Key Of Life","spotify:artist:7guDJrEfX3qb6FEbdPA5qi","Stevie Wonder","1976-09-28","https://i.scdn.co/image/ab67616d0000b2732fee61bfec596bb6f5447c50","1","3","205066","","false","47","USUMG0000361","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-21T22:04:55Z"
"spotify:track:7c0442O49LWK1GflGFyS4u","Contusion","spotify:artist:7guDJrEfX3qb6FEbdPA5qi","Stevie Wonder","spotify:album:6YUCc2RiXcEKS9ibuZxjt0","Songs In The Key Of Life","spotify:artist:7guDJrEfX3qb6FEbdPA5qi","Stevie Wonder","1976-09-28","https://i.scdn.co/image/ab67616d0000b2732fee61bfec596bb6f5447c50","1","4","225933","","false","47","USUMG0000373","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-21T22:04:55Z"
"spotify:track:4pNiE4LCVV74vfIBaUHm1b","Sir Duke","spotify:artist:7guDJrEfX3qb6FEbdPA5qi","Stevie Wonder","spotify:album:6YUCc2RiXcEKS9ibuZxjt0","Songs In The Key Of Life","spotify:artist:7guDJrEfX3qb6FEbdPA5qi","Stevie Wonder","1976-09-28","https://i.scdn.co/image/ab67616d0000b2732fee61bfec596bb6f5447c50","1","5","232760","","false","76","USMO17600526","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-21T22:04:55Z"
"spotify:track:687YZan9Gol1UVvbpUSO6Y","I Wish","spotify:artist:7guDJrEfX3qb6FEbdPA5qi","Stevie Wonder","spotify:album:6YUCc2RiXcEKS9ibuZxjt0","Songs In The Key Of Life","spotify:artist:7guDJrEfX3qb6FEbdPA5qi","Stevie Wonder","1976-09-28","https://i.scdn.co/image/ab67616d0000b2732fee61bfec596bb6f5447c50","1","6","252373","","false","70","USMO17682657","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-21T22:04:55Z"
"spotify:track:4C5GsegFD0j5ujSr1y93Oj","Knocks Me Off My Feet","spotify:artist:7guDJrEfX3qb6FEbdPA5qi","Stevie Wonder","spotify:album:6YUCc2RiXcEKS9ibuZxjt0","Songs In The Key Of Life","spotify:artist:7guDJrEfX3qb6FEbdPA5qi","Stevie Wonder","1976-09-28","https://i.scdn.co/image/ab67616d0000b2732fee61bfec596bb6f5447c50","1","7","216426","","false","60","USUMG9900466","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-21T22:04:55Z"
"spotify:track:4Gn4b1qJ12rowCNRw5DHM9","Pastime Paradise","spotify:artist:7guDJrEfX3qb6FEbdPA5qi","Stevie Wonder","spotify:album:6YUCc2RiXcEKS9ibuZxjt0","Songs In The Key Of Life","spotify:artist:7guDJrEfX3qb6FEbdPA5qi","Stevie Wonder","1976-09-28","https://i.scdn.co/image/ab67616d0000b2732fee61bfec596bb6f5447c50","1","8","207693","","false","56","USMO17600972","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-21T22:04:55Z"
"spotify:track:0eGpcLG96GWVCG4Ix3qLCp","Summer Soft","spotify:artist:7guDJrEfX3qb6FEbdPA5qi","Stevie Wonder","spotify:album:6YUCc2RiXcEKS9ibuZxjt0","Songs In The Key Of Life","spotify:artist:7guDJrEfX3qb6FEbdPA5qi","Stevie Wonder","1976-09-28","https://i.scdn.co/image/ab67616d0000b2732fee61bfec596bb6f5447c50","1","9","254106","","false","52","USUMG0000362","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-21T22:04:55Z"
"spotify:track:1TF3L6npXn08LjwRdQGBww","Ordinary Pain","spotify:artist:7guDJrEfX3qb6FEbdPA5qi","Stevie Wonder","spotify:album:6YUCc2RiXcEKS9ibuZxjt0","Songs In The Key Of Life","spotify:artist:7guDJrEfX3qb6FEbdPA5qi","Stevie Wonder","1976-09-28","https://i.scdn.co/image/ab67616d0000b2732fee61bfec596bb6f5447c50","1","10","383160","","false","48","USUMG0000363","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-21T22:04:55Z"
"spotify:track:6RANU8AS5ICU5PEHh8BYtH","Isn't She Lovely","spotify:artist:7guDJrEfX3qb6FEbdPA5qi","Stevie Wonder","spotify:album:6YUCc2RiXcEKS9ibuZxjt0","Songs In The Key Of Life","spotify:artist:7guDJrEfX3qb6FEbdPA5qi","Stevie Wonder","1976-09-28","https://i.scdn.co/image/ab67616d0000b2732fee61bfec596bb6f5447c50","2","1","394266","","false","69","USMO17682655","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-21T22:04:55Z"
"spotify:track:35WjWVaGGmA6RU0kgyOxZ6","Joy Inside My Tears","spotify:artist:7guDJrEfX3qb6FEbdPA5qi","Stevie Wonder","spotify:album:6YUCc2RiXcEKS9ibuZxjt0","Songs In The Key Of Life","spotify:artist:7guDJrEfX3qb6FEbdPA5qi","Stevie Wonder","1976-09-28","https://i.scdn.co/image/ab67616d0000b2732fee61bfec596bb6f5447c50","2","2","389560","","false","46","USUMG0000364","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-21T22:04:55Z"
"spotify:track:6nGaPDMcXeY7YS3O8B8C6s","Black Man","spotify:artist:7guDJrEfX3qb6FEbdPA5qi","Stevie Wonder","spotify:album:6YUCc2RiXcEKS9ibuZxjt0","Songs In The Key Of Life","spotify:artist:7guDJrEfX3qb6FEbdPA5qi","Stevie Wonder","1976-09-28","https://i.scdn.co/image/ab67616d0000b2732fee61bfec596bb6f5447c50","2","3","509506","","false","44","USUMG0000365","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-21T22:04:55Z"
"spotify:track:49jWPMEvoGPNRYSd4vEXSo","Ngiculela-Es Una Historia-I Am Singing","spotify:artist:7guDJrEfX3qb6FEbdPA5qi","Stevie Wonder","spotify:album:6YUCc2RiXcEKS9ibuZxjt0","Songs In The Key Of Life","spotify:artist:7guDJrEfX3qb6FEbdPA5qi","Stevie Wonder","1976-09-28","https://i.scdn.co/image/ab67616d0000b2732fee61bfec596bb6f5447c50","2","4","228533","","false","46","USUMG9900470","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-21T22:04:55Z"
"spotify:track:4UBzGxrKBZN0NwJ8vTz8AG","If It's Magic","spotify:artist:7guDJrEfX3qb6FEbdPA5qi","Stevie Wonder","spotify:album:6YUCc2RiXcEKS9ibuZxjt0","Songs In The Key Of Life","spotify:artist:7guDJrEfX3qb6FEbdPA5qi","Stevie Wonder","1976-09-28","https://i.scdn.co/image/ab67616d0000b2732fee61bfec596bb6f5447c50","2","5","192133","","false","45","USUMG9900467","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-21T22:04:55Z"
"spotify:track:13toFl1UwJPsRxDiD9jgtn","As","spotify:artist:7guDJrEfX3qb6FEbdPA5qi","Stevie Wonder","spotify:album:6YUCc2RiXcEKS9ibuZxjt0","Songs In The Key Of Life","spotify:artist:7guDJrEfX3qb6FEbdPA5qi","Stevie Wonder","1976-09-28","https://i.scdn.co/image/ab67616d0000b2732fee61bfec596bb6f5447c50","2","6","428222","","false","65","USUMG9900468","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-21T22:04:55Z"
"spotify:track:5owFj7EOftzR9x5zciL0Bm","Another Star","spotify:artist:7guDJrEfX3qb6FEbdPA5qi","Stevie Wonder","spotify:album:6YUCc2RiXcEKS9ibuZxjt0","Songs In The Key Of Life","spotify:artist:7guDJrEfX3qb6FEbdPA5qi","Stevie Wonder","1976-09-28","https://i.scdn.co/image/ab67616d0000b2732fee61bfec596bb6f5447c50","2","7","508226","","false","52","USUMG9900469","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-21T22:04:55Z"
"spotify:track:5RgWdJs6H52nMyZFQspQWH","Saturn","spotify:artist:7guDJrEfX3qb6FEbdPA5qi","Stevie Wonder","spotify:album:6YUCc2RiXcEKS9ibuZxjt0","Songs In The Key Of Life","spotify:artist:7guDJrEfX3qb6FEbdPA5qi","Stevie Wonder","1976-09-28","https://i.scdn.co/image/ab67616d0000b2732fee61bfec596bb6f5447c50","2","8","293773","","false","42","USUMG0000366","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-21T22:04:55Z"
"spotify:track:620q3OKfZXyy4dstdxSi9K","Ebony Eyes","spotify:artist:7guDJrEfX3qb6FEbdPA5qi","Stevie Wonder","spotify:album:6YUCc2RiXcEKS9ibuZxjt0","Songs In The Key Of Life","spotify:artist:7guDJrEfX3qb6FEbdPA5qi","Stevie Wonder","1976-09-28","https://i.scdn.co/image/ab67616d0000b2732fee61bfec596bb6f5447c50","2","9","248933","","false","45","USUMG0000367","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-21T22:04:55Z"
"spotify:track:3acOX53ZUy4N11zEvNa7N6","All Day Sucker","spotify:artist:7guDJrEfX3qb6FEbdPA5qi","Stevie Wonder","spotify:album:6YUCc2RiXcEKS9ibuZxjt0","Songs In The Key Of Life","spotify:artist:7guDJrEfX3qb6FEbdPA5qi","Stevie Wonder","1976-09-28","https://i.scdn.co/image/ab67616d0000b2732fee61bfec596bb6f5447c50","2","10","305693","","false","42","USUMG0000368","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-21T22:04:55Z"
"spotify:track:2pjT0KymaeuWq29iFV9raB","Easy Goin' Evening (My Mama's Call)","spotify:artist:7guDJrEfX3qb6FEbdPA5qi","Stevie Wonder","spotify:album:6YUCc2RiXcEKS9ibuZxjt0","Songs In The Key Of Life","spotify:artist:7guDJrEfX3qb6FEbdPA5qi","Stevie Wonder","1976-09-28","https://i.scdn.co/image/ab67616d0000b2732fee61bfec596bb6f5447c50","2","11","236933","","false","39","USUMG0000374","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-21T22:04:55Z"
