"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4Hhv2vrOTy89HFRcjU3QOx","At Last","spotify:artist:0iOVhN3tnSvgDbcg25JoJb","Etta James","spotify:album:7rd4PorIOPjPTy7qdUeeCt","At Last!","spotify:artist:0iOVhN3tnSvgDbcg25JoJb","Etta James","1960","https://i.scdn.co/image/ab67616d0000b273b2229a8fdf377abaf3652624","1","7","179693","","false","79","USMC16046323","spotify:user:legrospolo","2018-08-23T00:07:28Z"
"spotify:track:1VKsbTJ78G5bnfyoPz46LA","Feeling Good","spotify:artist:7G1GBhoKtEPnP86X2PvEYO","Nina Simone","spotify:album:0NJwp4usn5T5PPURpwLDDD","I Put A Spell On You","spotify:artist:7G1GBhoKtEPnP86X2PvEYO","Nina Simone","1965-06","https://i.scdn.co/image/ab67616d0000b2735e63b7d5de222c7e3cc0ae4a","1","7","174000","","false","1","USPR36500001","spotify:user:legrospolo","2018-08-23T00:08:17Z"
"spotify:track:1UH4viviUjZnS9aWgPGrk0","La vie en rose - Single Version","spotify:artist:19eLuQmk9aCobbVDHc6eek","Louis Armstrong","spotify:album:1z3T9KhIbOb7k2sBVCsn6p","The Best Of The Decca Years Volume One: The Singer","spotify:artist:19eLuQmk9aCobbVDHc6eek","Louis Armstrong","1989-01-01","https://i.scdn.co/image/ab67616d0000b2736555e6252a13f769b1bfe082","1","6","204400","","false","62","USMC15076528","spotify:user:legrospolo","2018-08-23T00:08:23Z"
"spotify:track:4KcKjmNDtmWSdBTUAeUKdC","Leaving You (Stripped)","spotify:artist:5VdTraeHBTaJhW9OZPnrPm","Olivia Castriota","spotify:album:58KW6LT0wGNnClpXuGSFBW","Leaving You","spotify:artist:5VdTraeHBTaJhW9OZPnrPm","Olivia Castriota","2021-05-01","https://i.scdn.co/image/ab67616d0000b27342e30877eb5069209d31b977","1","1","211913","https://p.scdn.co/mp3-preview/d3ac62cedf4f7309da61f59ab0dc5f855f1ad904?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","QZES72116353","spotify:user:legrospolo","2023-01-06T11:23:09Z"
"spotify:track:57sh8IdL5oITYDYAGrv3JL","Fever","spotify:artist:602DnpaSXJB4b9DZrvxbDc","Peggy Lee","spotify:album:3prYYtO6Eth4pwZMYXRSr4","The Best Of Peggy Lee","spotify:artist:602DnpaSXJB4b9DZrvxbDc","Peggy Lee","1997-01-01","https://i.scdn.co/image/ab67616d0000b27381d6f5f76ff41f0c7bd8aca2","1","3","203440","","false","48","USCA28900304","spotify:user:legrospolo","2018-08-23T00:08:30Z"
"spotify:track:3SLTIkYWxhgr941xs9hmPK","What A Diff'rence A Day Made - Single Version/Original Title","spotify:artist:32LHRiof0sa4taYew9i3Fa","Dinah Washington","spotify:album:3Y2ZMr7NghmwkrGDMQfAZb","What A Diff'rence A Day Makes!","spotify:artist:32LHRiof0sa4taYew9i3Fa","Dinah Washington","1959","https://i.scdn.co/image/ab67616d0000b2738e963d93878e5816f6e6ea15","1","7","151866","","false","0","USPR35900037","spotify:user:legrospolo","2018-08-23T00:08:44Z"
"spotify:track:1hKyhP4LvftfbzPBPoBe5X","Love Me","spotify:artist:6YVaWx92qxstwulKJXqN2b","Ina Forsman","spotify:album:5HGSgAO4b2WiEuUqEiEMvS","Love Me","spotify:artist:6YVaWx92qxstwulKJXqN2b","Ina Forsman","2022-06-10","https://i.scdn.co/image/ab67616d0000b27320341a740561e7f061e2599c","1","1","225000","https://p.scdn.co/mp3-preview/d5a0c7af3711b6f45f6f264203307fba66001e60?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","DEFL72201820","spotify:user:legrospolo","2022-06-10T04:18:00Z"
"spotify:track:2xar08Fq5xra2KKZs5Bw9j","I've Got a Woman","spotify:artist:1eYhYunlNJlDoQhtYBvPsi","Ray Charles","spotify:album:0cw6Sv7IwZ87aLPPvNPSd0","Ray Charles (aka: Hallelujah, I Love Her So)","spotify:artist:1eYhYunlNJlDoQhtYBvPsi","Ray Charles","1957-01-01","https://i.scdn.co/image/ab67616d0000b273f0e951707ca49b533fdbf64e","1","14","171466","https://p.scdn.co/mp3-preview/425d081433204c6ded4ae8f852ee89e5d5bcdc0d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","USAT29902160","spotify:user:legrospolo","2018-08-23T00:08:51Z"
"spotify:track:6goZsOSvV8sdPA4odDrKhe","Maggie","spotify:artist:0ytyS944Vjixf9O0omhpyd","Boaz","spotify:album:0BKY6r2eBQmzDMThkrOZ2F","Maggie","spotify:artist:0ytyS944Vjixf9O0omhpyd","Boaz","2023-02-24","https://i.scdn.co/image/ab67616d0000b273c64c419786e1c7c308c44ec6","1","1","167656","https://p.scdn.co/mp3-preview/b00632d56e2a96c1e6871d280d6ceaac373cfdef?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","NL6RU2300001","spotify:user:legrospolo","2023-02-27T10:39:11Z"
"spotify:track:5b7OgznPJJr1vHNYGyvxau","Fly Me To The Moon (In Other Words)","spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0, spotify:artist:2jFZlvIea42ZvcCw4OeEdA","Frank Sinatra, Count Basie","spotify:album:2NCtCObbmJoJnplsR5mLAl","Sinatra/Basie: The Complete Reprise Studio Recordings","spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0, spotify:artist:2jFZlvIea42ZvcCw4OeEdA","Frank Sinatra, Count Basie","1962-12-10","https://i.scdn.co/image/ab67616d0000b273cb81eb3c1238c60f2bbfd3b5","1","11","147000","","false","75","USRH10800836","spotify:user:legrospolo","2018-08-23T00:08:56Z"
