"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5N0lmKQfQpXNQNjUGlPKIT","Hell's Comin' with Me","spotify:artist:0YHgnSkV3S5mvSSCTRWDi5","Poor Man's Poison","spotify:album:7sXEDXktkY9cFOcgvIR6CI","Hell's Comin' with Me","spotify:artist:0YHgnSkV3S5mvSSCTRWDi5","Poor Man's Poison","2019-12-13","https://i.scdn.co/image/ab67616d0000b27302e31189bc79f1990d9f0f3c","1","1","212996","https://p.scdn.co/mp3-preview/82d716d0f415ec18909b7f30b00513545cb12970?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","TCAEN1964122","spotify:user:","2023-06-23T04:00:00Z"
"spotify:track:6Q2eMpdwdjopsEBiZaQbuF","Apple Tree","spotify:artist:5DGJC3n9DS0Y9eY5ul9y0O","Marika Hackman","spotify:album:58IxxVGqidZ8sLWNKeknlH","I'm Not Your Man (Deluxe)","spotify:artist:5DGJC3n9DS0Y9eY5ul9y0O","Marika Hackman","2017-06-02","https://i.scdn.co/image/ab67616d0000b273547f953e6f0a7403a9248d3d","1","9","175320","","false","44","USSUB1720209","spotify:user:","2023-06-23T04:00:00Z"
"spotify:track:2OeMJJ4QlZKW0mjpbIckiq","Hy-Brasil","spotify:artist:3JBmecDGXTll46ygrnGTM6","Allison Russell","spotify:album:4R21oaKCstE2fMc4XkuVlw","Outside Child","spotify:artist:3JBmecDGXTll46ygrnGTM6","Allison Russell","2021-05-21","https://i.scdn.co/image/ab67616d0000b2734860e40c6c3a1330ddf50fcc","1","6","335586","","false","47","USC4R2007975","spotify:user:","2023-06-23T04:00:00Z"
"spotify:track:7lpmIGFw7Kc9qIdq4cGs34","Arsonist's Lullabye","spotify:artist:2FXC3k01G6Gw61bmprjgqS","Hozier","spotify:album:44zQnmrFcPCmPp6NLMfTuz","Hozier (Special Edition)","spotify:artist:2FXC3k01G6Gw61bmprjgqS","Hozier","2014-11-06","https://i.scdn.co/image/ab67616d0000b2732303ece0e9af3917d0bce05f","2","3","266611","","false","63","IEACJ1400014","spotify:user:","2023-06-23T04:00:00Z"
"spotify:track:0ymhUnNSuTEdKCRYEVpWOS","Ain't No Grave","spotify:artist:7LOJ56d8VmOebynlV01KfU","Crooked Still","spotify:album:1MXfI5PVHDjkZJrlM9aFkp","Shaken By A Low Sound","spotify:artist:7LOJ56d8VmOebynlV01KfU","Crooked Still","2006-08-22","https://i.scdn.co/image/ab67616d0000b273c818548a688c49f700188491","1","7","201506","https://p.scdn.co/mp3-preview/ddd2da32fef72ca6727635339a58c15566ca159d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","TCAAT1032074","spotify:user:","2023-06-23T04:00:00Z"
"spotify:track:6GoESztTu0GEiWuVFgsBUx","Heron Blue","spotify:artist:4G0XDEk7RbA4BBCTs917U9","Sun Kil Moon","spotify:album:04XRtyMhwCe9HoWbzBO1eE","April","spotify:artist:4G0XDEk7RbA4BBCTs917U9","Sun Kil Moon","2008-04-01","https://i.scdn.co/image/ab67616d0000b273f84cb611e07fcc01888487a9","1","5","458000","https://p.scdn.co/mp3-preview/5c6283bfe2f2e927310a808a755ae9a40a2c919d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","USA2B0847105","spotify:user:","2023-06-23T04:00:00Z"
"spotify:track:3tEL74JlN4OT9YPoNx5eRI","The Angry River (feat. Father John Misty and S.I. Istwa) [Theme From the HBO Series True Detective]","spotify:artist:0UiSKMMZHzAvON7xNNeTnh, spotify:artist:2kGBy2WHvF0VdZyqiVCkDT, spotify:artist:23DkZl7xuseePWZqXE1qUr","The Hat, Father John Misty, S.I. Istwa","spotify:album:795JPmab0nbSSraMlxBHF0","The Angry River (feat. Father John Misty and S.I. Istwa) [Theme From the HBO Series True Detective]","spotify:artist:0UiSKMMZHzAvON7xNNeTnh","The Hat","2014-03-09","https://i.scdn.co/image/ab67616d0000b2736bb0d45162d602716e8e99df","1","1","175153","https://p.scdn.co/mp3-preview/7f44b6e0318cf6302db341eabc0f5790b1ee68e5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","USNLR1400042","spotify:user:","2023-06-23T04:00:00Z"
"spotify:track:7IBUE2QoRjx5tJFVlsnMDe","Lay This Body Down","spotify:artist:3W9jGHrOdrrv01cVtRhZa7","Sam Lee","spotify:album:0gx9i6niYyQVggnjFtAzt1","Lay This Body Down","spotify:artist:3W9jGHrOdrrv01cVtRhZa7","Sam Lee","2020-01-17","https://i.scdn.co/image/ab67616d0000b27390f84fd9082c20bff9e214f0","1","1","287773","https://p.scdn.co/mp3-preview/4d1fa0988c2eb98a77bf3d5ff36423a7134db46c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","GBEG51900002","spotify:user:","2023-06-23T04:00:00Z"
"spotify:track:3LDkLpuxQlEuEiZmkxpr8S","Far From Any Road","spotify:artist:72PnPUc1qv9UjRPaGVZ1jq","The Handsome Family","spotify:album:1B1p6CMiuIqeNt3oYTS0Tj","Singing Bones","spotify:artist:72PnPUc1qv9UjRPaGVZ1jq","The Handsome Family","2003-09-29","https://i.scdn.co/image/ab67616d0000b27343bf72818b91c6803029dbbe","1","5","166493","https://p.scdn.co/mp3-preview/e1a9b761f7140349eb186aa1f628a4481db260e0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","US2X80436005","spotify:user:","2023-06-23T04:00:00Z"
"spotify:track:4qoD4IJbbir3hsAu4IowiG","Devil's Backbone","spotify:artist:6J7rw7NELJUCThPbAfyLIE","The Civil Wars","spotify:album:5r0Xd2wqRkTE0BqbeYlnFN","The Civil Wars","spotify:artist:6J7rw7NELJUCThPbAfyLIE","The Civil Wars","2013-08-02","https://i.scdn.co/image/ab67616d0000b273bd1ed4346fa2740ea3c66cb5","1","6","149426","https://p.scdn.co/mp3-preview/bbf32ddabb6ce3bfee27535f47bf2c2758520d71?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","USQX91301054","spotify:user:","2023-06-23T04:00:00Z"
