"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:16PPtxJh4ptSdAt4esB0WF","Spirit They've Vanished","spotify:artist:4kwxTgCKMipBKhSnEstNKj","Animal Collective","spotify:album:0QJ5hsc4k7nbV1jSFuw0Pk","Spirit They’re Gone, Spirit They’ve Vanished","spotify:artist:4kwxTgCKMipBKhSnEstNKj","Animal Collective","2000-07-31","https://i.scdn.co/image/ab67616d0000b2730928e0f691284e1094148bb9","1","1","333666","https://p.scdn.co/mp3-preview/c9917226f8532658dcb50dbb7a735f10c7061eb5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","QM2CM1500039","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-11T00:28:01Z"
"spotify:track:18W6CsSY0WczEJTEZcLB42","April And The Phantom","spotify:artist:4kwxTgCKMipBKhSnEstNKj","Animal Collective","spotify:album:0QJ5hsc4k7nbV1jSFuw0Pk","Spirit They’re Gone, Spirit They’ve Vanished","spotify:artist:4kwxTgCKMipBKhSnEstNKj","Animal Collective","2000-07-31","https://i.scdn.co/image/ab67616d0000b2730928e0f691284e1094148bb9","1","2","353320","https://p.scdn.co/mp3-preview/2fe5b1a75dac12ad21600be547306211b4ab3f92?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","QM2CM1500040","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-11T00:28:01Z"
"spotify:track:0wSykqdJOAnYQqsWOAhKRw","Untitled","spotify:artist:4kwxTgCKMipBKhSnEstNKj","Animal Collective","spotify:album:0QJ5hsc4k7nbV1jSFuw0Pk","Spirit They’re Gone, Spirit They’ve Vanished","spotify:artist:4kwxTgCKMipBKhSnEstNKj","Animal Collective","2000-07-31","https://i.scdn.co/image/ab67616d0000b2730928e0f691284e1094148bb9","1","3","178946","https://p.scdn.co/mp3-preview/cbe6b0d61a0b81f82709e311ef024c9412fa53fd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","QM2CM1500041","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-11T00:28:01Z"
"spotify:track:4xacrTxjd8gtIhrktHPhOl","Penny Dreadfuls","spotify:artist:4kwxTgCKMipBKhSnEstNKj","Animal Collective","spotify:album:0QJ5hsc4k7nbV1jSFuw0Pk","Spirit They’re Gone, Spirit They’ve Vanished","spotify:artist:4kwxTgCKMipBKhSnEstNKj","Animal Collective","2000-07-31","https://i.scdn.co/image/ab67616d0000b2730928e0f691284e1094148bb9","1","4","478986","https://p.scdn.co/mp3-preview/e84678f6969448e6dde8e05a26602508f33f7646?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","QM2CM1500042","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-11T00:28:01Z"
"spotify:track:3ZkwvxsQiBJPyjozMK76wY","Chocolate Girl","spotify:artist:4kwxTgCKMipBKhSnEstNKj","Animal Collective","spotify:album:0QJ5hsc4k7nbV1jSFuw0Pk","Spirit They’re Gone, Spirit They’ve Vanished","spotify:artist:4kwxTgCKMipBKhSnEstNKj","Animal Collective","2000-07-31","https://i.scdn.co/image/ab67616d0000b2730928e0f691284e1094148bb9","1","5","508613","https://p.scdn.co/mp3-preview/380d0848a0204b4e4e910127500ae4af26cd0160?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","QM2CM1500043","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-11T00:28:01Z"
"spotify:track:541k2wSfbAgb5JsWeLe9fe","Everyone Whistling","spotify:artist:4kwxTgCKMipBKhSnEstNKj","Animal Collective","spotify:album:0QJ5hsc4k7nbV1jSFuw0Pk","Spirit They’re Gone, Spirit They’ve Vanished","spotify:artist:4kwxTgCKMipBKhSnEstNKj","Animal Collective","2000-07-31","https://i.scdn.co/image/ab67616d0000b2730928e0f691284e1094148bb9","1","6","60680","https://p.scdn.co/mp3-preview/5154323264bf80b344549db4979c30ac63820f69?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","QM2CM1500044","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-11T00:28:01Z"
"spotify:track:1o7yTZF1wZWUFnRnX6kxxh","La Rapet","spotify:artist:4kwxTgCKMipBKhSnEstNKj","Animal Collective","spotify:album:0QJ5hsc4k7nbV1jSFuw0Pk","Spirit They’re Gone, Spirit They’ve Vanished","spotify:artist:4kwxTgCKMipBKhSnEstNKj","Animal Collective","2000-07-31","https://i.scdn.co/image/ab67616d0000b2730928e0f691284e1094148bb9","1","7","472400","https://p.scdn.co/mp3-preview/020ce7a1570105a25258d6996792ad6efdc42ae3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","QM2CM1500045","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-11T00:28:01Z"
"spotify:track:7mvJkwui8rYSqoexd3SldC","Bat You'll Fly","spotify:artist:4kwxTgCKMipBKhSnEstNKj","Animal Collective","spotify:album:0QJ5hsc4k7nbV1jSFuw0Pk","Spirit They’re Gone, Spirit They’ve Vanished","spotify:artist:4kwxTgCKMipBKhSnEstNKj","Animal Collective","2000-07-31","https://i.scdn.co/image/ab67616d0000b2730928e0f691284e1094148bb9","1","8","303520","https://p.scdn.co/mp3-preview/dd8b9e964c6cc334fdf6f4dd53bfc4acf5e8173e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","QM2CM1500046","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-11T00:28:01Z"
"spotify:track:3bfAoRlutO1SLUTuSOqToE","Someday I'll Grow To Be As Tall As The Giant","spotify:artist:4kwxTgCKMipBKhSnEstNKj","Animal Collective","spotify:album:0QJ5hsc4k7nbV1jSFuw0Pk","Spirit They’re Gone, Spirit They’ve Vanished","spotify:artist:4kwxTgCKMipBKhSnEstNKj","Animal Collective","2000-07-31","https://i.scdn.co/image/ab67616d0000b2730928e0f691284e1094148bb9","1","9","190640","https://p.scdn.co/mp3-preview/ce9600618649c52e9e6ebb3dee58c6e60a0dc93e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","QM2CM1500047","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-11T00:28:01Z"
"spotify:track:5Mx5qk7zUu2pR2OvNwXLzv","Alvin Row","spotify:artist:4kwxTgCKMipBKhSnEstNKj","Animal Collective","spotify:album:0QJ5hsc4k7nbV1jSFuw0Pk","Spirit They’re Gone, Spirit They’ve Vanished","spotify:artist:4kwxTgCKMipBKhSnEstNKj","Animal Collective","2000-07-31","https://i.scdn.co/image/ab67616d0000b2730928e0f691284e1094148bb9","1","10","759680","https://p.scdn.co/mp3-preview/989d96668ddd484fe9d457cce5252d1676158985?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","QM2CM1500048","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-11T00:28:01Z"
