"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5ozorLGG4JtPRhBIyOX68p","Stellaris Suite: Creation and Beyond (From Stellaris Original Game Soundtrack)","spotify:artist:75N2nC2KNgaQ1e6bGs0wyc, spotify:artist:7eyudpSl4KF7iXun4H2PSh","Paradox Interactive, Andreas Waldetoft","spotify:album:5hCoZYvVBKqOBst0qfgApe","Stellaris (Original Game Soundtrack)","spotify:artist:75N2nC2KNgaQ1e6bGs0wyc","Paradox Interactive","2016-06-27","https://i.scdn.co/image/ab67616d0000b27369aff599538f15c73a34252c","1","19","510667","https://p.scdn.co/mp3-preview/6fcacd1c837d5aa50f007015ce0b68207862801c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","TCACP1639748","spotify:user:1262387323","2020-08-04T10:46:37Z"
"spotify:track:3rpmvr5GFGMHjRhmMzKFyn","Faster Than Light (From Stellaris Original Game Soundtrack)","spotify:artist:75N2nC2KNgaQ1e6bGs0wyc, spotify:artist:7eyudpSl4KF7iXun4H2PSh","Paradox Interactive, Andreas Waldetoft","spotify:album:5hCoZYvVBKqOBst0qfgApe","Stellaris (Original Game Soundtrack)","spotify:artist:75N2nC2KNgaQ1e6bGs0wyc","Paradox Interactive","2016-06-27","https://i.scdn.co/image/ab67616d0000b27369aff599538f15c73a34252c","1","6","400313","https://p.scdn.co/mp3-preview/2dce69f77ad146fe89b1749f0175593e659a828a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","SE6CZ1900703","spotify:user:1262387323","2020-08-04T10:46:37Z"
"spotify:track:1dDldrJRfHRV6A3v8VI131","Deep Space Travels (From Stellaris Original Game Soundtrack)","spotify:artist:75N2nC2KNgaQ1e6bGs0wyc, spotify:artist:7eyudpSl4KF7iXun4H2PSh","Paradox Interactive, Andreas Waldetoft","spotify:album:5hCoZYvVBKqOBst0qfgApe","Stellaris (Original Game Soundtrack)","spotify:artist:75N2nC2KNgaQ1e6bGs0wyc","Paradox Interactive","2016-06-27","https://i.scdn.co/image/ab67616d0000b27369aff599538f15c73a34252c","1","3","449000","https://p.scdn.co/mp3-preview/a0788f724e41c61a9726ebc0d30ebcc36d054ad0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","TCACP1639749","spotify:user:1262387323","2020-08-04T10:46:37Z"
"spotify:track:2jlfyx02BhngLZ52OzrIta","To The End Of The Galaxy (From Stellaris Original Game Soundtrack)","spotify:artist:75N2nC2KNgaQ1e6bGs0wyc, spotify:artist:7eyudpSl4KF7iXun4H2PSh","Paradox Interactive, Andreas Waldetoft","spotify:album:5hCoZYvVBKqOBst0qfgApe","Stellaris (Original Game Soundtrack)","spotify:artist:75N2nC2KNgaQ1e6bGs0wyc","Paradox Interactive","2016-06-27","https://i.scdn.co/image/ab67616d0000b27369aff599538f15c73a34252c","1","23","373000","https://p.scdn.co/mp3-preview/cf5f5c37fe0438490e8861a884c6f780ecdece8d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","TCACP1639751","spotify:user:1262387323","2020-08-04T10:46:37Z"
"spotify:track:5SBPzjat8MoflLpjRRr3DX","In Search Of Life (From Stellaris Original Game Soundtrack)","spotify:artist:75N2nC2KNgaQ1e6bGs0wyc, spotify:artist:7eyudpSl4KF7iXun4H2PSh","Paradox Interactive, Andreas Waldetoft","spotify:album:5hCoZYvVBKqOBst0qfgApe","Stellaris (Original Game Soundtrack)","spotify:artist:75N2nC2KNgaQ1e6bGs0wyc","Paradox Interactive","2016-06-27","https://i.scdn.co/image/ab67616d0000b27369aff599538f15c73a34252c","1","12","361000","https://p.scdn.co/mp3-preview/d63bf03222d892f2ee99f22feadd5a75b134e109?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","TCACP1639752","spotify:user:1262387323","2020-08-04T10:46:37Z"
"spotify:track:3ZMARVy4uUZjfq4D65brKZ","Spatial Lullaby (From Stellaris Original Game Soundtrack)","spotify:artist:75N2nC2KNgaQ1e6bGs0wyc, spotify:artist:7eyudpSl4KF7iXun4H2PSh","Paradox Interactive, Andreas Waldetoft","spotify:album:5hCoZYvVBKqOBst0qfgApe","Stellaris (Original Game Soundtrack)","spotify:artist:75N2nC2KNgaQ1e6bGs0wyc","Paradox Interactive","2016-06-27","https://i.scdn.co/image/ab67616d0000b27369aff599538f15c73a34252c","1","18","254500","https://p.scdn.co/mp3-preview/2b2b9b271453b4e85e130a7844feefdb22dc36ba?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","TCACP1639753","spotify:user:1262387323","2020-08-04T10:46:37Z"
"spotify:track:1iL7yNTAOOc1mm1F2ay99v","Gravitational Constant (From Stellaris Original Game Soundtrack)","spotify:artist:75N2nC2KNgaQ1e6bGs0wyc, spotify:artist:7eyudpSl4KF7iXun4H2PSh","Paradox Interactive, Andreas Waldetoft","spotify:album:5hCoZYvVBKqOBst0qfgApe","Stellaris (Original Game Soundtrack)","spotify:artist:75N2nC2KNgaQ1e6bGs0wyc","Paradox Interactive","2016-06-27","https://i.scdn.co/image/ab67616d0000b27369aff599538f15c73a34252c","1","9","427000","https://p.scdn.co/mp3-preview/d507a5ded87fd9db3f75e2ac92b17206fae0933b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","TCACP1639754","spotify:user:1262387323","2020-08-04T10:46:37Z"
"spotify:track:0RIp0PyzAJ93CBOKK1xGrI","Alpha Centauri (From Stellaris Original Game Soundtrack)","spotify:artist:75N2nC2KNgaQ1e6bGs0wyc, spotify:artist:7eyudpSl4KF7iXun4H2PSh","Paradox Interactive, Andreas Waldetoft","spotify:album:5hCoZYvVBKqOBst0qfgApe","Stellaris (Original Game Soundtrack)","spotify:artist:75N2nC2KNgaQ1e6bGs0wyc","Paradox Interactive","2016-06-27","https://i.scdn.co/image/ab67616d0000b27369aff599538f15c73a34252c","1","1","323500","https://p.scdn.co/mp3-preview/17976a5cb1d7a2878847c5512839de4b804f3f17?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","TCACP1639755","spotify:user:1262387323","2020-08-04T10:46:37Z"
"spotify:track:695ib1MlJntgxeRoWMwHI5","Genesis (From Stellaris Original Game Soundtrack)","spotify:artist:75N2nC2KNgaQ1e6bGs0wyc, spotify:artist:7eyudpSl4KF7iXun4H2PSh","Paradox Interactive, Andreas Waldetoft","spotify:album:5hCoZYvVBKqOBst0qfgApe","Stellaris (Original Game Soundtrack)","spotify:artist:75N2nC2KNgaQ1e6bGs0wyc","Paradox Interactive","2016-06-27","https://i.scdn.co/image/ab67616d0000b27369aff599538f15c73a34252c","1","8","368000","https://p.scdn.co/mp3-preview/f31b49baf149589e8e65af434ef412d21710d24e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","TCACP1639756","spotify:user:1262387323","2020-08-04T10:46:37Z"
"spotify:track:4DwbX2XZ9q3a6mGOoxMMYv","The Celestial City (From Stellaris Original Game Soundtrack)","spotify:artist:75N2nC2KNgaQ1e6bGs0wyc, spotify:artist:7eyudpSl4KF7iXun4H2PSh","Paradox Interactive, Andreas Waldetoft","spotify:album:5hCoZYvVBKqOBst0qfgApe","Stellaris (Original Game Soundtrack)","spotify:artist:75N2nC2KNgaQ1e6bGs0wyc","Paradox Interactive","2016-06-27","https://i.scdn.co/image/ab67616d0000b27369aff599538f15c73a34252c","1","21","349981","https://p.scdn.co/mp3-preview/e24f663312e4cd5db4a8b7cda944545b1343b1c3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","TCACP1639757","spotify:user:1262387323","2020-08-04T10:46:37Z"
