"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:3PGX9zSuWbz0BCFztu1Rh1","Since Yesterday","spotify:artist:4z5NjzIMyaQC4dPxxzxF6e","Strawberry Switchblade","spotify:album:6ypn6HP6UuJCBSGRRCQLd6","Strawberry Switchblade","spotify:artist:4z5NjzIMyaQC4dPxxzxF6e","Strawberry Switchblade","1985-01-01","https://i.scdn.co/image/ab67616d0000b273cd52ae379c71f1859c599b8c","1","1","175479","https://p.scdn.co/mp3-preview/6b70515de7d3e29ef03e48fc32c81274ce7693c4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","GBAHT0200073","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-04T23:07:48Z"
"spotify:track:7knV3ojCkjRUZi3x29p1Cx","Deep Water","spotify:artist:4z5NjzIMyaQC4dPxxzxF6e","Strawberry Switchblade","spotify:album:6ypn6HP6UuJCBSGRRCQLd6","Strawberry Switchblade","spotify:artist:4z5NjzIMyaQC4dPxxzxF6e","Strawberry Switchblade","1985-01-01","https://i.scdn.co/image/ab67616d0000b273cd52ae379c71f1859c599b8c","1","2","237333","https://p.scdn.co/mp3-preview/c48b9f2ecdcd315b4b77d1c142fad7761ff765a2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","GBAHT0200074","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-04T23:07:48Z"
"spotify:track:56yLd2RKkOKgFZYDFQTgGG","Another Day","spotify:artist:4z5NjzIMyaQC4dPxxzxF6e","Strawberry Switchblade","spotify:album:6ypn6HP6UuJCBSGRRCQLd6","Strawberry Switchblade","spotify:artist:4z5NjzIMyaQC4dPxxzxF6e","Strawberry Switchblade","1985-01-01","https://i.scdn.co/image/ab67616d0000b273cd52ae379c71f1859c599b8c","1","3","228906","https://p.scdn.co/mp3-preview/8df75cf60785ffd813fbdaaa134b48446acfd0ee?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","GBAHT0200075","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-04T23:07:48Z"
"spotify:track:7xkE6FEwnkdxuo2OJjqA7z","Little River","spotify:artist:4z5NjzIMyaQC4dPxxzxF6e","Strawberry Switchblade","spotify:album:6ypn6HP6UuJCBSGRRCQLd6","Strawberry Switchblade","spotify:artist:4z5NjzIMyaQC4dPxxzxF6e","Strawberry Switchblade","1985-01-01","https://i.scdn.co/image/ab67616d0000b273cd52ae379c71f1859c599b8c","1","4","160079","https://p.scdn.co/mp3-preview/0a13453475ed76a6a23e9491eca0d47da13d79bf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","GBAHT0200076","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-04T23:07:48Z"
"spotify:track:41s0LioH5zbnucHK1PbuQb","10 James Orr Street","spotify:artist:4z5NjzIMyaQC4dPxxzxF6e","Strawberry Switchblade","spotify:album:6ypn6HP6UuJCBSGRRCQLd6","Strawberry Switchblade","spotify:artist:4z5NjzIMyaQC4dPxxzxF6e","Strawberry Switchblade","1985-01-01","https://i.scdn.co/image/ab67616d0000b273cd52ae379c71f1859c599b8c","1","5","178266","https://p.scdn.co/mp3-preview/120c412220721055f0cdb1f616abd6d8b0ef739f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","GBAHT0200077","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-04T23:07:48Z"
"spotify:track:6dCNETvK0HLWcEiZ82u05Q","Let Her Go","spotify:artist:4z5NjzIMyaQC4dPxxzxF6e","Strawberry Switchblade","spotify:album:6ypn6HP6UuJCBSGRRCQLd6","Strawberry Switchblade","spotify:artist:4z5NjzIMyaQC4dPxxzxF6e","Strawberry Switchblade","1985-01-01","https://i.scdn.co/image/ab67616d0000b273cd52ae379c71f1859c599b8c","1","6","167146","https://p.scdn.co/mp3-preview/04052035ba64046a4b89c8feb7fbaad39abeb8c4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","GBAHT0200078","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-04T23:07:48Z"
"spotify:track:08wxu4y4LukTbWywWtxRYz","Who Knows What Love Is?","spotify:artist:4z5NjzIMyaQC4dPxxzxF6e","Strawberry Switchblade","spotify:album:6ypn6HP6UuJCBSGRRCQLd6","Strawberry Switchblade","spotify:artist:4z5NjzIMyaQC4dPxxzxF6e","Strawberry Switchblade","1985-01-01","https://i.scdn.co/image/ab67616d0000b273cd52ae379c71f1859c599b8c","1","7","227159","https://p.scdn.co/mp3-preview/81e9502b087e6a6633efcf69564364fd11433bcd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","GBAHT0200079","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-04T23:07:48Z"
"spotify:track:19wyEOwk4PTvfhBxSoZ34a","Go Away","spotify:artist:4z5NjzIMyaQC4dPxxzxF6e","Strawberry Switchblade","spotify:album:6ypn6HP6UuJCBSGRRCQLd6","Strawberry Switchblade","spotify:artist:4z5NjzIMyaQC4dPxxzxF6e","Strawberry Switchblade","1985-01-01","https://i.scdn.co/image/ab67616d0000b273cd52ae379c71f1859c599b8c","1","8","189413","https://p.scdn.co/mp3-preview/42ffd28e226ab7ee3dba0ee2a9ba8f230038b510?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","GBAHT0200080","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-04T23:07:48Z"
"spotify:track:4MDJFxhm7sh0nNVVk1tzHU","Secrets","spotify:artist:4z5NjzIMyaQC4dPxxzxF6e","Strawberry Switchblade","spotify:album:6ypn6HP6UuJCBSGRRCQLd6","Strawberry Switchblade","spotify:artist:4z5NjzIMyaQC4dPxxzxF6e","Strawberry Switchblade","1985-01-01","https://i.scdn.co/image/ab67616d0000b273cd52ae379c71f1859c599b8c","1","9","172213","https://p.scdn.co/mp3-preview/6226e85b8fa3594341182d6da7d100b06d742585?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","GBAHT0200081","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-04T23:07:48Z"
"spotify:track:3XbW3Z1JItdMH3MXRbBT9I","Who Knows What Love Is? - Reprise","spotify:artist:4z5NjzIMyaQC4dPxxzxF6e","Strawberry Switchblade","spotify:album:6ypn6HP6UuJCBSGRRCQLd6","Strawberry Switchblade","spotify:artist:4z5NjzIMyaQC4dPxxzxF6e","Strawberry Switchblade","1985-01-01","https://i.scdn.co/image/ab67616d0000b273cd52ae379c71f1859c599b8c","1","10","63999","https://p.scdn.co/mp3-preview/0a7f7883010a24f78eb36d0ed98351a46d153e33?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","GBAHT0200082","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-04T23:07:48Z"
