"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:3d06Ep3yKXhYH0FsPuoUSC","Get Used to It","spotify:artist:0ZMWrgLff357yxLyEU77a1","Darren Korb","spotify:album:2r4a3PREYIRF2QdbcPnrEO","Bastion Original Soundtrack","spotify:artist:0ZMWrgLff357yxLyEU77a1","Darren Korb","2011-08-05","https://i.scdn.co/image/ab67616d0000b27397ae11a69efd78d88238ba45","1","1","54393","https://p.scdn.co/mp3-preview/560aef4ae3e86bc53996c8bda83785932546b890?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","TCABA1109318","spotify:user:124601924","2020-08-13T21:05:38Z"
"spotify:track:5DutiJxznQmcV5a5a1zfRW","Build That Wall (Zia's Theme)","spotify:artist:0ZMWrgLff357yxLyEU77a1","Darren Korb","spotify:album:2r4a3PREYIRF2QdbcPnrEO","Bastion Original Soundtrack","spotify:artist:0ZMWrgLff357yxLyEU77a1","Darren Korb","2011-08-05","https://i.scdn.co/image/ab67616d0000b27397ae11a69efd78d88238ba45","1","12","165016","https://p.scdn.co/mp3-preview/7438121caaa9361170b256b4477e3f662d6bb9e0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","TCABA1109345","spotify:user:124601924","2020-08-13T21:05:06Z"
"spotify:track:2yvrSikYS1UsZhhfmXHrar","Mother, I'm Here (Zulf's Theme)","spotify:artist:0ZMWrgLff357yxLyEU77a1","Darren Korb","spotify:album:2r4a3PREYIRF2QdbcPnrEO","Bastion Original Soundtrack","spotify:artist:0ZMWrgLff357yxLyEU77a1","Darren Korb","2011-08-05","https://i.scdn.co/image/ab67616d0000b27397ae11a69efd78d88238ba45","1","17","136801","https://p.scdn.co/mp3-preview/593cea4b420c5efc8f8e1a44f70fe4dd5f4d0070?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","TCABA1109351","spotify:user:124601924","2020-08-13T21:05:12Z"
"spotify:track:4wsxtmLm89JBwWWAMKLxf2","Setting Sail, Coming Home (End Theme)","spotify:artist:0ZMWrgLff357yxLyEU77a1","Darren Korb","spotify:album:2r4a3PREYIRF2QdbcPnrEO","Bastion Original Soundtrack","spotify:artist:0ZMWrgLff357yxLyEU77a1","Darren Korb","2011-08-05","https://i.scdn.co/image/ab67616d0000b27397ae11a69efd78d88238ba45","1","21","174874","https://p.scdn.co/mp3-preview/d0e57c8ff4155e95aa9f72758055eb453522ba4e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","TCABA1109356","spotify:user:124601924","2020-08-13T21:05:19Z"
"spotify:track:2CJBcTHsKSbeoAkk9oLmFz","The Pantheon (Ain't Gonna Catch You)","spotify:artist:0ZMWrgLff357yxLyEU77a1","Darren Korb","spotify:album:2r4a3PREYIRF2QdbcPnrEO","Bastion Original Soundtrack","spotify:artist:0ZMWrgLff357yxLyEU77a1","Darren Korb","2011-08-05","https://i.scdn.co/image/ab67616d0000b27397ae11a69efd78d88238ba45","1","22","147405","https://p.scdn.co/mp3-preview/14e7493f0ad89b4f6385b8e77866deba39c6b868?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","TCABA1109358","spotify:user:124601924","2020-08-13T21:05:25Z"
"spotify:track:4Tm7vJMSIcb8FcrLsLnirt","The Spine (feat. Ashley Barrett)","spotify:artist:0ZMWrgLff357yxLyEU77a1, spotify:artist:5x5ymm4vyLlpwWOXmOJ7zg","Darren Korb, Ashley Barrett","spotify:album:3B0PgLmgaW0gJth55ApWbw","Transistor Original Soundtrack","spotify:artist:0ZMWrgLff357yxLyEU77a1","Darren Korb","2014-05-20","https://i.scdn.co/image/ab67616d0000b2734a9d11cb845130066be1eada","1","4","194152","https://p.scdn.co/mp3-preview/1f989a08135ead30cac8c6137ab61949b52e95b9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","QM9HB1400004","spotify:user:124601924","2020-08-13T21:05:57Z"
"spotify:track:66H8Pon5ZiRE4p8W4OOf6I","In Circles (feat. Ashley Barrett)","spotify:artist:0ZMWrgLff357yxLyEU77a1, spotify:artist:5x5ymm4vyLlpwWOXmOJ7zg","Darren Korb, Ashley Barrett","spotify:album:3B0PgLmgaW0gJth55ApWbw","Transistor Original Soundtrack","spotify:artist:0ZMWrgLff357yxLyEU77a1","Darren Korb","2014-05-20","https://i.scdn.co/image/ab67616d0000b2734a9d11cb845130066be1eada","1","10","206463","https://p.scdn.co/mp3-preview/a8068570ecae6f6f91d3b1adc63325824b3ef878?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","QM9HB1400010","spotify:user:124601924","2020-08-13T21:06:00Z"
"spotify:track:5WZh4sv62fSXNgmhb1aU0C","We All Become (feat. Ashley Barrett)","spotify:artist:0ZMWrgLff357yxLyEU77a1, spotify:artist:5x5ymm4vyLlpwWOXmOJ7zg","Darren Korb, Ashley Barrett","spotify:album:3B0PgLmgaW0gJth55ApWbw","Transistor Original Soundtrack","spotify:artist:0ZMWrgLff357yxLyEU77a1","Darren Korb","2014-05-20","https://i.scdn.co/image/ab67616d0000b2734a9d11cb845130066be1eada","1","17","149897","https://p.scdn.co/mp3-preview/ecd359c3569f5eb3cf02552b564543f3b1fb2e87?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","QM9HB1400017","spotify:user:124601924","2020-08-13T21:06:02Z"
"spotify:track:4wiw9LcroyooWx1G94TvCW","Signals (feat. Ashley Barrett)","spotify:artist:0ZMWrgLff357yxLyEU77a1, spotify:artist:5x5ymm4vyLlpwWOXmOJ7zg","Darren Korb, Ashley Barrett","spotify:album:3B0PgLmgaW0gJth55ApWbw","Transistor Original Soundtrack","spotify:artist:0ZMWrgLff357yxLyEU77a1","Darren Korb","2014-05-20","https://i.scdn.co/image/ab67616d0000b2734a9d11cb845130066be1eada","1","20","175509","https://p.scdn.co/mp3-preview/d60532db1f2841b434089ed657715cf5522599e4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","QM9HB1400020","spotify:user:124601924","2020-08-13T21:06:05Z"
"spotify:track:3deUFJzGwnWTsTel4EeEeV","Paper Boats (feat. Ashley Barrett)","spotify:artist:0ZMWrgLff357yxLyEU77a1, spotify:artist:5x5ymm4vyLlpwWOXmOJ7zg","Darren Korb, Ashley Barrett","spotify:album:3B0PgLmgaW0gJth55ApWbw","Transistor Original Soundtrack","spotify:artist:0ZMWrgLff357yxLyEU77a1","Darren Korb","2014-05-20","https://i.scdn.co/image/ab67616d0000b2734a9d11cb845130066be1eada","1","23","240936","https://p.scdn.co/mp3-preview/bf0c70808984f0825db4b542dee86da37014ac53?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","QM9HB1400023","spotify:user:124601924","2020-08-13T21:06:08Z"
