"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4LzHj0kQODWkHnJwr46DOE","Superheavy","spotify:artist:3D2hT0opR7rrYIngiAdwgC","SuperHeavy","spotify:album:5R67n48GXp5sufciIS8lQj","SuperHeavy (Deluxe Edition)","spotify:artist:3D2hT0opR7rrYIngiAdwgC","SuperHeavy","2011-01-01","https://i.scdn.co/image/ab67616d0000b273176c3e79f539b32c8720f3b8","1","1","305893","","false","0","GBUM71106866","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T21:22:57Z"
"spotify:track:3fq9Zf6qdIAzgTMuHmtCJY","Unbelievable","spotify:artist:3D2hT0opR7rrYIngiAdwgC","SuperHeavy","spotify:album:5R67n48GXp5sufciIS8lQj","SuperHeavy (Deluxe Edition)","spotify:artist:3D2hT0opR7rrYIngiAdwgC","SuperHeavy","2011-01-01","https://i.scdn.co/image/ab67616d0000b273176c3e79f539b32c8720f3b8","1","2","230773","","false","0","GBUM71106867","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T21:22:57Z"
"spotify:track:0Zea6A5GNkSYediDfTd3bo","Miracle Worker","spotify:artist:3D2hT0opR7rrYIngiAdwgC","SuperHeavy","spotify:album:5R67n48GXp5sufciIS8lQj","SuperHeavy (Deluxe Edition)","spotify:artist:3D2hT0opR7rrYIngiAdwgC","SuperHeavy","2011-01-01","https://i.scdn.co/image/ab67616d0000b273176c3e79f539b32c8720f3b8","1","3","249466","","false","0","GBUM71105464","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T21:22:57Z"
"spotify:track:4jzo0EcKNOi8ur067k9Rts","Energy","spotify:artist:3D2hT0opR7rrYIngiAdwgC","SuperHeavy","spotify:album:5R67n48GXp5sufciIS8lQj","SuperHeavy (Deluxe Edition)","spotify:artist:3D2hT0opR7rrYIngiAdwgC","SuperHeavy","2011-01-01","https://i.scdn.co/image/ab67616d0000b273176c3e79f539b32c8720f3b8","1","4","222173","","false","0","GBUM71106868","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T21:22:57Z"
"spotify:track:3UZaK1wMrgWJWGHiNqAxIl","Satyameva Jayathe","spotify:artist:3D2hT0opR7rrYIngiAdwgC","SuperHeavy","spotify:album:5R67n48GXp5sufciIS8lQj","SuperHeavy (Deluxe Edition)","spotify:artist:3D2hT0opR7rrYIngiAdwgC","SuperHeavy","2011-01-01","https://i.scdn.co/image/ab67616d0000b273176c3e79f539b32c8720f3b8","1","5","247853","","false","0","GBUM71106402","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T21:22:57Z"
"spotify:track:1yFOWayWwo4PWenRPqKZJw","One Day One Night","spotify:artist:3D2hT0opR7rrYIngiAdwgC","SuperHeavy","spotify:album:5R67n48GXp5sufciIS8lQj","SuperHeavy (Deluxe Edition)","spotify:artist:3D2hT0opR7rrYIngiAdwgC","SuperHeavy","2011-01-01","https://i.scdn.co/image/ab67616d0000b273176c3e79f539b32c8720f3b8","1","6","277053","","false","0","GBUM71106869","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T21:22:57Z"
"spotify:track:28jaqmkrf4J5tDEbXjat20","Never Gonna Change","spotify:artist:3D2hT0opR7rrYIngiAdwgC","SuperHeavy","spotify:album:5R67n48GXp5sufciIS8lQj","SuperHeavy (Deluxe Edition)","spotify:artist:3D2hT0opR7rrYIngiAdwgC","SuperHeavy","2011-01-01","https://i.scdn.co/image/ab67616d0000b273176c3e79f539b32c8720f3b8","1","7","263826","","false","0","GBUM71106870","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T21:22:57Z"
"spotify:track:6IXLMGC8ntPrAQICGjW798","Beautiful People","spotify:artist:3D2hT0opR7rrYIngiAdwgC","SuperHeavy","spotify:album:5R67n48GXp5sufciIS8lQj","SuperHeavy (Deluxe Edition)","spotify:artist:3D2hT0opR7rrYIngiAdwgC","SuperHeavy","2011-01-01","https://i.scdn.co/image/ab67616d0000b273176c3e79f539b32c8720f3b8","1","8","300106","","false","0","GBUM71106808","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T21:22:57Z"
"spotify:track:3RddVnfreBWoCVS7WSWzjx","Rock Me Gently","spotify:artist:3D2hT0opR7rrYIngiAdwgC","SuperHeavy","spotify:album:5R67n48GXp5sufciIS8lQj","SuperHeavy (Deluxe Edition)","spotify:artist:3D2hT0opR7rrYIngiAdwgC","SuperHeavy","2011-01-01","https://i.scdn.co/image/ab67616d0000b273176c3e79f539b32c8720f3b8","1","9","360400","","false","0","GBUM71106822","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T21:22:57Z"
"spotify:track:6eHrBmW2PIFZkSDtUqGulQ","I Can't Take It No More","spotify:artist:3D2hT0opR7rrYIngiAdwgC","SuperHeavy","spotify:album:5R67n48GXp5sufciIS8lQj","SuperHeavy (Deluxe Edition)","spotify:artist:3D2hT0opR7rrYIngiAdwgC","SuperHeavy","2011-01-01","https://i.scdn.co/image/ab67616d0000b273176c3e79f539b32c8720f3b8","1","10","201013","","false","0","GBUM71106864","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T21:22:57Z"
