"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1Ytz6zegDXfIg9Ijg1dG0y","Let Me Drown","spotify:artist:5xUf6j4upBrXZPg6AI4MRK","Soundgarden","spotify:album:4K8bxkPDa5HENw0TK7WxJh","Superunknown (20th Anniversary)","spotify:artist:5xUf6j4upBrXZPg6AI4MRK","Soundgarden","1994-03-09","https://i.scdn.co/image/ab67616d0000b2735124ed45a94033830b320500","1","1","232546","","false","45","USAM19400001","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T21:15:46Z"
"spotify:track:0rCas1F0z7t29UYlcuB81J","My Wave","spotify:artist:5xUf6j4upBrXZPg6AI4MRK","Soundgarden","spotify:album:4K8bxkPDa5HENw0TK7WxJh","Superunknown (20th Anniversary)","spotify:artist:5xUf6j4upBrXZPg6AI4MRK","Soundgarden","1994-03-09","https://i.scdn.co/image/ab67616d0000b2735124ed45a94033830b320500","1","2","312613","","false","45","USAM19400002","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T21:15:46Z"
"spotify:track:21HWc9gFZKNdkGzGqHLq3A","Fell On Black Days","spotify:artist:5xUf6j4upBrXZPg6AI4MRK","Soundgarden","spotify:album:4K8bxkPDa5HENw0TK7WxJh","Superunknown (20th Anniversary)","spotify:artist:5xUf6j4upBrXZPg6AI4MRK","Soundgarden","1994-03-09","https://i.scdn.co/image/ab67616d0000b2735124ed45a94033830b320500","1","3","283026","","false","52","USAM19400003","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T21:15:46Z"
"spotify:track:6fm48akcmVSEjyEHsGqftD","Mailman","spotify:artist:5xUf6j4upBrXZPg6AI4MRK","Soundgarden","spotify:album:4K8bxkPDa5HENw0TK7WxJh","Superunknown (20th Anniversary)","spotify:artist:5xUf6j4upBrXZPg6AI4MRK","Soundgarden","1994-03-09","https://i.scdn.co/image/ab67616d0000b2735124ed45a94033830b320500","1","4","266360","","false","43","USAM19400004","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T21:15:46Z"
"spotify:track:7GwrtGLmY02SKSil0kH0rH","Superunknown","spotify:artist:5xUf6j4upBrXZPg6AI4MRK","Soundgarden","spotify:album:4K8bxkPDa5HENw0TK7WxJh","Superunknown (20th Anniversary)","spotify:artist:5xUf6j4upBrXZPg6AI4MRK","Soundgarden","1994-03-09","https://i.scdn.co/image/ab67616d0000b2735124ed45a94033830b320500","1","5","306920","","false","51","USAM19400005","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T21:15:46Z"
"spotify:track:4nuSRdNGKLfbwXDaqexTd2","Head Down","spotify:artist:5xUf6j4upBrXZPg6AI4MRK","Soundgarden","spotify:album:4K8bxkPDa5HENw0TK7WxJh","Superunknown (20th Anniversary)","spotify:artist:5xUf6j4upBrXZPg6AI4MRK","Soundgarden","1994-03-09","https://i.scdn.co/image/ab67616d0000b2735124ed45a94033830b320500","1","6","369773","","false","46","USAM19400006","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T21:15:46Z"
"spotify:track:4xdHI4eFNst0vTZuuKrWjr","Black Hole Sun","spotify:artist:5xUf6j4upBrXZPg6AI4MRK","Soundgarden","spotify:album:4K8bxkPDa5HENw0TK7WxJh","Superunknown (20th Anniversary)","spotify:artist:5xUf6j4upBrXZPg6AI4MRK","Soundgarden","1994-03-09","https://i.scdn.co/image/ab67616d0000b2735124ed45a94033830b320500","1","7","318586","","false","58","USAM19400007","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T21:15:46Z"
"spotify:track:1jMaB19DiVR8OihLSuYFOt","Spoonman","spotify:artist:5xUf6j4upBrXZPg6AI4MRK","Soundgarden","spotify:album:4K8bxkPDa5HENw0TK7WxJh","Superunknown (20th Anniversary)","spotify:artist:5xUf6j4upBrXZPg6AI4MRK","Soundgarden","1994-03-09","https://i.scdn.co/image/ab67616d0000b2735124ed45a94033830b320500","1","8","246920","","false","72","USAM19400008","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T21:15:46Z"
"spotify:track:6WpTIA7S7XIVAkF7pXSm0Y","Limo Wreck","spotify:artist:5xUf6j4upBrXZPg6AI4MRK","Soundgarden","spotify:album:4K8bxkPDa5HENw0TK7WxJh","Superunknown (20th Anniversary)","spotify:artist:5xUf6j4upBrXZPg6AI4MRK","Soundgarden","1994-03-09","https://i.scdn.co/image/ab67616d0000b2735124ed45a94033830b320500","1","9","347986","","false","42","USAM19400009","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T21:15:46Z"
"spotify:track:4YugO7rO57FSmvj4UkyTXx","The Day I Tried To Live","spotify:artist:5xUf6j4upBrXZPg6AI4MRK","Soundgarden","spotify:album:4K8bxkPDa5HENw0TK7WxJh","Superunknown (20th Anniversary)","spotify:artist:5xUf6j4upBrXZPg6AI4MRK","Soundgarden","1994-03-09","https://i.scdn.co/image/ab67616d0000b2735124ed45a94033830b320500","1","10","320106","","false","48","USAM19400010","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T21:15:46Z"
