"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1dwC0I32wb53mXCECR4ZY7","Zero Day","spotify:artist:60mqEPQp1eNjuwt1Z4yL4J","Nothing","spotify:album:4LSHNiX2fM8eKv4TyosARZ","Dance on the Blacktop","spotify:artist:60mqEPQp1eNjuwt1Z4yL4J","Nothing","2018-08-24","https://i.scdn.co/image/ab67616d0000b273b53d0002e80caa23ba813a41","1","1","237133","https://p.scdn.co/mp3-preview/79bdf12f11ef5bd2b61dd9dca3720a60b6620575?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","US2641839401","spotify:user:11100324499","2022-07-04T07:58:39Z"
"spotify:track:3HfEgAaf0koxBpBB8NvGda","When You Sleep","spotify:artist:3G3Gdm0ZRAOxLrbyjfhii5","my bloody valentine","spotify:album:3GH4IiI6jQAIvnHVdb5FB6","Loveless","spotify:artist:3G3Gdm0ZRAOxLrbyjfhii5","my bloody valentine","1991-11-04","https://i.scdn.co/image/ab67616d0000b2730ede770070357575bc050511","1","5","251933","https://p.scdn.co/mp3-preview/7e616c988ab95adfed9db7a0cf3fa234aa98e8c0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","USWB10101907","spotify:user:11100324499","2022-07-04T08:00:10Z"
"spotify:track:7qHhvbujqpoH4W1LlvbMaJ","Seedless Star","spotify:artist:2lP34R0Q7edlojuJrUMPnj","Cloakroom","spotify:album:4IVYDbl6kEWudawwIDQoLh","Time Well","spotify:artist:2lP34R0Q7edlojuJrUMPnj","Cloakroom","2017-08-18","https://i.scdn.co/image/ab67616d0000b27323fe128cba500a1ad9753599","1","4","457373","https://p.scdn.co/mp3-preview/5adddff7cd5b0e433b7a559295526a32b00fab4a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","US2641735604","spotify:user:11100324499","2022-07-04T08:00:36Z"
"spotify:track:72LCw6fk4YZL5cyoG1TOzU","A.C.D. (Abcessive Compulsive Disorder)","spotify:artist:60mqEPQp1eNjuwt1Z4yL4J","Nothing","spotify:album:2655MXRi7PSJTtYqdGKeuH","Tired of Tomorrow (Deluxe Version)","spotify:artist:60mqEPQp1eNjuwt1Z4yL4J","Nothing","2016-05-13","https://i.scdn.co/image/ab67616d0000b2736a23469244bfbf500a358ab1","1","4","219020","https://p.scdn.co/mp3-preview/683959a39a945b2a834eafc20951cf744597eac0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","US2641634304","spotify:user:11100324499","2022-07-04T08:00:53Z"
"spotify:track:6FK0mNCgPa8XxeJ7CchOfW","Duelist","spotify:artist:7fS59zKuYPKhYlTGdg2PyM","True Widow","spotify:album:0jZGvTQzUpaJxdLZZEiKey","True Widow","spotify:artist:7fS59zKuYPKhYlTGdg2PyM","True Widow","2008-11-11","https://i.scdn.co/image/ab67616d0000b273837ed85e7172578203094eae","1","2","276373","https://p.scdn.co/mp3-preview/8b885f95df3338d96a3c364a9969bc5b106fb5be?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","USAEA0810027","spotify:user:11100324499","2022-07-04T08:01:09Z"
"spotify:track:1DCmcz9n9uGHLJofhITGwi","Homesick","spotify:artist:1binm59tmJzoZLvLETVYBP","Jesu","spotify:album:2QWfbyK6NZ53V4i9sgPjIo","Every Day I Get Closer to the Light from Which I Came","spotify:artist:1binm59tmJzoZLvLETVYBP","Jesu","2017-09-27","https://i.scdn.co/image/ab67616d0000b27363831ae375cc1c406bdb92ec","1","1","358008","https://p.scdn.co/mp3-preview/b349b57b1ce4a51622a9cc80bcbbdf24eef1a626?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","QZ9JZ1784444","spotify:user:11100324499","2022-07-04T08:01:17Z"
"spotify:track:5t3S88P1tte6QyUzgMEQd9","Arrows","spotify:artist:13rS3lCWshTVt6HsCNjvBI","Holy Fawn","spotify:album:3L9kfqui54S1V2MvOHKmJC","Death Spells","spotify:artist:13rS3lCWshTVt6HsCNjvBI","Holy Fawn","2018-09-14","https://i.scdn.co/image/ab67616d0000b273e54dae908464ccf3d1a89027","1","2","400211","https://p.scdn.co/mp3-preview/002535dcef47a1d8bf305e671b47970c7fa46da0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","QZDA81847254","spotify:user:11100324499","2022-07-04T08:01:38Z"
"spotify:track:2j4DreSqsCMEjLmUvYePGZ","F. W. T. S: L. T. M.","spotify:artist:7fS59zKuYPKhYlTGdg2PyM","True Widow","spotify:album:1PlaWCaVq4KwFx7y7LkI5K","AVVOLGERE","spotify:artist:7fS59zKuYPKhYlTGdg2PyM","True Widow","2016-09-23","https://i.scdn.co/image/ab67616d0000b2732d371b559658c30148f8e65f","1","3","315511","https://p.scdn.co/mp3-preview/8787fc6d27f33ffa8ef87eea06c96118a3603507?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","US2641633603","spotify:user:11100324499","2022-07-04T08:01:51Z"
"spotify:track:0IAF0KIM3Cnp7WhOVJfFuS","Cosmonauts","spotify:artist:1GDjwZ2zwNZizuNJPmH3mE","Quicksand","spotify:album:0kqHdaOSkbZePBPZPvIcqW","Interiors","spotify:artist:1GDjwZ2zwNZizuNJPmH3mE","Quicksand","2017-11-10","https://i.scdn.co/image/ab67616d0000b273eae77508004c25851899da0c","1","5","248981","https://p.scdn.co/mp3-preview/1e0abf02c17efe7865c9a8b6557635f124f51600?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","USEP41729005","spotify:user:11100324499","2022-07-04T08:01:57Z"
"spotify:track:1PiA3Z5eT98iz6my4yVpn4","Stick","spotify:artist:2Iy7tZpp5qQudlg5cbcgH8","Ovlov","spotify:album:5NBOm2pyKCOqt8iYwgMYnH","TRU","spotify:artist:2Iy7tZpp5qQudlg5cbcgH8","Ovlov","2018-07-20","https://i.scdn.co/image/ab67616d0000b27389f54fbebded90918ac211aa","1","5","202528","","false","20","QMCE71302014","spotify:user:11100324499","2022-07-04T08:02:07Z"
