"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:209SbubR5uKaVzj5SeN42w","So Much Trouble In The World","spotify:artist:2QsynagSdAqZj3U9HgDzjD","Bob Marley & The Wailers","spotify:album:09Df7mUZBQwbDYgvE0t30r","Survival","spotify:artist:2QsynagSdAqZj3U9HgDzjD","Bob Marley & The Wailers","1979","https://i.scdn.co/image/ab67616d0000b2735c15cf8bfc892d27aecf2f6d","1","1","240333","","false","67","USIR27900001","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-29T12:28:37Z"
"spotify:track:5ApfJDLibIoWL0mRZ5uOKu","Zimbabwe","spotify:artist:2QsynagSdAqZj3U9HgDzjD","Bob Marley & The Wailers","spotify:album:09Df7mUZBQwbDYgvE0t30r","Survival","spotify:artist:2QsynagSdAqZj3U9HgDzjD","Bob Marley & The Wailers","1979","https://i.scdn.co/image/ab67616d0000b2735c15cf8bfc892d27aecf2f6d","1","2","231266","","false","63","USIR27900002","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-29T12:28:37Z"
"spotify:track:0uMvm0efKsaADso8NO7pk1","Top Rankin'","spotify:artist:2QsynagSdAqZj3U9HgDzjD","Bob Marley & The Wailers","spotify:album:09Df7mUZBQwbDYgvE0t30r","Survival","spotify:artist:2QsynagSdAqZj3U9HgDzjD","Bob Marley & The Wailers","1979","https://i.scdn.co/image/ab67616d0000b2735c15cf8bfc892d27aecf2f6d","1","3","191253","","false","51","USIR27900003","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-29T12:28:37Z"
"spotify:track:6xbtDXk8utIS8rOWD0X9XA","Babylon System","spotify:artist:2QsynagSdAqZj3U9HgDzjD","Bob Marley & The Wailers","spotify:album:09Df7mUZBQwbDYgvE0t30r","Survival","spotify:artist:2QsynagSdAqZj3U9HgDzjD","Bob Marley & The Wailers","1979","https://i.scdn.co/image/ab67616d0000b2735c15cf8bfc892d27aecf2f6d","1","4","261839","","false","57","USIR27900004","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-29T12:28:37Z"
"spotify:track:7rCOQjHqD2ArkKvoemDG54","Survival","spotify:artist:2QsynagSdAqZj3U9HgDzjD","Bob Marley & The Wailers","spotify:album:09Df7mUZBQwbDYgvE0t30r","Survival","spotify:artist:2QsynagSdAqZj3U9HgDzjD","Bob Marley & The Wailers","1979","https://i.scdn.co/image/ab67616d0000b2735c15cf8bfc892d27aecf2f6d","1","5","234240","","false","49","USIR27900005","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-29T12:28:37Z"
"spotify:track:2qmHhaOmlcKDeGfipGhF1j","Africa Unite","spotify:artist:2QsynagSdAqZj3U9HgDzjD","Bob Marley & The Wailers","spotify:album:09Df7mUZBQwbDYgvE0t30r","Survival","spotify:artist:2QsynagSdAqZj3U9HgDzjD","Bob Marley & The Wailers","1979","https://i.scdn.co/image/ab67616d0000b2735c15cf8bfc892d27aecf2f6d","1","6","175626","","false","66","USIR27900006","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-29T12:28:37Z"
"spotify:track:3Ui4BMHapr00Iul1kB7lHC","One Drop","spotify:artist:2QsynagSdAqZj3U9HgDzjD","Bob Marley & The Wailers","spotify:album:09Df7mUZBQwbDYgvE0t30r","Survival","spotify:artist:2QsynagSdAqZj3U9HgDzjD","Bob Marley & The Wailers","1979","https://i.scdn.co/image/ab67616d0000b2735c15cf8bfc892d27aecf2f6d","1","7","231773","","false","68","USIR27900007","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-29T12:28:37Z"
"spotify:track:5cTsXX5qwa6zmG80OCz4hR","Ride Natty Ride","spotify:artist:2QsynagSdAqZj3U9HgDzjD","Bob Marley & The Wailers","spotify:album:09Df7mUZBQwbDYgvE0t30r","Survival","spotify:artist:2QsynagSdAqZj3U9HgDzjD","Bob Marley & The Wailers","1979","https://i.scdn.co/image/ab67616d0000b2735c15cf8bfc892d27aecf2f6d","1","8","231466","","false","63","USIR27900008","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-29T12:28:37Z"
"spotify:track:6kAye2WmX9RVnheY3QmF54","Ambush In The Night","spotify:artist:2QsynagSdAqZj3U9HgDzjD","Bob Marley & The Wailers","spotify:album:09Df7mUZBQwbDYgvE0t30r","Survival","spotify:artist:2QsynagSdAqZj3U9HgDzjD","Bob Marley & The Wailers","1979","https://i.scdn.co/image/ab67616d0000b2735c15cf8bfc892d27aecf2f6d","1","9","192680","","false","54","USIR27900009","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-29T12:28:37Z"
"spotify:track:6xde1uNyEiLOs545PjATUJ","Wake Up And Live","spotify:artist:2QsynagSdAqZj3U9HgDzjD","Bob Marley & The Wailers","spotify:album:09Df7mUZBQwbDYgvE0t30r","Survival","spotify:artist:2QsynagSdAqZj3U9HgDzjD","Bob Marley & The Wailers","1979","https://i.scdn.co/image/ab67616d0000b2735c15cf8bfc892d27aecf2f6d","1","10","298666","","false","50","USIR27900010","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-29T12:28:37Z"
