"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:7fvVrkpmN2AvE0gzXcuiF5","A Storm That Took Everything","spotify:artist:4CvTDPKA6W06DRfBnZKrau","Thom Yorke","spotify:album:2UehMLybYgLuuNHRNJpbCB","Suspiria (Music for the Luca Guadagnino Film)","spotify:artist:4CvTDPKA6W06DRfBnZKrau","Thom Yorke","2018-10-26","https://i.scdn.co/image/ab67616d0000b2732cb0db99d7cf0db7c1546e5c","1","1","107520","https://p.scdn.co/mp3-preview/7ff709ce81626a9ee14857a7ff9e52871c70b941?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","GB4YG1800145","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T04:13:37Z"
"spotify:track:1WHXBnLKcT9UQAWbZQxGvX","The Hooks","spotify:artist:4CvTDPKA6W06DRfBnZKrau","Thom Yorke","spotify:album:2UehMLybYgLuuNHRNJpbCB","Suspiria (Music for the Luca Guadagnino Film)","spotify:artist:4CvTDPKA6W06DRfBnZKrau","Thom Yorke","2018-10-26","https://i.scdn.co/image/ab67616d0000b2732cb0db99d7cf0db7c1546e5c","1","2","198250","https://p.scdn.co/mp3-preview/592c45cc11212f58f175b66e028f812cc01b1e4c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","GB4YG1800146","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T04:13:37Z"
"spotify:track:4Y1igB1GDncJvt7ezbV3cW","Suspirium","spotify:artist:4CvTDPKA6W06DRfBnZKrau","Thom Yorke","spotify:album:2UehMLybYgLuuNHRNJpbCB","Suspiria (Music for the Luca Guadagnino Film)","spotify:artist:4CvTDPKA6W06DRfBnZKrau","Thom Yorke","2018-10-26","https://i.scdn.co/image/ab67616d0000b2732cb0db99d7cf0db7c1546e5c","1","3","201768","https://p.scdn.co/mp3-preview/406b813cf405bbf568eb57f47b7ac981fcaf8585?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","GB4YG1800147","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T04:13:37Z"
"spotify:track:5XtKEFUrFrOwQN6jIgS5I6","Belongings Thrown in a River","spotify:artist:4CvTDPKA6W06DRfBnZKrau","Thom Yorke","spotify:album:2UehMLybYgLuuNHRNJpbCB","Suspiria (Music for the Luca Guadagnino Film)","spotify:artist:4CvTDPKA6W06DRfBnZKrau","Thom Yorke","2018-10-26","https://i.scdn.co/image/ab67616d0000b2732cb0db99d7cf0db7c1546e5c","1","4","87775","https://p.scdn.co/mp3-preview/6c374154846fbe994e0ca180a319615efc0c984a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","GB4YG1800148","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T04:13:37Z"
"spotify:track:3nxbZvK0xjhnuBVtwmF3AK","Has Ended","spotify:artist:4CvTDPKA6W06DRfBnZKrau","Thom Yorke","spotify:album:2UehMLybYgLuuNHRNJpbCB","Suspiria (Music for the Luca Guadagnino Film)","spotify:artist:4CvTDPKA6W06DRfBnZKrau","Thom Yorke","2018-10-26","https://i.scdn.co/image/ab67616d0000b2732cb0db99d7cf0db7c1546e5c","1","5","296430","https://p.scdn.co/mp3-preview/32322de7a37ba37c52fda6dfd2007b52eaa7f515?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","GB4YG1800149","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T04:13:37Z"
"spotify:track:2vbpB9ZQWYZi2k6BqcwSGT","Klemperer Walks","spotify:artist:4CvTDPKA6W06DRfBnZKrau","Thom Yorke","spotify:album:2UehMLybYgLuuNHRNJpbCB","Suspiria (Music for the Luca Guadagnino Film)","spotify:artist:4CvTDPKA6W06DRfBnZKrau","Thom Yorke","2018-10-26","https://i.scdn.co/image/ab67616d0000b2732cb0db99d7cf0db7c1546e5c","1","6","98879","https://p.scdn.co/mp3-preview/e8b03cc5ffa6373720e231a74bddb95059c0ffc3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","GB4YG1800150","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T04:13:37Z"
"spotify:track:1NSudIh88CQ6ZSUCNEx6jV","Open Again","spotify:artist:4CvTDPKA6W06DRfBnZKrau","Thom Yorke","spotify:album:2UehMLybYgLuuNHRNJpbCB","Suspiria (Music for the Luca Guadagnino Film)","spotify:artist:4CvTDPKA6W06DRfBnZKrau","Thom Yorke","2018-10-26","https://i.scdn.co/image/ab67616d0000b2732cb0db99d7cf0db7c1546e5c","1","7","169969","https://p.scdn.co/mp3-preview/6c633f29dc557db3c360be48bcdd35e00ff92ae9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","GB4YG1800151","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T04:13:37Z"
"spotify:track:2VDMM4kDx6iqyFWesPCFgF","Sabbath Incantation","spotify:artist:4CvTDPKA6W06DRfBnZKrau","Thom Yorke","spotify:album:2UehMLybYgLuuNHRNJpbCB","Suspiria (Music for the Luca Guadagnino Film)","spotify:artist:4CvTDPKA6W06DRfBnZKrau","Thom Yorke","2018-10-26","https://i.scdn.co/image/ab67616d0000b2732cb0db99d7cf0db7c1546e5c","1","8","186997","https://p.scdn.co/mp3-preview/fdb85cb4060f2d371f5f693147c1f704a6669d24?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","GB4YG1800152","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T04:13:37Z"
"spotify:track:5kHOwfJ56EzrYyWIAnJ3DC","The Inevitable Pull","spotify:artist:4CvTDPKA6W06DRfBnZKrau","Thom Yorke","spotify:album:2UehMLybYgLuuNHRNJpbCB","Suspiria (Music for the Luca Guadagnino Film)","spotify:artist:4CvTDPKA6W06DRfBnZKrau","Thom Yorke","2018-10-26","https://i.scdn.co/image/ab67616d0000b2732cb0db99d7cf0db7c1546e5c","1","9","96666","https://p.scdn.co/mp3-preview/9553680c611aa5fe2bbbe59707325daad879f82d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","GB4YG1800153","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T04:13:37Z"
"spotify:track:0XwM63zcqaafJcCJdgW4a4","Olga's Destruction - Volk tape","spotify:artist:4CvTDPKA6W06DRfBnZKrau","Thom Yorke","spotify:album:2UehMLybYgLuuNHRNJpbCB","Suspiria (Music for the Luca Guadagnino Film)","spotify:artist:4CvTDPKA6W06DRfBnZKrau","Thom Yorke","2018-10-26","https://i.scdn.co/image/ab67616d0000b2732cb0db99d7cf0db7c1546e5c","1","10","178399","https://p.scdn.co/mp3-preview/6936839053d97cd38f77432fcd7df6c2ed4e2ce7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","GB4YG1800154","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T04:13:37Z"
