"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6gAMMn5ulSbOKRhOidvXEg","Passacaglia - Bathroom Mix","spotify:artist:4MaF9QDZ6zGTLM83lwyDRU","Zoë Blade","spotify:album:1L3etmyiATx06A21LzsSCs","Switched-On Marx","spotify:artist:4MaF9QDZ6zGTLM83lwyDRU","Zoë Blade","2019-10-10","https://i.scdn.co/image/ab67616d0000b2737b16a986492d0407a794559b","1","1","23376","https://p.scdn.co/mp3-preview/7153589ae0720afe5ed1396f1e0c05bfec0aef5e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","QZHN41922669","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-25T17:11:14Z"
"spotify:track:5k7EA5mR2uIj8dF3MsSGZ3","Passacaglia","spotify:artist:4MaF9QDZ6zGTLM83lwyDRU","Zoë Blade","spotify:album:1L3etmyiATx06A21LzsSCs","Switched-On Marx","spotify:artist:4MaF9QDZ6zGTLM83lwyDRU","Zoë Blade","2019-10-10","https://i.scdn.co/image/ab67616d0000b2737b16a986492d0407a794559b","1","2","53499","https://p.scdn.co/mp3-preview/ad68ec69f6d438a2cf64cceccd0f3250158a3230?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","QZHN41922670","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-25T17:11:14Z"
"spotify:track:1AMIrCaXAPqE7osiaY7EiB","Prelude of the Sugar Plum Fairy / Dance of the Sugar Plum Fairy","spotify:artist:4MaF9QDZ6zGTLM83lwyDRU","Zoë Blade","spotify:album:1L3etmyiATx06A21LzsSCs","Switched-On Marx","spotify:artist:4MaF9QDZ6zGTLM83lwyDRU","Zoë Blade","2019-10-10","https://i.scdn.co/image/ab67616d0000b2737b16a986492d0407a794559b","1","3","81050","https://p.scdn.co/mp3-preview/8551dd7b7b337d30d8ec797a4863e2f06a960a43?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","QZHN41922671","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-25T17:11:14Z"
"spotify:track:5LJmsfxm1Tp63ReJodfzJd","Winter","spotify:artist:4MaF9QDZ6zGTLM83lwyDRU","Zoë Blade","spotify:album:1L3etmyiATx06A21LzsSCs","Switched-On Marx","spotify:artist:4MaF9QDZ6zGTLM83lwyDRU","Zoë Blade","2019-10-10","https://i.scdn.co/image/ab67616d0000b2737b16a986492d0407a794559b","1","4","46020","https://p.scdn.co/mp3-preview/c21342997c7c336d1d8483fa654457d30f3429f2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","QZHN41922672","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-25T17:11:14Z"
"spotify:track:2HEM0zFTeNDJrdAnF8Y9yg","Cosy","spotify:artist:4MaF9QDZ6zGTLM83lwyDRU","Zoë Blade","spotify:album:1L3etmyiATx06A21LzsSCs","Switched-On Marx","spotify:artist:4MaF9QDZ6zGTLM83lwyDRU","Zoë Blade","2019-10-10","https://i.scdn.co/image/ab67616d0000b2737b16a986492d0407a794559b","1","5","205200","https://p.scdn.co/mp3-preview/28dc63b90580da67516b9bae2dd03639d5efa877?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","QZHN41922673","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-25T17:11:14Z"
"spotify:track:0G5veoEoLcZVNLrRvuTqR9","Solid Goldberg","spotify:artist:4MaF9QDZ6zGTLM83lwyDRU","Zoë Blade","spotify:album:1L3etmyiATx06A21LzsSCs","Switched-On Marx","spotify:artist:4MaF9QDZ6zGTLM83lwyDRU","Zoë Blade","2019-10-10","https://i.scdn.co/image/ab67616d0000b2737b16a986492d0407a794559b","1","6","85998","https://p.scdn.co/mp3-preview/0aa116f504b95f2e137863ebe525f7e7f2cee358?cid=9950ac751e34487dbbe027c4fd7f8e99","false","6","QZHN41922674","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-25T17:11:14Z"
"spotify:track:3PZIaaNKdaqz8etDc53OSh","Sarabande","spotify:artist:4MaF9QDZ6zGTLM83lwyDRU","Zoë Blade","spotify:album:1L3etmyiATx06A21LzsSCs","Switched-On Marx","spotify:artist:4MaF9QDZ6zGTLM83lwyDRU","Zoë Blade","2019-10-10","https://i.scdn.co/image/ab67616d0000b2737b16a986492d0407a794559b","1","7","193902","https://p.scdn.co/mp3-preview/af9f7dc28ccc45dcd3e3e82be619f8be584771fe?cid=9950ac751e34487dbbe027c4fd7f8e99","false","6","QZHN41922675","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-25T17:11:14Z"
"spotify:track:5WZQeFCks0b39VxkOmPzi1","Late Knight - Cold Mix","spotify:artist:4MaF9QDZ6zGTLM83lwyDRU","Zoë Blade","spotify:album:1L3etmyiATx06A21LzsSCs","Switched-On Marx","spotify:artist:4MaF9QDZ6zGTLM83lwyDRU","Zoë Blade","2019-10-10","https://i.scdn.co/image/ab67616d0000b2737b16a986492d0407a794559b","1","8","176533","https://p.scdn.co/mp3-preview/bc2821bb1c71338ba602a3c0b4d9529b39c0ca8d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","QZHN41922676","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-25T17:11:14Z"
"spotify:track:7pFDt2HEQJXshH25Oa6HQg","Tristan","spotify:artist:4MaF9QDZ6zGTLM83lwyDRU","Zoë Blade","spotify:album:1L3etmyiATx06A21LzsSCs","Switched-On Marx","spotify:artist:4MaF9QDZ6zGTLM83lwyDRU","Zoë Blade","2019-10-10","https://i.scdn.co/image/ab67616d0000b2737b16a986492d0407a794559b","1","9","103433","https://p.scdn.co/mp3-preview/8b698c4f5993b743da488cafac8bb995f275a3d0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","QZHN41922677","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-25T17:11:14Z"
"spotify:track:3HC2uqhcyCvd56mXNOzMj9","Knightlife - Soft Mix","spotify:artist:4MaF9QDZ6zGTLM83lwyDRU","Zoë Blade","spotify:album:1L3etmyiATx06A21LzsSCs","Switched-On Marx","spotify:artist:4MaF9QDZ6zGTLM83lwyDRU","Zoë Blade","2019-10-10","https://i.scdn.co/image/ab67616d0000b2737b16a986492d0407a794559b","1","10","76317","https://p.scdn.co/mp3-preview/40d8d18a8c2848a258169b81b0fa59b1ddeaf5ee?cid=9950ac751e34487dbbe027c4fd7f8e99","false","4","QZHN41922678","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-25T17:11:14Z"
