"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5voOfQt5RnNi3TL8MNLFJg","SUPERLAUT","spotify:artist:5mPOOZTRDsRf0iIXixzfgn","Yung Kafa & Kücük Efendi","spotify:album:5czc8lSuIZ62FLjPlF5vKH","CHEF","spotify:artist:5mPOOZTRDsRf0iIXixzfgn","Yung Kafa & Kücük Efendi","2023-03-02","https://i.scdn.co/image/ab67616d0000b273a507a9e095b142c02996c895","1","11","193884","","false","33","DECE72202245","spotify:user:4ikc1y0h0ajjjzaf70xkuk8ev","2023-03-25T04:41:08Z"
"spotify:track:3s1Kme4gXK0DDelhpBD8qj","WOZU","spotify:artist:5mPOOZTRDsRf0iIXixzfgn","Yung Kafa & Kücük Efendi","spotify:album:5czc8lSuIZ62FLjPlF5vKH","CHEF","spotify:artist:5mPOOZTRDsRf0iIXixzfgn","Yung Kafa & Kücük Efendi","2023-03-02","https://i.scdn.co/image/ab67616d0000b273a507a9e095b142c02996c895","1","7","224000","","false","40","DECE72203175","spotify:user:4ikc1y0h0ajjjzaf70xkuk8ev","2023-03-25T04:41:08Z"
"spotify:track:4pK1MBS7gUuEekgbkvWCgS","PRÄSENZ","spotify:artist:5mPOOZTRDsRf0iIXixzfgn","Yung Kafa & Kücük Efendi","spotify:album:5czc8lSuIZ62FLjPlF5vKH","CHEF","spotify:artist:5mPOOZTRDsRf0iIXixzfgn","Yung Kafa & Kücük Efendi","2023-03-02","https://i.scdn.co/image/ab67616d0000b273a507a9e095b142c02996c895","1","1","228500","","false","37","DECE72203170","spotify:user:4ikc1y0h0ajjjzaf70xkuk8ev","2023-03-25T04:41:08Z"
"spotify:track:7fWH3wOeolvMlizsu7Zn35","FRECH","spotify:artist:5mPOOZTRDsRf0iIXixzfgn","Yung Kafa & Kücük Efendi","spotify:album:5czc8lSuIZ62FLjPlF5vKH","CHEF","spotify:artist:5mPOOZTRDsRf0iIXixzfgn","Yung Kafa & Kücük Efendi","2023-03-02","https://i.scdn.co/image/ab67616d0000b273a507a9e095b142c02996c895","1","2","172881","","false","43","DECE72203171","spotify:user:4ikc1y0h0ajjjzaf70xkuk8ev","2023-03-25T04:41:08Z"
"spotify:track:3w1R21SLSI3vaJhulezLpu","SONNENUNTERGANG PANORAMA","spotify:artist:5mPOOZTRDsRf0iIXixzfgn","Yung Kafa & Kücük Efendi","spotify:album:5czc8lSuIZ62FLjPlF5vKH","CHEF","spotify:artist:5mPOOZTRDsRf0iIXixzfgn","Yung Kafa & Kücük Efendi","2023-03-02","https://i.scdn.co/image/ab67616d0000b273a507a9e095b142c02996c895","1","3","148717","","false","38","DECE72203172","spotify:user:4ikc1y0h0ajjjzaf70xkuk8ev","2023-03-25T04:41:08Z"
"spotify:track:396duKU7XosPTJTVGeSIXh","DIDDY","spotify:artist:5mPOOZTRDsRf0iIXixzfgn","Yung Kafa & Kücük Efendi","spotify:album:5czc8lSuIZ62FLjPlF5vKH","CHEF","spotify:artist:5mPOOZTRDsRf0iIXixzfgn","Yung Kafa & Kücük Efendi","2023-03-02","https://i.scdn.co/image/ab67616d0000b273a507a9e095b142c02996c895","1","4","132373","","false","37","DECE72203173","spotify:user:4ikc1y0h0ajjjzaf70xkuk8ev","2023-03-25T04:41:08Z"
"spotify:track:5EK4EfCknQ9vu8A6Lnr99v","DENKMAL","spotify:artist:5mPOOZTRDsRf0iIXixzfgn","Yung Kafa & Kücük Efendi","spotify:album:5czc8lSuIZ62FLjPlF5vKH","CHEF","spotify:artist:5mPOOZTRDsRf0iIXixzfgn","Yung Kafa & Kücük Efendi","2023-03-02","https://i.scdn.co/image/ab67616d0000b273a507a9e095b142c02996c895","1","5","186000","","false","34","DECE72203174","spotify:user:4ikc1y0h0ajjjzaf70xkuk8ev","2023-03-25T04:41:08Z"
"spotify:track:7azlNJrpHV4mHFBLittdYb","KELLY FAM","spotify:artist:5mPOOZTRDsRf0iIXixzfgn","Yung Kafa & Kücük Efendi","spotify:album:5czc8lSuIZ62FLjPlF5vKH","CHEF","spotify:artist:5mPOOZTRDsRf0iIXixzfgn","Yung Kafa & Kücük Efendi","2023-03-02","https://i.scdn.co/image/ab67616d0000b273a507a9e095b142c02996c895","1","6","206181","","false","34","DECE72202052","spotify:user:4ikc1y0h0ajjjzaf70xkuk8ev","2023-03-25T04:41:08Z"
"spotify:track:18ivgmBXClZmNWpbdtNXLX","NIRGENDWO DAHEIM","spotify:artist:5mPOOZTRDsRf0iIXixzfgn","Yung Kafa & Kücük Efendi","spotify:album:5czc8lSuIZ62FLjPlF5vKH","CHEF","spotify:artist:5mPOOZTRDsRf0iIXixzfgn","Yung Kafa & Kücük Efendi","2023-03-02","https://i.scdn.co/image/ab67616d0000b273a507a9e095b142c02996c895","1","8","162500","","false","39","DECE72202485","spotify:user:4ikc1y0h0ajjjzaf70xkuk8ev","2023-03-25T04:41:08Z"
"spotify:track:32ZLEA51Ax2mHxe7XdzkNy","NEBEN DIR","spotify:artist:5mPOOZTRDsRf0iIXixzfgn","Yung Kafa & Kücük Efendi","spotify:album:5czc8lSuIZ62FLjPlF5vKH","CHEF","spotify:artist:5mPOOZTRDsRf0iIXixzfgn","Yung Kafa & Kücük Efendi","2023-03-02","https://i.scdn.co/image/ab67616d0000b273a507a9e095b142c02996c895","1","9","195500","","false","44","DECE72203176","spotify:user:4ikc1y0h0ajjjzaf70xkuk8ev","2023-03-25T04:41:08Z"
