"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1R28m5eWk1EV9FQ3puWrUp","Fazers","spotify:artist:77AKJs9SJqxHXbPgtJPKRa","King Geedorah","spotify:album:1mrhahrlJu5JfzgeV6Cy8t","Take Me To Your Leader","spotify:artist:77AKJs9SJqxHXbPgtJPKRa","King Geedorah","2003-06-17","https://i.scdn.co/image/ab67616d0000b273de20cdc5935096897bb687fc","1","1","197133","https://p.scdn.co/mp3-preview/1cc6dab1fffb322b6f76363839eaeb3d6e2b5fc6?cid=9950ac751e34487dbbe027c4fd7f8e99","true","64","GBCFB0300210","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-31T06:43:10Z"
"spotify:track:3dX0c7tK7bnaUMhZlr6sIC","Fastlane","spotify:artist:77AKJs9SJqxHXbPgtJPKRa","King Geedorah","spotify:album:1mrhahrlJu5JfzgeV6Cy8t","Take Me To Your Leader","spotify:artist:77AKJs9SJqxHXbPgtJPKRa","King Geedorah","2003-06-17","https://i.scdn.co/image/ab67616d0000b273de20cdc5935096897bb687fc","1","2","188813","https://p.scdn.co/mp3-preview/183e6fcc91ad8c3abbb8db417d1c5f7845763ea9?cid=9950ac751e34487dbbe027c4fd7f8e99","true","55","GBCFB0300211","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-31T06:43:10Z"
"spotify:track:6wqt7M2wbw2XWAtCqqAfmA","Krazy World","spotify:artist:77AKJs9SJqxHXbPgtJPKRa","King Geedorah","spotify:album:1mrhahrlJu5JfzgeV6Cy8t","Take Me To Your Leader","spotify:artist:77AKJs9SJqxHXbPgtJPKRa","King Geedorah","2003-06-17","https://i.scdn.co/image/ab67616d0000b273de20cdc5935096897bb687fc","1","3","283920","https://p.scdn.co/mp3-preview/40d7d4ba16c24b3eb2ea851653e9fd23852aabd9?cid=9950ac751e34487dbbe027c4fd7f8e99","true","51","GBCFB0300212","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-31T06:43:10Z"
"spotify:track:4G54Kbeaq8lJlWaBjgQJdm","The Final Hour","spotify:artist:77AKJs9SJqxHXbPgtJPKRa","King Geedorah","spotify:album:1mrhahrlJu5JfzgeV6Cy8t","Take Me To Your Leader","spotify:artist:77AKJs9SJqxHXbPgtJPKRa","King Geedorah","2003-06-17","https://i.scdn.co/image/ab67616d0000b273de20cdc5935096897bb687fc","1","4","49080","https://p.scdn.co/mp3-preview/cb57bdebd334489dd38ebd49f9aaeb2753814557?cid=9950ac751e34487dbbe027c4fd7f8e99","true","48","GBCFB0300213","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-31T06:43:10Z"
"spotify:track:4tXRVDlgAhxuEmsxuW4oiQ","Monster Zero","spotify:artist:77AKJs9SJqxHXbPgtJPKRa","King Geedorah","spotify:album:1mrhahrlJu5JfzgeV6Cy8t","Take Me To Your Leader","spotify:artist:77AKJs9SJqxHXbPgtJPKRa","King Geedorah","2003-06-17","https://i.scdn.co/image/ab67616d0000b273de20cdc5935096897bb687fc","1","5","315373","https://p.scdn.co/mp3-preview/7fc14530ac38f436055c81fbec8eaa0be29ccbec?cid=9950ac751e34487dbbe027c4fd7f8e99","true","45","GBCFB0300214","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-31T06:43:10Z"
"spotify:track:58MeeOMk6PMQxXWY9YCNPD","Next Levels","spotify:artist:77AKJs9SJqxHXbPgtJPKRa","King Geedorah","spotify:album:1mrhahrlJu5JfzgeV6Cy8t","Take Me To Your Leader","spotify:artist:77AKJs9SJqxHXbPgtJPKRa","King Geedorah","2003-06-17","https://i.scdn.co/image/ab67616d0000b273de20cdc5935096897bb687fc","1","6","229320","https://p.scdn.co/mp3-preview/83040c75d20440339893121e249b0666911006ab?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","GBCFB0300215","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-31T06:43:10Z"
"spotify:track:2GuDEBRxktCSRSLQCTtYi7","No Snakes Alive","spotify:artist:77AKJs9SJqxHXbPgtJPKRa","King Geedorah","spotify:album:1mrhahrlJu5JfzgeV6Cy8t","Take Me To Your Leader","spotify:artist:77AKJs9SJqxHXbPgtJPKRa","King Geedorah","2003-06-17","https://i.scdn.co/image/ab67616d0000b273de20cdc5935096897bb687fc","1","7","212493","https://p.scdn.co/mp3-preview/0acb7f9e1d459c329e27999792f979ca6e044c4d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","44","GBCFB0300216","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-31T06:43:10Z"
"spotify:track:4kVxStqN7DeoZje5aidAn3","Anti-Matter","spotify:artist:77AKJs9SJqxHXbPgtJPKRa, spotify:artist:7zDPvKo7b0I7OPefCwqrsE","King Geedorah, Mr Fantastik","spotify:album:1mrhahrlJu5JfzgeV6Cy8t","Take Me To Your Leader","spotify:artist:77AKJs9SJqxHXbPgtJPKRa","King Geedorah","2003-06-17","https://i.scdn.co/image/ab67616d0000b273de20cdc5935096897bb687fc","1","8","206946","https://p.scdn.co/mp3-preview/d7ebf1314c1277525d234c5301ca6e2320a96abb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","GBCFB0300217","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-31T06:43:10Z"
"spotify:track:2lTyedK9qwRjY9IBgYdUOi","Take Me To Your Leader","spotify:artist:77AKJs9SJqxHXbPgtJPKRa","King Geedorah","spotify:album:1mrhahrlJu5JfzgeV6Cy8t","Take Me To Your Leader","spotify:artist:77AKJs9SJqxHXbPgtJPKRa","King Geedorah","2003-06-17","https://i.scdn.co/image/ab67616d0000b273de20cdc5935096897bb687fc","1","9","128666","https://p.scdn.co/mp3-preview/1333fff56e96481595e9a2bf3c1e4c65186dac79?cid=9950ac751e34487dbbe027c4fd7f8e99","true","43","GBCFB0300218","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-31T06:43:10Z"
"spotify:track:6K6rqLZ7PBDx3PNA4snQzK","Lockjaw","spotify:artist:77AKJs9SJqxHXbPgtJPKRa","King Geedorah","spotify:album:1mrhahrlJu5JfzgeV6Cy8t","Take Me To Your Leader","spotify:artist:77AKJs9SJqxHXbPgtJPKRa","King Geedorah","2003-06-17","https://i.scdn.co/image/ab67616d0000b273de20cdc5935096897bb687fc","1","10","63000","https://p.scdn.co/mp3-preview/691cc2eff839585e196be559b47e6b1ea2a48b49?cid=9950ac751e34487dbbe027c4fd7f8e99","true","67","GBCFB0300219","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-31T06:43:10Z"
"spotify:track:4GP5iTBe9vFezR7ZCNGQ3N","I Wonder","spotify:artist:77AKJs9SJqxHXbPgtJPKRa, spotify:artist:4lLDyuXu1UtFalJZMOkMF3","King Geedorah, Hassan Chop","spotify:album:1mrhahrlJu5JfzgeV6Cy8t","Take Me To Your Leader","spotify:artist:77AKJs9SJqxHXbPgtJPKRa","King Geedorah","2003-06-17","https://i.scdn.co/image/ab67616d0000b273de20cdc5935096897bb687fc","1","11","218773","https://p.scdn.co/mp3-preview/ab58e9e89972c5746bf582a5f67cce341e1e5e52?cid=9950ac751e34487dbbe027c4fd7f8e99","true","53","GBCFB0300220","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-31T06:43:10Z"
