"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2KvhVhBR7MIMZUQNRBiY2k","Doll","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","spotify:album:30ly6F6Xl0TKmyBCU50Khv","The Colour And The Shape","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","1997-05-20","https://i.scdn.co/image/ab67616d0000b2730389027010b78a5e7dce426b","1","1","83800","https://p.scdn.co/mp3-preview/d691d166006216741f0f028481062a9efa803710?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","USRW29600002","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-18T13:35:51Z"
"spotify:track:44wXefe8WB9Fd6xwtmAwbR","Monkey Wrench","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","spotify:album:30ly6F6Xl0TKmyBCU50Khv","The Colour And The Shape","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","1997-05-20","https://i.scdn.co/image/ab67616d0000b2730389027010b78a5e7dce426b","1","2","231480","https://p.scdn.co/mp3-preview/3f31f7aff62d944564cff30e1927bf94610c0bc1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","USRW29600001","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-18T13:35:51Z"
"spotify:track:0M5xRyxGpFFDfzN2x0wdpH","Hey, Johnny Park!","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","spotify:album:30ly6F6Xl0TKmyBCU50Khv","The Colour And The Shape","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","1997-05-20","https://i.scdn.co/image/ab67616d0000b2730389027010b78a5e7dce426b","1","3","248266","https://p.scdn.co/mp3-preview/445efd09aae9ea87e627ba37c21df7fef2487ffb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","USRW29600003","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-18T13:35:51Z"
"spotify:track:3yIUusX4NApzRSAkxZFrJg","My Poor Brain","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","spotify:album:30ly6F6Xl0TKmyBCU50Khv","The Colour And The Shape","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","1997-05-20","https://i.scdn.co/image/ab67616d0000b2730389027010b78a5e7dce426b","1","4","213560","https://p.scdn.co/mp3-preview/b4030aa048c8e78fd5470581e1178358f1157044?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","USRW29600004","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-18T13:35:51Z"
"spotify:track:56ucsSaTrjiQaokbbDASOR","Wind Up","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","spotify:album:30ly6F6Xl0TKmyBCU50Khv","The Colour And The Shape","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","1997-05-20","https://i.scdn.co/image/ab67616d0000b2730389027010b78a5e7dce426b","1","5","150653","https://p.scdn.co/mp3-preview/f3d1facb206a91b856317f4f2f35af28d33b0d58?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","USRW29600005","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-18T13:35:51Z"
"spotify:track:05TcC5ZN9rp8Glx8A9C2Nd","Up In Arms","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","spotify:album:30ly6F6Xl0TKmyBCU50Khv","The Colour And The Shape","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","1997-05-20","https://i.scdn.co/image/ab67616d0000b2730389027010b78a5e7dce426b","1","6","135573","https://p.scdn.co/mp3-preview/f714c3c506c89b6210e0c99c024c9dcb2e513b09?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","USRW29600006","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-18T13:35:51Z"
"spotify:track:4dVbhS6OiYvFikshyaQaCN","My Hero","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","spotify:album:30ly6F6Xl0TKmyBCU50Khv","The Colour And The Shape","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","1997-05-20","https://i.scdn.co/image/ab67616d0000b2730389027010b78a5e7dce426b","1","7","260026","https://p.scdn.co/mp3-preview/5ffdbc197d59a4bc15611a49ef51f23009432dbb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","USRW29600007","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-18T13:35:51Z"
"spotify:track:48PrL49eJ5P15yTxjK0oW6","See You","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","spotify:album:30ly6F6Xl0TKmyBCU50Khv","The Colour And The Shape","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","1997-05-20","https://i.scdn.co/image/ab67616d0000b2730389027010b78a5e7dce426b","1","8","146653","https://p.scdn.co/mp3-preview/e16b16fd050de81690e69f1af95c352787cdef52?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","USRW29600008","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-18T13:35:51Z"
"spotify:track:4JWRyetq4ALHAXm9ByOOEg","Enough Space","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","spotify:album:30ly6F6Xl0TKmyBCU50Khv","The Colour And The Shape","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","1997-05-20","https://i.scdn.co/image/ab67616d0000b2730389027010b78a5e7dce426b","1","9","156293","https://p.scdn.co/mp3-preview/a04b833ac1346806b0719e8a915a5e0504e8dc8d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","USRW29600009","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-18T13:35:51Z"
"spotify:track:2ceA7CWWx6yIHdzppN8nLF","February Stars","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","spotify:album:30ly6F6Xl0TKmyBCU50Khv","The Colour And The Shape","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","1997-05-20","https://i.scdn.co/image/ab67616d0000b2730389027010b78a5e7dce426b","1","10","289346","https://p.scdn.co/mp3-preview/c28f5cb0e4087d311fa9e603f2687d38d6a3f4f1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","USRW29600010","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-18T13:35:51Z"
