"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:3bx8zBnORbS7JPq2OaMzbg","Two Fingers","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","spotify:album:32JBdyG4V4StEtfeLwUcQH","Two Fingers","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","2021-08-09","https://i.scdn.co/image/ab67616d0000b273fc8c2761e3243e7dad8d5082","1","1","216450","https://p.scdn.co/mp3-preview/6f9c0224b5384912743096e7cce898ca1cb6ce25?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","UKECD2100803","spotify:user:bspofficial","2021-10-11T13:10:40Z"
"spotify:track:6srOVizD9tpXLbsFTpT4WD","Don't Let The Sun Get In The Way","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","spotify:album:0S5RxqKXZRV0oJLmY20ga1","Let The Dancers Inherit The Party","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","2017-03-31","https://i.scdn.co/image/ab67616d0000b273f85d956d6210ae6e4e20ba5a","1","11","219373","","false","0","GBUM71606777","spotify:user:bspofficial","2017-03-31T07:23:28Z"
"spotify:track:58ZEQLhG5aJfk6Q898OLjy","Intro","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","spotify:album:0S5RxqKXZRV0oJLmY20ga1","Let The Dancers Inherit The Party","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","2017-03-31","https://i.scdn.co/image/ab67616d0000b273f85d956d6210ae6e4e20ba5a","1","1","29200","","false","0","GBUM71606774","spotify:user:bspofficial","2017-03-31T07:23:28Z"
"spotify:track:55Ns8sWk81HwrDAZTGESys","Bad Bohemian","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","spotify:album:0S5RxqKXZRV0oJLmY20ga1","Let The Dancers Inherit The Party","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","2017-03-31","https://i.scdn.co/image/ab67616d0000b273f85d956d6210ae6e4e20ba5a","1","2","196693","","false","0","GBUM71606775","spotify:user:bspofficial","2017-03-31T07:23:28Z"
"spotify:track:2JdYnWKygNSzlMITtjBVxQ","International Space Station","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","spotify:album:0S5RxqKXZRV0oJLmY20ga1","Let The Dancers Inherit The Party","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","2017-03-31","https://i.scdn.co/image/ab67616d0000b273f85d956d6210ae6e4e20ba5a","1","3","268360","","false","0","GBUM71606785","spotify:user:bspofficial","2017-03-31T07:23:28Z"
"spotify:track:1IzLBMg1oDFeOM95sjGq8z","What You're Doing","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","spotify:album:0S5RxqKXZRV0oJLmY20ga1","Let The Dancers Inherit The Party","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","2017-03-31","https://i.scdn.co/image/ab67616d0000b273f85d956d6210ae6e4e20ba5a","1","4","238760","","false","0","GBUM71606784","spotify:user:bspofficial","2017-03-31T07:23:28Z"
"spotify:track:3Xz8GiN7yPUDOuNheiWsXy","The Voice Of Ivy Lee","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","spotify:album:0S5RxqKXZRV0oJLmY20ga1","Let The Dancers Inherit The Party","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","2017-03-31","https://i.scdn.co/image/ab67616d0000b273f85d956d6210ae6e4e20ba5a","1","5","250520","","false","0","GBUM71606782","spotify:user:bspofficial","2017-03-31T07:23:28Z"
"spotify:track:7EnA70uPvM7FKa4YxPoeJN","Keep On Trying (Sechs Freunde)","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","spotify:album:0S5RxqKXZRV0oJLmY20ga1","Let The Dancers Inherit The Party","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","2017-03-31","https://i.scdn.co/image/ab67616d0000b273f85d956d6210ae6e4e20ba5a","1","6","255920","","false","0","GBUM71606779","spotify:user:bspofficial","2017-03-31T07:23:28Z"
"spotify:track:3CCBRenvc0f26uD5mY4Ewd","Electrical Kittens","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","spotify:album:0S5RxqKXZRV0oJLmY20ga1","Let The Dancers Inherit The Party","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","2017-03-31","https://i.scdn.co/image/ab67616d0000b273f85d956d6210ae6e4e20ba5a","1","7","307026","","false","0","GBUM71606778","spotify:user:bspofficial","2017-03-31T07:23:28Z"
"spotify:track:4bZdcYVCf3dY2btFZld63Q","Saint Jerome","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","spotify:album:0S5RxqKXZRV0oJLmY20ga1","Let The Dancers Inherit The Party","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","2017-03-31","https://i.scdn.co/image/ab67616d0000b273f85d956d6210ae6e4e20ba5a","1","8","275080","","false","0","GBUM71606781","spotify:user:bspofficial","2017-03-31T07:23:28Z"
"spotify:track:5tIcpkKPFLrNrqWP9iliwL","Praise For Whatever","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","spotify:album:0S5RxqKXZRV0oJLmY20ga1","Let The Dancers Inherit The Party","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","2017-03-31","https://i.scdn.co/image/ab67616d0000b273f85d956d6210ae6e4e20ba5a","1","9","352546","","false","0","GBUM71606780","spotify:user:bspofficial","2017-03-31T07:23:28Z"
"spotify:track:2WPTXEt3U2q6w9KPkzs2fc","Want To Be Free","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","spotify:album:0S5RxqKXZRV0oJLmY20ga1","Let The Dancers Inherit The Party","spotify:artist:5zhn89Em2jWUUWdpcLO3YL","Sea Power","2017-03-31","https://i.scdn.co/image/ab67616d0000b273f85d956d6210ae6e4e20ba5a","1","10","227893","","false","0","GBUM71606783","spotify:user:bspofficial","2017-03-31T07:23:28Z"
