"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4rQYDXfKFikLX4ad674jhg","Speak To Me - 2011 Remastered Version","spotify:artist:0k17h0D3J5VfsdmQ1iZtE9","Pink Floyd","spotify:album:2WT1pbYjLJciAR26yMebkH","The Dark Side Of The Moon (2011 Remastered Version)","spotify:artist:0k17h0D3J5VfsdmQ1iZtE9","Pink Floyd","1973-03-01","https://i.scdn.co/image/ab67616d0000b273d3709135d1005baa36939d80","1","1","64333","https://p.scdn.co/mp3-preview/789dbf77535c8bef0adb62175da3f1f8df6b5b0b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","57","GBN9Y1100076","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-12T15:46:11Z"
"spotify:track:3zJRvtQkHQRTNEXSY8jQPR","Breathe (In The Air) - 2011 Remastered Version","spotify:artist:0k17h0D3J5VfsdmQ1iZtE9","Pink Floyd","spotify:album:2WT1pbYjLJciAR26yMebkH","The Dark Side Of The Moon (2011 Remastered Version)","spotify:artist:0k17h0D3J5VfsdmQ1iZtE9","Pink Floyd","1973-03-01","https://i.scdn.co/image/ab67616d0000b273d3709135d1005baa36939d80","1","2","169560","https://p.scdn.co/mp3-preview/9156e8780caf5e5f3b48bed60c157f5d6c10a617?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","GBN9Y1100077","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-12T15:46:11Z"
"spotify:track:51rylCDfKusBQcpo2iem6u","On The Run - 2011 Remastered Version","spotify:artist:0k17h0D3J5VfsdmQ1iZtE9","Pink Floyd","spotify:album:2WT1pbYjLJciAR26yMebkH","The Dark Side Of The Moon (2011 Remastered Version)","spotify:artist:0k17h0D3J5VfsdmQ1iZtE9","Pink Floyd","1973-03-01","https://i.scdn.co/image/ab67616d0000b273d3709135d1005baa36939d80","1","3","216106","https://p.scdn.co/mp3-preview/2bc7d52dab1c3f17c3ffbcf1d9ec2df753d7264c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","GBN9Y1100078","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-12T15:46:11Z"
"spotify:track:4xHWH1jwV5j4mBYRhxPbwZ","Time - 2011 Remastered Version","spotify:artist:0k17h0D3J5VfsdmQ1iZtE9","Pink Floyd","spotify:album:2WT1pbYjLJciAR26yMebkH","The Dark Side Of The Moon (2011 Remastered Version)","spotify:artist:0k17h0D3J5VfsdmQ1iZtE9","Pink Floyd","1973-03-01","https://i.scdn.co/image/ab67616d0000b273d3709135d1005baa36939d80","1","4","422853","https://p.scdn.co/mp3-preview/b3e06c3ba9a2aa49c0139f176121d519b09af06f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","GBN9Y1100079","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-12T15:46:11Z"
"spotify:track:25tZHMv3ctlzqDaHAeuU9c","The Great Gig In The Sky - 2011 Remastered Version","spotify:artist:0k17h0D3J5VfsdmQ1iZtE9","Pink Floyd","spotify:album:2WT1pbYjLJciAR26yMebkH","The Dark Side Of The Moon (2011 Remastered Version)","spotify:artist:0k17h0D3J5VfsdmQ1iZtE9","Pink Floyd","1973-03-01","https://i.scdn.co/image/ab67616d0000b273d3709135d1005baa36939d80","1","5","284413","https://p.scdn.co/mp3-preview/9702913a355455dc36a7ae610ec5d52fbaed2edf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","GBN9Y1100080","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-12T15:46:11Z"
"spotify:track:7Gx2q0ueNwvDp2BOZYGCMO","Money - 2011 Remastered Version","spotify:artist:0k17h0D3J5VfsdmQ1iZtE9","Pink Floyd","spotify:album:2WT1pbYjLJciAR26yMebkH","The Dark Side Of The Moon (2011 Remastered Version)","spotify:artist:0k17h0D3J5VfsdmQ1iZtE9","Pink Floyd","1973-03-01","https://i.scdn.co/image/ab67616d0000b273d3709135d1005baa36939d80","1","6","380080","https://p.scdn.co/mp3-preview/5e826a99462623bcf7cd4de3867b06dba96317d7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","GBN9Y1100081","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-12T15:46:11Z"
"spotify:track:626wlz3bovvpH06PYht5R0","Us And Them - 2011 Remastered Version","spotify:artist:0k17h0D3J5VfsdmQ1iZtE9","Pink Floyd","spotify:album:2WT1pbYjLJciAR26yMebkH","The Dark Side Of The Moon (2011 Remastered Version)","spotify:artist:0k17h0D3J5VfsdmQ1iZtE9","Pink Floyd","1973-03-01","https://i.scdn.co/image/ab67616d0000b273d3709135d1005baa36939d80","1","7","472626","https://p.scdn.co/mp3-preview/758c0b86285cef8970b8e53d005a4b47f6beb542?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","GBN9Y1100082","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-12T15:46:11Z"
"spotify:track:1wGoqD0vrf7njGvxm8CEf5","Any Colour You Like - 2011 Remastered Version","spotify:artist:0k17h0D3J5VfsdmQ1iZtE9","Pink Floyd","spotify:album:2WT1pbYjLJciAR26yMebkH","The Dark Side Of The Moon (2011 Remastered Version)","spotify:artist:0k17h0D3J5VfsdmQ1iZtE9","Pink Floyd","1973-03-01","https://i.scdn.co/image/ab67616d0000b273d3709135d1005baa36939d80","1","8","205773","https://p.scdn.co/mp3-preview/635c1745ee8419372e5fb8f567a736ee57443b14?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","GBN9Y1100083","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-12T15:46:11Z"
"spotify:track:7EUEl5wJb8VI777UAUvRnH","Brain Damage - 2011 Remastered Version","spotify:artist:0k17h0D3J5VfsdmQ1iZtE9","Pink Floyd","spotify:album:2WT1pbYjLJciAR26yMebkH","The Dark Side Of The Moon (2011 Remastered Version)","spotify:artist:0k17h0D3J5VfsdmQ1iZtE9","Pink Floyd","1973-03-01","https://i.scdn.co/image/ab67616d0000b273d3709135d1005baa36939d80","1","9","225826","https://p.scdn.co/mp3-preview/3a9634ea1f076f29dd1e4def7d7607e7a495cdd7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","GBN9Y1100140","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-12T15:46:11Z"
"spotify:track:3Z2RsIdWm4BNbT0LsFBuoN","Eclipse - 2011 Remastered Version","spotify:artist:0k17h0D3J5VfsdmQ1iZtE9","Pink Floyd","spotify:album:2WT1pbYjLJciAR26yMebkH","The Dark Side Of The Moon (2011 Remastered Version)","spotify:artist:0k17h0D3J5VfsdmQ1iZtE9","Pink Floyd","1973-03-01","https://i.scdn.co/image/ab67616d0000b273d3709135d1005baa36939d80","1","10","114093","https://p.scdn.co/mp3-preview/05dbb866217dd66dd8d71ae7708f23f5685b20b3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","GBN9Y1100084","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-12T15:46:11Z"
