"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1B6dE1LulqFg6OjHIVBv3r","Harlem's Nocturne","spotify:artist:3DiDSECUqqY1AuBP8qtaIa","Alicia Keys","spotify:album:6TqRKHLjDu5QZuC8u5Woij","The Diary Of Alicia Keys","spotify:artist:3DiDSECUqqY1AuBP8qtaIa","Alicia Keys","2003-12-02","https://i.scdn.co/image/ab67616d0000b27356ff19308ebeb48e2ba6094b","1","1","103933","https://p.scdn.co/mp3-preview/2bbd5f00a335c6f346a8cffaddc97476ea892186?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","USJAY0300448","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-18T08:42:33Z"
"spotify:track:588RGyR1f4Plc8nm7SrdCa","Karma","spotify:artist:3DiDSECUqqY1AuBP8qtaIa","Alicia Keys","spotify:album:6TqRKHLjDu5QZuC8u5Woij","The Diary Of Alicia Keys","spotify:artist:3DiDSECUqqY1AuBP8qtaIa","Alicia Keys","2003-12-02","https://i.scdn.co/image/ab67616d0000b27356ff19308ebeb48e2ba6094b","1","2","256000","https://p.scdn.co/mp3-preview/3a189317fca10765c0a91dc6386d52d420cdb9bb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","USJAY0300449","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-18T08:42:33Z"
"spotify:track:4SQjx8r47JIqjvurpZtxOi","Heartburn","spotify:artist:3DiDSECUqqY1AuBP8qtaIa","Alicia Keys","spotify:album:6TqRKHLjDu5QZuC8u5Woij","The Diary Of Alicia Keys","spotify:artist:3DiDSECUqqY1AuBP8qtaIa","Alicia Keys","2003-12-02","https://i.scdn.co/image/ab67616d0000b27356ff19308ebeb48e2ba6094b","1","3","208026","https://p.scdn.co/mp3-preview/51dc690922254d909bd743801a1e3e067312f1c8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","USJAY0300450","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-18T08:42:33Z"
"spotify:track:0IHa9skAs65KA2AIH4RGFb","If I Was Your Woman / Walk On By","spotify:artist:3DiDSECUqqY1AuBP8qtaIa","Alicia Keys","spotify:album:6TqRKHLjDu5QZuC8u5Woij","The Diary Of Alicia Keys","spotify:artist:3DiDSECUqqY1AuBP8qtaIa","Alicia Keys","2003-12-02","https://i.scdn.co/image/ab67616d0000b27356ff19308ebeb48e2ba6094b","1","4","186200","https://p.scdn.co/mp3-preview/e8ec623f914a636e129cf049652a6536b5442fc2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","USJAY0300451","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-18T08:42:33Z"
"spotify:track:6LGwYMXXgURfaequXipzHx","You Don't Know My Name","spotify:artist:3DiDSECUqqY1AuBP8qtaIa","Alicia Keys","spotify:album:6TqRKHLjDu5QZuC8u5Woij","The Diary Of Alicia Keys","spotify:artist:3DiDSECUqqY1AuBP8qtaIa","Alicia Keys","2003-12-02","https://i.scdn.co/image/ab67616d0000b27356ff19308ebeb48e2ba6094b","1","5","366733","https://p.scdn.co/mp3-preview/5085de47c7adeea90dbc59489a907a674d3761b5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","USJAY0300430","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-18T08:42:33Z"
"spotify:track:3XVBdLihbNbxUwZosxcGuJ","If I Ain't Got You","spotify:artist:3DiDSECUqqY1AuBP8qtaIa","Alicia Keys","spotify:album:6TqRKHLjDu5QZuC8u5Woij","The Diary Of Alicia Keys","spotify:artist:3DiDSECUqqY1AuBP8qtaIa","Alicia Keys","2003-12-02","https://i.scdn.co/image/ab67616d0000b27356ff19308ebeb48e2ba6094b","1","6","228706","https://p.scdn.co/mp3-preview/2d1fd54c4a4147b43e1eb79c00380e36818a2546?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","USJAY0300452","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-18T08:42:33Z"
"spotify:track:5dxHF4lrDimKqnI3GaZUmC","Diary (feat. Tony! Toni! Tone! & Jermaine Paul)","spotify:artist:3DiDSECUqqY1AuBP8qtaIa, spotify:artist:7vWlb4pM85jCHvV771qZZW, spotify:artist:302jOsgU7aZW71XhLem57k","Alicia Keys, Tony! Toni! Toné!, Jermaine Paul","spotify:album:6TqRKHLjDu5QZuC8u5Woij","The Diary Of Alicia Keys","spotify:artist:3DiDSECUqqY1AuBP8qtaIa","Alicia Keys","2003-12-02","https://i.scdn.co/image/ab67616d0000b27356ff19308ebeb48e2ba6094b","1","7","284160","https://p.scdn.co/mp3-preview/6614683ab33fcb7eb33a290aac5103726702cb6e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","USJAY0300445","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-18T08:42:33Z"
"spotify:track:7q4ElMUqO1sqqdrIvQ6HEY","Dragon Days","spotify:artist:3DiDSECUqqY1AuBP8qtaIa","Alicia Keys","spotify:album:6TqRKHLjDu5QZuC8u5Woij","The Diary Of Alicia Keys","spotify:artist:3DiDSECUqqY1AuBP8qtaIa","Alicia Keys","2003-12-02","https://i.scdn.co/image/ab67616d0000b27356ff19308ebeb48e2ba6094b","1","8","276666","https://p.scdn.co/mp3-preview/10dfe3d85fda52db353fd77bead1b844628042f9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","USJAY0300453","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-18T08:42:33Z"
"spotify:track:5uOLfAXKYvGB57XRNCejRu","Wake Up","spotify:artist:3DiDSECUqqY1AuBP8qtaIa","Alicia Keys","spotify:album:6TqRKHLjDu5QZuC8u5Woij","The Diary Of Alicia Keys","spotify:artist:3DiDSECUqqY1AuBP8qtaIa","Alicia Keys","2003-12-02","https://i.scdn.co/image/ab67616d0000b27356ff19308ebeb48e2ba6094b","1","9","267133","https://p.scdn.co/mp3-preview/6c1ed6bf62680b278d6648055cca59e92cb7ae0d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","USJAY0300454","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-18T08:42:33Z"
"spotify:track:4SZOVptbDIwRegbsYCOHRJ","So Simple (feat. Lellow)","spotify:artist:3DiDSECUqqY1AuBP8qtaIa, spotify:artist:1HWJoW0XfznpegdxFQXXPQ","Alicia Keys, Lellow","spotify:album:6TqRKHLjDu5QZuC8u5Woij","The Diary Of Alicia Keys","spotify:artist:3DiDSECUqqY1AuBP8qtaIa","Alicia Keys","2003-12-02","https://i.scdn.co/image/ab67616d0000b27356ff19308ebeb48e2ba6094b","1","10","229640","https://p.scdn.co/mp3-preview/955f3be5fc4004e5cc093230c0add943b39012ec?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","USJAY0300455","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-18T08:42:33Z"
