"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2ex3posRNSIHGt2o6c8BDD","Bane","spotify:artist:3XHO7cRUPCLOr6jwp8vsx5","alt-J","spotify:album:4R6alqbUqV3mC3RMQUIduc","The Dream (Deluxe)","spotify:artist:3XHO7cRUPCLOr6jwp8vsx5","alt-J","2022-04-22","https://i.scdn.co/image/ab67616d0000b27394965d81585296e734bcbfdd","1","1","310000","https://p.scdn.co/mp3-preview/c197cafb6055e1cc7e2a3150b5138d63022e69e3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","GB5KW2102483","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-22T13:44:43Z"
"spotify:track:5WXfPRIVjo2FpEAzCdtRsi","U&ME","spotify:artist:3XHO7cRUPCLOr6jwp8vsx5","alt-J","spotify:album:4R6alqbUqV3mC3RMQUIduc","The Dream (Deluxe)","spotify:artist:3XHO7cRUPCLOr6jwp8vsx5","alt-J","2022-04-22","https://i.scdn.co/image/ab67616d0000b27394965d81585296e734bcbfdd","1","2","198840","https://p.scdn.co/mp3-preview/2954cc5780e652ad79006d920295885f10e0e688?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","GB5KW2102484","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-22T13:44:43Z"
"spotify:track:2BSJYexVsXNnb1DNBoLLan","Hard Drive Gold","spotify:artist:3XHO7cRUPCLOr6jwp8vsx5","alt-J","spotify:album:4R6alqbUqV3mC3RMQUIduc","The Dream (Deluxe)","spotify:artist:3XHO7cRUPCLOr6jwp8vsx5","alt-J","2022-04-22","https://i.scdn.co/image/ab67616d0000b27394965d81585296e734bcbfdd","1","3","158480","https://p.scdn.co/mp3-preview/54b44f444197df2c1f93f0ccbb3d8d7bab75f868?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","GB5KW2102485","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-22T13:44:43Z"
"spotify:track:0G4LPpRAunooaDpPzaCPXj","Happier When You’re Gone","spotify:artist:3XHO7cRUPCLOr6jwp8vsx5","alt-J","spotify:album:4R6alqbUqV3mC3RMQUIduc","The Dream (Deluxe)","spotify:artist:3XHO7cRUPCLOr6jwp8vsx5","alt-J","2022-04-22","https://i.scdn.co/image/ab67616d0000b27394965d81585296e734bcbfdd","1","4","240480","https://p.scdn.co/mp3-preview/d2f0593e14d324c3640dafee57dd04a94d87b3bb?cid=9950ac751e34487dbbe027c4fd7f8e99","true","29","GB5KW2102486","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-22T13:44:43Z"
"spotify:track:72ueyegb7Ueticz4vgoFTx","The Actor","spotify:artist:3XHO7cRUPCLOr6jwp8vsx5","alt-J","spotify:album:4R6alqbUqV3mC3RMQUIduc","The Dream (Deluxe)","spotify:artist:3XHO7cRUPCLOr6jwp8vsx5","alt-J","2022-04-22","https://i.scdn.co/image/ab67616d0000b27394965d81585296e734bcbfdd","1","5","240893","https://p.scdn.co/mp3-preview/0a05b67886b666786a380b7d3ce1255dad6684f6?cid=9950ac751e34487dbbe027c4fd7f8e99","true","29","GB5KW2102487","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-22T13:44:43Z"
"spotify:track:3wKJ8734Mq9GseasvTQgbM","Get Better","spotify:artist:3XHO7cRUPCLOr6jwp8vsx5","alt-J","spotify:album:4R6alqbUqV3mC3RMQUIduc","The Dream (Deluxe)","spotify:artist:3XHO7cRUPCLOr6jwp8vsx5","alt-J","2022-04-22","https://i.scdn.co/image/ab67616d0000b27394965d81585296e734bcbfdd","1","6","351293","https://p.scdn.co/mp3-preview/eb0ed7f6a129ceaa75b70bd720a26a57a3b14c42?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","GB5KW2102488","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-22T13:44:43Z"
"spotify:track:4hi2oBX8SZkj8QJWrsG4o9","Chicago","spotify:artist:3XHO7cRUPCLOr6jwp8vsx5","alt-J","spotify:album:4R6alqbUqV3mC3RMQUIduc","The Dream (Deluxe)","spotify:artist:3XHO7cRUPCLOr6jwp8vsx5","alt-J","2022-04-22","https://i.scdn.co/image/ab67616d0000b27394965d81585296e734bcbfdd","1","7","235386","https://p.scdn.co/mp3-preview/4e9b3a6052f9176d6f4eaf230cede3d968fe81ec?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","GB5KW2102489","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-22T13:44:43Z"
"spotify:track:7zDqriI5gpfWPxwDRav1eS","Philadelphia","spotify:artist:3XHO7cRUPCLOr6jwp8vsx5","alt-J","spotify:album:4R6alqbUqV3mC3RMQUIduc","The Dream (Deluxe)","spotify:artist:3XHO7cRUPCLOr6jwp8vsx5","alt-J","2022-04-22","https://i.scdn.co/image/ab67616d0000b27394965d81585296e734bcbfdd","1","8","218093","https://p.scdn.co/mp3-preview/a7ec7076ad836c23c4e2321685e85167a75ea6c5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","GB5KW2102490","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-22T13:44:43Z"
"spotify:track:75BKbzbLK8iU7cp9Rmjlmt","Walk a Mile","spotify:artist:3XHO7cRUPCLOr6jwp8vsx5","alt-J","spotify:album:4R6alqbUqV3mC3RMQUIduc","The Dream (Deluxe)","spotify:artist:3XHO7cRUPCLOr6jwp8vsx5","alt-J","2022-04-22","https://i.scdn.co/image/ab67616d0000b27394965d81585296e734bcbfdd","1","9","389933","https://p.scdn.co/mp3-preview/55d0e6f981e09e2498ecab5a1427b2a0268fc020?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","GB5KW2102491","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-22T13:44:43Z"
"spotify:track:42ug7cz6qFQzuifeAp2Fav","Delta","spotify:artist:3XHO7cRUPCLOr6jwp8vsx5","alt-J","spotify:album:4R6alqbUqV3mC3RMQUIduc","The Dream (Deluxe)","spotify:artist:3XHO7cRUPCLOr6jwp8vsx5","alt-J","2022-04-22","https://i.scdn.co/image/ab67616d0000b27394965d81585296e734bcbfdd","1","10","60040","https://p.scdn.co/mp3-preview/0f6cc81535745ed3a5e4637a0828a11c61739933?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","GB5KW2102492","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-22T13:44:43Z"
"spotify:track:7v8gDWI6O0szcs5fG40ZJP","Losing My Mind","spotify:artist:3XHO7cRUPCLOr6jwp8vsx5","alt-J","spotify:album:4R6alqbUqV3mC3RMQUIduc","The Dream (Deluxe)","spotify:artist:3XHO7cRUPCLOr6jwp8vsx5","alt-J","2022-04-22","https://i.scdn.co/image/ab67616d0000b27394965d81585296e734bcbfdd","1","11","282000","https://p.scdn.co/mp3-preview/a9cbd318070e06fccfe4fa407636a0bede80a232?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","GB5KW2102493","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-22T13:44:43Z"
"spotify:track:6PA1sjqTtGW0Z5egQAhCCU","Powders","spotify:artist:3XHO7cRUPCLOr6jwp8vsx5","alt-J","spotify:album:4R6alqbUqV3mC3RMQUIduc","The Dream (Deluxe)","spotify:artist:3XHO7cRUPCLOr6jwp8vsx5","alt-J","2022-04-22","https://i.scdn.co/image/ab67616d0000b27394965d81585296e734bcbfdd","1","12","281586","https://p.scdn.co/mp3-preview/eba14a9dac367f0218ab2e627f0be325ab1116e5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","GB5KW2102494","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-22T13:44:43Z"
"spotify:track:3yJaVEwHOIUyoNLioUUEMC","The Actor - Single Edit","spotify:artist:3XHO7cRUPCLOr6jwp8vsx5","alt-J","spotify:album:4R6alqbUqV3mC3RMQUIduc","The Dream (Deluxe)","spotify:artist:3XHO7cRUPCLOr6jwp8vsx5","alt-J","2022-04-22","https://i.scdn.co/image/ab67616d0000b27394965d81585296e734bcbfdd","2","1","187506","https://p.scdn.co/mp3-preview/58aad4dd56839b959e5e18228d69af027b1d9e2c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","GB5KW2105251","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-22T13:44:43Z"
"spotify:track:2djt68JwavRdvD3HDpKo8Q","U&ME - Single Edit","spotify:artist:3XHO7cRUPCLOr6jwp8vsx5","alt-J","spotify:album:4R6alqbUqV3mC3RMQUIduc","The Dream (Deluxe)","spotify:artist:3XHO7cRUPCLOr6jwp8vsx5","alt-J","2022-04-22","https://i.scdn.co/image/ab67616d0000b27394965d81585296e734bcbfdd","2","2","196506","https://p.scdn.co/mp3-preview/3197c7f33b5952d544d6411f82b6e2a345378e9b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","GB5KW2103724","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-22T13:44:43Z"
"spotify:track:0m6RRpqhjZtqOwYgKeWTzn","Hard Drive Gold - LOOR Remix","spotify:artist:3XHO7cRUPCLOr6jwp8vsx5, spotify:artist:3ty7Yw1EzkV3OvjG28i1D2","alt-J, LOOR","spotify:album:4R6alqbUqV3mC3RMQUIduc","The Dream (Deluxe)","spotify:artist:3XHO7cRUPCLOr6jwp8vsx5","alt-J","2022-04-22","https://i.scdn.co/image/ab67616d0000b27394965d81585296e734bcbfdd","2","3","243586","https://p.scdn.co/mp3-preview/0b13be86d63ee8bbd635567b660b7023f09111e6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","GB5KW2200166","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-22T13:44:43Z"
"spotify:track:0Rc3IbsJUNLAhDlX6vQNHg","Hard Drive Gold - Maya Jane Coles Remix","spotify:artist:3XHO7cRUPCLOr6jwp8vsx5, spotify:artist:6TshTCYwh9ySzOO6Jy4Ux2","alt-J, Maya Jane Coles","spotify:album:4R6alqbUqV3mC3RMQUIduc","The Dream (Deluxe)","spotify:artist:3XHO7cRUPCLOr6jwp8vsx5","alt-J","2022-04-22","https://i.scdn.co/image/ab67616d0000b27394965d81585296e734bcbfdd","2","4","313906","https://p.scdn.co/mp3-preview/8f18db36ce5fe0ec59b94c9e85de656a6fad9404?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","GB5KW2105288","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-22T13:44:43Z"
"spotify:track:1zoBNdysVkxEMfPRaFhXjR","U&ME - Baauer Remix","spotify:artist:3XHO7cRUPCLOr6jwp8vsx5, spotify:artist:25fqWEebq6PoiGQIHIrdtv","alt-J, Baauer","spotify:album:4R6alqbUqV3mC3RMQUIduc","The Dream (Deluxe)","spotify:artist:3XHO7cRUPCLOr6jwp8vsx5","alt-J","2022-04-22","https://i.scdn.co/image/ab67616d0000b27394965d81585296e734bcbfdd","2","5","294240","https://p.scdn.co/mp3-preview/82a888f04dcc37c83df29f24f8f3ee09b1e2dfd0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","GB5KW2103647","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-22T13:44:43Z"
