"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:06DwESKhQ1SbR5KrYAt0wM","A Call to Arms","spotify:artist:6pmxr66tMAePxzOLfjGNcX","Beirut","spotify:album:71udkw2yxFqNK4SNSYcCce","The Flying Club Cup","spotify:artist:6pmxr66tMAePxzOLfjGNcX","Beirut","2007-10-08","https://i.scdn.co/image/ab67616d0000b273a5818379975d1815f7f4e1b2","1","1","18493","https://p.scdn.co/mp3-preview/8f135feb28ba1aa984877edff333f05ebd17ac40?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","USCPT0700042","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-24T03:48:21Z"
"spotify:track:1WBSFlSLyOZnSa8fj7a5yC","Nantes","spotify:artist:6pmxr66tMAePxzOLfjGNcX","Beirut","spotify:album:71udkw2yxFqNK4SNSYcCce","The Flying Club Cup","spotify:artist:6pmxr66tMAePxzOLfjGNcX","Beirut","2007-10-08","https://i.scdn.co/image/ab67616d0000b273a5818379975d1815f7f4e1b2","1","2","230200","https://p.scdn.co/mp3-preview/cdba5370227f200cd4495d69bfc37bc55f9917a6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","USCPT0700043","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-24T03:48:21Z"
"spotify:track:3XFTgPXd9Y2O1EWeaMslgv","A Sunday Smile","spotify:artist:6pmxr66tMAePxzOLfjGNcX","Beirut","spotify:album:71udkw2yxFqNK4SNSYcCce","The Flying Club Cup","spotify:artist:6pmxr66tMAePxzOLfjGNcX","Beirut","2007-10-08","https://i.scdn.co/image/ab67616d0000b273a5818379975d1815f7f4e1b2","1","3","215573","https://p.scdn.co/mp3-preview/ff84e5dd8e35b5bdfd024daf217a6cbb373a386f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","USCPT0700044","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-24T03:48:21Z"
"spotify:track:4jhmemDl6T1MpP6NTjo7uv","Guyamas Sonora","spotify:artist:6pmxr66tMAePxzOLfjGNcX","Beirut","spotify:album:71udkw2yxFqNK4SNSYcCce","The Flying Club Cup","spotify:artist:6pmxr66tMAePxzOLfjGNcX","Beirut","2007-10-08","https://i.scdn.co/image/ab67616d0000b273a5818379975d1815f7f4e1b2","1","4","211466","https://p.scdn.co/mp3-preview/4cc27474318111560052deb140879805fd2fe5b5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","USCPT0700045","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-24T03:48:21Z"
"spotify:track:35hmrfcRLLYRph1HmwlBB8","La Banlieue","spotify:artist:6pmxr66tMAePxzOLfjGNcX","Beirut","spotify:album:71udkw2yxFqNK4SNSYcCce","The Flying Club Cup","spotify:artist:6pmxr66tMAePxzOLfjGNcX","Beirut","2007-10-08","https://i.scdn.co/image/ab67616d0000b273a5818379975d1815f7f4e1b2","1","5","117533","https://p.scdn.co/mp3-preview/335a4fe0da243a87951abbb4bf0a72870a1ee39f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","USCPT0700046","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-24T03:48:21Z"
"spotify:track:3BYvXCcTRKkTpT3ARjDG5v","Cliquot","spotify:artist:6pmxr66tMAePxzOLfjGNcX","Beirut","spotify:album:71udkw2yxFqNK4SNSYcCce","The Flying Club Cup","spotify:artist:6pmxr66tMAePxzOLfjGNcX","Beirut","2007-10-08","https://i.scdn.co/image/ab67616d0000b273a5818379975d1815f7f4e1b2","1","6","231520","https://p.scdn.co/mp3-preview/431cbe2819703a423885b9e201381a65f62c84bd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","USCPT0700047","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-24T03:48:21Z"
"spotify:track:31LTYdLaroD04wAAuqey7y","The Penalty","spotify:artist:6pmxr66tMAePxzOLfjGNcX","Beirut","spotify:album:71udkw2yxFqNK4SNSYcCce","The Flying Club Cup","spotify:artist:6pmxr66tMAePxzOLfjGNcX","Beirut","2007-10-08","https://i.scdn.co/image/ab67616d0000b273a5818379975d1815f7f4e1b2","1","7","142320","https://p.scdn.co/mp3-preview/11cc80a40d55253328a581b195ee9d6a2897cf93?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","USCPT0700048","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-24T03:48:21Z"
"spotify:track:3cpMhFYvkcWyqSYWG4o14L","Forks and Knives (La Fête)","spotify:artist:6pmxr66tMAePxzOLfjGNcX","Beirut","spotify:album:71udkw2yxFqNK4SNSYcCce","The Flying Club Cup","spotify:artist:6pmxr66tMAePxzOLfjGNcX","Beirut","2007-10-08","https://i.scdn.co/image/ab67616d0000b273a5818379975d1815f7f4e1b2","1","8","213813","https://p.scdn.co/mp3-preview/689107c512d6b68b87843d062fa18b0b5b7935a6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","USCPT0700049","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-24T03:48:21Z"
"spotify:track:7x6bQRig0ZXNjlleX3dqnH","In the Mausoleum","spotify:artist:6pmxr66tMAePxzOLfjGNcX","Beirut","spotify:album:71udkw2yxFqNK4SNSYcCce","The Flying Club Cup","spotify:artist:6pmxr66tMAePxzOLfjGNcX","Beirut","2007-10-08","https://i.scdn.co/image/ab67616d0000b273a5818379975d1815f7f4e1b2","1","9","190893","https://p.scdn.co/mp3-preview/af3c36de26d5562f9ec663bc68b5333900f45ea4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","USCPT0700050","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-24T03:48:21Z"
"spotify:track:7uw8HAXcWVt1KOVv0Cz98n","Un Dernier Verre (Pour La Route)","spotify:artist:6pmxr66tMAePxzOLfjGNcX","Beirut","spotify:album:71udkw2yxFqNK4SNSYcCce","The Flying Club Cup","spotify:artist:6pmxr66tMAePxzOLfjGNcX","Beirut","2007-10-08","https://i.scdn.co/image/ab67616d0000b273a5818379975d1815f7f4e1b2","1","10","171360","https://p.scdn.co/mp3-preview/5a94ebca65cf2404e5fe8dca3f580cc20a3c08dd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","USCPT0700051","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-24T03:48:21Z"
