"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1QO6GvtW9gIWQQsI7Mzoty","Whispering Wind","spotify:artist:6KWcxMWVNVIYbdOQyJtsSy","The Platters","spotify:album:0UvGTptcqQEJ2u5yACvlUH","The Flying Platters Around The World","spotify:artist:6KWcxMWVNVIYbdOQyJtsSy","The Platters","1958-01-01","https://i.scdn.co/image/ab67616d0000b2738fe1c4818c6f397ed3056739","1","1","135866","","false","18","USUM71711843","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-14T14:16:31Z"
"spotify:track:6K6Ap90AcwpXarhxR5IK9V","It's Raining Outside","spotify:artist:6KWcxMWVNVIYbdOQyJtsSy","The Platters","spotify:album:0UvGTptcqQEJ2u5yACvlUH","The Flying Platters Around The World","spotify:artist:6KWcxMWVNVIYbdOQyJtsSy","The Platters","1958-01-01","https://i.scdn.co/image/ab67616d0000b2738fe1c4818c6f397ed3056739","1","2","171560","","false","16","USIR20110294","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-14T14:16:31Z"
"spotify:track:3L2yakOJvaSR4MNPzNN4jt","I'll Take You Home Again Kathleen","spotify:artist:6KWcxMWVNVIYbdOQyJtsSy","The Platters","spotify:album:0UvGTptcqQEJ2u5yACvlUH","The Flying Platters Around The World","spotify:artist:6KWcxMWVNVIYbdOQyJtsSy","The Platters","1958-01-01","https://i.scdn.co/image/ab67616d0000b2738fe1c4818c6f397ed3056739","1","3","128706","","false","15","USUM71711844","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-14T14:16:31Z"
"spotify:track:3e6OHq3LU5X3tu7Ncwf0Ut","For The First Time","spotify:artist:6KWcxMWVNVIYbdOQyJtsSy","The Platters","spotify:album:0UvGTptcqQEJ2u5yACvlUH","The Flying Platters Around The World","spotify:artist:6KWcxMWVNVIYbdOQyJtsSy","The Platters","1958-01-01","https://i.scdn.co/image/ab67616d0000b2738fe1c4818c6f397ed3056739","1","4","136173","","false","31","USIR20200733","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-14T14:16:31Z"
"spotify:track:1UqGFRXCNS5ZY6kdqjvsWV","My Serenade","spotify:artist:6KWcxMWVNVIYbdOQyJtsSy","The Platters","spotify:album:0UvGTptcqQEJ2u5yACvlUH","The Flying Platters Around The World","spotify:artist:6KWcxMWVNVIYbdOQyJtsSy","The Platters","1958-01-01","https://i.scdn.co/image/ab67616d0000b2738fe1c4818c6f397ed3056739","1","5","116773","","false","50","USUM71711847","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-14T14:16:31Z"
"spotify:track:1UcdZo5KS5QO1l2w5vpGpW","But Not Like You","spotify:artist:6KWcxMWVNVIYbdOQyJtsSy","The Platters","spotify:album:0UvGTptcqQEJ2u5yACvlUH","The Flying Platters Around The World","spotify:artist:6KWcxMWVNVIYbdOQyJtsSy","The Platters","1958-01-01","https://i.scdn.co/image/ab67616d0000b2738fe1c4818c6f397ed3056739","1","6","198533","","false","12","USUM71711845","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-14T14:16:31Z"
"spotify:track:5puOfBOZWd7RsZaeZhZT7N","My Old Flame","spotify:artist:6KWcxMWVNVIYbdOQyJtsSy","The Platters","spotify:album:0UvGTptcqQEJ2u5yACvlUH","The Flying Platters Around The World","spotify:artist:6KWcxMWVNVIYbdOQyJtsSy","The Platters","1958-01-01","https://i.scdn.co/image/ab67616d0000b2738fe1c4818c6f397ed3056739","1","7","162640","","false","14","USIR20200739","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-14T14:16:31Z"
"spotify:track:2GtBOUhtwmtAFhfS7fkpk8","Don't Blame Me","spotify:artist:6KWcxMWVNVIYbdOQyJtsSy","The Platters","spotify:album:0UvGTptcqQEJ2u5yACvlUH","The Flying Platters Around The World","spotify:artist:6KWcxMWVNVIYbdOQyJtsSy","The Platters","1958-01-01","https://i.scdn.co/image/ab67616d0000b2738fe1c4818c6f397ed3056739","1","8","151893","","false","13","USIR20110287","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-14T14:16:31Z"
"spotify:track:0zOIdjjoIAlgECa2gdUO7V","Sleepy Time Gal","spotify:artist:6KWcxMWVNVIYbdOQyJtsSy","The Platters","spotify:album:0UvGTptcqQEJ2u5yACvlUH","The Flying Platters Around The World","spotify:artist:6KWcxMWVNVIYbdOQyJtsSy","The Platters","1958-01-01","https://i.scdn.co/image/ab67616d0000b2738fe1c4818c6f397ed3056739","1","9","145533","","false","13","USUM71711846","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-14T14:16:31Z"
"spotify:track:0BlLqQrNj4TdSxFu2p24mF","That Old Feeling","spotify:artist:6KWcxMWVNVIYbdOQyJtsSy","The Platters","spotify:album:0UvGTptcqQEJ2u5yACvlUH","The Flying Platters Around The World","spotify:artist:6KWcxMWVNVIYbdOQyJtsSy","The Platters","1958-01-01","https://i.scdn.co/image/ab67616d0000b2738fe1c4818c6f397ed3056739","1","10","140493","","false","14","USIR20110290","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-14T14:16:31Z"
"spotify:track:2iuaGIrGAC5llSciQn1cPh","Try A Little Tenderness","spotify:artist:6KWcxMWVNVIYbdOQyJtsSy","The Platters","spotify:album:0UvGTptcqQEJ2u5yACvlUH","The Flying Platters Around The World","spotify:artist:6KWcxMWVNVIYbdOQyJtsSy","The Platters","1958-01-01","https://i.scdn.co/image/ab67616d0000b2738fe1c4818c6f397ed3056739","1","11","165960","","false","18","USIR20300623","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-14T14:16:31Z"
"spotify:track:3MpGQae6zAFd7Z1FdLV9fV","Twilight Time - Single Version","spotify:artist:6KWcxMWVNVIYbdOQyJtsSy","The Platters","spotify:album:0UvGTptcqQEJ2u5yACvlUH","The Flying Platters Around The World","spotify:artist:6KWcxMWVNVIYbdOQyJtsSy","The Platters","1958-01-01","https://i.scdn.co/image/ab67616d0000b2738fe1c4818c6f397ed3056739","1","12","168293","","false","63","USMR15887025","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-14T14:16:31Z"
