"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4DG6hJyJfg77eblNihGyUP","The Forbidden Fruits Of Eden","spotify:artist:1WgXqy2Dd70QQOU7Ay074N","AURORA","spotify:album:2HPgGJnpimfmFPMjP0syqY","The Gods We Can Touch","spotify:artist:1WgXqy2Dd70QQOU7Ay074N","AURORA","2022-01-21","https://i.scdn.co/image/ab67616d0000b2733e0d05346299e86c58f75123","1","1","40453","","false","41","GBUM72102601","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-26T19:44:15Z"
"spotify:track:1rMlnD8S0hX7IHZXZDt3gH","Everything Matters","spotify:artist:1WgXqy2Dd70QQOU7Ay074N, spotify:artist:6e3pZKXUxrPfnUPJ960Hd9","AURORA, Pomme","spotify:album:2HPgGJnpimfmFPMjP0syqY","The Gods We Can Touch","spotify:artist:1WgXqy2Dd70QQOU7Ay074N","AURORA","2022-01-21","https://i.scdn.co/image/ab67616d0000b2733e0d05346299e86c58f75123","1","2","213906","","false","60","GBUM72102600","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-26T19:44:15Z"
"spotify:track:0ocZ3MJDhUTkCmMWzhnHqq","Giving In To The Love","spotify:artist:1WgXqy2Dd70QQOU7Ay074N","AURORA","spotify:album:2HPgGJnpimfmFPMjP0syqY","The Gods We Can Touch","spotify:artist:1WgXqy2Dd70QQOU7Ay074N","AURORA","2022-01-21","https://i.scdn.co/image/ab67616d0000b2733e0d05346299e86c58f75123","1","3","181333","","false","53","GBUM72104434","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-26T19:44:15Z"
"spotify:track:7Iiek3SL6PluRxj9IgbTC1","Cure For Me","spotify:artist:1WgXqy2Dd70QQOU7Ay074N","AURORA","spotify:album:2HPgGJnpimfmFPMjP0syqY","The Gods We Can Touch","spotify:artist:1WgXqy2Dd70QQOU7Ay074N","AURORA","2022-01-21","https://i.scdn.co/image/ab67616d0000b2733e0d05346299e86c58f75123","1","4","198853","","false","67","GBUM72100848","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-26T19:44:15Z"
"spotify:track:5zHX1aFxP5p10NI4L1nkai","You Keep Me Crawling","spotify:artist:1WgXqy2Dd70QQOU7Ay074N","AURORA","spotify:album:2HPgGJnpimfmFPMjP0syqY","The Gods We Can Touch","spotify:artist:1WgXqy2Dd70QQOU7Ay074N","AURORA","2022-01-21","https://i.scdn.co/image/ab67616d0000b2733e0d05346299e86c58f75123","1","5","179133","","false","46","GBUM72104435","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-26T19:44:15Z"
"spotify:track:5W4TxxBH5GrrvHwJc9xgpl","Exist For Love","spotify:artist:1WgXqy2Dd70QQOU7Ay074N","AURORA","spotify:album:2HPgGJnpimfmFPMjP0syqY","The Gods We Can Touch","spotify:artist:1WgXqy2Dd70QQOU7Ay074N","AURORA","2022-01-21","https://i.scdn.co/image/ab67616d0000b2733e0d05346299e86c58f75123","1","6","250573","","false","56","GBUM72001694","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-26T19:44:15Z"
"spotify:track:4UkLS3Vqp8o2ukxipCIQ7N","Heathens","spotify:artist:1WgXqy2Dd70QQOU7Ay074N","AURORA","spotify:album:2HPgGJnpimfmFPMjP0syqY","The Gods We Can Touch","spotify:artist:1WgXqy2Dd70QQOU7Ay074N","AURORA","2022-01-21","https://i.scdn.co/image/ab67616d0000b2733e0d05346299e86c58f75123","1","7","225093","","false","48","GBUM72104437","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-26T19:44:15Z"
"spotify:track:1R5fL8bR0jfxESZhfNMkIG","The Innocent","spotify:artist:1WgXqy2Dd70QQOU7Ay074N","AURORA","spotify:album:2HPgGJnpimfmFPMjP0syqY","The Gods We Can Touch","spotify:artist:1WgXqy2Dd70QQOU7Ay074N","AURORA","2022-01-21","https://i.scdn.co/image/ab67616d0000b2733e0d05346299e86c58f75123","1","8","207453","","false","44","GBUM72104215","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-26T19:44:15Z"
"spotify:track:1Pw2ls8Q1pEE2w1cqOA4qD","Exhale Inhale","spotify:artist:1WgXqy2Dd70QQOU7Ay074N","AURORA","spotify:album:2HPgGJnpimfmFPMjP0syqY","The Gods We Can Touch","spotify:artist:1WgXqy2Dd70QQOU7Ay074N","AURORA","2022-01-21","https://i.scdn.co/image/ab67616d0000b2733e0d05346299e86c58f75123","1","9","212626","","false","48","GBUM72102594","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-26T19:44:15Z"
"spotify:track:0xTZXhs3eVb48PQNywMCdH","A Temporary High","spotify:artist:1WgXqy2Dd70QQOU7Ay074N","AURORA","spotify:album:2HPgGJnpimfmFPMjP0syqY","The Gods We Can Touch","spotify:artist:1WgXqy2Dd70QQOU7Ay074N","AURORA","2022-01-21","https://i.scdn.co/image/ab67616d0000b2733e0d05346299e86c58f75123","1","10","203066","","false","53","GBUM72104439","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-02-26T19:44:15Z"
