"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2eCd0seBFNfrvPx3nrFHt2","Final Fantasy X - Hymn of the Fayth","spotify:artist:3QGdFQ45BQaLxOwXMGvLpy, spotify:artist:63aGIPDyyk7J6s68Yy8vf5, spotify:artist:3V79CTgRnsDdJSTqKitROv, spotify:artist:1qaXdZXQL4QfKEzw4huC8z, spotify:artist:3Lc34BF8LDk8Ae0T81du3S, spotify:artist:35oG3mYnkDLWzjwFOE7dPA","Kazushige Nojima, Masashi Hamauzu, Nobuo Uematsu, Myrra Malmberg, Orphei Drängar, MOD","spotify:album:3IeTZegDmwMvYKyL16PV6L","The Greatest Video Game Music III - Choral Edition","spotify:artist:35oG3mYnkDLWzjwFOE7dPA, spotify:artist:1qaXdZXQL4QfKEzw4huC8z, spotify:artist:3Lc34BF8LDk8Ae0T81du3S","MOD, Myrra Malmberg, Orphei Drängar","2016-01-29","https://i.scdn.co/image/ab67616d0000b2737c9d1555816ce71314f8b59d","1","1","243813","https://p.scdn.co/mp3-preview/6e6772de054815a9d089b7e7fb4055fa51c61499?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","SEWDL6141624","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-10-22T15:52:36Z"
"spotify:track:755MBpLqJqCO87PkoyBBQC","World of Warcraft - Invincible","spotify:artist:3wUepK8fYhfALF5UzKDEjd, spotify:artist:1qaXdZXQL4QfKEzw4huC8z, spotify:artist:3Lc34BF8LDk8Ae0T81du3S, spotify:artist:35oG3mYnkDLWzjwFOE7dPA","Russel Brower, Myrra Malmberg, Orphei Drängar, MOD","spotify:album:3IeTZegDmwMvYKyL16PV6L","The Greatest Video Game Music III - Choral Edition","spotify:artist:35oG3mYnkDLWzjwFOE7dPA, spotify:artist:1qaXdZXQL4QfKEzw4huC8z, spotify:artist:3Lc34BF8LDk8Ae0T81du3S","MOD, Myrra Malmberg, Orphei Drängar","2016-01-29","https://i.scdn.co/image/ab67616d0000b2737c9d1555816ce71314f8b59d","1","2","200653","https://p.scdn.co/mp3-preview/0c8eb458fbcdcf4c3977b561d8aa345dab5cefda?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","SEWDL6141625","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-10-22T15:52:36Z"
"spotify:track:62W7SoneY4BEZe8VXsKZNW","Skyrim - Age of Oppression","spotify:artist:77yY2QmM6bYvjJ3y5L2R0v, spotify:artist:1qaXdZXQL4QfKEzw4huC8z, spotify:artist:3Lc34BF8LDk8Ae0T81du3S, spotify:artist:35oG3mYnkDLWzjwFOE7dPA","Jeremy Soule, Myrra Malmberg, Orphei Drängar, MOD","spotify:album:3IeTZegDmwMvYKyL16PV6L","The Greatest Video Game Music III - Choral Edition","spotify:artist:35oG3mYnkDLWzjwFOE7dPA, spotify:artist:1qaXdZXQL4QfKEzw4huC8z, spotify:artist:3Lc34BF8LDk8Ae0T81du3S","MOD, Myrra Malmberg, Orphei Drängar","2016-01-29","https://i.scdn.co/image/ab67616d0000b2737c9d1555816ce71314f8b59d","1","3","235333","https://p.scdn.co/mp3-preview/d188dc931718f5ab7a3262d88f4be32455ce7484?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","SEWDL6141626","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-10-22T15:52:36Z"
"spotify:track:10fClMzPc6TbJX4qaCMfDH","Final Fantasy X - Hymn of the Fayth (Remix 1)","spotify:artist:3QGdFQ45BQaLxOwXMGvLpy, spotify:artist:63aGIPDyyk7J6s68Yy8vf5, spotify:artist:3V79CTgRnsDdJSTqKitROv, spotify:artist:1qaXdZXQL4QfKEzw4huC8z, spotify:artist:3Lc34BF8LDk8Ae0T81du3S, spotify:artist:35oG3mYnkDLWzjwFOE7dPA","Kazushige Nojima, Masashi Hamauzu, Nobuo Uematsu, Myrra Malmberg, Orphei Drängar, MOD","spotify:album:3IeTZegDmwMvYKyL16PV6L","The Greatest Video Game Music III - Choral Edition","spotify:artist:35oG3mYnkDLWzjwFOE7dPA, spotify:artist:1qaXdZXQL4QfKEzw4huC8z, spotify:artist:3Lc34BF8LDk8Ae0T81du3S","MOD, Myrra Malmberg, Orphei Drängar","2016-01-29","https://i.scdn.co/image/ab67616d0000b2737c9d1555816ce71314f8b59d","1","4","102240","https://p.scdn.co/mp3-preview/740721a1a833a8a1d1dcc177a7414485beb6e7f9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","SEWDL6141627","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-10-22T15:52:36Z"
"spotify:track:6eD7fjW6aYkC1bTrG5rdJj","Dragon Age Inquisition - Main Theme","spotify:artist:5ikWl4mjoiFlLPvkFRZETq, spotify:artist:1qaXdZXQL4QfKEzw4huC8z, spotify:artist:3Lc34BF8LDk8Ae0T81du3S, spotify:artist:35oG3mYnkDLWzjwFOE7dPA","Trevor Morris, Myrra Malmberg, Orphei Drängar, MOD","spotify:album:3IeTZegDmwMvYKyL16PV6L","The Greatest Video Game Music III - Choral Edition","spotify:artist:35oG3mYnkDLWzjwFOE7dPA, spotify:artist:1qaXdZXQL4QfKEzw4huC8z, spotify:artist:3Lc34BF8LDk8Ae0T81du3S","MOD, Myrra Malmberg, Orphei Drängar","2016-01-29","https://i.scdn.co/image/ab67616d0000b2737c9d1555816ce71314f8b59d","1","5","278552","https://p.scdn.co/mp3-preview/95cbc64a019b9358ec2c714baaf6e0a812f8ab33?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","SEWDL6141628","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-10-22T15:52:36Z"
"spotify:track:0pjmVyUVZN4o8CUJKTiEbR","God of War 3 - Anthem of the Dead","spotify:artist:7EVrVA4VnT3DGeyIZjWLRZ, spotify:artist:1qaXdZXQL4QfKEzw4huC8z, spotify:artist:3Lc34BF8LDk8Ae0T81du3S, spotify:artist:35oG3mYnkDLWzjwFOE7dPA","Jeff Rona, Myrra Malmberg, Orphei Drängar, MOD","spotify:album:3IeTZegDmwMvYKyL16PV6L","The Greatest Video Game Music III - Choral Edition","spotify:artist:35oG3mYnkDLWzjwFOE7dPA, spotify:artist:1qaXdZXQL4QfKEzw4huC8z, spotify:artist:3Lc34BF8LDk8Ae0T81du3S","MOD, Myrra Malmberg, Orphei Drängar","2016-01-29","https://i.scdn.co/image/ab67616d0000b2737c9d1555816ce71314f8b59d","1","6","189449","https://p.scdn.co/mp3-preview/fa1f15c0efd79f728991a0e122b4366c95ddaa01?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","SEWDL6141629","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-10-22T15:52:36Z"
"spotify:track:5sbgp0g0OtWYSg1RQqKaC7","The Last of Us - The Choice","spotify:artist:4W3fa7tiXGVXl3KilbACqt, spotify:artist:35oG3mYnkDLWzjwFOE7dPA","Gustavo Santaolalla, MOD","spotify:album:3IeTZegDmwMvYKyL16PV6L","The Greatest Video Game Music III - Choral Edition","spotify:artist:35oG3mYnkDLWzjwFOE7dPA, spotify:artist:1qaXdZXQL4QfKEzw4huC8z, spotify:artist:3Lc34BF8LDk8Ae0T81du3S","MOD, Myrra Malmberg, Orphei Drängar","2016-01-29","https://i.scdn.co/image/ab67616d0000b2737c9d1555816ce71314f8b59d","1","7","121777","https://p.scdn.co/mp3-preview/482b1c2f09f0ffeb8654c6deac9b5beac29317ab?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","SEWDL6141630","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-10-22T15:52:36Z"
"spotify:track:3shwDe4kvQwODui2GsYGYS","Skyrim - Dragonborn","spotify:artist:77yY2QmM6bYvjJ3y5L2R0v, spotify:artist:1qaXdZXQL4QfKEzw4huC8z, spotify:artist:3Lc34BF8LDk8Ae0T81du3S, spotify:artist:35oG3mYnkDLWzjwFOE7dPA","Jeremy Soule, Myrra Malmberg, Orphei Drängar, MOD","spotify:album:3IeTZegDmwMvYKyL16PV6L","The Greatest Video Game Music III - Choral Edition","spotify:artist:35oG3mYnkDLWzjwFOE7dPA, spotify:artist:1qaXdZXQL4QfKEzw4huC8z, spotify:artist:3Lc34BF8LDk8Ae0T81du3S","MOD, Myrra Malmberg, Orphei Drängar","2016-01-29","https://i.scdn.co/image/ab67616d0000b2737c9d1555816ce71314f8b59d","1","8","185501","https://p.scdn.co/mp3-preview/cbe89d058500ae24feb3c59751278da28022aac3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","SEWDL6141631","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-10-22T15:52:36Z"
"spotify:track:4cJoOKRfer7OiYjSv6gwxE","Final Fantasy X - Hymn of the Fayth (Remix 2)","spotify:artist:3QGdFQ45BQaLxOwXMGvLpy, spotify:artist:63aGIPDyyk7J6s68Yy8vf5, spotify:artist:3V79CTgRnsDdJSTqKitROv, spotify:artist:1qaXdZXQL4QfKEzw4huC8z, spotify:artist:3Lc34BF8LDk8Ae0T81du3S, spotify:artist:35oG3mYnkDLWzjwFOE7dPA","Kazushige Nojima, Masashi Hamauzu, Nobuo Uematsu, Myrra Malmberg, Orphei Drängar, MOD","spotify:album:3IeTZegDmwMvYKyL16PV6L","The Greatest Video Game Music III - Choral Edition","spotify:artist:35oG3mYnkDLWzjwFOE7dPA, spotify:artist:1qaXdZXQL4QfKEzw4huC8z, spotify:artist:3Lc34BF8LDk8Ae0T81du3S","MOD, Myrra Malmberg, Orphei Drängar","2016-01-29","https://i.scdn.co/image/ab67616d0000b2737c9d1555816ce71314f8b59d","1","9","143907","https://p.scdn.co/mp3-preview/b8ebf6e454c50b0fd97ec051ea48e3d7f0659bf7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","SEWDL6141632","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-10-22T15:52:36Z"
"spotify:track:3xxJzVRKmYegGC35JIwsow","Portal - Still Alive","spotify:artist:292sg99iIOc93zcd30r4Oz, spotify:artist:1qaXdZXQL4QfKEzw4huC8z, spotify:artist:3Lc34BF8LDk8Ae0T81du3S, spotify:artist:35oG3mYnkDLWzjwFOE7dPA","Jonathan Coulton, Myrra Malmberg, Orphei Drängar, MOD","spotify:album:3IeTZegDmwMvYKyL16PV6L","The Greatest Video Game Music III - Choral Edition","spotify:artist:35oG3mYnkDLWzjwFOE7dPA, spotify:artist:1qaXdZXQL4QfKEzw4huC8z, spotify:artist:3Lc34BF8LDk8Ae0T81du3S","MOD, Myrra Malmberg, Orphei Drängar","2016-01-29","https://i.scdn.co/image/ab67616d0000b2737c9d1555816ce71314f8b59d","1","10","186085","https://p.scdn.co/mp3-preview/0070082dc7af01806cbc759be307dbfbd5d3c700?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","SEWDL6141633","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-10-22T15:52:36Z"
