"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4b9ruyWFMtREf1oatvwa5N","Darkseid","spotify:artist:6aaMZ3fcfLv4tEbmY7bjRM","Isaiah Rashad","spotify:album:6TQ8nqw43uUOWu7Yqp58ko","The House Is Burning","spotify:artist:6aaMZ3fcfLv4tEbmY7bjRM","Isaiah Rashad","2021-07-30","https://i.scdn.co/image/ab67616d0000b273ac895ae149e004dcbb6367be","1","1","126618","https://p.scdn.co/mp3-preview/094204ccaea171f744af2bd2aab954334af64fd9?cid=9950ac751e34487dbbe027c4fd7f8e99","true","59","USWB12102075","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-23T00:46:56Z"
"spotify:track:3Dah4SWoWwekrG4GShaHVP","From the Garden (feat. Lil Uzi Vert)","spotify:artist:6aaMZ3fcfLv4tEbmY7bjRM, spotify:artist:4O15NlyKLIASxsJ0PrXPfz","Isaiah Rashad, Lil Uzi Vert","spotify:album:6TQ8nqw43uUOWu7Yqp58ko","The House Is Burning","spotify:artist:6aaMZ3fcfLv4tEbmY7bjRM","Isaiah Rashad","2021-07-30","https://i.scdn.co/image/ab67616d0000b273ac895ae149e004dcbb6367be","1","2","189306","https://p.scdn.co/mp3-preview/a618747139511b000df5c12ac126871706f0da23?cid=9950ac751e34487dbbe027c4fd7f8e99","true","56","USWB12101901","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-23T00:46:56Z"
"spotify:track:6BiCjPFN5rM9JPy5eP5mCs","RIP Young","spotify:artist:6aaMZ3fcfLv4tEbmY7bjRM","Isaiah Rashad","spotify:album:6TQ8nqw43uUOWu7Yqp58ko","The House Is Burning","spotify:artist:6aaMZ3fcfLv4tEbmY7bjRM","Isaiah Rashad","2021-07-30","https://i.scdn.co/image/ab67616d0000b273ac895ae149e004dcbb6367be","1","3","158050","https://p.scdn.co/mp3-preview/090182e1c62bad97da0df06f25a93ab64ae9b7be?cid=9950ac751e34487dbbe027c4fd7f8e99","true","69","USWB12102063","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-23T00:46:56Z"
"spotify:track:5KW5AYiCyi5auXXZR2cvxM","Lay Wit Ya (feat. Duke Deuce)","spotify:artist:6aaMZ3fcfLv4tEbmY7bjRM, spotify:artist:24zj84GShUIcBQYq6VpOYW","Isaiah Rashad, Duke Deuce","spotify:album:6TQ8nqw43uUOWu7Yqp58ko","The House Is Burning","spotify:artist:6aaMZ3fcfLv4tEbmY7bjRM","Isaiah Rashad","2021-07-30","https://i.scdn.co/image/ab67616d0000b273ac895ae149e004dcbb6367be","1","4","202331","https://p.scdn.co/mp3-preview/5501de094538777938484178b02edf1c3afeb357?cid=9950ac751e34487dbbe027c4fd7f8e99","true","54","USWB12101141","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-23T00:46:56Z"
"spotify:track:051zam2WDIKOLdu4XYpCaA","Claymore (feat. Smino)","spotify:artist:6aaMZ3fcfLv4tEbmY7bjRM, spotify:artist:1ybINI1qPiFbwDXamRtwxD","Isaiah Rashad, Smino","spotify:album:6TQ8nqw43uUOWu7Yqp58ko","The House Is Burning","spotify:artist:6aaMZ3fcfLv4tEbmY7bjRM","Isaiah Rashad","2021-07-30","https://i.scdn.co/image/ab67616d0000b273ac895ae149e004dcbb6367be","1","5","186151","https://p.scdn.co/mp3-preview/eeea852b2427cecae9e1aaf2b3bc6dff44d559e2?cid=9950ac751e34487dbbe027c4fd7f8e99","true","60","USWB12102064","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-23T00:46:56Z"
"spotify:track:0xta6Gah3inmeHbj0e3F9a","Headshots (4r da Locals)","spotify:artist:6aaMZ3fcfLv4tEbmY7bjRM","Isaiah Rashad","spotify:album:6TQ8nqw43uUOWu7Yqp58ko","The House Is Burning","spotify:artist:6aaMZ3fcfLv4tEbmY7bjRM","Isaiah Rashad","2021-07-30","https://i.scdn.co/image/ab67616d0000b273ac895ae149e004dcbb6367be","1","6","193208","https://p.scdn.co/mp3-preview/595b69ec826b39aed6cec4f0dbda18c8fa8b0d1d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","69","USWB12101513","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-23T00:46:56Z"
"spotify:track:4JsTX2WkPcdDTWbchQJuko","All Herb (feat. Amindi)","spotify:artist:6aaMZ3fcfLv4tEbmY7bjRM, spotify:artist:1xQIR56DxgWYZPUvOLRIua","Isaiah Rashad, Amindi","spotify:album:6TQ8nqw43uUOWu7Yqp58ko","The House Is Burning","spotify:artist:6aaMZ3fcfLv4tEbmY7bjRM","Isaiah Rashad","2021-07-30","https://i.scdn.co/image/ab67616d0000b273ac895ae149e004dcbb6367be","1","7","224447","https://p.scdn.co/mp3-preview/f2f3d958cb9856106ebae4ad711cbc026572e840?cid=9950ac751e34487dbbe027c4fd7f8e99","true","51","USWB12102076","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-23T00:46:56Z"
"spotify:track:0McOOEVI11ks2PPOVZLou8","Hey Mista","spotify:artist:6aaMZ3fcfLv4tEbmY7bjRM","Isaiah Rashad","spotify:album:6TQ8nqw43uUOWu7Yqp58ko","The House Is Burning","spotify:artist:6aaMZ3fcfLv4tEbmY7bjRM","Isaiah Rashad","2021-07-30","https://i.scdn.co/image/ab67616d0000b273ac895ae149e004dcbb6367be","1","8","115862","https://p.scdn.co/mp3-preview/474c4b11e5dc60f875918fb7c35f785770eeeeb3?cid=9950ac751e34487dbbe027c4fd7f8e99","true","54","USWB12102077","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-23T00:46:56Z"
"spotify:track:5YZpdsmpazPtBHFbGN8mon","True Story (feat. Jay Rock & Jay Worthy)","spotify:artist:6aaMZ3fcfLv4tEbmY7bjRM, spotify:artist:28ExwzUQsvgJooOI0X1mr3, spotify:artist:7jDblfQQLFAZCKXFfoGZ9Q","Isaiah Rashad, Jay Rock, Jay Worthy","spotify:album:6TQ8nqw43uUOWu7Yqp58ko","The House Is Burning","spotify:artist:6aaMZ3fcfLv4tEbmY7bjRM","Isaiah Rashad","2021-07-30","https://i.scdn.co/image/ab67616d0000b273ac895ae149e004dcbb6367be","1","9","226666","https://p.scdn.co/mp3-preview/c0e2049cdfa1911badf8a6e42b33908934a2869d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","52","USWB12102078","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-23T00:46:56Z"
"spotify:track:0VYchQkqpeEyh95D1pWqy2","Wat U Sed (feat. Doechii & Kal Banx)","spotify:artist:6aaMZ3fcfLv4tEbmY7bjRM, spotify:artist:4E2rKHVDssGJm2SCDOMMJB, spotify:artist:2TYRz7cFNZNPLUWRijsJNL","Isaiah Rashad, Doechii, Kal Banx","spotify:album:6TQ8nqw43uUOWu7Yqp58ko","The House Is Burning","spotify:artist:6aaMZ3fcfLv4tEbmY7bjRM","Isaiah Rashad","2021-07-30","https://i.scdn.co/image/ab67616d0000b273ac895ae149e004dcbb6367be","1","10","176682","https://p.scdn.co/mp3-preview/8d11c35ab420ee7ca343e6cd1d866fce7a4f7a2b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","65","USWB12102079","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-23T00:46:56Z"
