"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4tEaytMs86hIaOSsiGoLcP","Excursions","spotify:artist:09hVIj6vWgoCDtT03h8ZCa","A Tribe Called Quest","spotify:album:1p12OAWwudgMqfMzjMvl2a","The Low End Theory","spotify:artist:09hVIj6vWgoCDtT03h8ZCa","A Tribe Called Quest","1991-09-24","https://i.scdn.co/image/ab67616d0000b273f38c6b37a21334e22005b1f7","1","1","234626","https://p.scdn.co/mp3-preview/fabdbad2e8a50f042a043aacd2aff95a0cfeb56d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","USJI10300150","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T21:02:40Z"
"spotify:track:6GAemDMWAXa8wZOBkO1gar","Buggin' Out","spotify:artist:09hVIj6vWgoCDtT03h8ZCa","A Tribe Called Quest","spotify:album:1p12OAWwudgMqfMzjMvl2a","The Low End Theory","spotify:artist:09hVIj6vWgoCDtT03h8ZCa","A Tribe Called Quest","1991-09-24","https://i.scdn.co/image/ab67616d0000b273f38c6b37a21334e22005b1f7","1","2","217466","https://p.scdn.co/mp3-preview/3fb44de89514c17fd4f5818aa1cf527fd2519c57?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","USJI19100001","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T21:02:40Z"
"spotify:track:6CCIqr8xROr3jTnXf4GI3B","Rap Promoter","spotify:artist:09hVIj6vWgoCDtT03h8ZCa","A Tribe Called Quest","spotify:album:1p12OAWwudgMqfMzjMvl2a","The Low End Theory","spotify:artist:09hVIj6vWgoCDtT03h8ZCa","A Tribe Called Quest","1991-09-24","https://i.scdn.co/image/ab67616d0000b273f38c6b37a21334e22005b1f7","1","3","133000","https://p.scdn.co/mp3-preview/0068c3306902624d460f928e37d4d7720c9b83cd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","USJI10300152","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T21:02:40Z"
"spotify:track:758mQT4zzlvBhy9PvNePwC","Butter","spotify:artist:09hVIj6vWgoCDtT03h8ZCa","A Tribe Called Quest","spotify:album:1p12OAWwudgMqfMzjMvl2a","The Low End Theory","spotify:artist:09hVIj6vWgoCDtT03h8ZCa","A Tribe Called Quest","1991-09-24","https://i.scdn.co/image/ab67616d0000b273f38c6b37a21334e22005b1f7","1","4","218773","https://p.scdn.co/mp3-preview/8ca060b3fa2f75ce0f1889f38fdc8562a763b801?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","USJI10300153","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T21:02:40Z"
"spotify:track:6zrsmzrMoxNkXEQLubCWtA","Verses from the Abstract","spotify:artist:09hVIj6vWgoCDtT03h8ZCa","A Tribe Called Quest","spotify:album:1p12OAWwudgMqfMzjMvl2a","The Low End Theory","spotify:artist:09hVIj6vWgoCDtT03h8ZCa","A Tribe Called Quest","1991-09-24","https://i.scdn.co/image/ab67616d0000b273f38c6b37a21334e22005b1f7","1","5","238893","https://p.scdn.co/mp3-preview/aae7a1ee1e4abcf195575f9ca85fadf580ba88d4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","USJI10300154","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T21:02:40Z"
"spotify:track:2wS1PObRyCywHdmog5eOWW","Show Business","spotify:artist:09hVIj6vWgoCDtT03h8ZCa","A Tribe Called Quest","spotify:album:1p12OAWwudgMqfMzjMvl2a","The Low End Theory","spotify:artist:09hVIj6vWgoCDtT03h8ZCa","A Tribe Called Quest","1991-09-24","https://i.scdn.co/image/ab67616d0000b273f38c6b37a21334e22005b1f7","1","6","233440","https://p.scdn.co/mp3-preview/d610e0881d4008f6421687151ab30b328d8b2bc2?cid=9950ac751e34487dbbe027c4fd7f8e99","true","50","USJI10300155","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T21:02:40Z"
"spotify:track:4MdEYuoGhG2RTG3erOiu2H","Vibes and Stuff","spotify:artist:09hVIj6vWgoCDtT03h8ZCa","A Tribe Called Quest","spotify:album:1p12OAWwudgMqfMzjMvl2a","The Low End Theory","spotify:artist:09hVIj6vWgoCDtT03h8ZCa","A Tribe Called Quest","1991-09-24","https://i.scdn.co/image/ab67616d0000b273f38c6b37a21334e22005b1f7","1","7","257826","https://p.scdn.co/mp3-preview/6da0828aa1b9b786a127302c118e68f27a8c3129?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","USJI10300156","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T21:02:40Z"
"spotify:track:4hozY0uWh4hxvH2mP6EmSL","Infamous Date Rape","spotify:artist:09hVIj6vWgoCDtT03h8ZCa","A Tribe Called Quest","spotify:album:1p12OAWwudgMqfMzjMvl2a","The Low End Theory","spotify:artist:09hVIj6vWgoCDtT03h8ZCa","A Tribe Called Quest","1991-09-24","https://i.scdn.co/image/ab67616d0000b273f38c6b37a21334e22005b1f7","1","8","173573","https://p.scdn.co/mp3-preview/58f38535c754b48b6a7a628c2dd1bb6c1f2ae53f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","USJI10300157","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T21:02:40Z"
"spotify:track:4HfxDJ0uLHTLe0fZrx0MbQ","Check the Rhime","spotify:artist:09hVIj6vWgoCDtT03h8ZCa","A Tribe Called Quest","spotify:album:1p12OAWwudgMqfMzjMvl2a","The Low End Theory","spotify:artist:09hVIj6vWgoCDtT03h8ZCa","A Tribe Called Quest","1991-09-24","https://i.scdn.co/image/ab67616d0000b273f38c6b37a21334e22005b1f7","1","9","216693","https://p.scdn.co/mp3-preview/9917486d7c7e20dc8114710fdd4092590d627ec5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","USJI19100005","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T21:02:40Z"
"spotify:track:33d7n0d2Ou4wQ5AcLrLTav","Everything Is Fair","spotify:artist:09hVIj6vWgoCDtT03h8ZCa","A Tribe Called Quest","spotify:album:1p12OAWwudgMqfMzjMvl2a","The Low End Theory","spotify:artist:09hVIj6vWgoCDtT03h8ZCa","A Tribe Called Quest","1991-09-24","https://i.scdn.co/image/ab67616d0000b273f38c6b37a21334e22005b1f7","1","10","178333","https://p.scdn.co/mp3-preview/c5f8b4d5912b33d673d29dc03180dc4d656ec9de?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","USJI10300158","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-14T21:02:40Z"
