"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:781V2Y5LPtcpgONEOadadE","Get Got","spotify:artist:5RADpgYLOuS2ZxDq7ggYYH","Death Grips","spotify:album:1PQDjdBpHPikAodJqjzm6a","The Money Store","spotify:artist:5RADpgYLOuS2ZxDq7ggYYH","Death Grips","2012-04-23","https://i.scdn.co/image/ab67616d0000b273b4f8459b0f719f8a97ee1c8c","1","1","171866","https://p.scdn.co/mp3-preview/17f4d1ffe6f0a2324d915164f9ce887ab43d1880?cid=9950ac751e34487dbbe027c4fd7f8e99","true","62","USSM11200903","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-29T10:57:57Z"
"spotify:track:5lq6hpsabgw22xRYPHVV5c","The Fever (Aye Aye)","spotify:artist:5RADpgYLOuS2ZxDq7ggYYH","Death Grips","spotify:album:1PQDjdBpHPikAodJqjzm6a","The Money Store","spotify:artist:5RADpgYLOuS2ZxDq7ggYYH","Death Grips","2012-04-23","https://i.scdn.co/image/ab67616d0000b273b4f8459b0f719f8a97ee1c8c","1","2","186973","https://p.scdn.co/mp3-preview/015ed9ea755e3bdc9cbf6fae10070177afcf59a8?cid=9950ac751e34487dbbe027c4fd7f8e99","true","56","USSM11200904","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-29T10:57:57Z"
"spotify:track:4Q3ikbp3CWt0Gp4iYDt4lV","Lost Boys","spotify:artist:5RADpgYLOuS2ZxDq7ggYYH","Death Grips","spotify:album:1PQDjdBpHPikAodJqjzm6a","The Money Store","spotify:artist:5RADpgYLOuS2ZxDq7ggYYH","Death Grips","2012-04-23","https://i.scdn.co/image/ab67616d0000b273b4f8459b0f719f8a97ee1c8c","1","3","186320","https://p.scdn.co/mp3-preview/00f8a9166e65457f7a9d4ac30875797aff24133c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","50","USSM11200905","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-29T10:57:57Z"
"spotify:track:4mRuyccI90TUWJKP7qdYvX","Blackjack","spotify:artist:5RADpgYLOuS2ZxDq7ggYYH","Death Grips","spotify:album:1PQDjdBpHPikAodJqjzm6a","The Money Store","spotify:artist:5RADpgYLOuS2ZxDq7ggYYH","Death Grips","2012-04-23","https://i.scdn.co/image/ab67616d0000b273b4f8459b0f719f8a97ee1c8c","1","4","142000","https://p.scdn.co/mp3-preview/bf8c8c98283504b1a0837ad35e59bd39ce98aa1a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","51","USSM11200906","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-29T10:57:57Z"
"spotify:track:5PXyH5bb5fbVfO8LjByhBb","Hustle Bones","spotify:artist:5RADpgYLOuS2ZxDq7ggYYH","Death Grips","spotify:album:1PQDjdBpHPikAodJqjzm6a","The Money Store","spotify:artist:5RADpgYLOuS2ZxDq7ggYYH","Death Grips","2012-04-23","https://i.scdn.co/image/ab67616d0000b273b4f8459b0f719f8a97ee1c8c","1","5","192360","https://p.scdn.co/mp3-preview/1207468f2541b800b947332a60bd86d9691d7690?cid=9950ac751e34487dbbe027c4fd7f8e99","true","55","USSM11200909","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-29T10:57:57Z"
"spotify:track:7nCONy10IHp7XD3oYZ0lcx","I've Seen Footage","spotify:artist:5RADpgYLOuS2ZxDq7ggYYH","Death Grips","spotify:album:1PQDjdBpHPikAodJqjzm6a","The Money Store","spotify:artist:5RADpgYLOuS2ZxDq7ggYYH","Death Grips","2012-04-23","https://i.scdn.co/image/ab67616d0000b273b4f8459b0f719f8a97ee1c8c","1","6","202853","https://p.scdn.co/mp3-preview/8f1d8d7f75478c3dd750b87d85f326fae492153a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","62","USSM11200908","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-29T10:57:57Z"
"spotify:track:2SWHZzjaqBuWYUUuxjdeBG","Double Helix","spotify:artist:5RADpgYLOuS2ZxDq7ggYYH","Death Grips","spotify:album:1PQDjdBpHPikAodJqjzm6a","The Money Store","spotify:artist:5RADpgYLOuS2ZxDq7ggYYH","Death Grips","2012-04-23","https://i.scdn.co/image/ab67616d0000b273b4f8459b0f719f8a97ee1c8c","1","7","160093","https://p.scdn.co/mp3-preview/1167dc16b9b655823749f53d65e5e4f3897ccd45?cid=9950ac751e34487dbbe027c4fd7f8e99","true","49","USSM11200907","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-29T10:57:57Z"
"spotify:track:5ZtF5IAVOaAQfVjbZav0K2","System Blower","spotify:artist:5RADpgYLOuS2ZxDq7ggYYH","Death Grips","spotify:album:1PQDjdBpHPikAodJqjzm6a","The Money Store","spotify:artist:5RADpgYLOuS2ZxDq7ggYYH","Death Grips","2012-04-23","https://i.scdn.co/image/ab67616d0000b273b4f8459b0f719f8a97ee1c8c","1","8","228093","https://p.scdn.co/mp3-preview/9e5d97f778348bf4efc45dca5745c50e2da4855c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","51","USSM11200916","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-29T10:57:57Z"
"spotify:track:1au4OV9YwQE9rjXRY2rpqY","The Cage","spotify:artist:5RADpgYLOuS2ZxDq7ggYYH","Death Grips","spotify:album:1PQDjdBpHPikAodJqjzm6a","The Money Store","spotify:artist:5RADpgYLOuS2ZxDq7ggYYH","Death Grips","2012-04-23","https://i.scdn.co/image/ab67616d0000b273b4f8459b0f719f8a97ee1c8c","1","9","211093","https://p.scdn.co/mp3-preview/e0ca4c896bb0b9a586e5f5efe9ae7611e4e14ede?cid=9950ac751e34487dbbe027c4fd7f8e99","true","48","USSM11200914","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-29T10:57:57Z"
"spotify:track:6Ucjy0z1uO111RCUVXqhnn","Punk Weight","spotify:artist:5RADpgYLOuS2ZxDq7ggYYH","Death Grips","spotify:album:1PQDjdBpHPikAodJqjzm6a","The Money Store","spotify:artist:5RADpgYLOuS2ZxDq7ggYYH","Death Grips","2012-04-23","https://i.scdn.co/image/ab67616d0000b273b4f8459b0f719f8a97ee1c8c","1","10","204240","https://p.scdn.co/mp3-preview/bb0f7462c198813efb0584b3a03b4615f1f8de81?cid=9950ac751e34487dbbe027c4fd7f8e99","true","51","USSM11200910","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-12-29T10:57:57Z"
