"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5qjxbESLSYtV20JKeiwsaZ","Beautiful Head","spotify:artist:2cCUtGK9sDU2EoElnk0GNB","The National","spotify:album:5VndZ1dWP9h0mmUl1Pslq4","The National","spotify:artist:2cCUtGK9sDU2EoElnk0GNB","The National","2001-07-03","https://i.scdn.co/image/ab67616d0000b273f96a8aab977d77acb61a86c9","1","1","188400","https://p.scdn.co/mp3-preview/af5601d82a5f50920b766dd4f5a629794ef0b339?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","USI4R0508213","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-17T13:46:42Z"
"spotify:track:77JYrFDjiqBSUQ6qMLfhaL","Cold Girl Fever","spotify:artist:2cCUtGK9sDU2EoElnk0GNB","The National","spotify:album:5VndZ1dWP9h0mmUl1Pslq4","The National","spotify:artist:2cCUtGK9sDU2EoElnk0GNB","The National","2001-07-03","https://i.scdn.co/image/ab67616d0000b273f96a8aab977d77acb61a86c9","1","2","246000","https://p.scdn.co/mp3-preview/30fc46855dc0a2872d0090390b188c0213138f63?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","USI4R0508214","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-17T13:46:42Z"
"spotify:track:1cZnwa4gquHoJ6jTIAYAkg","The Perfect Song","spotify:artist:2cCUtGK9sDU2EoElnk0GNB","The National","spotify:album:5VndZ1dWP9h0mmUl1Pslq4","The National","spotify:artist:2cCUtGK9sDU2EoElnk0GNB","The National","2001-07-03","https://i.scdn.co/image/ab67616d0000b273f96a8aab977d77acb61a86c9","1","3","195200","https://p.scdn.co/mp3-preview/47e0e0dbb7637cf41ffdeec81f236987c2b47ed8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","USI4R0508215","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-17T13:46:42Z"
"spotify:track:1IGBD3TlzViHUHb1FKeEHz","American Mary","spotify:artist:2cCUtGK9sDU2EoElnk0GNB","The National","spotify:album:5VndZ1dWP9h0mmUl1Pslq4","The National","spotify:artist:2cCUtGK9sDU2EoElnk0GNB","The National","2001-07-03","https://i.scdn.co/image/ab67616d0000b273f96a8aab977d77acb61a86c9","1","4","242893","https://p.scdn.co/mp3-preview/8d0ae9cdafa7be9b2e32160d03e2a46b2c327d0a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","USI4R0508216","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-17T13:46:42Z"
"spotify:track:2qNifuc2Z75HavDfBpCuGf","Son","spotify:artist:2cCUtGK9sDU2EoElnk0GNB","The National","spotify:album:5VndZ1dWP9h0mmUl1Pslq4","The National","spotify:artist:2cCUtGK9sDU2EoElnk0GNB","The National","2001-07-03","https://i.scdn.co/image/ab67616d0000b273f96a8aab977d77acb61a86c9","1","5","319733","https://p.scdn.co/mp3-preview/2a2f217266e5a360d378e31c1f1d948972b2d499?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","USI4R0508217","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-17T13:46:42Z"
"spotify:track:6IEEpgL2pWzEqeJU7DdUD5","Pay For Me","spotify:artist:2cCUtGK9sDU2EoElnk0GNB","The National","spotify:album:5VndZ1dWP9h0mmUl1Pslq4","The National","spotify:artist:2cCUtGK9sDU2EoElnk0GNB","The National","2001-07-03","https://i.scdn.co/image/ab67616d0000b273f96a8aab977d77acb61a86c9","1","6","202640","https://p.scdn.co/mp3-preview/f2a7402ead082986780418f1273684d5303c08a1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","USI4R0508218","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-17T13:46:42Z"
"spotify:track:4GbOdlWpwsQxoUboLNqshV","Bitters & Absolut","spotify:artist:2cCUtGK9sDU2EoElnk0GNB","The National","spotify:album:5VndZ1dWP9h0mmUl1Pslq4","The National","spotify:artist:2cCUtGK9sDU2EoElnk0GNB","The National","2001-07-03","https://i.scdn.co/image/ab67616d0000b273f96a8aab977d77acb61a86c9","1","7","240026","https://p.scdn.co/mp3-preview/257880222d48c3d07ff6fafb3d3c8c5377bafafb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","USI4R0508219","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-17T13:46:42Z"
"spotify:track:6B0vA1VobjedKbjSkTY1tk","John's Star","spotify:artist:2cCUtGK9sDU2EoElnk0GNB","The National","spotify:album:5VndZ1dWP9h0mmUl1Pslq4","The National","spotify:artist:2cCUtGK9sDU2EoElnk0GNB","The National","2001-07-03","https://i.scdn.co/image/ab67616d0000b273f96a8aab977d77acb61a86c9","1","8","184866","https://p.scdn.co/mp3-preview/1cfdcf56c5030ebd86813dfe598bb3821fb9acf7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","USI4R0508220","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-17T13:46:42Z"
"spotify:track:0hdDBAtFnekO78kmOGlcrc","Watching You Well","spotify:artist:2cCUtGK9sDU2EoElnk0GNB","The National","spotify:album:5VndZ1dWP9h0mmUl1Pslq4","The National","spotify:artist:2cCUtGK9sDU2EoElnk0GNB","The National","2001-07-03","https://i.scdn.co/image/ab67616d0000b273f96a8aab977d77acb61a86c9","1","9","182440","https://p.scdn.co/mp3-preview/20154eddb1608b43be994aa760abda478f329372?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","USI4R0508221","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-17T13:46:42Z"
"spotify:track:6DrpiNrqgOgdcyNa51CqVd","Theory of the Crows","spotify:artist:2cCUtGK9sDU2EoElnk0GNB","The National","spotify:album:5VndZ1dWP9h0mmUl1Pslq4","The National","spotify:artist:2cCUtGK9sDU2EoElnk0GNB","The National","2001-07-03","https://i.scdn.co/image/ab67616d0000b273f96a8aab977d77acb61a86c9","1","10","276600","https://p.scdn.co/mp3-preview/38c6075af9005e9e138048b7e671d0560c4c981c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","USI4R0508222","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-17T13:46:42Z"
"spotify:track:3IifrPET3e7aWXT3FN4Ij6","29 Years","spotify:artist:2cCUtGK9sDU2EoElnk0GNB","The National","spotify:album:5VndZ1dWP9h0mmUl1Pslq4","The National","spotify:artist:2cCUtGK9sDU2EoElnk0GNB","The National","2001-07-03","https://i.scdn.co/image/ab67616d0000b273f96a8aab977d77acb61a86c9","1","11","170493","https://p.scdn.co/mp3-preview/826ee0f9fb2bd056aeccdfeb67de7f9908a0bd78?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","USI4R0508223","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-17T13:46:42Z"
"spotify:track:7JlJGvQ4X3wFl5wn54U5hC","Anna Freud","spotify:artist:2cCUtGK9sDU2EoElnk0GNB","The National","spotify:album:5VndZ1dWP9h0mmUl1Pslq4","The National","spotify:artist:2cCUtGK9sDU2EoElnk0GNB","The National","2001-07-03","https://i.scdn.co/image/ab67616d0000b273f96a8aab977d77acb61a86c9","1","12","187266","https://p.scdn.co/mp3-preview/78645024b3917e4ad02104cc86b2a202a92289c2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","USI4R0508224","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-17T13:46:42Z"
