"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4abXyBndn98651BwniqrNC","Doo Wop","spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7","JID","spotify:album:1gPqbxhs90kppgOVxGOPzd","The Never Story","spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7","JID","2017-03-10","https://i.scdn.co/image/ab67616d0000b273f705b14ca8b81af140d1f1d3","1","1","75265","","true","46","USUM71701756","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-24T21:55:54Z"
"spotify:track:7hJvx1rJTUsKUngnHdBuir","General","spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7","JID","spotify:album:1gPqbxhs90kppgOVxGOPzd","The Never Story","spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7","JID","2017-03-10","https://i.scdn.co/image/ab67616d0000b273f705b14ca8b81af140d1f1d3","1","2","198297","","true","50","USUM71701757","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-24T21:55:54Z"
"spotify:track:7hsulgRNgbyczeAg8tChCB","NEVER","spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7","JID","spotify:album:1gPqbxhs90kppgOVxGOPzd","The Never Story","spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7","JID","2017-03-10","https://i.scdn.co/image/ab67616d0000b273f705b14ca8b81af140d1f1d3","1","3","241682","","true","65","USUM71615106","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-24T21:55:54Z"
"spotify:track:4vmqU3xlzuhxtaeXrtAX1F","EdEddnEddy","spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7","JID","spotify:album:1gPqbxhs90kppgOVxGOPzd","The Never Story","spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7","JID","2017-03-10","https://i.scdn.co/image/ab67616d0000b273f705b14ca8b81af140d1f1d3","1","4","140511","","true","62","USUM71701758","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-24T21:55:54Z"
"spotify:track:0DcBQ7dMhCMvk9t6L4XI7G","D/vision","spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7, spotify:artist:5MbNzCW3qokGyoo9giHA3V","JID, EARTHGANG","spotify:album:1gPqbxhs90kppgOVxGOPzd","The Never Story","spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7","JID","2017-03-10","https://i.scdn.co/image/ab67616d0000b273f705b14ca8b81af140d1f1d3","1","5","265882","","true","52","USUM71701759","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-24T21:55:54Z"
"spotify:track:0fK60qLRIpyT05TXzoSBY0","Hereditary","spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7","JID","spotify:album:1gPqbxhs90kppgOVxGOPzd","The Never Story","spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7","JID","2017-03-10","https://i.scdn.co/image/ab67616d0000b273f705b14ca8b81af140d1f1d3","1","6","243206","","true","57","USUM71701764","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-24T21:55:54Z"
"spotify:track:0G6ExlA2fcJIDGoayswUNT","All Bad","spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7, spotify:artist:294lNTPZfdqyzt8qnxmFiL","JID, Mereba","spotify:album:1gPqbxhs90kppgOVxGOPzd","The Never Story","spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7","JID","2017-03-10","https://i.scdn.co/image/ab67616d0000b273f705b14ca8b81af140d1f1d3","1","7","291760","","true","56","USUM71701765","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-24T21:55:54Z"
"spotify:track:7hnXGKHrBw24S9Ptry3cd4","Underwear","spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7","JID","spotify:album:1gPqbxhs90kppgOVxGOPzd","The Never Story","spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7","JID","2017-03-10","https://i.scdn.co/image/ab67616d0000b273f705b14ca8b81af140d1f1d3","1","8","214415","","true","46","USUM71701762","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-24T21:55:54Z"
"spotify:track:0gmYtRyuvRKpd6cCApSDTh","8701","spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7, spotify:artist:4IVAbR2w4JJNJDDRFP3E83","JID, 6LACK","spotify:album:1gPqbxhs90kppgOVxGOPzd","The Never Story","spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7","JID","2017-03-10","https://i.scdn.co/image/ab67616d0000b273f705b14ca8b81af140d1f1d3","1","9","111809","","true","57","USUM71701763","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-24T21:55:54Z"
"spotify:track:2bej0YlVSD5S91vf9dVHN4","Hoodbooger","spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7","JID","spotify:album:1gPqbxhs90kppgOVxGOPzd","The Never Story","spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7","JID","2017-03-10","https://i.scdn.co/image/ab67616d0000b273f705b14ca8b81af140d1f1d3","1","10","156472","","true","45","USUM71701766","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-07-24T21:55:54Z"
