"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5ekDMqfmN7R0geMmCXco2c","Bridge Over Troubled Water","spotify:artist:70cRZdQywnSFp9pnc2WTCE","Simon & Garfunkel","spotify:album:0D1OzpaQEeiIMCAm3DUwKa","The Singer","spotify:artist:6kEsKkXuE4olX7m3mNLZkS","Art Garfunkel","2012-08-28","https://i.scdn.co/image/ab67616d0000b273dd9e17a2000252d6b79cf904","1","1","291946","https://p.scdn.co/mp3-preview/5a4069c954caab2752316a5f5fe6429ee295e434?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","USSM10403915","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-29T06:41:27Z"
"spotify:track:7gVj2lGXiD7ez06AjUt9Bh","All I Know","spotify:artist:6kEsKkXuE4olX7m3mNLZkS","Art Garfunkel","spotify:album:0D1OzpaQEeiIMCAm3DUwKa","The Singer","spotify:artist:6kEsKkXuE4olX7m3mNLZkS","Art Garfunkel","2012-08-28","https://i.scdn.co/image/ab67616d0000b273dd9e17a2000252d6b79cf904","1","2","126706","https://p.scdn.co/mp3-preview/acb0a62d4044bcd1566d9a312623148ce4112546?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","USSM11001112","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-29T06:41:27Z"
"spotify:track:2cCdc8awWajcPIZuAjNzOL","Perfect Moment","spotify:artist:6kEsKkXuE4olX7m3mNLZkS","Art Garfunkel","spotify:album:0D1OzpaQEeiIMCAm3DUwKa","The Singer","spotify:artist:6kEsKkXuE4olX7m3mNLZkS","Art Garfunkel","2012-08-28","https://i.scdn.co/image/ab67616d0000b273dd9e17a2000252d6b79cf904","1","3","234920","","false","0","USAR20200100","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-29T06:41:27Z"
"spotify:track:6Li8ooo1yUieoOacecCzPz","For Emily, Whenever I May Find Her","spotify:artist:70cRZdQywnSFp9pnc2WTCE","Simon & Garfunkel","spotify:album:0D1OzpaQEeiIMCAm3DUwKa","The Singer","spotify:artist:6kEsKkXuE4olX7m3mNLZkS","Art Garfunkel","2012-08-28","https://i.scdn.co/image/ab67616d0000b273dd9e17a2000252d6b79cf904","1","4","138480","https://p.scdn.co/mp3-preview/34092839cf73c557d01e14548df470699dde140c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","USSM16601116","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-29T06:41:27Z"
"spotify:track:1Q0rhSqSirIeFmE4zZnUtH","Crying In the Rain (with James Taylor)","spotify:artist:6kEsKkXuE4olX7m3mNLZkS, spotify:artist:0vn7UBvSQECKJm2817Yf1P","Art Garfunkel, James Taylor","spotify:album:0D1OzpaQEeiIMCAm3DUwKa","The Singer","spotify:artist:6kEsKkXuE4olX7m3mNLZkS","Art Garfunkel","2012-08-28","https://i.scdn.co/image/ab67616d0000b273dd9e17a2000252d6b79cf904","1","5","212920","","false","0","USSM10025400","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-29T06:41:27Z"
"spotify:track:6qcDy1ukalRQj6xKuGF2JA","I Only Have Eyes for You","spotify:artist:6kEsKkXuE4olX7m3mNLZkS","Art Garfunkel","spotify:album:0D1OzpaQEeiIMCAm3DUwKa","The Singer","spotify:artist:6kEsKkXuE4olX7m3mNLZkS","Art Garfunkel","2012-08-28","https://i.scdn.co/image/ab67616d0000b273dd9e17a2000252d6b79cf904","1","6","190146","https://p.scdn.co/mp3-preview/25c3f221e51868bb9e093d2f3146b072ab9aca01?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","USSM11204809","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-29T06:41:27Z"
"spotify:track:5n1pVVbb0i1dyNSiZf2irR","99 Miles from L.A.","spotify:artist:6kEsKkXuE4olX7m3mNLZkS","Art Garfunkel","spotify:album:0D1OzpaQEeiIMCAm3DUwKa","The Singer","spotify:artist:6kEsKkXuE4olX7m3mNLZkS","Art Garfunkel","2012-08-28","https://i.scdn.co/image/ab67616d0000b273dd9e17a2000252d6b79cf904","1","7","204320","https://p.scdn.co/mp3-preview/b8dbc6eff550141998af2ada6f7d1f5424f297e5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","USSM19802022","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-29T06:41:27Z"
"spotify:track:5EvYwFfSXS8AsIRD0y8uuS","(What A) Wonderful World","spotify:artist:6kEsKkXuE4olX7m3mNLZkS","Art Garfunkel","spotify:album:0D1OzpaQEeiIMCAm3DUwKa","The Singer","spotify:artist:6kEsKkXuE4olX7m3mNLZkS","Art Garfunkel","2012-08-28","https://i.scdn.co/image/ab67616d0000b273dd9e17a2000252d6b79cf904","1","8","203666","https://p.scdn.co/mp3-preview/15863475690903d9985586e07c37e3126cd8998d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","USSM10027750","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-29T06:41:27Z"
"spotify:track:770ozgqJcAg00S7R49Lddd","Bright Eyes","spotify:artist:6kEsKkXuE4olX7m3mNLZkS","Art Garfunkel","spotify:album:0D1OzpaQEeiIMCAm3DUwKa","The Singer","spotify:artist:6kEsKkXuE4olX7m3mNLZkS","Art Garfunkel","2012-08-28","https://i.scdn.co/image/ab67616d0000b273dd9e17a2000252d6b79cf904","1","9","237040","https://p.scdn.co/mp3-preview/98e77f3e192f39d88c7d8e4ca7df177b7b428d96?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","USSM10027521","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-29T06:41:27Z"
"spotify:track:2PgQUKVu6EXwDe8zBaaGd1","Two Sleepy People","spotify:artist:6kEsKkXuE4olX7m3mNLZkS","Art Garfunkel","spotify:album:0D1OzpaQEeiIMCAm3DUwKa","The Singer","spotify:artist:6kEsKkXuE4olX7m3mNLZkS","Art Garfunkel","2012-08-28","https://i.scdn.co/image/ab67616d0000b273dd9e17a2000252d6b79cf904","1","10","217346","https://p.scdn.co/mp3-preview/2e39199985b654f7c99b87d8a415f9e50466247c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","USSM10025253","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-29T06:41:27Z"
"spotify:track:0dNqBFgGKBLXFCV60RcUd4","Skywriter","spotify:artist:6kEsKkXuE4olX7m3mNLZkS","Art Garfunkel","spotify:album:0D1OzpaQEeiIMCAm3DUwKa","The Singer","spotify:artist:6kEsKkXuE4olX7m3mNLZkS","Art Garfunkel","2012-08-28","https://i.scdn.co/image/ab67616d0000b273dd9e17a2000252d6b79cf904","1","11","252813","https://p.scdn.co/mp3-preview/a0cc632bf6e06b0513ab6643b4c202057f5c63bf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","USSM10024602","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-29T06:41:27Z"
"spotify:track:7n2G21wCsM4OkuEAirxKId","Scarborough Fair / Canticle","spotify:artist:70cRZdQywnSFp9pnc2WTCE","Simon & Garfunkel","spotify:album:0D1OzpaQEeiIMCAm3DUwKa","The Singer","spotify:artist:6kEsKkXuE4olX7m3mNLZkS","Art Garfunkel","2012-08-28","https://i.scdn.co/image/ab67616d0000b273dd9e17a2000252d6b79cf904","1","12","189386","https://p.scdn.co/mp3-preview/4299c51fc87070352ead30cda74814667685ee63?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","USSM11204810","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-29T06:41:27Z"
