"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6Vm1379GvGxNMHoptK9AYg","Public Service Announcement - Album Version (Edited)","spotify:artist:7dGJo4pcD2V6oG8kP0tJRR","Eminem","spotify:album:2VFlCEu1NPLIbWjIw1lmjJ","The Slim Shady LP","spotify:artist:7dGJo4pcD2V6oG8kP0tJRR","Eminem","1999-02-23","https://i.scdn.co/image/ab67616d0000b2731381f35efba6ac849684ea9e","1","1","33226","","false","24","USIR10110632","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-25T23:42:17Z"
"spotify:track:5k7zON2QahcMSl4CFlJ0Kx","My Name Is","spotify:artist:7dGJo4pcD2V6oG8kP0tJRR","Eminem","spotify:album:2VFlCEu1NPLIbWjIw1lmjJ","The Slim Shady LP","spotify:artist:7dGJo4pcD2V6oG8kP0tJRR","Eminem","1999-02-23","https://i.scdn.co/image/ab67616d0000b2731381f35efba6ac849684ea9e","1","2","268440","","false","48","USIR19902106","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-25T23:42:17Z"
"spotify:track:4aCjfVeyGAvY7I5a1DH3OZ","Guilty Conscience","spotify:artist:7dGJo4pcD2V6oG8kP0tJRR, spotify:artist:6DPYiyq5kWVQS4RGwxzPC7","Eminem, Dr. Dre","spotify:album:2VFlCEu1NPLIbWjIw1lmjJ","The Slim Shady LP","spotify:artist:7dGJo4pcD2V6oG8kP0tJRR","Eminem","1999-02-23","https://i.scdn.co/image/ab67616d0000b2731381f35efba6ac849684ea9e","1","3","199333","","false","33","USUM71516084","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-25T23:42:17Z"
"spotify:track:0L0QXMQMLqdCxVd8jLOL0Y","Brain Damage","spotify:artist:7dGJo4pcD2V6oG8kP0tJRR","Eminem","spotify:album:2VFlCEu1NPLIbWjIw1lmjJ","The Slim Shady LP","spotify:artist:7dGJo4pcD2V6oG8kP0tJRR","Eminem","1999-02-23","https://i.scdn.co/image/ab67616d0000b2731381f35efba6ac849684ea9e","1","4","226360","","false","34","USUM71516076","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-25T23:42:17Z"
"spotify:track:4nUmIR26ipSnEPlgNsRBWk","Paul - Skit","spotify:artist:7dGJo4pcD2V6oG8kP0tJRR, spotify:artist:3k00aazgj6dYcmOCtFm3PG","Eminem, Paul ""Bunyan"" Rosenberg","spotify:album:2VFlCEu1NPLIbWjIw1lmjJ","The Slim Shady LP","spotify:artist:7dGJo4pcD2V6oG8kP0tJRR","Eminem","1999-02-23","https://i.scdn.co/image/ab67616d0000b2731381f35efba6ac849684ea9e","1","5","15840","","false","0","USIR19902061","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-25T23:42:17Z"
"spotify:track:6ymPu3FLvFhQJhKD9F1lgS","If I Had","spotify:artist:7dGJo4pcD2V6oG8kP0tJRR","Eminem","spotify:album:2VFlCEu1NPLIbWjIw1lmjJ","The Slim Shady LP","spotify:artist:7dGJo4pcD2V6oG8kP0tJRR","Eminem","1999-02-23","https://i.scdn.co/image/ab67616d0000b2731381f35efba6ac849684ea9e","1","6","245493","","false","29","USIR19902062","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-25T23:42:17Z"
"spotify:track:4qnCwPlt85blGO1MngCzPs","'97 Bonnie & Clyde","spotify:artist:7dGJo4pcD2V6oG8kP0tJRR","Eminem","spotify:album:2VFlCEu1NPLIbWjIw1lmjJ","The Slim Shady LP","spotify:artist:7dGJo4pcD2V6oG8kP0tJRR","Eminem","1999-02-23","https://i.scdn.co/image/ab67616d0000b2731381f35efba6ac849684ea9e","1","7","316440","","false","29","USIR19902063","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-25T23:42:17Z"
"spotify:track:0gLRDSjaDibLjNK0tZUuqt","Bitch - Skit","spotify:artist:7dGJo4pcD2V6oG8kP0tJRR, spotify:artist:1Y4xUiE2JutzTNXVTypyWQ","Eminem, Zoe Winkler","spotify:album:2VFlCEu1NPLIbWjIw1lmjJ","The Slim Shady LP","spotify:artist:7dGJo4pcD2V6oG8kP0tJRR","Eminem","1999-02-23","https://i.scdn.co/image/ab67616d0000b2731381f35efba6ac849684ea9e","1","8","19800","","false","0","USIR19902064","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-25T23:42:17Z"
"spotify:track:4NQcaKgDJzxcUT4Ap44d9s","Role Model","spotify:artist:7dGJo4pcD2V6oG8kP0tJRR","Eminem","spotify:album:2VFlCEu1NPLIbWjIw1lmjJ","The Slim Shady LP","spotify:artist:7dGJo4pcD2V6oG8kP0tJRR","Eminem","1999-02-23","https://i.scdn.co/image/ab67616d0000b2731381f35efba6ac849684ea9e","1","9","210400","","true","31","USIR19902065","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-25T23:42:17Z"
"spotify:track:7zxZCk07tFYxovMXOAC6jC","Lounge - Skit","spotify:artist:7dGJo4pcD2V6oG8kP0tJRR, spotify:artist:29LUur2mpi5s0OdMueyuvO, spotify:artist:3VWX9qiAkIUd4vrUK0Q2LU","Eminem, Jeff Bass, Mark Bass","spotify:album:2VFlCEu1NPLIbWjIw1lmjJ","The Slim Shady LP","spotify:artist:7dGJo4pcD2V6oG8kP0tJRR","Eminem","1999-02-23","https://i.scdn.co/image/ab67616d0000b2731381f35efba6ac849684ea9e","1","10","46533","","false","19","USIR19902066","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-25T23:42:17Z"
