"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5bSASu4W0HJx6CuG8rbRcA","Reel Around the Fountain - 2011 Remaster","spotify:artist:3yY2gUcIsjMr8hjo51PoJ8","The Smiths","spotify:album:6cI1XoZsOhkyrCwtuI70CN","The Smiths","spotify:artist:3yY2gUcIsjMr8hjo51PoJ8","The Smiths","1984-02-20","https://i.scdn.co/image/ab67616d0000b273a09b231129ab1cb1a6efc57f","1","1","359226","https://p.scdn.co/mp3-preview/e586b265ea9e155f85fb5561c37b71651b203789?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","GBCRL1100027","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-15T19:16:48Z"
"spotify:track:2DYCM1sNmGliRszlzPkMiG","You've Got Everything Now - 2011 Remaster","spotify:artist:3yY2gUcIsjMr8hjo51PoJ8","The Smiths","spotify:album:6cI1XoZsOhkyrCwtuI70CN","The Smiths","spotify:artist:3yY2gUcIsjMr8hjo51PoJ8","The Smiths","1984-02-20","https://i.scdn.co/image/ab67616d0000b273a09b231129ab1cb1a6efc57f","1","2","239800","https://p.scdn.co/mp3-preview/f6a1bf73842d773cc37bc448cbb4f6713a73a696?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","GBCRL1100028","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-15T19:16:48Z"
"spotify:track:7mlrI6GQJLbDPhBkAK1TkC","Miserable Lie - 2011 Remaster","spotify:artist:3yY2gUcIsjMr8hjo51PoJ8","The Smiths","spotify:album:6cI1XoZsOhkyrCwtuI70CN","The Smiths","spotify:artist:3yY2gUcIsjMr8hjo51PoJ8","The Smiths","1984-02-20","https://i.scdn.co/image/ab67616d0000b273a09b231129ab1cb1a6efc57f","1","3","267813","https://p.scdn.co/mp3-preview/a60489f15e01084d9ca3a658634351ee8c0a6320?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","GBCRL1100029","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-15T19:16:48Z"
"spotify:track:3wUMcPzXcmaeW8QxTdyXQO","Pretty Girls Make Graves - 2011 Remaster","spotify:artist:3yY2gUcIsjMr8hjo51PoJ8","The Smiths","spotify:album:6cI1XoZsOhkyrCwtuI70CN","The Smiths","spotify:artist:3yY2gUcIsjMr8hjo51PoJ8","The Smiths","1984-02-20","https://i.scdn.co/image/ab67616d0000b273a09b231129ab1cb1a6efc57f","1","4","223253","https://p.scdn.co/mp3-preview/5e930e1536517043f91e5cb82f5d820ad5ab0efc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","GBCRL1100030","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-15T19:16:48Z"
"spotify:track:4Xgswinq80oMl4a0xhBMWT","The Hand That Rocks the Cradle - 2011 Remaster","spotify:artist:3yY2gUcIsjMr8hjo51PoJ8","The Smiths","spotify:album:6cI1XoZsOhkyrCwtuI70CN","The Smiths","spotify:artist:3yY2gUcIsjMr8hjo51PoJ8","The Smiths","1984-02-20","https://i.scdn.co/image/ab67616d0000b273a09b231129ab1cb1a6efc57f","1","5","277986","https://p.scdn.co/mp3-preview/01411f8b85fc132e95226dee859caa21cc117194?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","GBCRL1100031","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-15T19:16:48Z"
"spotify:track:1FvDJ9KGxcqwv1utyPL3JZ","This Charming Man - 2011 Remaster","spotify:artist:3yY2gUcIsjMr8hjo51PoJ8","The Smiths","spotify:album:6cI1XoZsOhkyrCwtuI70CN","The Smiths","spotify:artist:3yY2gUcIsjMr8hjo51PoJ8","The Smiths","1984-02-20","https://i.scdn.co/image/ab67616d0000b273a09b231129ab1cb1a6efc57f","1","6","162920","https://p.scdn.co/mp3-preview/afbf2d0022e571b1e6f8022d4ee141453eac2375?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","GBCRL1100240","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-15T19:16:48Z"
"spotify:track:0uLI1jac8ZJSSRG4QJDo3J","Still Ill - 2011 Remaster","spotify:artist:3yY2gUcIsjMr8hjo51PoJ8","The Smiths","spotify:album:6cI1XoZsOhkyrCwtuI70CN","The Smiths","spotify:artist:3yY2gUcIsjMr8hjo51PoJ8","The Smiths","1984-02-20","https://i.scdn.co/image/ab67616d0000b273a09b231129ab1cb1a6efc57f","1","7","201746","https://p.scdn.co/mp3-preview/8a14db7afdfca2c9805e81858358ee7d7ea0cc05?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","GBCRL1100032","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-15T19:16:48Z"
"spotify:track:2JZu2ny6Et9wFic99sMF7x","Hand in Glove - 2011 Remaster","spotify:artist:3yY2gUcIsjMr8hjo51PoJ8","The Smiths","spotify:album:6cI1XoZsOhkyrCwtuI70CN","The Smiths","spotify:artist:3yY2gUcIsjMr8hjo51PoJ8","The Smiths","1984-02-20","https://i.scdn.co/image/ab67616d0000b273a09b231129ab1cb1a6efc57f","1","8","202586","https://p.scdn.co/mp3-preview/24dc300a612346c5f3f289f6b74b8b1b7eac0aa5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","GBCRL1100033","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-15T19:16:48Z"
"spotify:track:3rzYUfyzdZW96cHXnGn1xI","What Difference Does It Make? - 2011 Remaster","spotify:artist:3yY2gUcIsjMr8hjo51PoJ8","The Smiths","spotify:album:6cI1XoZsOhkyrCwtuI70CN","The Smiths","spotify:artist:3yY2gUcIsjMr8hjo51PoJ8","The Smiths","1984-02-20","https://i.scdn.co/image/ab67616d0000b273a09b231129ab1cb1a6efc57f","1","9","229866","https://p.scdn.co/mp3-preview/f3a3c6d27723db131d99864b914616577813559c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","GBCRL1100034","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-15T19:16:48Z"
"spotify:track:4WKdgb3xzbTSU7WT3kK3na","I Don't Owe You Anything - 2011 Remaster","spotify:artist:3yY2gUcIsjMr8hjo51PoJ8","The Smiths","spotify:album:6cI1XoZsOhkyrCwtuI70CN","The Smiths","spotify:artist:3yY2gUcIsjMr8hjo51PoJ8","The Smiths","1984-02-20","https://i.scdn.co/image/ab67616d0000b273a09b231129ab1cb1a6efc57f","1","10","244640","https://p.scdn.co/mp3-preview/73631a5506310af1a6b03af145d2c9ccb9672437?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","GBCRL1100035","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-15T19:16:48Z"
