"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2JZu2ny6Et9wFic99sMF7x","Hand in Glove - 2011 Remaster","spotify:artist:3yY2gUcIsjMr8hjo51PoJ8","The Smiths","spotify:album:6cI1XoZsOhkyrCwtuI70CN","The Smiths","spotify:artist:3yY2gUcIsjMr8hjo51PoJ8","The Smiths","1984-02-20","https://i.scdn.co/image/ab67616d0000b273a09b231129ab1cb1a6efc57f","1","8","202586","https://p.scdn.co/mp3-preview/24dc300a612346c5f3f289f6b74b8b1b7eac0aa5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","GBCRL1100033","spotify:user:yigitardasen","2022-02-24T15:30:16Z"
"spotify:track:0uLI1jac8ZJSSRG4QJDo3J","Still Ill - 2011 Remaster","spotify:artist:3yY2gUcIsjMr8hjo51PoJ8","The Smiths","spotify:album:6cI1XoZsOhkyrCwtuI70CN","The Smiths","spotify:artist:3yY2gUcIsjMr8hjo51PoJ8","The Smiths","1984-02-20","https://i.scdn.co/image/ab67616d0000b273a09b231129ab1cb1a6efc57f","1","7","201746","https://p.scdn.co/mp3-preview/8a14db7afdfca2c9805e81858358ee7d7ea0cc05?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","GBCRL1100032","spotify:user:yigitardasen","2022-02-24T15:30:48Z"
"spotify:track:3rzYUfyzdZW96cHXnGn1xI","What Difference Does It Make? - 2011 Remaster","spotify:artist:3yY2gUcIsjMr8hjo51PoJ8","The Smiths","spotify:album:6cI1XoZsOhkyrCwtuI70CN","The Smiths","spotify:artist:3yY2gUcIsjMr8hjo51PoJ8","The Smiths","1984-02-20","https://i.scdn.co/image/ab67616d0000b273a09b231129ab1cb1a6efc57f","1","9","229866","https://p.scdn.co/mp3-preview/f3a3c6d27723db131d99864b914616577813559c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","GBCRL1100034","spotify:user:yigitardasen","2022-02-24T15:31:03Z"
"spotify:track:4tFGNFIIZ9ANSewxGZyiDD","The Headmaster Ritual - 2011 Remaster","spotify:artist:3yY2gUcIsjMr8hjo51PoJ8","The Smiths","spotify:album:5DM1qCdgGt2zbknnsVn1Ca","Meat Is Murder","spotify:artist:3yY2gUcIsjMr8hjo51PoJ8","The Smiths","1985-02-11","https://i.scdn.co/image/ab67616d0000b273ac345598e7697a319cb5b460","1","1","295440","https://p.scdn.co/mp3-preview/d5121f85751aed47212490625155be5e253e2bb8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","GBCRL1100037","spotify:user:yigitardasen","2022-02-24T15:31:20Z"
"spotify:track:48veRDsAEBOJJnVnnabV99","That Joke Isn't Funny Anymore","spotify:artist:3yY2gUcIsjMr8hjo51PoJ8","The Smiths","spotify:album:5DM1qCdgGt2zbknnsVn1Ca","Meat Is Murder","spotify:artist:3yY2gUcIsjMr8hjo51PoJ8","The Smiths","1985-02-11","https://i.scdn.co/image/ab67616d0000b273ac345598e7697a319cb5b460","1","5","297586","https://p.scdn.co/mp3-preview/7cd8b1c0e6260f6979589cfc015a548e605de8d9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","GBCRL1100041","spotify:user:yigitardasen","2022-02-24T15:31:25Z"
"spotify:track:3wUMcPzXcmaeW8QxTdyXQO","Pretty Girls Make Graves - 2011 Remaster","spotify:artist:3yY2gUcIsjMr8hjo51PoJ8","The Smiths","spotify:album:6cI1XoZsOhkyrCwtuI70CN","The Smiths","spotify:artist:3yY2gUcIsjMr8hjo51PoJ8","The Smiths","1984-02-20","https://i.scdn.co/image/ab67616d0000b273a09b231129ab1cb1a6efc57f","1","4","223253","https://p.scdn.co/mp3-preview/5e930e1536517043f91e5cb82f5d820ad5ab0efc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","GBCRL1100030","spotify:user:yigitardasen","2022-02-24T15:30:10Z"
"spotify:track:35WDTZhAwkoBF65jGTzF2O","Barbarism Begins at Home - 2011 Remaster","spotify:artist:3yY2gUcIsjMr8hjo51PoJ8","The Smiths","spotify:album:5DM1qCdgGt2zbknnsVn1Ca","Meat Is Murder","spotify:artist:3yY2gUcIsjMr8hjo51PoJ8","The Smiths","1985-02-11","https://i.scdn.co/image/ab67616d0000b273ac345598e7697a319cb5b460","1","8","413426","https://p.scdn.co/mp3-preview/0199115ae3c6320fabe5d05ef3ab673bec91490b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","GBCRL1100044","spotify:user:yigitardasen","2022-02-24T15:31:30Z"
"spotify:track:17zN523CEjJWBGXrUb3xex","Last Night I Dreamt That Somebody Loved Me - 2011 Remaster","spotify:artist:3yY2gUcIsjMr8hjo51PoJ8","The Smiths","spotify:album:7jfexk2w5aDI25njkN0UGg","Strangeways, Here We Come","spotify:artist:3yY2gUcIsjMr8hjo51PoJ8","The Smiths","1987-09-28","https://i.scdn.co/image/ab67616d0000b2736d965be72ad1bceb7f2bd089","1","6","305600","https://p.scdn.co/mp3-preview/826678dce1c70180d4b45b8875d9a9dba51414cf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","GBCRL1100062","spotify:user:yigitardasen","2022-02-24T15:32:57Z"
"spotify:track:1vAvRteHbPcnq7fTTROnNB","Meat Is Murder - 2011 Remaster","spotify:artist:3yY2gUcIsjMr8hjo51PoJ8","The Smiths","spotify:album:5DM1qCdgGt2zbknnsVn1Ca","Meat Is Murder","spotify:artist:3yY2gUcIsjMr8hjo51PoJ8","The Smiths","1985-02-11","https://i.scdn.co/image/ab67616d0000b273ac345598e7697a319cb5b460","1","9","373546","https://p.scdn.co/mp3-preview/03790996bb96e2095c8108f13fe2f58dd98ae95a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","GBCRL1100045","spotify:user:yigitardasen","2022-02-24T15:31:34Z"
"spotify:track:03ZwNF6FTvazNuOXNQf8k8","The Queen Is Dead - 2011 Remaster","spotify:artist:3yY2gUcIsjMr8hjo51PoJ8","The Smiths","spotify:album:5Y0p2XCgRRIjna91aQE8q7","The Queen Is Dead","spotify:artist:3yY2gUcIsjMr8hjo51PoJ8","The Smiths","1986-06-16","https://i.scdn.co/image/ab67616d0000b273ada101c2e9e97feb8fae37a9","1","1","387146","https://p.scdn.co/mp3-preview/40c0d35ca857e685694d50aa6d91e779ee881eb2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","GBCRL1100046","spotify:user:yigitardasen","2022-02-24T15:32:05Z"
