"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0NslHuacjxQYfUTOW3HCIV","New Slang - 2021 Remaster","spotify:artist:4LG4Bs1Gadht7TCrMytQUO","The Shins","spotify:album:5XmhHMj5LZLWo32aA6ntKE","Oh, Inverted World (20th Anniversary Remaster)","spotify:artist:4LG4Bs1Gadht7TCrMytQUO","The Shins","2001-06-19","https://i.scdn.co/image/ab67616d0000b2734205b816277c7f9dba098d28","1","6","230866","https://p.scdn.co/mp3-preview/fe6304a496f32bcbe6f80974abd4cd6df52caffc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","USSUB2141506","spotify:user:thesoundsofspotify","2021-07-23T14:57:32Z"
"spotify:track:1WBSFlSLyOZnSa8fj7a5yC","Nantes","spotify:artist:6pmxr66tMAePxzOLfjGNcX","Beirut","spotify:album:71udkw2yxFqNK4SNSYcCce","The Flying Club Cup","spotify:artist:6pmxr66tMAePxzOLfjGNcX","Beirut","2007-10-08","https://i.scdn.co/image/ab67616d0000b273a5818379975d1815f7f4e1b2","1","2","230200","https://p.scdn.co/mp3-preview/cdba5370227f200cd4495d69bfc37bc55f9917a6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","USCPT0700043","spotify:user:thesoundsofspotify","2021-09-03T17:27:15Z"
"spotify:track:6yaify672NQD5IiBUzyVb4","Gathering of MCs Intertribal","spotify:artist:4fuEtPz173sNdgHSfu4uWu, spotify:artist:7hKdhSSTF96olDBjL7qtBI, spotify:artist:6z3m5fgRcZUsPgkSnihTPf, spotify:artist:299KJ3vfHR8i5Eb3miOg4w, spotify:artist:72VVEvSBTmC39ezXV3wjRy, spotify:artist:0lmNGtIAGczLUfQkTlQ3Qf, spotify:artist:0GBYlnXBzFnCGiaH6dLb6j, spotify:artist:53JqdfPCK9zugXtiMRWf3g, spotify:artist:6kA8pCMLt3dN5BaONCPNKs, spotify:artist:5eV753AF0vmb48iXqvDzXZ, spotify:artist:1Vs85OlEfkUFCJ0RElCfCY, spotify:artist:37e9apdp7mxFDpz4B9PMpF","Def-i, MC Slader, Blesinfinite, L*Roneous, Phrase, Nataanii Means, Supaman, Olmeca, Beond, Woar2, Tall Paul, Loch Jester","spotify:album:7J35ENGjGOzEVPq6nPGg9D","Gathering of MCs Intertribal","spotify:artist:4fuEtPz173sNdgHSfu4uWu","Def-i","2023-04-28","https://i.scdn.co/image/ab67616d0000b2739648f5be3516169fd9da4a6c","1","1","264999","https://p.scdn.co/mp3-preview/ed1a6dcd2068accb3e8af9ec22fef478b8123322?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","QZHN72392928","spotify:user:thesoundsofspotify","2023-05-05T19:29:41Z"
"spotify:track:5nk6aTtSXDbJUaNjv6tXLB","Caged","spotify:artist:0OxgcK0DDGcISDUWixD3ZG","Red Light Cameras","spotify:album:1nzkKQwkRdyiTQAtwAlkPd","All Your Fault","spotify:artist:0OxgcK0DDGcISDUWixD3ZG","Red Light Cameras","2016-11-05","https://i.scdn.co/image/ab67616d0000b2732577e53486f94443a7f6198c","1","2","318187","https://p.scdn.co/mp3-preview/b6d044500d40554352c39d3954c42dda46b92b4d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","uscgh1724469","spotify:user:thesoundsofspotify","2017-12-29T14:01:37Z"
"spotify:track:1KsSOgcjsmDDLBCXaBgLAl","La Llorona","spotify:artist:0DWhUmwdnWRqckEbYdoNN2","Mondo Vibrations","spotify:album:1A3ljWMB0UaAsOxH9nZHBN","The Muse I See","spotify:artist:0DWhUmwdnWRqckEbYdoNN2","Mondo Vibrations","2014-03-15","https://i.scdn.co/image/ab67616d0000b273ebf1e62eed43d3057e30517f","1","2","318706","https://p.scdn.co/mp3-preview/3bdc0f6e4082986a36f404998676f4dfb317da9a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","usx9p2039091","spotify:user:thesoundsofspotify","2022-03-11T13:46:59Z"
"spotify:track:6ax3KGub03ahj96XbGi6jL","She Gets Me Down","spotify:artist:4Xqx5Xe887cvSK6rN1E21P","The Rudy Boy Experiment","spotify:album:5lETseh3LE5TMrGWSOfl5Z","Volume 2","spotify:artist:4Xqx5Xe887cvSK6rN1E21P","The Rudy Boy Experiment","2011-03-08","https://i.scdn.co/image/ab67616d0000b27332a8446d75e112acd646d113","1","10","278346","https://p.scdn.co/mp3-preview/745d20a76cdaf7a2ba9478f2e751269de050d125?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","USLN71110444","spotify:user:thesoundsofspotify","2022-08-12T20:50:12Z"
"spotify:track:0kfVCZ0L1Y07NT144vRZjw","True Tonight","spotify:artist:2QIVByyyb5HEtV9ATvr4rJ","Gomotorcar","spotify:album:4VZ35uiTnTAQbgk9yVcYaK","True Tonight","spotify:artist:2QIVByyyb5HEtV9ATvr4rJ","Gomotorcar","2003-01-13","https://i.scdn.co/image/ab67616d0000b27388a18e4a0e54959bbc11a4fc","1","15","300346","https://p.scdn.co/mp3-preview/cf249ecf00b38e68345f0059008830a5622494be?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","ushm20494837","spotify:user:thesoundsofspotify","2017-08-06T00:21:29Z"
"spotify:track:0b7PROe90cGsbFef4ZFcXM","Head","spotify:artist:41Md2Q3GmYEPbhVffgoGxQ","Scenester","spotify:album:4hWCiyuSLrxmxYFzys6sKq","Head","spotify:artist:41Md2Q3GmYEPbhVffgoGxQ","Scenester","2023-02-24","https://i.scdn.co/image/ab67616d0000b27381f16543a0cf44d819f444d8","1","1","199480","https://p.scdn.co/mp3-preview/41307779cac7dda5bae1f1a8450df744d51bbb4f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","uscgh2392329","spotify:user:thesoundsofspotify","2023-03-03T12:38:22Z"
"spotify:track:1dBL0LwoIaOlXKCXI2KmA5","Goodness Gracious","spotify:artist:4hdbEVyv0y1lS7wl1imHBP","Lindy Vision","spotify:album:7Ifsqq06AnUPEr6ywFfGMH","The Third Kind","spotify:artist:4hdbEVyv0y1lS7wl1imHBP","Lindy Vision","2023-02-11","https://i.scdn.co/image/ab67616d0000b273906e19482fccf04faf9d0a6f","1","2","168911","https://p.scdn.co/mp3-preview/52540c607063c4d849a9f9d1350e0ed04f85bca3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","uscgh2304080","spotify:user:thesoundsofspotify","2023-04-07T13:57:48Z"
"spotify:track:5tWPG0AU9LVjONRofHcLD0","Far from Any Road","spotify:artist:72PnPUc1qv9UjRPaGVZ1jq","The Handsome Family","spotify:album:6AVhlHYezDjZ9igL1kYc5r","Singing Bones","spotify:artist:72PnPUc1qv9UjRPaGVZ1jq","The Handsome Family","2003","https://i.scdn.co/image/ab67616d0000b273851dd0306e2c810a5cf0d81d","1","5","168226","https://p.scdn.co/mp3-preview/e1a9b761f7140349eb186aa1f628a4481db260e0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","GBJCP0900421","spotify:user:thesoundsofspotify","2019-08-09T15:43:32Z"
