"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:52iyhfd6jgU2wYB8QIYs6t","Windfall - 2015 Remaster","spotify:artist:7AhDVqsNA5q46WKsRPXvoe","Son Volt","spotify:album:1SV1Fh8rLes7MeTYTXznKd","Trace (Remastered)","spotify:artist:7AhDVqsNA5q46WKsRPXvoe","Son Volt","1995","https://i.scdn.co/image/ab67616d0000b273a96e2a0f10acd67833a740a7","1","1","179520","https://p.scdn.co/mp3-preview/3358b2e58d10a0e6356fc3aa8a3d20547eaa627e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","USRH11504577","spotify:user:thesoundsofspotify","2017-10-07T23:38:59Z"
"spotify:track:0rib9hiYy1NWL0w8BUYgmd","Sandusky","spotify:artist:2Plkkomsc4DKawkCioLKjc","Uncle Tupelo","spotify:album:3ezxoWuFQIiCr2xugKs3Lp","March 16-20, 1992","spotify:artist:2Plkkomsc4DKawkCioLKjc","Uncle Tupelo","1992","https://i.scdn.co/image/ab67616d0000b2730436f1148eea6e07f97ba8fa","1","14","223640","https://p.scdn.co/mp3-preview/0a56d5843ed3dad39e764b694658d29b969c1c70?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","USSM10205135","spotify:user:thesoundsofspotify","2018-02-28T01:55:35Z"
"spotify:track:3aFMz2anc9vurZw6bPunI6","16 Days","spotify:artist:0tyLMmQvEuyQR4qjGBdbem","Whiskeytown","spotify:album:29gnqAHOpVJJL3h8wPrlMl","Strangers Almanac","spotify:artist:0tyLMmQvEuyQR4qjGBdbem","Whiskeytown","1997-01-01","https://i.scdn.co/image/ab67616d0000b273414ff484eaa3bd81333a4230","1","4","234666","","false","50","USOU19700501","spotify:user:thesoundsofspotify","2018-12-28T14:16:23Z"
"spotify:track:4eBvIlQ3EhaP2b8At53Woo","California Zephyr","spotify:artist:4tPRMBm25eaPJaceUBPqTK, spotify:artist:4CvZd3qzC2HbLxAoAEBRIL","Jay Farrar, Benjamin Gibbard","spotify:album:3Lki97wGb11VOTrjCEAgCj","One Fast Move Or I'm Gone Music From Kerouac's Big Sur","spotify:artist:4tPRMBm25eaPJaceUBPqTK, spotify:artist:4CvZd3qzC2HbLxAoAEBRIL","Jay Farrar, Benjamin Gibbard","2009-10-16","https://i.scdn.co/image/ab67616d0000b2738007b5a777bb696cba02cd3e","1","1","143066","https://p.scdn.co/mp3-preview/4302cc8bd28b673bcf8814a36d0bd740898edb57?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","USAT20902767","spotify:user:thesoundsofspotify","2015-10-05T03:35:06Z"
"spotify:track:4Atcc9IkuNbSlwPXusv3o5","Radar Gun","spotify:artist:5YsFZtitLEPVCFjixwBIkW","The Bottle Rockets","spotify:album:11wjQ6TTqZQjUTumb8THVm","The Bottle Rockets & The Brooklyn Side","spotify:artist:5YsFZtitLEPVCFjixwBIkW","The Bottle Rockets","2013-11-19","https://i.scdn.co/image/ab67616d0000b27328a9109d437538cda1c3f950","2","4","195746","https://p.scdn.co/mp3-preview/d32c617fee4e38fceb2df2c3a0dbbc6ede77d11b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","USA361321230","spotify:user:thesoundsofspotify","2019-09-09T18:38:12Z"
"spotify:track:5cDfI3KOa64zbuUgD6a4hG","Blue","spotify:artist:2UDplVRprMbazU74Hq8OLl","The Jayhawks","spotify:album:2tNdnAUaaomEEQIsc3Y7TC","Tomorrow The Green Grass","spotify:artist:2UDplVRprMbazU74Hq8OLl","The Jayhawks","1995-02-14","https://i.scdn.co/image/ab67616d0000b273c8a4c9b486ba2527f468f878","1","1","189506","","false","55","USSM19503763","spotify:user:thesoundsofspotify","2016-04-04T17:43:55Z"
"spotify:track:3C46CEeM0ltNQwOtPN8jRg","Radio King","spotify:artist:0BLh5cn4nqfqoVUREx3hLj","Golden Smog","spotify:album:3JN6iTnWyTYFULRijpCtTY","Down By The Old Mainstream","spotify:artist:0BLh5cn4nqfqoVUREx3hLj","Golden Smog","1995","https://i.scdn.co/image/ab67616d0000b27356884da6d760a375c90b268d","1","14","189493","https://p.scdn.co/mp3-preview/1b0bfd9eee5b1000cab4b159f022cc11196e9d2a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","USRY10325014","spotify:user:thesoundsofspotify","2018-02-28T01:55:35Z"
"spotify:track:1lz3mp3MJmF910If1so02W","She Took A Lot Of Pills (And Died)","spotify:artist:0l5iOYpiSkQFYR3uPNoMDe","Robbie Fulks","spotify:album:7pPvsIGZU0LwQBhU6LVKII","Country Love Songs","spotify:artist:0l5iOYpiSkQFYR3uPNoMDe","Robbie Fulks","1996-06-27","https://i.scdn.co/image/ab67616d0000b2734c215bca15a8591fda61e018","1","7","163466","https://p.scdn.co/mp3-preview/552d6340ac3c6beb26de79b66ae46e4b9de729ef?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","USA360301107","spotify:user:thesoundsofspotify","2020-02-14T17:21:26Z"
"spotify:track:6SKA3CZCDluvNnJhWq94Ut","Leaving Time","spotify:artist:5JnjssuFBg104paXN0mKKn","Patterson Hood","spotify:album:6jAefKsI4AKTSrBYOobN7x","Heat Lightning Rumbles in the Distance","spotify:artist:5JnjssuFBg104paXN0mKKn","Patterson Hood","2012-09-10","https://i.scdn.co/image/ab67616d0000b273cea3479601c688235b234b73","1","2","211106","https://p.scdn.co/mp3-preview/4167b7a28ef218e59673ba46aea09581d0494a5e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","USATO1200192","spotify:user:thesoundsofspotify","2020-07-28T21:45:10Z"
"spotify:track:5Ed2crPH1EuxwI1iUKZlnD","Champaign, Illinois","spotify:artist:27AzFtMZhRN78bAMPntbpF","Old 97's","spotify:album:72VTpry8WAnbuEtG54scnc","The Grand Theatre, Vol. 1","spotify:artist:27AzFtMZhRN78bAMPntbpF","Old 97's","2010-10-12","https://i.scdn.co/image/ab67616d0000b273e22d0669fbf0de38c051600a","1","7","205386","https://p.scdn.co/mp3-preview/0f9406ee0b1989903a34b05ca4e234e8c63e7c07?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","US27Q1061907","spotify:user:thesoundsofspotify","2018-11-02T14:33:24Z"
