"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2vUMdAub2h5j5zuSppYQyT","Sea Calls Me Home","spotify:artist:0bsV0sUjnCuCTYOnNHQl3E","Julia Holter","spotify:album:0EiGGBzF9wzJn2X8F0Yvjh","Have You In My Wilderness","spotify:artist:0bsV0sUjnCuCTYOnNHQl3E","Julia Holter","2015-09-25","https://i.scdn.co/image/ab67616d0000b273a0e9fc3db25351db4390fc5c","1","5","187360","https://p.scdn.co/mp3-preview/232d727d74bb61a5ffd79862253286da0fa329f9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","GBCEL1500210","spotify:user:thesoundsofspotify","2018-02-02T20:02:19Z"
"spotify:track:13yxz52EwElyue9PLrqcZY","Slip Away","spotify:artist:2ueoLVCXQ948OfhVvAy3Nn","Perfume Genius","spotify:album:4XUbE270OEh8WacgMyamyF","No Shape","spotify:artist:2ueoLVCXQ948OfhVvAy3Nn","Perfume Genius","2017-05-05","https://i.scdn.co/image/ab67616d0000b2738fdf12fe7f25d791a78375da","1","2","165329","https://p.scdn.co/mp3-preview/ed84c9c1eea87197df5983afb695a782a6840035?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","USMTD1709223","spotify:user:thesoundsofspotify","2020-12-11T19:20:42Z"
"spotify:track:3cjvqsvvU80g7WJPMVh8iq","Genesis","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","spotify:album:3HED2IUaNSnbOe88a7ZdwM","Visions","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","2012-02-21","https://i.scdn.co/image/ab67616d0000b273550133f6d334ed152d75aa56","1","2","255320","https://p.scdn.co/mp3-preview/30cb10937f86a6cb00a54516de2cedc0d962f076?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","CA21O1200002","spotify:user:thesoundsofspotify","2022-02-25T17:30:32Z"
"spotify:track:2xMf6kbsGhfmrzLxC5HRLw","Year of Love","spotify:artist:5eerVxtb9lY9p6D7m89Bs7","Jenny Hval","spotify:album:71T5vyKWwbd4oUPfDpyNwb","Classic Objects","spotify:artist:5eerVxtb9lY9p6D7m89Bs7","Jenny Hval","2022-03-11","https://i.scdn.co/image/ab67616d0000b273653563da2516c1edf706398c","1","1","253212","https://p.scdn.co/mp3-preview/4ae75dd64de33ae0476afb3ba91d21d28eb8eb31?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","GBAFL2100368","spotify:user:thesoundsofspotify","2022-03-18T13:37:41Z"
"spotify:track:6jbfEdpOd0X5e756Yu7Hz0","It Must Change","spotify:artist:6VJZYivuYJGCrPuOAnI7Qo, spotify:artist:4fxp616ALtFWnXfwxnjLzW","ANOHNI, Antony and the Johnsons","spotify:album:5osjby3YTPk2tEhRW2uJqk","It Must Change","spotify:artist:6VJZYivuYJGCrPuOAnI7Qo","ANOHNI","2023-05-16","https://i.scdn.co/image/ab67616d0000b273c86835eddeaaf6508ec046f8","1","1","295013","https://p.scdn.co/mp3-preview/33333515291233f6fd06b3f4b70ae5e55d72c405?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","GBCVZ2200466","spotify:user:thesoundsofspotify","2023-05-19T17:28:56Z"
"spotify:track:5jZoYp0P8ML7AxkS3tQz3j","Seventeen","spotify:artist:2wJ4vsxWd7df7dRU4KcoDe","Sharon Van Etten","spotify:album:4bfvR9TMwCm2tzXpboLH3t","Remind Me Tomorrow","spotify:artist:2wJ4vsxWd7df7dRU4KcoDe","Sharon Van Etten","2019-01-18","https://i.scdn.co/image/ab67616d0000b2733ba1f72fb3bf152db4547435","1","6","265920","https://p.scdn.co/mp3-preview/785ae1ba1bd7575b8d6be83c92f7cab1b2c61f75?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","US38Y1833106","spotify:user:thesoundsofspotify","2021-09-10T17:38:45Z"
"spotify:track:3EEr6l5PYelwkrvvKX7N0X","Shut Up Kiss Me","spotify:artist:6mKqFxGMS5TGDZI3XkT5Rt","Angel Olsen","spotify:album:3CHcldbsbrBOOlw8cnLpNm","MY WOMAN","spotify:artist:6mKqFxGMS5TGDZI3XkT5Rt","Angel Olsen","2016-09-02","https://i.scdn.co/image/ab67616d0000b273f7ab493ccab101b239a3d1f4","1","3","202200","https://p.scdn.co/mp3-preview/2e7e3f3f700e3df1c97f1cf58086449cf91e523d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","US38Y1628403","spotify:user:thesoundsofspotify","2022-06-24T16:40:05Z"
"spotify:track:5zRuPOBoe38AjACFMsxkof","Army Of Me","spotify:artist:7w29UYBi0qsHi5RTcv3lmA","Björk","spotify:album:3p7WXDBxhC5KS9IFXnwae7","Post","spotify:artist:7w29UYBi0qsHi5RTcv3lmA","Björk","1995-06-13","https://i.scdn.co/image/ab67616d0000b2735092260f47e0d95717b834c3","1","1","234106","","false","62","GBBTF0200244","spotify:user:thesoundsofspotify","2020-01-24T17:19:52Z"
"spotify:track:2qTy3hGSbxoSenKmlKGHFw","Los Ageless","spotify:artist:7bcbShaqKdcyjnmv4Ix8j6","St. Vincent","spotify:album:4RoOGpdrgfiIUyv0kLaC4e","MASSEDUCTION","spotify:artist:7bcbShaqKdcyjnmv4Ix8j6","St. Vincent","2017-10-13","https://i.scdn.co/image/ab67616d0000b273c5819ccc3fbcd68e3fe0ebd2","1","5","281346","","false","56","USC4R1702208","spotify:user:thesoundsofspotify","2021-07-23T14:59:11Z"
"spotify:track:6Q5uDNuuFYa8ToL3CCoHPC","Poison Tree","spotify:artist:31uyAcnY0kjjKKIQZMKX4i","Grouper","spotify:album:2oztVYt7jDJBTysn00vM6E","Inca Ore / Grouper","spotify:artist:31uyAcnY0kjjKKIQZMKX4i, spotify:artist:1ZF5q6erhq7fpctf5WJQ7x","Grouper, Inca Ore","2008-06-03","https://i.scdn.co/image/ab67616d0000b273a243710aee39180ca475ed39","1","2","196893","https://p.scdn.co/mp3-preview/6ee8ab40f90f31566b7dbeb457a620e61941e233?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","QMFMF2125817","spotify:user:thesoundsofspotify","2022-01-07T11:48:33Z"
