"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2HkjkOwkTE51ajdTHxtu26","I Spit On Your Grave","spotify:artist:0zCrrgklotTrkkJDNUAury","ZAND","spotify:album:7MqqZttKOfY4VvN77e6Mv4","I Spit On Your Grave","spotify:artist:0zCrrgklotTrkkJDNUAury","ZAND","2021-12-16","https://i.scdn.co/image/ab67616d0000b2736141d0f187e37d5dcb200f3f","1","1","219686","https://p.scdn.co/mp3-preview/b8045f97de270f147d99928a1051b092491e333a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","51","GBKPL2173472","spotify:user:thesoundsofspotify","2023-01-06T16:07:28Z"
"spotify:track:2car32KMDF9AbUTbRYq5q4","21ST CENTURY BITCH","spotify:artist:2dTOWcCL0cYviin0Uz1lj4","Holy Wars","spotify:album:0dAQn8Qq1L1olB4QqQvARM","EAT IT UP SPIT IT OUT","spotify:artist:2dTOWcCL0cYviin0Uz1lj4","Holy Wars","2022-04-29","https://i.scdn.co/image/ab67616d0000b273ba79090a06f698fc8b43807e","1","2","165282","https://p.scdn.co/mp3-preview/fb930d161909efdf82f1f437431a9b4565659c00?cid=9950ac751e34487dbbe027c4fd7f8e99","true","46","QZFZ32278931","spotify:user:thesoundsofspotify","2022-05-06T13:44:42Z"
"spotify:track:5TIyFlLF0EfYOUZH1TYxBq","More Than a Friend","spotify:artist:4XX9YjNQrHTZfZz3DCX6DP","girli","spotify:album:5Gim9raGhoYvmx2bD31vJe","More Than a Friend","spotify:artist:4XX9YjNQrHTZfZz3DCX6DP","girli","2021-05-28","https://i.scdn.co/image/ab67616d0000b2736f3afc6332e088b464fae968","1","1","175693","https://p.scdn.co/mp3-preview/e9903a1504a3788afd4fac3f960ba6150ab7a2fc?cid=9950ac751e34487dbbe027c4fd7f8e99","true","66","GB45A2002356","spotify:user:thesoundsofspotify","2022-01-19T20:33:38Z"
"spotify:track:10eU31j2GRhBHogARC0YT2","Lucifer","spotify:artist:2cBDh8dCO4LQaSq07uvzve","Elle Lexxa","spotify:album:6uqPKE0U2rNe5D99t8bXMn","Lucifer","spotify:artist:2cBDh8dCO4LQaSq07uvzve","Elle Lexxa","2021-02-23","https://i.scdn.co/image/ab67616d0000b273f1f5fd712ca164824a0392e9","1","1","179310","https://p.scdn.co/mp3-preview/9c0adb5759499392f0b7960b61942062055f205e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","44","QZNMU2169494","spotify:user:thesoundsofspotify","2022-01-19T20:33:38Z"
"spotify:track:7nLEVh4vIhKOKNAFqQ1koF","Problems","spotify:artist:7aWpPjjgItUnXljFxYYKZI","DeathbyRomy","spotify:album:4SmLiMThmp5f4dCTOsIguj","Songs For My Funeral","spotify:artist:7aWpPjjgItUnXljFxYYKZI","DeathbyRomy","2021-08-20","https://i.scdn.co/image/ab67616d0000b273b5c50ba599a67c9575eb63d0","1","7","188504","","false","51","USUM71918675","spotify:user:thesoundsofspotify","2022-01-19T20:33:38Z"
"spotify:track:4xb8JHIN56xixSl6vkSPjm","Siren","spotify:artist:245PKF3hKjtxJKIG153kF0","Kailee Morgue","spotify:album:4VVcfdD0w5pUHN96udQQsi","Siren","spotify:artist:245PKF3hKjtxJKIG153kF0","Kailee Morgue","2018-08-24","https://i.scdn.co/image/ab67616d0000b2737b0571f90fc7aae21b833571","1","1","200266","","false","64","USUM71812370","spotify:user:thesoundsofspotify","2022-01-19T20:33:38Z"
"spotify:track:5QWjrWckcPcSVqQNfbD4Bc","Goodbye (from the series Arcane League of Legends)","spotify:artist:1se3w7gpZkwcJYgHSPDoQ8, spotify:artist:57nPqD7z62gDdq37US9XJR, spotify:artist:47mIJdHORyRerp4os813jD","Ramsey, Arcane, League of Legends","spotify:album:4IqXRlsnNgkhuQMrdrtoxY","Goodbye (from the series Arcane League of Legends)","spotify:artist:1se3w7gpZkwcJYgHSPDoQ8, spotify:artist:57nPqD7z62gDdq37US9XJR, spotify:artist:47mIJdHORyRerp4os813jD","Ramsey, Arcane, League of Legends","2021-11-05","https://i.scdn.co/image/ab67616d0000b2733152e1a174269836d337732a","1","1","230985","https://p.scdn.co/mp3-preview/d8cdb174a67825b4fd32364532c091136e381593?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","QZH6S1900386","spotify:user:thesoundsofspotify","2022-01-19T20:33:38Z"
"spotify:track:640WAiBLYvKmUBtskbfEYG","Gravedigger","spotify:artist:385fK73L7PCt3RMlZQOu6t","MXMS","spotify:album:6QawVhtF8UkiA78NUbVFGr","Gravedigger","spotify:artist:385fK73L7PCt3RMlZQOu6t","MXMS","2018-10-23","https://i.scdn.co/image/ab67616d0000b27317c832e99e411992111ee103","1","1","210564","https://p.scdn.co/mp3-preview/39f54f223d86a730280f9d6f3f9f95cde11ad7ef?cid=9950ac751e34487dbbe027c4fd7f8e99","true","45","QM3EF1800013","spotify:user:thesoundsofspotify","2022-10-14T23:31:13Z"
"spotify:track:3vYU6OAjfkrYlzsKdo1VXE","21st Century Kids","spotify:artist:4IFgewC2urR62Fwt7uAU03","Kerli","spotify:album:6F9lYVkab0bZrokDzLdTLj","21st Century Kids","spotify:artist:4IFgewC2urR62Fwt7uAU03","Kerli","2023-01-27","https://i.scdn.co/image/ab67616d0000b273c9c4bd67516d28c917796899","1","1","161790","https://p.scdn.co/mp3-preview/5cc491a7eef466e38fc6d39e9bfaff4931dd38d0?cid=9950ac751e34487dbbe027c4fd7f8e99","true","47","CA5KR2314144","spotify:user:thesoundsofspotify","2023-02-03T20:09:18Z"
"spotify:track:0vPhDi8oYPkGpgcO3RJBbc","Chimera","spotify:artist:224Zsim3dmWXWYUXFuHv0o","HANA","spotify:album:3dvZyMSWuEE1E11hUFw1yZ","HANA","spotify:artist:224Zsim3dmWXWYUXFuHv0o","HANA","2016-03-25","https://i.scdn.co/image/ab67616d0000b273c797e2334d884e600a221dbc","1","5","356959","https://p.scdn.co/mp3-preview/95b4ef8e36d4ba0fd796b6846a1a644adcd0e920?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","GBKPL1663708","spotify:user:thesoundsofspotify","2022-10-21T15:59:28Z"
