"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2f14cB0pXqhgQDeNmQDkXf","Can't Do Without You","spotify:artist:4aEnNH9PuU1HF3TsZTru54","Caribou","spotify:album:3JRPfW15UIAdRYuBvNxLkR","Our Love","spotify:artist:4aEnNH9PuU1HF3TsZTru54","Caribou","2014-10-03","https://i.scdn.co/image/ab67616d0000b2738cbb0dcb407620fe35b2e6b0","1","1","236400","https://p.scdn.co/mp3-preview/723823fc69400fdf4dd0ada971633170961b668e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","DED621401192","spotify:user:thesoundsofspotify","2020-10-16T11:40:05Z"
"spotify:track:2ZIaH69kaz55RM4Pjx6KXl","Two Thousand and Seventeen","spotify:artist:7Eu1txygG6nJttLHbZdQOh","Four Tet","spotify:album:74r6JJ97ipO0CREXP9PMqZ","New Energy","spotify:artist:7Eu1txygG6nJttLHbZdQOh","Four Tet","2017-09-29","https://i.scdn.co/image/ab67616d0000b2733f31769b727102837cb32a63","1","2","252255","https://p.scdn.co/mp3-preview/4b2868aff6ad4aa10dfdb39508ac9922c1084af5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","GBXNG1744401","spotify:user:thesoundsofspotify","2017-10-08T03:43:39Z"
"spotify:track:1fmoCZ6mtMiqA5GHWPcZz9","A New Error","spotify:artist:2exkZbmNqMKnT8LRWuxWgy","Moderat","spotify:album:2HEh23ogCT3wiYfag2iMxD","Moderat","spotify:artist:2exkZbmNqMKnT8LRWuxWgy","Moderat","2009-05-11","https://i.scdn.co/image/ab67616d0000b27327ce0e73b9cf23e8e22ebfe4","1","1","367306","https://p.scdn.co/mp3-preview/bd95b91e5199ea14d7f63aa3f0d855b565ecdc34?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","DEAE60900757","spotify:user:thesoundsofspotify","2018-06-22T13:17:35Z"
"spotify:track:4WTmtPRtIpjzgwBbQsMYyo","Miss You","spotify:artist:4O71i7ke5iIBX6RNSFoZbS","trentemøller","spotify:album:64iEo3whZTY6g9vwap2H2Q","The Last Resort","spotify:artist:4O71i7ke5iIBX6RNSFoZbS","trentemøller","2006-10-06","https://i.scdn.co/image/ab67616d0000b27316f19af631e813352ffb7b6f","1","13","247817","https://p.scdn.co/mp3-preview/4cce98fac2205369c457abc4918384e8906ac7cd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","DEL020620046","spotify:user:thesoundsofspotify","2018-02-28T02:00:55Z"
"spotify:track:0UAazxzt45u787JmxJGoUA","Candles","spotify:artist:7yxi31szvlbwvKq9dYOmFI","Jon Hopkins","spotify:album:4xj5LGumbT2M7wq25RLNjl","Monsters (Original Motion Picture Soundtrack)","spotify:artist:7yxi31szvlbwvKq9dYOmFI","Jon Hopkins","2010-11-10","https://i.scdn.co/image/ab67616d0000b273f8fceb4384db0f5ede7e40a3","1","3","148546","https://p.scdn.co/mp3-preview/2b6189dd1fa1d2f1ed829896a875ac002fdc21b8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","GBCEL1000785","spotify:user:thesoundsofspotify","2022-12-14T01:07:07Z"
"spotify:track:052z2UsE2wPrHsBJ9tly0g","Playground Love","spotify:artist:1P6U1dCeHxPui5pIrGmndZ, spotify:artist:4DWl8U58uYeeTtlvbrLEY6","Air, Gordon Tracks","spotify:album:2E1q8eohZZ1BUQ7Bq5WUIY","The Virgin Suicides (Original Motion Picture Score)","spotify:artist:1P6U1dCeHxPui5pIrGmndZ","Air","2000-02-25","https://i.scdn.co/image/ab67616d0000b2735e3c18f342d16b0b4df04df2","1","1","211500","https://p.scdn.co/mp3-preview/a1c934fbc2e010fa451799df1cf40c057d7640db?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","FR71S9900001","spotify:user:thesoundsofspotify","2020-10-02T13:37:52Z"
"spotify:track:2LmFeLBe39IfY0XfqJ0vOi","Lonely Soul","spotify:artist:2nszamLjZFgu3Yx77mKxuC, spotify:artist:1HGTHrRQkw0BtevSo1jucU","UNKLE, Richard Ashcroft","spotify:album:0LFPjvWEaHP7WKQD6F5pVS","Psyence Fiction","spotify:artist:2nszamLjZFgu3Yx77mKxuC","UNKLE","1998-08-24","https://i.scdn.co/image/ab67616d0000b27312bc6a91af0bcc982bf1a51f","1","5","533013","https://p.scdn.co/mp3-preview/4b6cd3be3dbf722282366e428eb7a387d52c8913?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","GBAQH9800053","spotify:user:thesoundsofspotify","2023-04-28T17:11:31Z"
"spotify:track:6G6M4fl2I0eqEQnzyTwR8m","You Wish","spotify:artist:4tNxq9NGKTKaX8OkZBLgf0","Nightmares On Wax","spotify:album:0SoMbQsPZTM8iA6HB5GSkg","In A Space Outta Sound","spotify:artist:4tNxq9NGKTKaX8OkZBLgf0","Nightmares On Wax","2006-02-20","https://i.scdn.co/image/ab67616d0000b2739078cdfa59703c4509c51775","1","6","209316","https://p.scdn.co/mp3-preview/f146deae97241ece5e4f6c08b9acc8404882f0f8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","GBBPW0500164","spotify:user:thesoundsofspotify","2023-02-10T13:24:40Z"
"spotify:track:2ZaL63zLMDr6H18El2EIt9","Rosewood","spotify:artist:0cmWgDlu9CwTgxPhf403hb","Bonobo","spotify:album:4KjbNbnTnJ97kZgQkOHr6v","Fragments","spotify:artist:0cmWgDlu9CwTgxPhf403hb","Bonobo","2022-01-14","https://i.scdn.co/image/ab67616d0000b273226e702d1878d4a44b273980","1","3","242773","https://p.scdn.co/mp3-preview/ddfdc2b6fc9b4a8eb160adbff337b4b2dde19bcc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","GBCFB2100677","spotify:user:thesoundsofspotify","2022-01-21T12:50:16Z"
"spotify:track:5i0EqAX50KcKNgMDMHZndM","Movement 6","spotify:artist:2AR42Ur9PcchQDtEdwkv4L, spotify:artist:3JLUCojZaHrX2LaUkSj7Ud, spotify:artist:5yxyJsFanEAuwSM5kOuZKc","Floating Points, Pharoah Sanders, London Symphony Orchestra","spotify:album:3ShtO5VCYa3ctlR5uzLWBa","Promises","spotify:artist:2AR42Ur9PcchQDtEdwkv4L, spotify:artist:3JLUCojZaHrX2LaUkSj7Ud","Floating Points, Pharoah Sanders","2021-03-26","https://i.scdn.co/image/ab67616d0000b2738718f18aca81c2f4961946f4","1","6","530894","","false","47","USLB12010006","spotify:user:thesoundsofspotify","2023-03-24T20:03:11Z"
"spotify:track:1jy7SkRcmBCTcv4ZMtwz29","Loud Places","spotify:artist:7A0awCXkE1FtSU8B0qwOJQ, spotify:artist:3X2DdnmoANw8Rg8luHyZQb","Jamie xx, Romy","spotify:album:4gaNWHu5Caj3ItkYZ5i6uh","In Colour","spotify:artist:7A0awCXkE1FtSU8B0qwOJQ","Jamie xx","2015-06-01","https://i.scdn.co/image/ab67616d0000b2736aa1dfa0a98baa542251df5a","1","8","283066","https://p.scdn.co/mp3-preview/d3d6b602bf899fcd18d25b6b9ae76fb833bfb83e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","UK7MC1500008","spotify:user:thesoundsofspotify","2020-11-13T12:45:40Z"
"spotify:track:75gwWphI9gXlNV0xDyixMw","Marilyn","spotify:artist:3NUtpWpGDoffm3RCGhSHtl, spotify:artist:50Dd971ruHE4jP4gI7l1Qa","Mount Kimbie, Micachu","spotify:album:2QlIw88KfFlC3P0nLcWSKs","Love What Survives","spotify:artist:3NUtpWpGDoffm3RCGhSHtl","Mount Kimbie","2017-09-08","https://i.scdn.co/image/ab67616d0000b2731653c718ebd546193890f09f","1","4","251356","https://p.scdn.co/mp3-preview/ec791fa7ea946fe0406b2435a0c21361be73c5b8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","GBBPW1700087","spotify:user:thesoundsofspotify","2023-03-03T13:10:38Z"
"spotify:track:4QHKR48C18rwlpSYW6rH7p","Mi Mujer","spotify:artist:5a0etAzO5V26gvlbmHzT9W","Nicolas Jaar","spotify:album:1b6TEbqt3BVA43BtMnL7Yk","Time for Us","spotify:artist:5a0etAzO5V26gvlbmHzT9W","Nicolas Jaar","2010-01-25","https://i.scdn.co/image/ab67616d0000b2730abe1cb2589474eae9e970d9","1","2","411124","https://p.scdn.co/mp3-preview/9e2b4727bc77fc34ad9c3abfca5f638c49dbc919?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","DECY50919082","spotify:user:thesoundsofspotify","2016-09-17T23:47:45Z"
"spotify:track:5Hf2h59YLInKlic7ooWZVd","Roygbiv","spotify:artist:2VAvhf61GgLYmC6C8anyX1","Boards of Canada","spotify:album:6LZiNXaDvhzvnXUubVOmNU","Music Has The Right To Children","spotify:artist:2VAvhf61GgLYmC6C8anyX1","Boards of Canada","1998-04-20","https://i.scdn.co/image/ab67616d0000b2739effb26eea559ce6f3fed751","1","10","149080","https://p.scdn.co/mp3-preview/e3cc6ca33b10f1017e1d466ac5b0c80eaf9e85fa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","GBBPW9800019","spotify:user:thesoundsofspotify","2023-02-17T14:37:41Z"
"spotify:track:6XMQh62uwtY3gcxi5NiY2k","Tacken","spotify:artist:2jYMYP2SVifgmzNRQJx3SJ","Modeselektor","spotify:album:3wYpn2JP8z3VqlzyIwiGHC","Extended","spotify:artist:2jYMYP2SVifgmzNRQJx3SJ","Modeselektor","2021-04-09","https://i.scdn.co/image/ab67616d0000b273205a8195e3a35754f39099d8","1","4","200389","https://p.scdn.co/mp3-preview/5a76ca05d63310e01ad96039db9bf394f04c8e8f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","DEOE82100012","spotify:user:thesoundsofspotify","2022-11-25T17:07:10Z"
"spotify:track:67Hna13dNDkZvBpTXRIaOJ","Teardrop","spotify:artist:6FXMGgJwohJLUSr5nVlf9X","Massive Attack","spotify:album:49MNmJhZQewjt06rpwp6QR","Mezzanine","spotify:artist:6FXMGgJwohJLUSr5nVlf9X","Massive Attack","1998-01-01","https://i.scdn.co/image/ab67616d0000b2732fcb0a3c7a66e516b11cd26e","1","3","330773","","false","74","GBAAA9800322","spotify:user:thesoundsofspotify","2016-07-09T23:33:30Z"
"spotify:track:3wAEhWSx5GvfCkqJ1SPA5S","Goodbye (feat. Soap&Skin) [Theme from Dark, A Netflix Original Series]","spotify:artist:40Ojab0UtVQFjA76qXr8Ot, spotify:artist:2mAYpnSe3g2Y22JcZ2ddku","Apparat, Soap&Skin","spotify:album:04iB0QL1U7VtwMDsbgFlRT","Goodbye (feat. Soap&Skin) [Theme from Dark, A Netflix Original Series]","spotify:artist:40Ojab0UtVQFjA76qXr8Ot","Apparat","2011","https://i.scdn.co/image/ab67616d0000b2730d7b954bcb684472da064d9c","1","1","256786","https://p.scdn.co/mp3-preview/eee48346e9f33e16eeac761fafdc2ffbbfdaab60?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","GBPVV1802238","spotify:user:thesoundsofspotify","2020-06-19T12:39:36Z"
"spotify:track:6ifNuuYjiS5NdMabN4Jvrs","Six Days - Remix","spotify:artist:5CE2IfdYZEQGIDsfiRm8SI, spotify:artist:0Mz5XE0kb1GBnbLQm2VbcO","DJ Shadow, Mos Def","spotify:album:2wlbu0mOH83oAJUL2tVxcY","Six Days","spotify:artist:5CE2IfdYZEQGIDsfiRm8SI","DJ Shadow","2002-01-01","https://i.scdn.co/image/ab67616d0000b273ad65f45b80610db422cc1858","1","1","232533","https://p.scdn.co/mp3-preview/adb7f0981a39a93646b351671fb3e98e8d658f5d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","GBAQH0200041","spotify:user:thesoundsofspotify","2023-02-03T20:16:02Z"
"spotify:track:2cTOee6bTauDFK1QuDS1BD","What Else Is There?","spotify:artist:5nPOO9iTcrs9k6yFffPxjH","Röyksopp","spotify:album:1HkKeOklBwC1auQJ5Huwcm","The Understanding","spotify:artist:5nPOO9iTcrs9k6yFffPxjH","Röyksopp","2005-06-22","https://i.scdn.co/image/ab67616d0000b27324850f3eb04b5132b96df67a","1","7","317173","https://p.scdn.co/mp3-preview/f0f647b9d0d223967e2f742b360f1ebe324023f1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","FRS940500063","spotify:user:thesoundsofspotify","2017-12-04T23:16:22Z"
"spotify:track:10zzmoWQkfiUfZRBDS88i9","I Believe","spotify:artist:31DXlldabwPHwu6dYevuzK","Simian Mobile Disco","spotify:album:33Egk2iyDKq0eYzTirBTuO","Attack Decay Sustain Release","spotify:artist:31DXlldabwPHwu6dYevuzK","Simian Mobile Disco","2007-01-01","https://i.scdn.co/image/ab67616d0000b273bfde23bc957cc6abc49762b6","1","6","196280","https://p.scdn.co/mp3-preview/8d75e53ee3beccfc0aa0eeb4bbd8a5e4ee834782?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","USUM70744394","spotify:user:thesoundsofspotify","2018-08-31T16:04:12Z"
"spotify:track:6QKfQbFqvUwzOHpwFwCaJ6","Krack","spotify:artist:43mWhBXSflupNLuNjM5vff","Soulwax","spotify:album:5d36tohU6hNW0AK5sdmbZI","Nite Versions","spotify:artist:43mWhBXSflupNLuNjM5vff","Soulwax","2005","https://i.scdn.co/image/ab67616d0000b273baedd1a133a6fd0aa8d91267","1","8","323853","https://p.scdn.co/mp3-preview/5ac5c73f4ad21674c6968f10418044444fcfef97?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","BEP010500094","spotify:user:thesoundsofspotify","2020-07-28T21:58:08Z"
"spotify:track:5ARrtxJLVCeTv5TWo1oKgC","In The Waiting Line","spotify:artist:14H7ag1wpQOsPPQJOD6Dqr, spotify:artist:5338nAeek8WVCOPNnT7Qv2","Zero 7, Sophie Barker","spotify:album:1VRBB9iu84o3g16CczH9iH","Simple Things","spotify:artist:14H7ag1wpQOsPPQJOD6Dqr","Zero 7","2001","https://i.scdn.co/image/ab67616d0000b2730f387fd18dfdc5f0c18b80d3","1","8","271520","https://p.scdn.co/mp3-preview/b4a02b3b0e93a6de1688714d98d740bee737eed9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","GBCHV0150168","spotify:user:thesoundsofspotify","2018-01-05T19:38:20Z"
