"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:60PL9Tq4ITwcbdAFG1J8Kc","Spin My Head Around","spotify:artist:0KgAXT7iccIXQWgjb9RWHU","The Macks","spotify:album:2zmxh8lPZgbeW0I5xc3acm","Rabbit","spotify:artist:0KgAXT7iccIXQWgjb9RWHU","The Macks","2022-03-11","https://i.scdn.co/image/ab67616d0000b273feed6127de039eb008a54ddb","1","8","142514","https://p.scdn.co/mp3-preview/e858e78b7a7ffc2f1b71c43b5fed020a3b927f4a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","QZFZ62222336","spotify:user:thesoundsofspotify","2022-03-18T14:06:54Z"
"spotify:track:59oAXzo4WwT3MhMUYK04nV","Temporary Things","spotify:artist:5pvqZ8WO5IJZoknCar574z","Candy Picnic","spotify:album:3DdTmfgvPnEVLkXI2HvxNg","Circus Dog","spotify:artist:5pvqZ8WO5IJZoknCar574z","Candy Picnic","2022-06-30","https://i.scdn.co/image/ab67616d0000b2734a0f21e2e8243dcc7cd2201d","1","1","247089","https://p.scdn.co/mp3-preview/f7f819c9c841d07cac62abfd825ede3bb2800469?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","QZK6M2215314","spotify:user:thesoundsofspotify","2022-07-08T22:44:28Z"
"spotify:track:6kesjrz6bRog8Dl3nfxp7y","DHM","spotify:artist:5LEgl6fru6pdSn9Q34LReT, spotify:artist:7j1BTkdnbtFkUYCpS7fudD","Los Gondos, The Macks","spotify:album:4mEZ3Hl8oUCTl1YX8WOU5D","Descender","spotify:artist:5LEgl6fru6pdSn9Q34LReT","Los Gondos","2021-10-22","https://i.scdn.co/image/ab67616d0000b273bb2a0ec6eab775c98c767ba9","1","1","165107","https://p.scdn.co/mp3-preview/d004bd4f0226ad1ca722ba1c1db2c366ea086c32?cid=9950ac751e34487dbbe027c4fd7f8e99","true","14","QZMER2148365","spotify:user:thesoundsofspotify","2021-10-29T14:26:10Z"
"spotify:track:0cu0oVhw5h236P3WB83byk","Midwest","spotify:artist:1DRdwXC6pzD2dweQndkGNA","Spiller","spotify:album:39EFb1mVFf0wPJ89IHf54L","Reuben / Cold Cut","spotify:artist:1DRdwXC6pzD2dweQndkGNA","Spiller","2017-09-29","https://i.scdn.co/image/ab67616d0000b273eed8a5bb80a8ac79c3533a1a","1","4","212681","https://p.scdn.co/mp3-preview/c879c13a0622e88f930cbc703108b3c9bd077077?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","ushm81797830","spotify:user:thesoundsofspotify","2020-11-03T22:02:43Z"
"spotify:track:64DeJo0Nz6fiX59iIf3uDb","Monkey Bread","spotify:artist:3y0D1HAbNOhrfY7jI512vT","Novacane","spotify:album:4TXrlMF1cw2tidcVdhEaQZ","Novacane","spotify:artist:3y0D1HAbNOhrfY7jI512vT","Novacane","2021-06-25","https://i.scdn.co/image/ab67616d0000b273237c328ae8b7ee7c1b24b2f7","1","3","285586","https://p.scdn.co/mp3-preview/77053dbe3325c8b0dc8ca4a73e044b934a0fcceb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","QZHNA2194597","spotify:user:thesoundsofspotify","2021-07-02T15:08:33Z"
"spotify:track:3olsCCPxBZp7hjd0pk67DP","Lonely Mess","spotify:artist:3HHCCHQ65pYuZu9MiiNZY0","Laundry","spotify:album:4Uot3cEVJMorY3u90BppxQ","Affirmation","spotify:artist:3HHCCHQ65pYuZu9MiiNZY0","Laundry","2019-04-20","https://i.scdn.co/image/ab67616d0000b2732fa1d1c17fb3d942cff50417","1","2","258413","https://p.scdn.co/mp3-preview/b8cf2fceb3235f0661954385f8dbec5ce34423c8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","QM9A91825391","spotify:user:thesoundsofspotify","2020-11-03T22:02:43Z"
"spotify:track:2PbKqEGo8jdyvzKDKjogMM","Hey Man","spotify:artist:2yNQi8wEiMTMlYAVnQDWxI","GRUNKO","spotify:album:4Nf3198MRFQ70gPus0ewyT","Hey Man","spotify:artist:2yNQi8wEiMTMlYAVnQDWxI","GRUNKO","2019-05-13","https://i.scdn.co/image/ab67616d0000b27360e14c99381021bd5db527e2","1","1","155000","https://p.scdn.co/mp3-preview/fef97cf50d3ac7471c7f702f23f7e6cbc6728657?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","QZES91941071","spotify:user:thesoundsofspotify","2020-11-03T22:02:43Z"
"spotify:track:0A8pHi0Jnin2hikiJw03LA","Vanity","spotify:artist:2xl5sxhuCG6iTr61D6P1oC","Breakneck Flow","spotify:album:2gXj0QsonFSKQU38cr6NTv","Breaking the Symmetry","spotify:artist:2xl5sxhuCG6iTr61D6P1oC","Breakneck Flow","2022-08-31","https://i.scdn.co/image/ab67616d0000b2735606737f1f9435adb0b0ec81","1","5","136687","https://p.scdn.co/mp3-preview/a1920c2c86e167568a032bfee2d7d77863203eab?cid=9950ac751e34487dbbe027c4fd7f8e99","true","4","QZNWR2288053","spotify:user:thesoundsofspotify","2022-09-09T22:45:21Z"
"spotify:track:3ryzxkCNQpuJPkCeQBXkp9","Just Because","spotify:artist:0c5WNesq6Ei7FpOg6wDSE3","Humming Frog","spotify:album:4Obz9BZdySQrx58Rv4ZhAX","Just Because","spotify:artist:0c5WNesq6Ei7FpOg6wDSE3","Humming Frog","2020-01-15","https://i.scdn.co/image/ab67616d0000b2732db2b54c656d50674890be6e","1","1","252500","https://p.scdn.co/mp3-preview/fbe36ae25c2078688184a62988e2968869c5dbc5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","QZFYY2029134","spotify:user:thesoundsofspotify","2020-11-03T22:02:43Z"
"spotify:track:18992XVhDwMj7wKIfquFyD","Houseboat","spotify:artist:7gs3Tf4aBE9fD2bS9TzoGc","Growing Pains","spotify:album:1oYypN56QdwWzVfvRmWr3V","Heaven Spots","spotify:artist:7gs3Tf4aBE9fD2bS9TzoGc","Growing Pains","2020-10-23","https://i.scdn.co/image/ab67616d0000b2730f1e9e8e9835af833d8f9106","1","3","145568","https://p.scdn.co/mp3-preview/5ff73bfcf3801661394e5d2f01e212f1a60019a5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","QZMEM2090097","spotify:user:thesoundsofspotify","2020-11-03T22:02:43Z"
