"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1Aj4PfgIXLupLauuV74uzC","Inverted","spotify:artist:7KBBu88nyokcPi925uwfof","Yosh","spotify:album:6fSrhrdmuI5P4EmP6npmFQ","Inverted","spotify:artist:7KBBu88nyokcPi925uwfof","Yosh","2023-02-17","https://i.scdn.co/image/ab67616d0000b27395b28e6f632c3f66247eabf3","1","1","329142","https://p.scdn.co/mp3-preview/69b53f22fcfadbde0a3286814d87161990ad5734?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","GBKQU2309652","spotify:user:thesoundsofspotify","2023-05-03T04:42:28Z"
"spotify:track:5qU2ayuH27qR9pN8YzzOo4","Arcadiana, Op. 12: VI. O Albion","spotify:artist:4F7KfJQw9lIXvFydi4TOyi, spotify:artist:7dkujWxvEqOlFAo979V68D","Thomas Adès, Danish String Quartet","spotify:album:2wkHkrT1trzhRCZcmqVnuN","Adès / Nørgård / Abrahamsen","spotify:artist:7dkujWxvEqOlFAo979V68D","Danish String Quartet","2016-04-15","https://i.scdn.co/image/ab67616d0000b273f9d9d6ceea1e57157d06d314","1","6","195746","","false","37","DEB331545306","spotify:user:thesoundsofspotify","2023-04-14T21:36:13Z"
"spotify:track:7pjhpsSjgHcJxdfVqkt09B","Advanced Recharge Mind Frequencies and Deep Sleep","spotify:artist:646wvuSa2G4tpTQYWfRKLq","432 Hz Destroy Unconscious Blockages","spotify:album:4IlzXy3CW0s5GmETtwSzLW","Sleep Zone","spotify:artist:646wvuSa2G4tpTQYWfRKLq","432 Hz Destroy Unconscious Blockages","2022-03-31","https://i.scdn.co/image/ab67616d0000b2739bb1b4a444ef36b79e60f8da","1","37","131000","https://p.scdn.co/mp3-preview/89e1f7b1b58daef2f2c7c0acc3fb2cff9b668c62?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","PL29Q2134594","spotify:user:thesoundsofspotify","2023-05-12T18:33:02Z"
"spotify:track:4Xa5XKbMGQzPF89AOTBjI3","そばかすのキス","spotify:artist:3dUxVdUR6yayHJuaN3vjoQ","NMB48 Team M","spotify:album:6UdHAXwxUhtU7S6ObrM85g","NMB48 Team M 1st stage アイドルの夜明け","spotify:artist:3dUxVdUR6yayHJuaN3vjoQ","NMB48 Team M","2014-01-15","https://i.scdn.co/image/ab67616d0000b273f898285888b3aa064a54fe08","1","13","287893","https://p.scdn.co/mp3-preview/02fe18956fd4ad180e1607753f473ae8898b7357?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","JPN001300461","spotify:user:thesoundsofspotify","2023-04-14T21:36:13Z"
"spotify:track:7CoNMmP4XciExedSMAQkM4","Mint Green 528 Hz","spotify:artist:6KHAX77UjY8HXrbGJjZNtI","Lo Amber","spotify:album:7eWrcerVgh2dHudoXMJvzn","Mint Green 528 Hz","spotify:artist:6KHAX77UjY8HXrbGJjZNtI","Lo Amber","2022-10-02","https://i.scdn.co/image/ab67616d0000b273e365c239b79d6e33bc4178df","1","1","134117","https://p.scdn.co/mp3-preview/0e128ba6b85b0349d341e284bc27feb572470519?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","SE5IB2295886","spotify:user:thesoundsofspotify","2023-05-30T14:53:58Z"
"spotify:track:2G1P7fzblRleUALoFmtJyD","Roxies and Cigarettes","spotify:artist:5afJutitnXqj6M7QglqzdM","Oolong","spotify:album:5D2FeA8bJy0VM7zT2vNGxo","About Your Imaginary Friend","spotify:artist:5afJutitnXqj6M7QglqzdM","Oolong","2020-02-28","https://i.scdn.co/image/ab67616d0000b273e74358abfe65613959e51055","1","3","235529","https://p.scdn.co/mp3-preview/41b97774764a12b99de1bac4fda2fd8098cb97fd?cid=9950ac751e34487dbbe027c4fd7f8e99","true","33","QZK6P2053394","spotify:user:thesoundsofspotify","2023-04-14T21:36:13Z"
"spotify:track:1IN3RLkUXvVaBeI4BwyVUw","Lavender Town (From ""Pokémon Red, Blue, Yellow"")","spotify:artist:21VBNkZvKxrI9zmfFRxXvn","8-Bit Arcade","spotify:album:0HN6eqze32IqfrriEM28zq","Pokémon Red, Blue & Yellow","spotify:artist:21VBNkZvKxrI9zmfFRxXvn","8-Bit Arcade","2020-09-23","https://i.scdn.co/image/ab67616d0000b2733814778ab1329e281d6a928f","1","20","83765","https://p.scdn.co/mp3-preview/3758a4cd0bd0aeca850423763cfd34c3f64e6e9d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","AUXN22081793","spotify:user:thesoundsofspotify","2023-04-14T21:36:13Z"
"spotify:track:30U7BS4kFEQwUIvArpGlYJ","Dancing with a Stranger","spotify:artist:5l3q6xxRsELcm2cIJNey8R","8D Audio","spotify:album:55hNap30trYKKXfVBKgi78","Dancing with a Stranger (8D Audio)","spotify:artist:5l3q6xxRsELcm2cIJNey8R","8D Audio","2019-03-30","https://i.scdn.co/image/ab67616d0000b2735bb0b7a98103ad72f1a946ca","1","1","175250","https://p.scdn.co/mp3-preview/607e0d4ac95acadf68b8cfd1daf401cf42db056f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","CH6541927868","spotify:user:thesoundsofspotify","2023-04-14T21:36:13Z"
"spotify:track:5sCrcqn74sRGARWDwI4llo","Hey Juliet","spotify:artist:4VsNVAxuPxZrJMWE2Tprtq","Tufts Beelzebubs","spotify:album:4aBSbNEg9rfgsp1Ex8VJBE","Helix","spotify:artist:4VsNVAxuPxZrJMWE2Tprtq","Tufts Beelzebubs","2013-10-11","https://i.scdn.co/image/ab67616d0000b273c42492ba05227faf5a3035e8","1","9","155440","https://p.scdn.co/mp3-preview/53ef0ab7280285de101be48bd7a0394bfea17707?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","USE830908353","spotify:user:thesoundsofspotify","2021-09-24T15:05:18Z"
"spotify:track:2sDurGdooRkMxYRGfRvPdn","baglaens","spotify:artist:721bfjbiX9Koqt2rO8PWOY","Lowly","spotify:album:4ko6ecNnYMliJ7Aon2ckdS","Hifalutin","spotify:artist:721bfjbiX9Koqt2rO8PWOY","Lowly","2019-04-12","https://i.scdn.co/image/ab67616d0000b273d3c889e519cc0abc6a6ce8d6","1","3","267477","https://p.scdn.co/mp3-preview/cb0a0a27bafb8fd80e3cb0adf99e07bb9d797c0f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","GBBRP1987303","spotify:user:thesoundsofspotify","2022-08-12T22:37:23Z"
