"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:16IYTFQPGLo8OPCt2JXW1o","Damnation Way","spotify:artist:6Vx6tx9RnEyitn6FO8m1rx","Strawfoot","spotify:album:4FsVVdPHllwNGT69aORQKX","Chasing Locusts","spotify:artist:6Vx6tx9RnEyitn6FO8m1rx","Strawfoot","2007-04-16","https://i.scdn.co/image/ab67616d0000b273fc5afa7f2b35ae2f7dca5a89","1","7","271626","https://p.scdn.co/mp3-preview/9f22ab451ab1e90ddb936032995128b0a988ee0f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","uscgj0781882","spotify:user:thesoundsofspotify","2016-08-20T23:33:02Z"
"spotify:track:2mhvy8GJ4TxSbQSNofu0ZJ","Broken Throat Blues","spotify:artist:2BIzNNVZfwcDfKfQs5JTH4","Antic Clay","spotify:album:46HYY7fTxWYo0Yby8ms3ru","Hilarious Death Blues","spotify:artist:2BIzNNVZfwcDfKfQs5JTH4","Antic Clay","2007-01-01","https://i.scdn.co/image/ab67616d0000b2730878c8b24027d954de75ea63","1","2","324053","https://p.scdn.co/mp3-preview/ead26756b0d39c609a33d690bed707b1a6e3e07d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","uscgh0761564","spotify:user:thesoundsofspotify","2015-09-22T14:02:08Z"
"spotify:track:5l1eOOYIhja3nAgJE87rqb","Big Black Bull Comes Like A Caesar","spotify:artist:0dXkA269miPJqkZ61mgO3T","Munly & The Lee Lewis Harlots","spotify:album:6UFrSvW1JHH6tMtsRZzSM2","Munly & The Lee Lewis Harlots","spotify:artist:0dXkA269miPJqkZ61mgO3T","Munly & The Lee Lewis Harlots","2004-08-31","https://i.scdn.co/image/ab67616d0000b2738081ad8e70ded39376060ef9","1","2","405320","https://p.scdn.co/mp3-preview/e447c2aa88a64270d4ceb3153ef7c56ade08ea41?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","QM6QS1400066","spotify:user:thesoundsofspotify","2017-04-27T21:55:13Z"
"spotify:track:3qXjgDT1A9E31LoSnZTQtm","The Serpent","spotify:artist:5wZpCAgKKlmXQ67Gm7bxrE","Sons of Perdition","spotify:album:3OvIDGoLpmaPiPrI8Tyuid","Trinity","spotify:artist:5wZpCAgKKlmXQ67Gm7bxrE","Sons of Perdition","2013-11-12","https://i.scdn.co/image/ab67616d0000b273bcd24a3ff6e7f6987195a491","1","6","299746","https://p.scdn.co/mp3-preview/6d7b80aa91d92073691846e91d5d72cb51ddec5c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","USPTD1301206","spotify:user:thesoundsofspotify","2020-01-24T17:39:23Z"
"spotify:track:2QaMRkJS22sOMv6vC2fYYT","Big Lie","spotify:artist:6XAQCO7p2gxCNs9555qDEA","Lonesome Wyatt and the Holy Spooks","spotify:album:7tXVccCCDg7sdczUVzRHhQ","Grim Weepers","spotify:artist:6XAQCO7p2gxCNs9555qDEA","Lonesome Wyatt and the Holy Spooks","2017-03-07","https://i.scdn.co/image/ab67616d0000b2734b3660fc95950c91f9b15b1d","1","8","165372","https://p.scdn.co/mp3-preview/e65f9b42a742fff14ee94d579e7b0b852e74bd0b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","uscgh1764057","spotify:user:thesoundsofspotify","2021-03-05T09:57:35Z"
"spotify:track:39tMDjMI14r0E8OnW3g8by","Censer From The Footlights","spotify:artist:7kbuMLWTrPXRXDkIYHUk9u","Jay Munly","spotify:album:0Swj8zZP0r8IlNrycpdBx6","Jimmy Carter Syndrome","spotify:artist:7kbuMLWTrPXRXDkIYHUk9u","Jay Munly","2002","https://i.scdn.co/image/ab67616d0000b2732e01b6d0581a7de45e8c347c","1","5","376840","https://p.scdn.co/mp3-preview/bd583867c4a59398f8acea91adbfdf4bd44e05d5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","USG770910005","spotify:user:thesoundsofspotify","2015-09-22T14:02:08Z"
"spotify:track:0pvNXLUO2cJlJaWheZmOqa","Muscle Car On A Dead End Road","spotify:artist:2HkrENRg3AkPvOpcbZMgT5","Myssouri","spotify:album:55AXPG3btHdqSQY87G8WNe","Furnacesongs","spotify:artist:2HkrENRg3AkPvOpcbZMgT5","Myssouri","2001-01-15","https://i.scdn.co/image/ab67616d0000b27392cdb10b7fc1c6de7107913b","1","3","357440","https://p.scdn.co/mp3-preview/7dbb8a1ee37f95749b4abd7337a399d6da02e691?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","ushm20375855","spotify:user:thesoundsofspotify","2015-08-18T21:38:45Z"
"spotify:track:7vURb2I9eOTJVZP8yWQH9h","Let the Devil In","spotify:artist:35juzrftTTZqdN7eQx89Yh","Uncle Sinner","spotify:album:4zn7PFp2iCWKYx1nL0PpUB","Let the Devil In","spotify:artist:35juzrftTTZqdN7eQx89Yh","Uncle Sinner","2015-02-10","https://i.scdn.co/image/ab67616d0000b27341f41cf558a32b69614d310b","1","3","217000","https://p.scdn.co/mp3-preview/6ac36fdc9e45355d29be432c33be1f0eec7399bb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","QM6N21463680","spotify:user:thesoundsofspotify","2015-06-02T16:13:04Z"
"spotify:track:0rCqUxh6uU0y1CsMHLsFUO","Lost Pines","spotify:artist:0TrhGVvyGxOJNQT4ao7Ghj","Pinebox Serenade","spotify:album:4jDOWTsCSHrzBM9O3xffpI","Pinebox Serenade","spotify:artist:0TrhGVvyGxOJNQT4ao7Ghj","Pinebox Serenade","2005-01-01","https://i.scdn.co/image/ab67616d0000b273a393b5c80ef4a6d959108565","1","1","296986","https://p.scdn.co/mp3-preview/a7f316f1c0d1960b8c3de3859949ae9a39e27ed9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","ushm90596385","spotify:user:thesoundsofspotify","2015-11-15T23:40:32Z"
"spotify:track:2s5DgmVSRkqBhHjhRDZYmR","Grandfater","spotify:artist:0GYgu8NyVpXbTmqJ5Rqwsu","Munly & The Lupercalians","spotify:album:0P8UDy5gRrvPj57duARC53","Munly & The Lupercalians","spotify:artist:0GYgu8NyVpXbTmqJ5Rqwsu","Munly & The Lupercalians","2010-08-31","https://i.scdn.co/image/ab67616d0000b273fd9c5e9fc658f51808b2d5e3","1","3","337960","https://p.scdn.co/mp3-preview/4a604a89bb9d97a6cd4ed9e219366c6a25c2dfd8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","QM6QS1400082","spotify:user:thesoundsofspotify","2022-07-15T19:58:21Z"
