"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6Uwi2Qk3H7fM4b4W4ExrAp","Scott Street","spotify:artist:1r1uxoy19fzMxunt3ONAkG","Phoebe Bridgers","spotify:album:0qWcLfCZ8wtcoOdX14oGNI","Stranger in the Alps","spotify:artist:1r1uxoy19fzMxunt3ONAkG","Phoebe Bridgers","2017-09-22","https://i.scdn.co/image/ab67616d0000b27368b90c3b34c3ac22856ddab8","1","5","305000","https://p.scdn.co/mp3-preview/30ca466344ed92e1cd1307655f554e9fa713e7b2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","USJ5G1714205","spotify:user:thesoundsofspotify","2022-10-08T03:07:43Z"
"spotify:track:1yYlpGuBiRRf33e1gY61bN","Night Shift","spotify:artist:07D1Bjaof0NFlU32KXiqUP","Lucy Dacus","spotify:album:0LqhbUfmHsxovfSirhEIGu","Historian","spotify:artist:07D1Bjaof0NFlU32KXiqUP","Lucy Dacus","2018-03-02","https://i.scdn.co/image/ab67616d0000b2733bc926c49cd6df40a681039f","1","1","391829","https://p.scdn.co/mp3-preview/bb8b1e9c07ebd0a16e34ff2a0d83dfdf088d85d5?cid=9950ac751e34487dbbe027c4fd7f8e99","true","71","USMTD1810669","spotify:user:thesoundsofspotify","2020-11-13T12:59:18Z"
"spotify:track:4LK36kV9w3KBD2GYL26ZBq","I Want To Be With You","spotify:artist:3P4vW5tzQvmuoNaFQqzy9q","chloe moriondo","spotify:album:1nXTxXK5WyXz7cLYYVPhKA","Blood Bunny","spotify:artist:3P4vW5tzQvmuoNaFQqzy9q","chloe moriondo","2021-05-07","https://i.scdn.co/image/ab67616d0000b27331eb2c8a41752cf21c4715c9","1","5","179573","https://p.scdn.co/mp3-preview/e070d9b27090d2cb02d325c810fc2334528ed0cc?cid=9950ac751e34487dbbe027c4fd7f8e99","true","62","USAT22004111","spotify:user:thesoundsofspotify","2022-04-22T21:30:49Z"
"spotify:track:30bqNfOgcJOw2EWJJl1w5J","Soft Spot","spotify:artist:5MaQlvNGOaTj39apHsXVq1","Claud","spotify:album:0QPFWBu8oVVNtekmNzlVvW","Super Monster","spotify:artist:5MaQlvNGOaTj39apHsXVq1","Claud","2021-02-12","https://i.scdn.co/image/ab67616d0000b273980bcb64e708dcff98093cdf","1","3","188097","https://p.scdn.co/mp3-preview/adbb093592b2c1905c80098a65df66d9978cd103?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","USJ5G2000103","spotify:user:thesoundsofspotify","2021-09-03T18:01:09Z"
"spotify:track:3iBgrkexCzVuPy4O9vx7Mf","Glue Song","spotify:artist:35l9BRT7MXmM8bv2WDQiyB","beabadoobee","spotify:album:3KmSMUwyrakryureTNI4U8","Glue Song","spotify:artist:35l9BRT7MXmM8bv2WDQiyB","beabadoobee","2023-02-14","https://i.scdn.co/image/ab67616d0000b273e3862aeefcb2f0860ef017e4","1","1","135066","https://p.scdn.co/mp3-preview/2dbe14c459b8cf4414f3d5b21e1cb8cc6b85886f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","GBK3W2302568","spotify:user:thesoundsofspotify","2023-02-17T14:54:00Z"
"spotify:track:45h4w81P5iJJTSeR0jJUQ8","She","spotify:artist:21TinSsF5ytwsfdyz5VSVS","dodie","spotify:album:6Kr92CEAh6YLlEO8ubps17","Human","spotify:artist:21TinSsF5ytwsfdyz5VSVS","dodie","2019-01-18","https://i.scdn.co/image/ab67616d0000b273f5594201858122e8f30fa7e3","1","5","213611","https://p.scdn.co/mp3-preview/4765e2ceb800e3120d1cb358be0e6a34fd7b901a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","QM6N21808971","spotify:user:thesoundsofspotify","2019-11-15T20:27:36Z"
"spotify:track:1KaAcMbFNcqxmt9lzjkm9b","Honey","spotify:artist:1Uk1GyijF6fSfX4mWq5bfR","Samia","spotify:album:6xQIAbfKyR8HaoJmxTnOHv","Honey","spotify:artist:1Uk1GyijF6fSfX4mWq5bfR","Samia","2023-01-27","https://i.scdn.co/image/ab67616d0000b27339896528d75115f89b4a2563","1","8","203826","https://p.scdn.co/mp3-preview/0f70bf4b146ee175e27f85460a36400384af0b3a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","QM5BK1900603","spotify:user:thesoundsofspotify","2023-02-03T20:32:40Z"
"spotify:track:2xCGBWfzTe8l2kvHpgvB6M","prom dress","spotify:artist:0HthCchcL0kVLHTr113Vk1","mxmtoon","spotify:album:5mNk0mLiGcJHLGiT0mjHmX","the masquerade","spotify:artist:0HthCchcL0kVLHTr113Vk1","mxmtoon","2019-09-17","https://i.scdn.co/image/ab67616d0000b27390b3a256a52b231b1e4c486b","1","2","197933","https://p.scdn.co/mp3-preview/1bd907305dd23374b9c46d21c5998ddeb786481e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","QM6MZ1961770","spotify:user:thesoundsofspotify","2019-11-13T02:26:44Z"
"spotify:track:0z29wv0x2IXrpWxNgICET7","Why Am I Like This?","spotify:artist:3ajf12ub55b51qcS94d9Co","Orla Gartland","spotify:album:0EiHyIG1skb5rzVkbBkva6","Why Am I Like This?","spotify:artist:3ajf12ub55b51qcS94d9Co","Orla Gartland","2019-02-08","https://i.scdn.co/image/ab67616d0000b2738aa3cab41954fe2158a19933","1","1","212713","https://p.scdn.co/mp3-preview/1c00526b5c15493d9bf5bc92ce87ad7f0659e393?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","QM4TW1923052","spotify:user:thesoundsofspotify","2022-04-29T14:59:34Z"
"spotify:track:2drtd6SptpMJ1KylMQ7mrE","circle the drain","spotify:artist:4wXchxfTTggLtzkoUhO86Q","Soccer Mommy","spotify:album:2CISL0rSGzbO0MbQMlqBez","color theory","spotify:artist:4wXchxfTTggLtzkoUhO86Q","Soccer Mommy","2020-02-28","https://i.scdn.co/image/ab67616d0000b273c330e261afcd6e0ae256f3aa","1","2","280213","","false","60","USC4R1902822","spotify:user:thesoundsofspotify","2020-03-10T17:29:09Z"
"spotify:track:0CZ8lquoTX2Dkg7Ak2inwA","1950","spotify:artist:6beUvFUlKliUYJdLOXNj9C","King Princess","spotify:album:5p0UaZsYWMn4L1dSpc6AhN","1950","spotify:artist:6beUvFUlKliUYJdLOXNj9C","King Princess","2018-02-23","https://i.scdn.co/image/ab67616d0000b273580625d3d07c5b16238c2e69","1","1","225133","https://p.scdn.co/mp3-preview/6a254ab6464bd7a364f125b444c1779f6133a399?cid=9950ac751e34487dbbe027c4fd7f8e99","true","73","USSM11801303","spotify:user:thesoundsofspotify","2019-11-13T02:26:44Z"
"spotify:track:5JX6gZ5mOASumPrU1JbfbV","Pristine","spotify:artist:4QkSD9TRUnMtI8Fq1jXJJe","Snail Mail","spotify:album:2ZlrWJ4Ev4DhG6mRo5h1AP","Lush","spotify:artist:4QkSD9TRUnMtI8Fq1jXJJe","Snail Mail","2018-06-08","https://i.scdn.co/image/ab67616d0000b273d6c9b06173aa0faf1edbae66","1","2","295333","https://p.scdn.co/mp3-preview/3df7b11a48c9d5adb7907d4b7abec5580999dd26?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","USMTD1811091","spotify:user:thesoundsofspotify","2022-02-04T20:18:03Z"
"spotify:track:0vf2eBw2inhl8y61cYQMv2","Devil Town","spotify:artist:2hR4h1Cao2ueuI7Cx9c7V8","Cavetown","spotify:album:0ZyaO9oGhq7blYJzo3l65t","Cavetown","spotify:artist:2hR4h1Cao2ueuI7Cx9c7V8","Cavetown","2015-11-09","https://i.scdn.co/image/ab67616d0000b2739ed6b04a8fe894a9204630f6","1","8","179955","https://p.scdn.co/mp3-preview/53c0dac3cd40e29fb0b9b6a22f03879a744f7105?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","TCADM1818860","spotify:user:thesoundsofspotify","2020-10-16T11:52:06Z"
"spotify:track:6XrTwqp0vMc2Z3m4ttoyRe","Michelle","spotify:artist:6rniTPs9zN26kYnkPdFl1U","Sir Chloe","spotify:album:0Vcu9I1RkUF1VYSVeYwLhR","Party Favors","spotify:artist:6rniTPs9zN26kYnkPdFl1U","Sir Chloe","2020-10-23","https://i.scdn.co/image/ab67616d0000b273912b00ae82d10a2a4cdc084e","1","9","214087","https://p.scdn.co/mp3-preview/bc60c9897a791f1d9a2e7106929aa3ddd53057d7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","QZDA41967250","spotify:user:thesoundsofspotify","2022-11-11T17:35:25Z"
"spotify:track:6MpCaSIOfqBqbMED4kXgNY","Prom Queen","spotify:artist:2vnB6tuQMaQpORiRdvXF9H","Beach Bunny","spotify:album:1lgr82yCJYR5lgsSyxXgBH","Prom Queen","spotify:artist:2vnB6tuQMaQpORiRdvXF9H","Beach Bunny","2018-08-10","https://i.scdn.co/image/ab67616d0000b2730ec9ae111708f4b8be932d8b","1","1","136562","https://p.scdn.co/mp3-preview/c9ea92d11feb40af63aef8b0ce4ecbd9275c2bf9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","QZDA71885746","spotify:user:thesoundsofspotify","2019-11-13T02:26:44Z"
"spotify:track:6IPwKM3fUUzlElbvKw2sKl","we fell in love in october","spotify:artist:3uwAm6vQy7kWPS2bciKWx9","girl in red","spotify:album:7vud0sY43VTv28MbWiglDa","we fell in love in october / October Passed Me By","spotify:artist:3uwAm6vQy7kWPS2bciKWx9","girl in red","2018-11-21","https://i.scdn.co/image/ab67616d0000b273d6839051c4760457e1a60b2a","1","1","184153","https://p.scdn.co/mp3-preview/0415195377d9574c4f552372019421311a34ce55?cid=9950ac751e34487dbbe027c4fd7f8e99","false","86","GBKPL1828677","spotify:user:thesoundsofspotify","2022-10-21T16:18:08Z"
"spotify:track:3alP0rX4ErhOszTpx6sFN2","Favor","spotify:artist:12zbUHbPHL5DGuJtiUfsip","Julien Baker","spotify:album:3IQRHa9iVLsGlSuVHiHZ3A","Little Oblivions","spotify:artist:12zbUHbPHL5DGuJtiUfsip","Julien Baker","2021-02-26","https://i.scdn.co/image/ab67616d0000b2733086e90166d3c2ca266b7c67","1","8","278213","https://p.scdn.co/mp3-preview/ef3838d8680bcb13e83a51497cd4170b44f2c6ef?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","USMTD2000589","spotify:user:thesoundsofspotify","2023-04-28T17:18:33Z"
"spotify:track:7iFmqWr2KDvNJt9ZCm7V21","Presumably Dead Arm (617 Sessions)","spotify:artist:2orBKFyc84jo9AZH5jarhI","Sidney Gish","spotify:album:03f7ul7fJPcYj9dR3evvO9","Presumably Dead Arm (617 Sessions)","spotify:artist:2orBKFyc84jo9AZH5jarhI","Sidney Gish","2017-10-20","https://i.scdn.co/image/ab67616d0000b2735f32135865aea8f078fb2a38","1","1","214100","https://p.scdn.co/mp3-preview/f1200d81aca1bbe22c560f81401d4c6649da44f4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","QZ9Y21759133","spotify:user:thesoundsofspotify","2020-02-28T16:55:08Z"
"spotify:track:0dqJjKKxuKD5Dt3QH2n4CG","Hands Down","spotify:artist:1MIe1z4RdqLqHSJsb7EBMm","The Greeting Committee","spotify:album:0y3tRiTDYzj5IuQb0Kk86x","It’s Not All That Bad","spotify:artist:1MIe1z4RdqLqHSJsb7EBMm","The Greeting Committee","2015-10-23","https://i.scdn.co/image/ab67616d0000b273069740bb736206138c87f7e8","1","2","257693","","false","56","USUM71516587","spotify:user:thesoundsofspotify","2021-04-02T14:21:44Z"
