"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4A7U5MG1gtnEciBG9MxNP5","Sound Patterns","spotify:artist:27RypxD9VhgrvCg9QePTLi, spotify:artist:4XVSALf4pwJEFbkIgC5IBA, spotify:artist:0ARBCE8g4PI0TO7PEYMm0Z","Pauline Oliveros, Brandeis University Chamber Chorus, Alvin Lucier","spotify:album:5cd1WvUjpDzBLq2bc9nDcr","Extended Voices","spotify:artist:4XVSALf4pwJEFbkIgC5IBA, spotify:artist:0ARBCE8g4PI0TO7PEYMm0Z","Brandeis University Chamber Chorus, Alvin Lucier","1967","https://i.scdn.co/image/ab67616d0000b273380728490b2c785b775533d4","1","1","240200","https://p.scdn.co/mp3-preview/40536d269299fb7020fcd01b7fad8f4774448676?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","USSM11202205","spotify:user:thesoundsofspotify","2020-12-25T11:03:12Z"
"spotify:track:4icXfAsRMHLHylW6oLKTkD","Stockhausen: Tierkreis, for Trumpet und Organ: IX. Waage - Libra (23.09-22.10) - Venus (=71)","spotify:artist:5PkKmEWhfJ9jHVHXbZl0Ks, spotify:artist:6t6xNnF7XUwekwigQ3hGHl","Karlheinz Stockhausen, Markus Stockhausen","spotify:album:3rKtMtZTUaGiBhle8yVH5T","Stockhausen: Tierkreis, In Freundschaft, Spiral 1 & Japan","spotify:artist:5PkKmEWhfJ9jHVHXbZl0Ks, spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Karlheinz Stockhausen, Various Artists","2009-07-06","https://i.scdn.co/image/ab67616d0000b273fd9019b8c870d7471760dfe5","2","11","149973","https://p.scdn.co/mp3-preview/f4b3af9e47200fa9611ea41756f5859bbea39406?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","DEC629200636","spotify:user:thesoundsofspotify","2019-05-10T16:16:34Z"
"spotify:track:0oZLahN7y5QtnWsO9fhvCn","Incantation","spotify:artist:7IGFUlUZeXQrb9xcEAInD4, spotify:artist:27YluXpxOS5Bsvl2yb5iRZ","Vladimir Ussachevsky, Otto Luening","spotify:album:63ee2BYCQVmebj0ZgxhxL0","Pioneers Of Electronic Music","spotify:artist:7IGFUlUZeXQrb9xcEAInD4, spotify:artist:27YluXpxOS5Bsvl2yb5iRZ, spotify:artist:60dHuhMXgrJgD1ZXrDf0ff, spotify:artist:4KnXMlHb6c0xiwsmFMv1Pw, spotify:artist:7z3zG5dWWjAgDd5NMDh3Sy","Vladimir Ussachevsky, Otto Luening, Alice Shields, Bülent Arel, Pril Smiley","2006-01-01","https://i.scdn.co/image/ab67616d0000b273bd7e0591a8d33c50e4dbce26","1","5","156973","https://p.scdn.co/mp3-preview/442a7a9a50d571262997e26d4ffb66e06b6d11ed?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","US4QP0664405","spotify:user:thesoundsofspotify","2020-07-28T22:08:25Z"
"spotify:track:2UtEAqgTa756wA6t417dLv","Animé","spotify:artist:6b8rrNcSgsJwZEtVroBoLb","François Bayle","spotify:album:3WI6GKGrPh768TVUeqsvYC","Les couleurs de la nuit","spotify:artist:6b8rrNcSgsJwZEtVroBoLb","François Bayle","2013-09-16","https://i.scdn.co/image/ab67616d0000b273c39a595c5ce72fad964e7207","1","1","460586","https://p.scdn.co/mp3-preview/01743a86d8cdc40c5ad4756eb10eaadbee6526f6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","FR6V81986101","spotify:user:thesoundsofspotify","2018-02-28T02:04:11Z"
"spotify:track:0m1YZ3v6FK7oapluBxxoBf","4 Butterflies: Butterfly No. 4","spotify:artist:60p2TqH9OKWfKB46wWaGIQ","Morton Subotnick","spotify:album:5L6BK98kC1uEbYeduFije9","Electronic Works 3","spotify:artist:60p2TqH9OKWfKB46wWaGIQ, spotify:artist:4D1Yc6jpgk27wmhxv42jCe","Morton Subotnick, Miguel Frasconi","2011-12-06","https://i.scdn.co/image/ab67616d0000b273265a854e265a58d3f46d3b7e","1","7","427440","https://p.scdn.co/mp3-preview/51220a921e8c6cda077d93e575e07d7bdefd9cab?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","US4BP1123707","spotify:user:thesoundsofspotify","2018-08-24T14:46:00Z"
"spotify:track:2OWzoQiL6VDTczQwBxmWVx","Ligeti: Requiem: II. Kyrie. Molto espressivo","spotify:artist:1zb5zmIuX2lTbzcn7YeQlg, spotify:artist:0GOAxav4uCDWG9g2lTgteS, spotify:artist:7y3ULlnKKpeZ4JOKMAJQzK, spotify:artist:6uRJnvQ3f8whVnmeoecv5Z","György Ligeti, Jonathan Nott, London Voices, Berliner Philharmoniker","spotify:album:45IvFEcehCUAk3bBpc8eU8","Ligeti : Project Vol.4 - Hamburg Concerto, Double Concerto, Requiem & Ramifications","spotify:artist:1zb5zmIuX2lTbzcn7YeQlg, spotify:artist:0GOAxav4uCDWG9g2lTgteS, spotify:artist:6uRJnvQ3f8whVnmeoecv5Z","György Ligeti, Jonathan Nott, Berliner Philharmoniker","2003-04-01","https://i.scdn.co/image/ab67616d0000b27313afaa1a056379fa73497464","1","12","395026","https://p.scdn.co/mp3-preview/b630ceb551471dc8df7b1ff1662354e07e90afc4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","DEA800300350","spotify:user:thesoundsofspotify","2021-05-14T13:21:14Z"
"spotify:track:1EuFHPoVGfyfEZBaYExK7v","Bird's Lament","spotify:artist:7HvQfRNJCvPXTVirKKB0Nn","Moondog","spotify:album:4A9NpSjSaA2cJss3ksEFVE","Sax Pax For A Sax","spotify:artist:7HvQfRNJCvPXTVirKKB0Nn","Moondog","1997-11-28","https://i.scdn.co/image/ab67616d0000b2732bb0edcaa67a7d185fde7547","1","3","123893","https://p.scdn.co/mp3-preview/9b2f4c6cd01d6304c1b1fde234da386a4ee412b1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","DEC169400023","spotify:user:thesoundsofspotify","2019-09-20T16:36:17Z"
"spotify:track:6pJ4852ynXiJVKBpPU0iVw","Two Moons of Quatermass: First Moon","spotify:artist:3I573obp4ckH9yt4EYEA6e","Tod Dockstader","spotify:album:3XaRS50PJhaRmOHVImQRCT","Quatermass","spotify:artist:3I573obp4ckH9yt4EYEA6e","Tod Dockstader","1992-11-03","https://i.scdn.co/image/ab67616d0000b27318517bb291eecd4439278b8d","1","7","262333","https://p.scdn.co/mp3-preview/b644fb7ebb875f52c40fea52c035330ac78c7f37?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","USSK20320107","spotify:user:thesoundsofspotify","2022-02-25T18:20:45Z"
"spotify:track:6i2ZiqoCqEPzjX3ShJ3hHR","Six Six Sixties - Remastered","spotify:artist:1UYhxPY1oqFUg1HfF8nV3k","Throbbing Gristle","spotify:album:2P2rEGacPr58w3aDUandWA","20 Jazz Funk Greats (Remastered)","spotify:artist:1UYhxPY1oqFUg1HfF8nV3k","Throbbing Gristle","1979-12","https://i.scdn.co/image/ab67616d0000b273e8d73a8ac0ce78cfd8296fb4","1","11","125155","https://p.scdn.co/mp3-preview/46ae5e9f6b96b75b8d1de361eb36c51da43e4d10?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","GBYFG1100052","spotify:user:thesoundsofspotify","2022-09-09T23:06:35Z"
"spotify:track:0a9mUPCyu1R2kxRqDoO9Q3","Preludes: La colombe (The Dove)","spotify:artist:6CS9O2pE67oq44GZuBEBuD, spotify:artist:0TeMHLkl2Y7C96S0MsvKAP","Olivier Messiaen, Håkon Austbø","spotify:album:28xwlVzYQpD4dsk0QBquFt","Messiaen: Preludes / 4 Rhythmic Studies / Canteyodjaya","spotify:artist:6CS9O2pE67oq44GZuBEBuD","Olivier Messiaen","1999-09-28","https://i.scdn.co/image/ab67616d0000b2735069b30e5c43031a11934112","1","1","124293","https://p.scdn.co/mp3-preview/18b6fdbc5e7ea6af31fdda1fba60723f9d200ce9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","HKI199815901","spotify:user:thesoundsofspotify","2018-04-21T04:15:59Z"
