"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5Ipz5x7qcYgvvaM1qgNySO","Ya'll Boots Hats? (Die Angry)","spotify:artist:5XU0u7HIexXCAh4CcoqXCA","Glocca Morra","spotify:album:6NRxtdBR4hmD07oXOeMSes","Just Married","spotify:artist:5XU0u7HIexXCAh4CcoqXCA","Glocca Morra","2012-07-10","https://i.scdn.co/image/ab67616d0000b273262a099f6872dc30e4e5805c","1","1","128821","https://p.scdn.co/mp3-preview/81be39e822f18cac5ad3faf4cf14f0a7ad5a2c30?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","TCABH1266184","spotify:user:thesoundsofspotify","2018-10-15T21:00:48Z"
"spotify:track:2tQwRXBocyCGlDUpa4fRSa","Tibetan Pop Stars","spotify:artist:3yYUV3hkJit05YIUEODqgp","Hop Along","spotify:album:0M21gt5nGY8lqVmCxQxEiL","Get Disowned","spotify:artist:3yYUV3hkJit05YIUEODqgp","Hop Along","2012-05-05","https://i.scdn.co/image/ab67616d0000b2739dd71f4b67709fca6dcc7849","1","2","261121","https://p.scdn.co/mp3-preview/d3099d1c6bc1fbc8df0563b3e8174d1b4fce24f4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","USHM21202535","spotify:user:thesoundsofspotify","2021-08-13T18:48:06Z"
"spotify:track:3MX7q9jMDodui0HfZFVrHx","Spit Fountain","spotify:artist:1BfYXNfaB5HBwHn4gxnEQE","Algernon Cadwallader","spotify:album:15X26piTG3UxRepWbmLHNX","Algernon Cadwallader","spotify:artist:1BfYXNfaB5HBwHn4gxnEQE","Algernon Cadwallader","2018-12-14","https://i.scdn.co/image/ab67616d0000b273804effc6915c16ffb7af9ddc","1","8","135186","https://p.scdn.co/mp3-preview/08dba96ce00005eb95e482ce41396a725fb9794c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","TCADY1841743","spotify:user:thesoundsofspotify","2023-01-20T21:15:28Z"
"spotify:track:0UV5zxRMz6AO4ZwUOZNIKI","Where'd All the Time Go?","spotify:artist:4mLJ3XfOM5FPjSAWdQ2Jk7","Dr. Dog","spotify:album:16XswZ18xhMs8qUTN51mRl","Shame, Shame (Deluxe Edition)","spotify:artist:4mLJ3XfOM5FPjSAWdQ2Jk7","Dr. Dog","2010-11-02","https://i.scdn.co/image/ab67616d0000b2730478062bc04df0947d232fcb","1","5","234800","https://p.scdn.co/mp3-preview/7000261f94bf9cdb8158ebef1aabee6bc4df8c6b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","USEP40937005","spotify:user:thesoundsofspotify","2018-10-15T21:00:48Z"
"spotify:track:0s1AJpOokiTy1UMG4D4iPn","Age of Consent (New Order)","spotify:artist:5yC8tl2VVpS4HO758L0lSc","Cayetana","spotify:album:34mGoOqqWODhXjwOXeJ0fK","Tired Eyes","spotify:artist:5yC8tl2VVpS4HO758L0lSc","Cayetana","2016-01-15","https://i.scdn.co/image/ab67616d0000b273a49a7e7e7a73d983ef3d2546","1","2","226286","https://p.scdn.co/mp3-preview/efc6641a475c16f8f91e56b2aa4804b4134728e6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","TCACJ1590662","spotify:user:thesoundsofspotify","2018-10-15T21:00:48Z"
"spotify:track:5qeqAbhuf0XiTE9o7GlFcD","I Feel Exhausted","spotify:artist:540R9ampm8wv8ddRgCuzmu","Everyone Everywhere","spotify:album:0YUyHHaPTIo1M9nOlprUSD","Everyone Everywhere","spotify:artist:540R9ampm8wv8ddRgCuzmu","Everyone Everywhere","2012-08-06","https://i.scdn.co/image/ab67616d0000b273607a5c46918ef6dabc7faba6","1","1","347794","https://p.scdn.co/mp3-preview/05678f9768a1f7ea5cc4a40a3e2cc77a22f55a8b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","FR6V80142388","spotify:user:thesoundsofspotify","2019-04-26T14:35:50Z"
"spotify:track:6N9fpsLzS5isZUBzgwEQyQ","Grow into a Ghost","spotify:artist:5Hd2TLBA44nP3ftPAC1ZlZ","Swearin'","spotify:album:5y7fCEywPrAYPfRKYvs7fE","Fall into the Sun","spotify:artist:5Hd2TLBA44nP3ftPAC1ZlZ","Swearin'","2018-10-05","https://i.scdn.co/image/ab67616d0000b2734cd60d50c8d5af13fca8fde2","1","3","191493","https://p.scdn.co/mp3-preview/7dd73cf655791f14da87e5ef35c6c3b1bb61603b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","USMRG1865403","spotify:user:thesoundsofspotify","2021-05-14T13:32:20Z"
"spotify:track:0G6fFMKdbf7fI3S1gLHSRK","Savior Mode","spotify:artist:2fgl3me4n9diODTrVfruF3","Balance And Composure","spotify:album:7ECEe6gQMlJNjykkX7F7RY","Too Quick to Forgive","spotify:artist:2fgl3me4n9diODTrVfruF3","Balance And Composure","2023-04-11","https://i.scdn.co/image/ab67616d0000b2737b7f5d6748b474375958b780","1","1","261345","https://p.scdn.co/mp3-preview/0a961d440fb295a3551e03f0fa35c517126b0d8e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","QZTA32303601","spotify:user:thesoundsofspotify","2023-04-14T21:05:04Z"
"spotify:track:1M63f7rwoSwivqFU8hSHmc","Doreen","spotify:artist:22z35Pg6hVKGm3pn84nyHU","Slingshot Dakota","spotify:album:71ZewayeHRotxCtnFJA1UE","Break","spotify:artist:22z35Pg6hVKGm3pn84nyHU","Slingshot Dakota","2016-03-11","https://i.scdn.co/image/ab67616d0000b273cea5225595506fba35f9309e","1","5","275800","https://p.scdn.co/mp3-preview/ee70da6cf44993aa5720131f353c5bd0a815e6a8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","USEZ61500140","spotify:user:thesoundsofspotify","2023-04-28T17:32:50Z"
"spotify:track:3ziv4Uszw9iRjUpZt1la0L","Cut Your Bangs","spotify:artist:0HMLp79IAd9Z8zMgxqpyxn","Radiator Hospital","spotify:album:1GYm7FRy5UZPNu1cTtOdKs","Torch Song","spotify:artist:0HMLp79IAd9Z8zMgxqpyxn","Radiator Hospital","2014-08-01","https://i.scdn.co/image/ab67616d0000b273fe4e95c323428b8c3fb3f299","1","3","126971","https://p.scdn.co/mp3-preview/b9ca59b4d2de4102c058b0ec4ff6a195d59ec245?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","USA2B1700444","spotify:user:thesoundsofspotify","2023-04-28T17:32:50Z"
"spotify:track:1rEAJZjV5UlWJHMPrRsxsj","Never Again","spotify:artist:7rARamaaeipzwfhdCiF24Q","Thin Lips","spotify:album:29QHPR7BlaSySEE4Q6W3yZ","Riff Hard","spotify:artist:7rARamaaeipzwfhdCiF24Q","Thin Lips","2016-05-20","https://i.scdn.co/image/ab67616d0000b273a75020ee1b8d5d807e089106","1","2","155632","https://p.scdn.co/mp3-preview/3b22580ba3f2f3d7a4ff99e49e39b942196628b2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","QM4WM1503002","spotify:user:thesoundsofspotify","2021-09-03T18:22:32Z"
