"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4roqhhRarPSjK7V9viFOVU","Oxygene, Pt. 2","spotify:artist:5MhLmv7GgyjbxGqiIGasvT","Jean-Michel Jarre","spotify:album:3e7TxckusgnC1AYnAqbl2z","Oxygène","spotify:artist:5MhLmv7GgyjbxGqiIGasvT","Jean-Michel Jarre","1976-12-02","https://i.scdn.co/image/ab67616d0000b273d51e6d66cda008f80104c821","1","2","466306","https://p.scdn.co/mp3-preview/54779d288552242886a4230d20ec17a94753832b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","FR45F1100060","spotify:user:thesoundsofspotify","2021-01-27T03:49:55Z"
"spotify:track:3uNFRvQVEIEsQgHdZFw6Dk","La petite fille de la mer - Remastered","spotify:artist:4P70aqttdpJ9vuYFDmf7f6","Vangelis","spotify:album:3UNXsFe9kpKxRaKE1hG7TD","L'apocalypse des animaux (Remastered)","spotify:artist:4P70aqttdpJ9vuYFDmf7f6","Vangelis","1973-01-01","https://i.scdn.co/image/ab67616d0000b273b2b4c7a5658490324b29a28f","1","2","354906","","false","58","FRUM71600720","spotify:user:thesoundsofspotify","2022-09-03T08:10:18Z"
"spotify:track:7oWUwHf2dzLzcv44uMX4ZM","Zoolookologie","spotify:artist:4dOwcCHa1ACJ9zxi4rwLMq","Jarre","spotify:album:6xILAjvFtQq6oAenFjJTKy","Synthesizer Greatest 3","spotify:artist:3gjHULP7cB35l467XjCjkQ, spotify:artist:7uxS87ca4fSZmbqAfAZHgQ, spotify:artist:0W6Z7dFqLEiPmEPCNx5yDg","Synthesizer Greatest, Star Inc., Ed Starink","2013-02-06","https://i.scdn.co/image/ab67616d0000b273195e46f93fae989195da2837","1","7","242400","https://p.scdn.co/mp3-preview/a3834fb3016b298980bd634a025eb4a3c9eeda01?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","NLA241208398","spotify:user:thesoundsofspotify","2021-01-27T03:49:55Z"
"spotify:track:42REzKyWXkGj4s0GCCh2h6","Atlantis (The Creation)","spotify:artist:6QUZxz4jgKsRSirdOFVkka","Serra","spotify:album:3QLiwsrsVFI7MrStbU5NBP","Synthesizer Greatest 6","spotify:artist:3gjHULP7cB35l467XjCjkQ, spotify:artist:7uxS87ca4fSZmbqAfAZHgQ, spotify:artist:2NRwFHmU8aM3my1zYrubK7","Synthesizer Greatest, Star Inc., Ed Starink","2013-02-06","https://i.scdn.co/image/ab67616d0000b2733e454e6b81e2d6023435ee7c","1","9","236826","https://p.scdn.co/mp3-preview/b83983069bc8ea53b190ff02a83ab3e44f1bdb2b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","NLA241208515","spotify:user:thesoundsofspotify","2021-01-27T03:49:55Z"
"spotify:track:70WTsotMhXrJmMysuhctaS","Cristallin","spotify:artist:2NRwFHmU8aM3my1zYrubK7","Ed Starink","spotify:album:7vyQKQFedCXSouAjNoMr2O","Synthesizer Greatest 5","spotify:artist:3gjHULP7cB35l467XjCjkQ, spotify:artist:7uxS87ca4fSZmbqAfAZHgQ, spotify:artist:2NRwFHmU8aM3my1zYrubK7","Synthesizer Greatest, Star Inc., Ed Starink","2013-02-06","https://i.scdn.co/image/ab67616d0000b2734856bfe1faccf5314f5e6b18","1","7","191466","https://p.scdn.co/mp3-preview/15d4b46110484da932ccdb225a63eee17d7c3c1c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","NLA241208503","spotify:user:thesoundsofspotify","2021-01-27T03:49:55Z"
"spotify:track:45HjnPS7sxwOIJRWbo4z0m","Radio Activity","spotify:artist:2ntxT9Wd1XgXDRsi4ijUmL, spotify:artist:6Cwr1bAm7LBmH6cjLWecXF, spotify:artist:1Mo1n28sgnAOURLXzaSjEk","Hütter, Schneider, Bartos","spotify:album:7vyQKQFedCXSouAjNoMr2O","Synthesizer Greatest 5","spotify:artist:3gjHULP7cB35l467XjCjkQ, spotify:artist:7uxS87ca4fSZmbqAfAZHgQ, spotify:artist:2NRwFHmU8aM3my1zYrubK7","Synthesizer Greatest, Star Inc., Ed Starink","2013-02-06","https://i.scdn.co/image/ab67616d0000b2734856bfe1faccf5314f5e6b18","1","16","256973","https://p.scdn.co/mp3-preview/657fc30ad909ea63ec0ed3609deb7ac5a1ce7156?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","NLA241208512","spotify:user:thesoundsofspotify","2021-01-27T03:49:55Z"
"spotify:track:0DYCw5AZIX3S11QQUiPiqN","Love On A Real Train - From 'Risky Business' Original Motion Picture Soundtrack","spotify:artist:1BGN1IdyiSR0ZYrkoKNchl","Tangerine Dream","spotify:album:4Mft3FkYzPHdWTmRW0yS1U","Hyperborea (Deluxe Version / Remastered 2020)","spotify:artist:1BGN1IdyiSR0ZYrkoKNchl","Tangerine Dream","1983-11-01","https://i.scdn.co/image/ab67616d0000b2732654f9d4524cda6df5d37a01","1","9","239238","","false","51","GBUM72001428","spotify:user:thesoundsofspotify","2021-01-27T03:49:55Z"
"spotify:track:5PJmbLaYc6hRtaQcfY4Tr7","The Gold Bug","spotify:artist:4ukTtF6tJoVX3JOqb5hAiZ","Woolfson","spotify:album:6xILAjvFtQq6oAenFjJTKy","Synthesizer Greatest 3","spotify:artist:3gjHULP7cB35l467XjCjkQ, spotify:artist:7uxS87ca4fSZmbqAfAZHgQ, spotify:artist:0W6Z7dFqLEiPmEPCNx5yDg","Synthesizer Greatest, Star Inc., Ed Starink","2013-02-06","https://i.scdn.co/image/ab67616d0000b273195e46f93fae989195da2837","1","14","273933","https://p.scdn.co/mp3-preview/cd4b5339959e691e94ed0b20c885f4ad63c55674?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","NLA241208483","spotify:user:thesoundsofspotify","2021-01-27T03:49:55Z"
"spotify:track:6dPTDWiOWzcwF8uT9Igzcl","Theme From Airwolf","spotify:artist:4Aia7R6p8xd4kBnKlx4Los","Levai","spotify:album:4C7LKdkizUtrTYvWEGFQ5D","Synthesizer Greatest 4","spotify:artist:3gjHULP7cB35l467XjCjkQ, spotify:artist:7uxS87ca4fSZmbqAfAZHgQ, spotify:artist:2NRwFHmU8aM3my1zYrubK7","Synthesizer Greatest, Star Inc., Ed Starink","2013-02-06","https://i.scdn.co/image/ab67616d0000b27324056fda931ad4fcf3503755","1","10","256160","https://p.scdn.co/mp3-preview/7497cdb086d438b0822a76b111259d27bcd70b12?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","NLA241208493","spotify:user:thesoundsofspotify","2021-01-27T03:49:55Z"
"spotify:track:3UlmW944PLBExAqG9bwdVE","Caravansary","spotify:artist:6CTNhXJKT6SdsQspUDIGiY","Kitaro","spotify:album:2M3Di6UQUeTTrutbquQhjL","The Definitive Collection","spotify:artist:6CTNhXJKT6SdsQspUDIGiY","Kitaro","2007-11-06","https://i.scdn.co/image/ab67616d0000b273176b4d6f91a93cdc5c36ad2c","1","6","362920","https://p.scdn.co/mp3-preview/d43463340874b6b93a7a368e0282536afba28377?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","USDO19800085","spotify:user:thesoundsofspotify","2021-01-27T03:49:55Z"
