"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:31U21fwH5izi4fVA2f1HKa","The Sensual Woman","spotify:artist:1O7aMVbDeSXY2LiVBhb13w","The Herbaliser","spotify:album:1V3a7mBozraa6AXQmUNxFV","Very Mercenary","spotify:artist:1O7aMVbDeSXY2LiVBhb13w","The Herbaliser","1999-04-01","https://i.scdn.co/image/ab67616d0000b27346d6181c9bd591a937d32e67","1","12","216001","https://p.scdn.co/mp3-preview/139744ebfb0f9be242465e337fab2d16b7992cb3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","GBCFB9900430","spotify:user:thesoundsofspotify","2018-02-27T08:29:23Z"
"spotify:track:0pg2VKzTsBdbxPzcOkReY2","A grand love theme","spotify:artist:1ViF5mdcW7pEn7md71YjOL","Kid Loco","spotify:album:6R1VyRo1cFv2JDC1diCkPS","A Grand Love Story","spotify:artist:1ViF5mdcW7pEn7md71YjOL","Kid Loco","1997","https://i.scdn.co/image/ab67616d0000b2735fceab5f345f3b75548b3880","1","1","242800","https://p.scdn.co/mp3-preview/c58a14e4e35a9a58abfd663084c01944e5ef5bec?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","FRQ260900004","spotify:user:thesoundsofspotify","2015-09-15T00:28:59Z"
"spotify:track:13FO5ag4v62zedndUziMI7","Black Baby (DJ-KiCKS)","spotify:artist:39ywlwtGw8RTGobakgb11L","Kruder & Dorfmeister","spotify:album:0Ba6Ld8Ss2oAH1x7Hv1v53","DJ-Kicks","spotify:artist:39ywlwtGw8RTGobakgb11L","Kruder & Dorfmeister","1996-08-19","https://i.scdn.co/image/ab67616d0000b27355301cfbf84baea21f062cef","1","17","380786","https://p.scdn.co/mp3-preview/d7a3aa443e5b3e11f47e7850b6b8823966ac0c5f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","DEG939600003","spotify:user:thesoundsofspotify","2022-03-04T20:21:27Z"
"spotify:track:1mCflkgzQRzxvRaUSvKwA1","Dark Lady","spotify:artist:4NZM5xKuDpGc4vEHDwGO1Q","DJ Food","spotify:album:4frupmUQjBlGDHYF3OhEvw","Jazz Brakes Volume 4","spotify:artist:4NZM5xKuDpGc4vEHDwGO1Q","DJ Food","1993","https://i.scdn.co/image/ab67616d0000b273dc59d41e9af1a8294cf0a260","1","6","245866","https://p.scdn.co/mp3-preview/007142e28fe22163e7fb2a0bb192a3ced1507238?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","GBCFB9300005","spotify:user:thesoundsofspotify","2020-07-28T22:26:38Z"
"spotify:track:4QY0yRUFZH6esmilQ2B3xI","Ocean Beat","spotify:artist:0TYvluyvV1Es8lTHiBfnAn","Tosca","spotify:album:3mMCQiZaRbwPhn1I3vdFRP","Suzuki","spotify:artist:0TYvluyvV1Es8lTHiBfnAn","Tosca","2000-03-06","https://i.scdn.co/image/ab67616d0000b273253a1b35c8c2995bebe300af","1","9","272613","https://p.scdn.co/mp3-preview/98a7125f0ecc0c5fecc21b2baa3e4b3b5e066fe1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","DEG930000025","spotify:user:thesoundsofspotify","2022-12-30T17:25:52Z"
"spotify:track:6G6M4fl2I0eqEQnzyTwR8m","You Wish","spotify:artist:4tNxq9NGKTKaX8OkZBLgf0","Nightmares On Wax","spotify:album:0SoMbQsPZTM8iA6HB5GSkg","In A Space Outta Sound","spotify:artist:4tNxq9NGKTKaX8OkZBLgf0","Nightmares On Wax","2006-02-20","https://i.scdn.co/image/ab67616d0000b2739078cdfa59703c4509c51775","1","6","209316","https://p.scdn.co/mp3-preview/f146deae97241ece5e4f6c08b9acc8404882f0f8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","GBBPW0500164","spotify:user:thesoundsofspotify","2023-02-10T14:54:24Z"
"spotify:track:5Inoy4IACJrdH93CBfGBsi","Long Road","spotify:artist:2RNUVT2Tl938bULcNzDRNw","Funki Porcini","spotify:album:0v5ACdpHC4PsDrFuhWFjcW","Hed Phone Sex","spotify:artist:2RNUVT2Tl938bULcNzDRNw","Funki Porcini","1995-05-01","https://i.scdn.co/image/ab67616d0000b27361cf5057b8a46dd797dbcc4a","1","15","241760","https://p.scdn.co/mp3-preview/03c9bacc770db930b91f8d93ab4e42f1b93df5a0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","GBCFB0408236","spotify:user:thesoundsofspotify","2020-09-11T11:17:55Z"
"spotify:track:1pWAOjPUV6rrGcmLJaXgPR","On the Dub-ble","spotify:artist:00G1NTDAoU7rBpjG4KoYAM","DJ Krush","spotify:album:4EOMQi0exEn5o6M6uUEj0F","Modern Mantra","spotify:artist:1O8yrjjifkCO8txB4CxuOm","DJ Spooky","2002-05-20","https://i.scdn.co/image/ab67616d0000b2736bdef01353d988d9f89e152a","1","3","121280","https://p.scdn.co/mp3-preview/8baf3af8604ead5c13d4986ec629c976b0f09080?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","USSH60300003","spotify:user:thesoundsofspotify","2017-05-13T23:43:59Z"
"spotify:track:2LmFeLBe39IfY0XfqJ0vOi","Lonely Soul","spotify:artist:2nszamLjZFgu3Yx77mKxuC, spotify:artist:1HGTHrRQkw0BtevSo1jucU","UNKLE, Richard Ashcroft","spotify:album:0LFPjvWEaHP7WKQD6F5pVS","Psyence Fiction","spotify:artist:2nszamLjZFgu3Yx77mKxuC","UNKLE","1998-08-24","https://i.scdn.co/image/ab67616d0000b27312bc6a91af0bcc982bf1a51f","1","5","533013","https://p.scdn.co/mp3-preview/4b6cd3be3dbf722282366e428eb7a387d52c8913?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","GBAQH9800053","spotify:user:thesoundsofspotify","2023-04-28T17:45:05Z"
"spotify:track:5Rq2hPEd7UWN6i9tME54dj","Angelica","spotify:artist:08YvZ2qzFrDSITfHLbPKMP","Lamb","spotify:album:12xoI77eWPK0YfDNRMbEqW","Between Darkness And Wonder","spotify:artist:08YvZ2qzFrDSITfHLbPKMP","Lamb","2003-01-01","https://i.scdn.co/image/ab67616d0000b273f14a2c986be166c323aceb80","1","4","220813","","false","53","GBF080300488","spotify:user:thesoundsofspotify","2018-07-20T18:10:21Z"
