"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:7N1bZUEHA5PGgf5WMOwY3Q","Citizen 13","spotify:artist:180UQSVQwaP2OEWoIKXm8W","Blackwater Burial","spotify:album:6p3eOwNUnsRC7CLvP3pqMB","The Prison of Belief","spotify:artist:180UQSVQwaP2OEWoIKXm8W","Blackwater Burial","2019-08-10","https://i.scdn.co/image/ab67616d0000b27315171cf7131e421cb9df39fb","1","1","306936","https://p.scdn.co/mp3-preview/4d85be901fab171b1fa8613f8d1324948fb9151b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","QMEU31914335","spotify:user:thesoundsofspotify","2022-10-01T00:10:48Z"
"spotify:track:0jyMcV9LFuD2qJNAXgWDTq","The Annex of Ire","spotify:artist:6pSuaIDgOSA4OWqO9jdSO3","Neck of the Woods","spotify:album:1jXbh6IsVcKFpeK00cfjg0","The Annex of Ire","spotify:artist:6pSuaIDgOSA4OWqO9jdSO3","Neck of the Woods","2020-03-20","https://i.scdn.co/image/ab67616d0000b2736fe7d93da10bee5345dca401","1","1","430811","https://p.scdn.co/mp3-preview/e08b741a959f8c45ae9a58d72abdde6a11e59581?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","QMFME1947075","spotify:user:thesoundsofspotify","2020-03-27T18:14:45Z"
"spotify:track:1toiAz0iP5px0B9LeAKTmj","The King","spotify:artist:6rlSEur3Wjn4qWf7I9l6Fi","Expain","spotify:album:4v00RYnEiTiHFAQnwU38uQ","Just the Tip","spotify:artist:6rlSEur3Wjn4qWf7I9l6Fi","Expain","2014-06-24","https://i.scdn.co/image/ab67616d0000b27312f73845b0c0b5c841256f44","1","4","304760","https://p.scdn.co/mp3-preview/b5c45a1b9a8778c12793019c6b2591921b3d905a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","QZ4JJ1627829","spotify:user:thesoundsofspotify","2023-06-23T16:52:45Z"
"spotify:track:59SlceteAuJON4OQYoNPMJ","A Place of Bones","spotify:artist:4fbFgY82xrw87b9Z286vYo","Gross Misconduct","spotify:album:47tuBVpjKL3k2pBDub2Pse","Equinox","spotify:artist:4fbFgY82xrw87b9Z286vYo","Gross Misconduct","2018-11-02","https://i.scdn.co/image/ab67616d0000b273c17a3c20c824664afd11ddc5","1","2","350398","https://p.scdn.co/mp3-preview/2ca106a861a1e242b952b548428656a187a65da4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","CA65F1800002","spotify:user:thesoundsofspotify","2018-11-21T16:26:41Z"
"spotify:track:3TZfw8RVRkk3xyvKf22c9P","Upon This Night, and My Skin of Blue...","spotify:artist:4M8Yh7Jayn5Y2VrYp0O6DW","Liberatia","spotify:album:60KAircHKYJNqra0kaT9Hf","Where the Wretched Lie Slain","spotify:artist:4M8Yh7Jayn5Y2VrYp0O6DW","Liberatia","2020-07-17","https://i.scdn.co/image/ab67616d0000b27338b924194cb14d987fb7d3ba","1","1","242478","https://p.scdn.co/mp3-preview/52a5150acbb5931e71a3f45a237c0cec8fb95d25?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","QZHNA2065797","spotify:user:thesoundsofspotify","2022-12-16T16:15:02Z"
"spotify:track:1Ye41q68MLYMj9p10IcNjk","Breeding Pits","spotify:artist:412L6R430LcXu1H96ByzLo","The Hallowed Catharsis","spotify:album:13BHLL2o1IWCfqgFWEImXA","Killowner","spotify:artist:412L6R430LcXu1H96ByzLo","The Hallowed Catharsis","2020-06-02","https://i.scdn.co/image/ab67616d0000b273238a639c10675303a0c2dbba","1","3","138692","https://p.scdn.co/mp3-preview/8e77cc8b92df18faf5e3542167a6b45d5c766291?cid=9950ac751e34487dbbe027c4fd7f8e99","false","8","CH6542061907","spotify:user:thesoundsofspotify","2021-07-30T14:23:01Z"
"spotify:track:415K412TVjWdpnsbW33tw5","The Last Hunt","spotify:artist:3Lul1VG1tedpBv2TW6q7cj","Truent","spotify:album:4vQumKp6xMlfMrkqcuk7J7","Through the Vale of Earthly Torment","spotify:artist:3Lul1VG1tedpBv2TW6q7cj","Truent","2022-06-17","https://i.scdn.co/image/ab67616d0000b27370b3e0f47843391de1d8216f","1","4","168833","https://p.scdn.co/mp3-preview/8e78b786c2b3c66c7746914ebcb613113f58e130?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","QZDA82265611","spotify:user:thesoundsofspotify","2022-06-24T18:23:33Z"
"spotify:track:6zDjF9jagwkLZOwtkZPqpM","Life Disintegrating","spotify:artist:5mujNfJUaChHnbVdAsDdqT","Xul","spotify:album:6sJKCxSs4GSXGIA0Tz8fap","What Lies Hidden...","spotify:artist:5mujNfJUaChHnbVdAsDdqT","Xul","2018-10-19","https://i.scdn.co/image/ab67616d0000b2733428cf9d77b563a9f03459bb","1","6","266200","https://p.scdn.co/mp3-preview/dc304f678cbedb35e8f04cde73d99158d94f6588?cid=9950ac751e34487dbbe027c4fd7f8e99","false","4","CAIEH1800006","spotify:user:thesoundsofspotify","2018-10-26T21:18:34Z"
"spotify:track:4SmK5jjkaD2I9PQmWRCzUd","Unstoppable","spotify:artist:72nlqBnhibrxTgQcSTLyLF","ArkenFire","spotify:album:1aniifFoxoWNl1T9PYbtvO","Trials Through Time","spotify:artist:72nlqBnhibrxTgQcSTLyLF","ArkenFire","2021-08-20","https://i.scdn.co/image/ab67616d0000b27358ebe5ef397ba91e949e8a20","1","2","260232","https://p.scdn.co/mp3-preview/f27658ac843738f7452ded39398f62b64f72066a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","CACWA2100002","spotify:user:thesoundsofspotify","2021-08-27T15:06:31Z"
"spotify:track:5UPlWde2gYHiVm0g39CNph","Payable in Blood","spotify:artist:0ai4lQCfvsjXNRyIvZHDMq","Dead Asylum","spotify:album:1kqX3bmk7mEGxGZYGlbL0Z","General Carnage","spotify:artist:0ai4lQCfvsjXNRyIvZHDMq","Dead Asylum","2013-07-05","https://i.scdn.co/image/ab67616d0000b2735ca74dcc80a72666eca30831","1","4","302125","https://p.scdn.co/mp3-preview/b22ff1dd8ec279e595b1424863baed5d9e70baa2?cid=9950ac751e34487dbbe027c4fd7f8e99","true","1","ushm81302173","spotify:user:thesoundsofspotify","2023-03-10T15:59:46Z"
