"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0UULVQXjgFPOttIW5qF7Ak","where u at?","spotify:artist:6aaMZ3fcfLv4tEbmY7bjRM","Isaiah Rashad","spotify:album:6jjX8mGrsWtrpYpFhGMrg1","The Sun's Tirade","spotify:artist:6aaMZ3fcfLv4tEbmY7bjRM","Isaiah Rashad","2016-09-02","https://i.scdn.co/image/ab67616d0000b273fbdec8696ff05ae19265dfa0","1","1","44094","https://p.scdn.co/mp3-preview/82bcffa9f93130943211a717103fa6bdd7f1ce00?cid=9950ac751e34487dbbe027c4fd7f8e99","true","40","TCACR1649826","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-23T00:48:36Z"
"spotify:track:71lyUtIPCMAYjTwwwxy2jW","4r Da Squaw","spotify:artist:6aaMZ3fcfLv4tEbmY7bjRM","Isaiah Rashad","spotify:album:6jjX8mGrsWtrpYpFhGMrg1","The Sun's Tirade","spotify:artist:6aaMZ3fcfLv4tEbmY7bjRM","Isaiah Rashad","2016-09-02","https://i.scdn.co/image/ab67616d0000b273fbdec8696ff05ae19265dfa0","1","2","232571","https://p.scdn.co/mp3-preview/48bbdaf243c705f0fe819d883efc34d4861eb34c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","64","TCACR1649827","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-23T00:48:36Z"
"spotify:track:5FX89IUKm9QJT9ymrmyK4k","Free Lunch","spotify:artist:6aaMZ3fcfLv4tEbmY7bjRM","Isaiah Rashad","spotify:album:6jjX8mGrsWtrpYpFhGMrg1","The Sun's Tirade","spotify:artist:6aaMZ3fcfLv4tEbmY7bjRM","Isaiah Rashad","2016-09-02","https://i.scdn.co/image/ab67616d0000b273fbdec8696ff05ae19265dfa0","1","3","192029","https://p.scdn.co/mp3-preview/a575d6153b899486396795d76837b2dbb17807dc?cid=9950ac751e34487dbbe027c4fd7f8e99","true","66","TCACR1649829","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-23T00:48:36Z"
"spotify:track:2TsBRXZQSGp1aaYeNPcT9o","Rope (feat. SiR) // rosegold","spotify:artist:6aaMZ3fcfLv4tEbmY7bjRM, spotify:artist:3QTDHixorJelOLxoxcjqGx","Isaiah Rashad, SiR","spotify:album:6jjX8mGrsWtrpYpFhGMrg1","The Sun's Tirade","spotify:artist:6aaMZ3fcfLv4tEbmY7bjRM","Isaiah Rashad","2016-09-02","https://i.scdn.co/image/ab67616d0000b273fbdec8696ff05ae19265dfa0","1","4","283527","https://p.scdn.co/mp3-preview/db611f706dd2573b7d383d5936e6eba4a2b36aef?cid=9950ac751e34487dbbe027c4fd7f8e99","true","49","TCACR1649834","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-23T00:48:36Z"
"spotify:track:2RPbEp0DyBVlkRvvYKopO7","Wat's Wrong (feat. Zacari & Kendrick Lamar)","spotify:artist:6aaMZ3fcfLv4tEbmY7bjRM, spotify:artist:3qBKjEOanahMxlRojwCzhI, spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Isaiah Rashad, Zacari, Kendrick Lamar","spotify:album:6jjX8mGrsWtrpYpFhGMrg1","The Sun's Tirade","spotify:artist:6aaMZ3fcfLv4tEbmY7bjRM","Isaiah Rashad","2016-09-02","https://i.scdn.co/image/ab67616d0000b273fbdec8696ff05ae19265dfa0","1","5","330783","https://p.scdn.co/mp3-preview/cb1b761dfd28ee1b1964c5947d3c56b72ccfe97e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","69","TCACR1650835","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-23T00:48:36Z"
"spotify:track:5hqh0JUxRShhqdaxu7wlz5","Park","spotify:artist:6aaMZ3fcfLv4tEbmY7bjRM","Isaiah Rashad","spotify:album:6jjX8mGrsWtrpYpFhGMrg1","The Sun's Tirade","spotify:artist:6aaMZ3fcfLv4tEbmY7bjRM","Isaiah Rashad","2016-09-02","https://i.scdn.co/image/ab67616d0000b273fbdec8696ff05ae19265dfa0","1","6","173290","https://p.scdn.co/mp3-preview/226934cc855e94dba8e5b74e82b02d72a070c570?cid=9950ac751e34487dbbe027c4fd7f8e99","true","55","TCACR1649837","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-23T00:48:36Z"
"spotify:track:2uRqJEudnHdYINvwmeaG9h","Bday (feat. Deacon Blues & Kari Faux)","spotify:artist:6aaMZ3fcfLv4tEbmY7bjRM, spotify:artist:7fsTKbh6B0eQGjAM2cVfII, spotify:artist:4c2ighP1wj8E5dVGJDCOiB","Isaiah Rashad, Deacon Blues, Kari Faux","spotify:album:6jjX8mGrsWtrpYpFhGMrg1","The Sun's Tirade","spotify:artist:6aaMZ3fcfLv4tEbmY7bjRM","Isaiah Rashad","2016-09-02","https://i.scdn.co/image/ab67616d0000b273fbdec8696ff05ae19265dfa0","1","7","232978","https://p.scdn.co/mp3-preview/42f003f074b94ef713199132b08ea03f1a9ca445?cid=9950ac751e34487dbbe027c4fd7f8e99","true","47","TCACR1649838","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-23T00:48:36Z"
"spotify:track:5f6esnDQcBiFAm8iMfkw12","Silkk da Shocka (feat. Syd)","spotify:artist:6aaMZ3fcfLv4tEbmY7bjRM, spotify:artist:3jk39CGeaaSO3FPKNx1RUx","Isaiah Rashad, Syd","spotify:album:6jjX8mGrsWtrpYpFhGMrg1","The Sun's Tirade","spotify:artist:6aaMZ3fcfLv4tEbmY7bjRM","Isaiah Rashad","2016-09-02","https://i.scdn.co/image/ab67616d0000b273fbdec8696ff05ae19265dfa0","1","8","166086","https://p.scdn.co/mp3-preview/f69ec93bf31811fcba4988c5999360b260cd04af?cid=9950ac751e34487dbbe027c4fd7f8e99","true","66","TCACR1649840","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-23T00:48:36Z"
"spotify:track:2NoKRHt8LVpnQMVl3TPwvu","Tity and Dolla (feat. Hugh Augustine & Jay Rock)","spotify:artist:6aaMZ3fcfLv4tEbmY7bjRM, spotify:artist:48ehq0jR23nak2ZDDU6uff, spotify:artist:28ExwzUQsvgJooOI0X1mr3","Isaiah Rashad, Hugh Augustine, Jay Rock","spotify:album:6jjX8mGrsWtrpYpFhGMrg1","The Sun's Tirade","spotify:artist:6aaMZ3fcfLv4tEbmY7bjRM","Isaiah Rashad","2016-09-02","https://i.scdn.co/image/ab67616d0000b273fbdec8696ff05ae19265dfa0","1","9","298035","https://p.scdn.co/mp3-preview/255c1e55f3b3ff3d440e21eded1131875684b5a0?cid=9950ac751e34487dbbe027c4fd7f8e99","true","55","TCACR1649841","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-23T00:48:36Z"
"spotify:track:2eYY43d0V17SxOX0g7sBAD","Stuck in the Mud (feat. SZA)","spotify:artist:6aaMZ3fcfLv4tEbmY7bjRM, spotify:artist:7tYKF4w9nC0nq9CsPZTHyP","Isaiah Rashad, SZA","spotify:album:6jjX8mGrsWtrpYpFhGMrg1","The Sun's Tirade","spotify:artist:6aaMZ3fcfLv4tEbmY7bjRM","Isaiah Rashad","2016-09-02","https://i.scdn.co/image/ab67616d0000b273fbdec8696ff05ae19265dfa0","1","10","423170","https://p.scdn.co/mp3-preview/f388850d45196e7d4d05224b0df3e7cbf8dd1e6d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","57","TCACR1649842","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-03-23T00:48:36Z"
