"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0gyNAp8NHuqJ6vIt3AiaPn","Mary","spotify:artist:5QdyldG4Fl4TPiOIeMNpBZ","Big Thief","spotify:album:7luGna3XnSz51ASkz95oNY","Capacity","spotify:artist:5QdyldG4Fl4TPiOIeMNpBZ","Big Thief","2017-05-26","https://i.scdn.co/image/ab67616d0000b273cff6ad782ffc3c0b7aa8d784","1","10","330106","","false","0","US2U61725510","spotify:user:desmondcai0","2017-10-04T06:59:10Z"
"spotify:track:0x6Y6ikSyS17NxfhWsgENm","Chasing Cars","spotify:artist:3rIZMv9rysU7JkLzEaC5Jp","Snow Patrol","spotify:album:1PWBk3u07tjsyOR2VAyDYF","Eyes Open (International Package with bonus live tracks)","spotify:artist:3rIZMv9rysU7JkLzEaC5Jp","Snow Patrol","2006-01-01","https://i.scdn.co/image/ab67616d0000b2733475f2230efe04d10bb0d373","2","3","267960","","false","0","GBUM70600345","spotify:user:desmondcai0","2017-10-04T06:59:29Z"
"spotify:track:75JFxkI2RXiU7L9VXzMkle","The Scientist","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","spotify:album:0RHX9XECH8IVI3LNgWDpmQ","A Rush of Blood to the Head","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","2002-08-08","https://i.scdn.co/image/ab67616d0000b273de09e02aa7febf30b7c02d82","1","4","309600","https://p.scdn.co/mp3-preview/cb283ce76eeee06a724b942d36a140cc088dd50f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","88","GBAYE0200772","spotify:user:desmondcai0","2017-10-04T07:01:34Z"
"spotify:track:3AJwUDP919kvQ9QcozQPxg","Yellow","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","spotify:album:6ZG5lRT77aJ3btmArcykra","Parachutes","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","2000-07-10","https://i.scdn.co/image/ab67616d0000b2733d92b2ad5af9fbc8637425f0","1","5","266773","https://p.scdn.co/mp3-preview/c0d9119dc69cae75baf6463e21e43f433fdf5ff4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","93","GBAYE0000267","spotify:user:desmondcai0","2017-10-04T07:01:37Z"
"spotify:track:2SK1sUZ7jxITVpdZitifGe","idontwannabeyouanymore","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish","spotify:album:3iD9gnKk8eu35kRFzSflJ0","dont smile at me","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish","2017-08-11","https://i.scdn.co/image/ab67616d0000b2737556831a53e5d36283a78b1e","1","2","203569","","false","0","USUM71707712","spotify:user:desmondcai0","2017-10-04T07:02:13Z"
"spotify:track:0OczweIzRB0I263L8ibdsn","party favor","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish","spotify:album:3iD9gnKk8eu35kRFzSflJ0","dont smile at me","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish","2017-08-11","https://i.scdn.co/image/ab67616d0000b2737556831a53e5d36283a78b1e","1","5","204770","","false","0","USUM71708095","spotify:user:desmondcai0","2017-10-04T07:02:17Z"
"spotify:track:51bdr2NmOSHBXhAXIWeehz","Teenage Suicide","spotify:artist:2bmhdBR4FyCbRIBSFoLTuE","Cottonwood Firing Squad","spotify:album:1zZ4UtcQ7AhBXmq8gWdZT3","27 Club","spotify:artist:2bmhdBR4FyCbRIBSFoLTuE","Cottonwood Firing Squad","2017-06-30","https://i.scdn.co/image/ab67616d0000b2739a5c1061512f4dcf1ddde23e","1","4","111368","https://p.scdn.co/mp3-preview/89a065c45201b7507bf1cc70da4d67e493dda983?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","UST8K1721732","spotify:user:desmondcai0","2017-10-04T07:02:46Z"
"spotify:track:4Pv7OY4tfCA8KIdtlkANOS","Pretty Girl","spotify:artist:3l0CmX0FuQjFxr8SK7Vqag","Clairo","spotify:album:5US2Q6umnM2IdlWCz9m2hm","Pretty Girl","spotify:artist:3l0CmX0FuQjFxr8SK7Vqag","Clairo","2017-08-04","https://i.scdn.co/image/ab67616d0000b273c9df8c2c18a52911875df1b9","1","1","178320","","false","0","TCADF1795049","spotify:user:desmondcai0","2017-10-04T07:02:52Z"
"spotify:track:4JHCLFKkuvNMb67DYuAjUU","Get With U","spotify:artist:3l0CmX0FuQjFxr8SK7Vqag","Clairo","spotify:album:5y7QSRmltWRcrT6AnAtitI","Get With U","spotify:artist:3l0CmX0FuQjFxr8SK7Vqag","Clairo","2017-04-15","https://i.scdn.co/image/ab67616d0000b2738d3099da3437c4b3f43e6239","1","1","118883","https://p.scdn.co/mp3-preview/b44b3472c932cbb5ad3d75dbac48bd07a40bf6d4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","TCADG1703072","spotify:user:desmondcai0","2017-10-04T07:02:55Z"
"spotify:track:0dcsuO7AQ06VS9uWfA6m1C","2 Hold U","spotify:artist:3l0CmX0FuQjFxr8SK7Vqag","Clairo","spotify:album:3SvkaUOCDaJPS2Guc4qChc","2 Hold U","spotify:artist:3l0CmX0FuQjFxr8SK7Vqag","Clairo","2017-04-13","https://i.scdn.co/image/ab67616d0000b273114b2e383a7f6bddb032eb7b","1","1","118877","https://p.scdn.co/mp3-preview/870bc277cfab5697a0ffb492ed0fa62ddbec4b3c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","TCADG1703082","spotify:user:desmondcai0","2017-10-04T07:02:58Z"
"spotify:track:5fwayRiGFLBLacew9DCi09","Just how I love you","spotify:artist:6hNArc2Vya9KBBDhvIj1BM","Tyler Burkhart","spotify:album:41fLaOLRWL7N1PcoTrpivg","Marianne","spotify:artist:6hNArc2Vya9KBBDhvIj1BM","Tyler Burkhart","2016-11-25","https://i.scdn.co/image/ab67616d0000b27325010e573548eb64975ef740","1","6","185756","","false","37","SEYOK1666416","spotify:user:desmondcai0","2017-10-04T07:03:49Z"
"spotify:track:3Q13H08h7Oz99laDXhGbA2","Flower Glass","spotify:artist:5poU7FPEYoBlwjzOEWMbX5","Hand Habits","spotify:album:6U8MP9A9MF2fTdFRf0RTr1","Wildly Idle (Humble Before the Void)","spotify:artist:5poU7FPEYoBlwjzOEWMbX5","Hand Habits","2017-02-10","https://i.scdn.co/image/ab67616d0000b273ad85e2337a3b70059a2e0d73","1","1","222590","https://p.scdn.co/mp3-preview/fce87a51e22903d410b55c4483e6cc28f956066b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","US2FD1710001","spotify:user:desmondcai0","2017-10-04T07:04:03Z"
"spotify:track:6ny7kbH529rZfHp4UFVDiP","Beautiful People Beautiful Problems (feat. Stevie Nicks)","spotify:artist:00FQb4jTyendYWaN8pK0wa, spotify:artist:7crPfGd2k81ekOoSqQKWWz","Lana Del Rey, Stevie Nicks","spotify:album:1nP1BEciW2qIlkg4bz97nD","Lust For Life","spotify:artist:00FQb4jTyendYWaN8pK0wa","Lana Del Rey","2017-07-21","https://i.scdn.co/image/ab67616d0000b2730ce29816dc0bf56f52ebde8f","1","12","253531","","false","0","GBUM71701691","spotify:user:desmondcai0","2017-10-04T07:04:22Z"
"spotify:track:3DIKbbv2V73cs0MGp1vd2H","1914","spotify:artist:0VIiIxTNLeJOPoMLabwNtr","Florist","spotify:album:1AEMVhX7zBTMSXVXcZeFpU","The Birds Outside Sang","spotify:artist:0VIiIxTNLeJOPoMLabwNtr","Florist","2016-01-29","https://i.scdn.co/image/ab67616d0000b273d934ca1333f2d81c2e91999e","1","9","132116","","false","0","QMCE71300734","spotify:user:desmondcai0","2017-10-04T07:04:36Z"
