"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0RVn3A5FHQ8OgiIxuRkepW","Fly To You (feat. Grimes and Dido)","spotify:artist:4Ge8xMJNwt6EEXOzVXju9a, spotify:artist:053q0ukIDRgzwTr4vNSwab, spotify:artist:2mpeljBig2IXLXRAFO9AAs","Caroline Polachek, Grimes, Dido","spotify:album:22PkV1Le9P3X4RY4xtmK0q","Desire, I Want To Turn Into You","spotify:artist:4Ge8xMJNwt6EEXOzVXju9a","Caroline Polachek","2023-02-14","https://i.scdn.co/image/ab67616d0000b273de17893c581b6f4fbeba51e1","1","7","245124","https://p.scdn.co/mp3-preview/84b40215647a290b719eb3f27ec8dfafca2287e0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","QM4TW2363170","spotify:user:grimes_spotify","2023-05-31T03:15:49Z"
"spotify:track:5FUU4A7OkQWMN3SW6RcXCt","No Man's Land (feat. Grimes)","spotify:artist:26cMerAxjx9GedFt0lMDjm, spotify:artist:053q0ukIDRgzwTr4vNSwab","Bella Poarch, Grimes","spotify:album:4W8QhTVggLgkJLdsXLLnnz","Dolls EP","spotify:artist:26cMerAxjx9GedFt0lMDjm","Bella Poarch","2022-08-12","https://i.scdn.co/image/ab67616d0000b2736132f812bee6ba5cf4107253","1","4","128871","https://p.scdn.co/mp3-preview/8abb4e1b25a6132412a2bb6461c9ea873653a41a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","58","USWB12200928","spotify:user:grimes_spotify","2023-05-31T03:15:40Z"
"spotify:track:5qJGMk3QL3hEYI4a7GuQsh","Last Day / Новый День","spotify:artist:3luonLzvSOxdU8ytCaEIK8, spotify:artist:053q0ukIDRgzwTr4vNSwab","IC3PEAK, Grimes","spotify:album:3egxaOj9p2ytra4fo0DL9z","KISS OF DEATH","spotify:artist:3luonLzvSOxdU8ytCaEIK8","IC3PEAK","2022-04-22","https://i.scdn.co/image/ab67616d0000b273116ef3dcec29365f8255dbf0","1","3","186875","https://p.scdn.co/mp3-preview/08f1ad5417a8e8739a777f565b25125b57a5486e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","QM4TX2259412","spotify:user:grimes_spotify","2023-05-31T03:15:30Z"
"spotify:track:0YQEWdfq3ajtNtK106Dr0k","Shinigami Eyes","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","spotify:album:4wsyyLWO72hZ39U6hrl31A","Shinigami Eyes","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","2022-01-26","https://i.scdn.co/image/ab67616d0000b273017ec700a9624eec4a7a1e3f","1","1","159315","https://p.scdn.co/mp3-preview/5a68f295ba7880887c513dd269a16a5f40052abf?cid=9950ac751e34487dbbe027c4fd7f8e99","true","66","USQX92103017","spotify:user:grimes_spotify","2023-05-31T03:13:43Z"
"spotify:track:1aL6wkVeoR41DqDpVN7Gl2","Player Of Games","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","spotify:album:1WdV2sVtRWpiaPAxyvq51r","Player Of Games","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","2021-12-03","https://i.scdn.co/image/ab67616d0000b273d4316d60f0987758291942c7","1","1","245542","https://p.scdn.co/mp3-preview/0f5017977a55091c5919669c53e695860a364865?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","USQX92105546","spotify:user:grimes_spotify","2023-05-31T03:13:42Z"
"spotify:track:4skbQNtyjy8A7mo8oqe2oD","A Drug From God","spotify:artist:5Igpc9iLZ3YGtKeYfSrrOE, spotify:artist:3YEsNNbHlb88K9QCog4R0Y","Chris Lake, NPC","spotify:album:6tZzL3lTVgWhJb2cE2jz1f","A Drug From God","spotify:artist:5Igpc9iLZ3YGtKeYfSrrOE, spotify:artist:3YEsNNbHlb88K9QCog4R0Y","Chris Lake, NPC","2021-11-12","https://i.scdn.co/image/ab67616d0000b273efa73dc6e54767a9659a4e6f","1","1","192455","","false","59","USUG12105804","spotify:user:grimes_spotify","2021-11-17T20:59:37Z"
"spotify:track:2IijjNsRhjhMbOKXeOj8xD","So Heavy I Fell Through the Earth - ANNA Remix","spotify:artist:053q0ukIDRgzwTr4vNSwab, spotify:artist:3wkaDi2HJV3eCaBJ4iH6om","Grimes, ANNA","spotify:album:7rhiEqTIsswhakIAfpq2tr","Miss Anthropocene (Rave Edition)","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","2021-01-01","https://i.scdn.co/image/ab67616d0000b273f990b0093204f7829a6340a5","1","1","405581","","false","0","GBAFL2000471","spotify:user:grimes_spotify","2021-01-01T21:23:17Z"
"spotify:track:66lgTeeAs1EOiT8yHSstAc","Darkseid - Richie Hawtin Remix","spotify:artist:053q0ukIDRgzwTr4vNSwab, spotify:artist:3gRbjzXPan9DOBEMmTjxVo, spotify:artist:3AhwIUus3pIaA3CvYBEtpy","Grimes, 潘PAN, Richie Hawtin","spotify:album:7rhiEqTIsswhakIAfpq2tr","Miss Anthropocene (Rave Edition)","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","2021-01-01","https://i.scdn.co/image/ab67616d0000b273f990b0093204f7829a6340a5","1","2","637058","","false","0","GBAFL2000472","spotify:user:grimes_spotify","2021-01-01T21:23:17Z"
"spotify:track:1axJ3uSyqXEeQgwaN9sgGK","Delete Forever - Channel Tres Remix","spotify:artist:053q0ukIDRgzwTr4vNSwab, spotify:artist:4cUkGQyhLFqKHBtL58HYVp","Grimes, Channel Tres","spotify:album:7rhiEqTIsswhakIAfpq2tr","Miss Anthropocene (Rave Edition)","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","2021-01-01","https://i.scdn.co/image/ab67616d0000b273f990b0093204f7829a6340a5","1","3","181160","","false","0","GBAFL2000473","spotify:user:grimes_spotify","2021-01-01T21:23:17Z"
"spotify:track:0LwScqPc3ALwZtOPW65ITG","Violence - REZZ Remix","spotify:artist:053q0ukIDRgzwTr4vNSwab, spotify:artist:0y42IQBDFigO5mmEd1bGQG, spotify:artist:4aKdmOXdUKX07HVd3sGgzw","Grimes, i_o, Rezz","spotify:album:7rhiEqTIsswhakIAfpq2tr","Miss Anthropocene (Rave Edition)","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","2021-01-01","https://i.scdn.co/image/ab67616d0000b273f990b0093204f7829a6340a5","1","4","195300","","false","0","GBAFL2000476","spotify:user:grimes_spotify","2021-01-01T21:23:17Z"
"spotify:track:25LIQhNOvT4Kr0krjqM8UA","New Gods - Tale Of Us & Âme Remix","spotify:artist:053q0ukIDRgzwTr4vNSwab, spotify:artist:5muFO8VqYRCRW13EkvX564, spotify:artist:1UL813H5aj3e8ekE5RqWqc","Grimes, Âme, Tale Of Us","spotify:album:7rhiEqTIsswhakIAfpq2tr","Miss Anthropocene (Rave Edition)","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","2021-01-01","https://i.scdn.co/image/ab67616d0000b273f990b0093204f7829a6340a5","1","6","450000","","false","0","GBAFL2000474","spotify:user:grimes_spotify","2021-01-01T21:23:17Z"
"spotify:track:5fgxYuLchlp6LooovRM3c1","My Name is Dark - Julien Bracht Remix","spotify:artist:053q0ukIDRgzwTr4vNSwab, spotify:artist:10dTAeheJUqaoY9C0UxdHx","Grimes, Julien Bracht","spotify:album:7rhiEqTIsswhakIAfpq2tr","Miss Anthropocene (Rave Edition)","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","2021-01-01","https://i.scdn.co/image/ab67616d0000b273f990b0093204f7829a6340a5","1","7","623223","","true","0","GBAFL2000475","spotify:user:grimes_spotify","2021-01-01T21:23:17Z"
"spotify:track:1VBRtfbhFvWx4dn2sFdn3U","You'll miss me when I'm not around - Things You Say Remix","spotify:artist:053q0ukIDRgzwTr4vNSwab, spotify:artist:0e9yqjW5K4JROQzaq9n50N","Grimes, Things You Say","spotify:album:7rhiEqTIsswhakIAfpq2tr","Miss Anthropocene (Rave Edition)","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","2021-01-01","https://i.scdn.co/image/ab67616d0000b273f990b0093204f7829a6340a5","1","8","311426","","false","0","GBAFL2000478","spotify:user:grimes_spotify","2021-01-01T21:23:17Z"
"spotify:track:6jbsXGRrgG1PkJPUg9dAug","IDORU - Modeselektor Remix","spotify:artist:053q0ukIDRgzwTr4vNSwab, spotify:artist:2jYMYP2SVifgmzNRQJx3SJ","Grimes, Modeselektor","spotify:album:7rhiEqTIsswhakIAfpq2tr","Miss Anthropocene (Rave Edition)","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","2021-01-01","https://i.scdn.co/image/ab67616d0000b273f990b0093204f7829a6340a5","1","10","365733","","false","0","GBAFL2000477","spotify:user:grimes_spotify","2021-01-01T21:23:17Z"
"spotify:track:1hT3eaGzrcFriQtgGdvsZv","Delicate Weapon","spotify:artist:053q0ukIDRgzwTr4vNSwab, spotify:artist:4n2RbW3dIUzGI089lh9NI0","Grimes, Lizzy Wizzy","spotify:album:1VGVJdmvOSRK2w9RKXk18A","Cyberpunk 2077: Radio, Vol. 2 (Original Soundtrack)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2020-12-18","https://i.scdn.co/image/ab67616d0000b273a91a5b301baac1f46e6f30eb","1","2","230270","https://p.scdn.co/mp3-preview/144fef816cbdb2ab978cc1ce2d7481faf206a6eb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","USLS52081702","spotify:user:grimes_spotify","2020-12-30T03:06:45Z"
"spotify:track:56Y6V54T1d4ywfZMfk8DUS","Sheesh (feat. Grimes)","spotify:artist:0Cp8WN4V8Tu4QJQwCN5Md4, spotify:artist:053q0ukIDRgzwTr4vNSwab","BENEE, Grimes","spotify:album:4KKRAmQ0ksj32l7mrgLOcF","Hey u x","spotify:artist:0Cp8WN4V8Tu4QJQwCN5Md4","BENEE","2020-11-13","https://i.scdn.co/image/ab67616d0000b2734bd20e01d00de4b35b61f5f7","1","3","213610","","false","47","USUM72019975","spotify:user:grimes_spotify","2020-11-13T07:10:13Z"
"spotify:track:0w1Wd17IygSVDMOZtKm4hi","Cry (feat. Grimes)","spotify:artist:3PyJHH2wyfQK3WZrk9rpmP, spotify:artist:053q0ukIDRgzwTr4vNSwab","Ashnikko, Grimes","spotify:album:0osHesMrCdavp471L78uwu","Cry (feat. Grimes)","spotify:artist:3PyJHH2wyfQK3WZrk9rpmP, spotify:artist:053q0ukIDRgzwTr4vNSwab","Ashnikko, Grimes","2020-06-17","https://i.scdn.co/image/ab67616d0000b273b92c8caf2c7b8f35c2b3ff00","1","1","126274","https://p.scdn.co/mp3-preview/b1d5427c7f088e92595024801b0ff93a6fc608b1?cid=9950ac751e34487dbbe027c4fd7f8e99","true","53","GBAYE2000452","spotify:user:grimes_spotify","2020-06-26T00:27:24Z"
"spotify:track:4PxRT9cyEDKXZe42fgwpX8","So Heavy I Fell Through the Earth - Art Mix","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","spotify:album:1ZKbjlrUC5REoa13uSH5KL","Miss Anthropocene (Deluxe Edition)","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","2020-02-21","https://i.scdn.co/image/ab67616d0000b2731f67b65f8dd05cb4c2a01ce6","1","1","368277","","true","0","GBAFL1900402","spotify:user:grimes_spotify","2020-05-14T05:55:22Z"
"spotify:track:1VCR3eiEan5BedLmg7zahz","Darkseid","spotify:artist:053q0ukIDRgzwTr4vNSwab, spotify:artist:3gRbjzXPan9DOBEMmTjxVo","Grimes, 潘PAN","spotify:album:1ZKbjlrUC5REoa13uSH5KL","Miss Anthropocene (Deluxe Edition)","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","2020-02-21","https://i.scdn.co/image/ab67616d0000b2731f67b65f8dd05cb4c2a01ce6","1","2","224109","","false","0","GBAFL1900403","spotify:user:grimes_spotify","2020-05-14T05:55:22Z"
"spotify:track:6pBaH4u4WIFDxzwDaazekR","Delete Forever","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","spotify:album:1ZKbjlrUC5REoa13uSH5KL","Miss Anthropocene (Deluxe Edition)","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","2020-02-21","https://i.scdn.co/image/ab67616d0000b2731f67b65f8dd05cb4c2a01ce6","1","3","237480","","true","0","GBAFL1900405","spotify:user:grimes_spotify","2020-05-14T05:55:22Z"
"spotify:track:31XtwSNrnxzSPlt2k6pAc6","Violence - Original Mix","spotify:artist:053q0ukIDRgzwTr4vNSwab, spotify:artist:0y42IQBDFigO5mmEd1bGQG","Grimes, i_o","spotify:album:1ZKbjlrUC5REoa13uSH5KL","Miss Anthropocene (Deluxe Edition)","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","2020-02-21","https://i.scdn.co/image/ab67616d0000b2731f67b65f8dd05cb4c2a01ce6","1","4","220616","","false","0","GBAFL1900329","spotify:user:grimes_spotify","2020-05-14T05:55:22Z"
"spotify:track:3sqmHaUVKizwwoKsHMVc1U","4ÆM","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","spotify:album:1ZKbjlrUC5REoa13uSH5KL","Miss Anthropocene (Deluxe Edition)","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","2020-02-21","https://i.scdn.co/image/ab67616d0000b2731f67b65f8dd05cb4c2a01ce6","1","5","270982","","false","0","GBAFL1900406","spotify:user:grimes_spotify","2020-05-14T05:55:22Z"
"spotify:track:05gxfnUV4auQyym1VIcVE0","New Gods","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","spotify:album:1ZKbjlrUC5REoa13uSH5KL","Miss Anthropocene (Deluxe Edition)","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","2020-02-21","https://i.scdn.co/image/ab67616d0000b2731f67b65f8dd05cb4c2a01ce6","1","6","195821","","false","0","GBAFL1900404","spotify:user:grimes_spotify","2020-05-14T05:55:22Z"
"spotify:track:2wuF5I3a4AmuRE0G5bQxgG","My Name is Dark - Art Mix","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","spotify:album:1ZKbjlrUC5REoa13uSH5KL","Miss Anthropocene (Deluxe Edition)","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","2020-02-21","https://i.scdn.co/image/ab67616d0000b2731f67b65f8dd05cb4c2a01ce6","1","7","356077","","true","0","GBAFL1900407","spotify:user:grimes_spotify","2020-05-14T05:55:22Z"
"spotify:track:5CCI3yvULsQRQacPgQ1NCO","You'll miss me when I'm not around","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","spotify:album:1ZKbjlrUC5REoa13uSH5KL","Miss Anthropocene (Deluxe Edition)","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","2020-02-21","https://i.scdn.co/image/ab67616d0000b2731f67b65f8dd05cb4c2a01ce6","1","8","161691","","false","0","GBAFL1900408","spotify:user:grimes_spotify","2020-05-14T05:55:22Z"
"spotify:track:0GXzq9r87Z1XUWxOGg9Zpk","Before the fever","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","spotify:album:1ZKbjlrUC5REoa13uSH5KL","Miss Anthropocene (Deluxe Edition)","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","2020-02-21","https://i.scdn.co/image/ab67616d0000b2731f67b65f8dd05cb4c2a01ce6","1","9","217466","","false","0","GBAFL1900409","spotify:user:grimes_spotify","2020-05-14T05:55:22Z"
"spotify:track:049ZBc2B2a8GK57EKes9Xz","IDORU","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","spotify:album:1ZKbjlrUC5REoa13uSH5KL","Miss Anthropocene (Deluxe Edition)","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","2020-02-21","https://i.scdn.co/image/ab67616d0000b2731f67b65f8dd05cb4c2a01ce6","1","10","433486","","false","0","GBAFL1900410","spotify:user:grimes_spotify","2020-05-14T05:55:22Z"
"spotify:track:1RuWiwnl4QOjL1x2kJiOZG","We Appreciate Power","spotify:artist:053q0ukIDRgzwTr4vNSwab, spotify:artist:224Zsim3dmWXWYUXFuHv0o","Grimes, HANA","spotify:album:1ZKbjlrUC5REoa13uSH5KL","Miss Anthropocene (Deluxe Edition)","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","2020-02-21","https://i.scdn.co/image/ab67616d0000b2731f67b65f8dd05cb4c2a01ce6","1","11","335289","","false","0","GBAFL1800298","spotify:user:grimes_spotify","2020-05-14T05:55:22Z"
"spotify:track:7vRvuaS5TalFruaBoApKUg","So Heavy I Fell Through the Earth - Algorithm Mix","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","spotify:album:1ZKbjlrUC5REoa13uSH5KL","Miss Anthropocene (Deluxe Edition)","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","2020-02-21","https://i.scdn.co/image/ab67616d0000b2731f67b65f8dd05cb4c2a01ce6","1","12","232961","","false","0","GBAFL1900456","spotify:user:grimes_spotify","2020-05-14T05:55:22Z"
"spotify:track:66C22PtKlMAGQ9LoTvvQd2","Violence - Club Mix","spotify:artist:053q0ukIDRgzwTr4vNSwab, spotify:artist:0y42IQBDFigO5mmEd1bGQG","Grimes, i_o","spotify:album:1ZKbjlrUC5REoa13uSH5KL","Miss Anthropocene (Deluxe Edition)","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","2020-02-21","https://i.scdn.co/image/ab67616d0000b2731f67b65f8dd05cb4c2a01ce6","1","13","252115","","false","0","GBAFL1900424","spotify:user:grimes_spotify","2020-05-14T05:55:22Z"
"spotify:track:0mujIS0ygy6PLRZ4u63OTa","My Name is Dark - Algorithm Mix","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","spotify:album:1ZKbjlrUC5REoa13uSH5KL","Miss Anthropocene (Deluxe Edition)","spotify:artist:053q0ukIDRgzwTr4vNSwab","Grimes","2020-02-21","https://i.scdn.co/image/ab67616d0000b2731f67b65f8dd05cb4c2a01ce6","1","14","243872","","false","0","GBAFL1900486","spotify:user:grimes_spotify","2020-05-14T05:55:22Z"
