"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:49eTZ4KPyi27LjIWVq6uSP","Vertigo","spotify:artist:1HQjBwlj8FSHMhVaNQ4tEI","VOLA","spotify:album:2sGgHaebVkUg4PGcNp6XKA","Applause Of A Distant Crowd","spotify:artist:1HQjBwlj8FSHMhVaNQ4tEI","VOLA","2018-10-12","https://i.scdn.co/image/ab67616d0000b2738d2f70792b45fe47aa18df9c","1","6","244026","","false","0","NLB931801806","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-02-18T22:53:21Z"
"spotify:track:177PlXNTvnNEWGGM7pXNzk","Ruby Pool","spotify:artist:1HQjBwlj8FSHMhVaNQ4tEI","VOLA","spotify:album:2sGgHaebVkUg4PGcNp6XKA","Applause Of A Distant Crowd","spotify:artist:1HQjBwlj8FSHMhVaNQ4tEI","VOLA","2018-10-12","https://i.scdn.co/image/ab67616d0000b2738d2f70792b45fe47aa18df9c","1","4","249040","","false","0","NLB931801804","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-02-18T22:54:46Z"
"spotify:track:4S0iFqlxNbwThYQWRgvBDB","Pan","spotify:artist:3Gs10XJ4S4OEFrMRqZJcic","Plini","spotify:album:36vhZCfOCcpgEk7tXWBUdZ","Impulse Voices","spotify:artist:3Gs10XJ4S4OEFrMRqZJcic","Plini","2020-11-27","https://i.scdn.co/image/ab67616d0000b273a89b3eb32273ffac4fd2f3f6","1","6","333000","https://p.scdn.co/mp3-preview/ab577c02d3301643cc992bf70b9a8611ae38e4ab?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","AUMEV2025548","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-02-18T23:21:33Z"
"spotify:track:28uTV1xcMTcIPTsKVbyhFV","Electric Sunrise","spotify:artist:3Gs10XJ4S4OEFrMRqZJcic","Plini","spotify:album:36vGWMFViWBpBB4npwmusv","Handmade Cities","spotify:artist:3Gs10XJ4S4OEFrMRqZJcic","Plini","2016-08-26","https://i.scdn.co/image/ab67616d0000b27398ceeac32fe318df0303ae4c","1","1","305000","","false","0","TCACR1606807","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-02-18T23:28:20Z"
"spotify:track:1L2dVs7ppm3cSYpSuHId5S","Alleviate","spotify:artist:4lgrzShsg2FLA89UM2fdO5","Leprous","spotify:album:1A5H6pesxiKqvVFGMKprSM","Pitfalls","spotify:artist:4lgrzShsg2FLA89UM2fdO5","Leprous","2019-10-25","https://i.scdn.co/image/ab67616d0000b273f12784179fecee512ab71706","1","5","222415","https://p.scdn.co/mp3-preview/680b3b1ea5559547fd44925ad22248762b79048e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","GBDHC1911305","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-02-18T23:38:13Z"
"spotify:track:1tBxs9BqNlBXbIxVaCBrv5","From the Flame","spotify:artist:4lgrzShsg2FLA89UM2fdO5","Leprous","spotify:album:0DvboP39IwpnJU9QrKIpDW","Malina","spotify:artist:4lgrzShsg2FLA89UM2fdO5","Leprous","2017-08-25","https://i.scdn.co/image/ab67616d0000b2738fd7578cb75dd30b4fdde9df","1","3","231346","https://p.scdn.co/mp3-preview/50c1b96c8b020fd8463e15fb3a7c83ddec7ddd8b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","GBDHC1779203","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-02-18T23:41:55Z"
"spotify:track:0UFkbnxj34vZVgwwEDy29e","A wild river to take you home","spotify:artist:64Ql0eGtS5olwVo47Km3zt, spotify:artist:6inyUzK7dr7MUbugV1zAHI","Black Hill, Silent Island","spotify:album:7J5CwUsg2oS6MpvI8N5GAP","Tales of the night forest","spotify:artist:64Ql0eGtS5olwVo47Km3zt, spotify:artist:6inyUzK7dr7MUbugV1zAHI","Black Hill, Silent Island","2018-05-14","https://i.scdn.co/image/ab67616d0000b273954f7c00bd749ca88b4ccdaf","1","1","229535","https://p.scdn.co/mp3-preview/661e0bb34aaa90955f93128db618702a13bbce4c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","50","GBSMU6241645","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-02-18T23:51:24Z"
"spotify:track:1UqO3H77BIYBfef0LBck2z","Beyond Me - Remaster","spotify:artist:6ISyfZw4EVt16zhmH2lvxp, spotify:artist:2GST08xzn3dJilysjDhSmi","After Forever, Sharon Den Adel","spotify:album:4cbFWcSHZqyVwskNJ9FpZw","Prison of Desire: The Album - The Sessions (Remaster)","spotify:artist:6ISyfZw4EVt16zhmH2lvxp","After Forever","2014-11-15","https://i.scdn.co/image/ab67616d0000b273240df1ecdb70c4d659a20745","1","11","384240","","false","0","FR26V1416003","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-02-18T23:53:56Z"
"spotify:track:4gwuy8dyF1WQYJlUoItxug","Sirály","spotify:artist:4sgTqbA7htxYkRRJBPZIom","Thy Catafalque","spotify:album:6lneG1IkSB7EQSiow6sRao","Meta","spotify:artist:4sgTqbA7htxYkRRJBPZIom","Thy Catafalque","2016-10-07","https://i.scdn.co/image/ab67616d0000b2738df412ef8920744ec8d828c9","1","2","370980","https://p.scdn.co/mp3-preview/81b909158a2f83dabbcd6cfb96fd6bddd07be3a1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","FR33T1639702","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-02-18T23:55:36Z"
"spotify:track:65povBjfssGNoZFoQsjI6c","Embersólyom - Kaláka","spotify:artist:4sgTqbA7htxYkRRJBPZIom","Thy Catafalque","spotify:album:2eH5WM6pIPFsFylP5sbOi9","Naiv","spotify:artist:4sgTqbA7htxYkRRJBPZIom","Thy Catafalque","2020-01-24","https://i.scdn.co/image/ab67616d0000b273c5f9b224fa7c652b87061afa","1","3","257199","https://p.scdn.co/mp3-preview/e92884b142a6cdeb85fb4e88eae9c1ded9e569cb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","FR33T2055203","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-02-19T00:00:10Z"
