"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:3eekarcy7kvN4yt5ZFzltW","HIGHEST IN THE ROOM","spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY","Travis Scott","spotify:album:2uDTi1PlpSpvAv7IRAoAEU","HIGHEST IN THE ROOM","spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY","Travis Scott","2019-10-04","https://i.scdn.co/image/ab67616d0000b273e42b5fea4ac4c3d6328b622b","1","1","175720","https://p.scdn.co/mp3-preview/387b31c31b72f0c16e33d0c78bab869b0a0f4eb3?cid=9950ac751e34487dbbe027c4fd7f8e99","true","86","USSM11904276","spotify:user:4ikc1y0h0ajjjzaf70xkuk8ev","2020-08-11T21:03:26Z"
"spotify:track:7wBJfHzpfI3032CSD7CE2m","STARGAZING","spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY","Travis Scott","spotify:album:41GuZcammIkupMPKH2OJ6I","ASTROWORLD","spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY","Travis Scott","2018-08-03","https://i.scdn.co/image/ab67616d0000b273072e9faef2ef7b6db63834a3","1","1","270714","https://p.scdn.co/mp3-preview/dbc5f9d87513fb6049a9f43c00a0e1b6cb90a256?cid=9950ac751e34487dbbe027c4fd7f8e99","true","78","USSM11806658","spotify:user:4ikc1y0h0ajjjzaf70xkuk8ev","2020-08-11T21:13:14Z"
"spotify:track:1tkg4EHVoqnhR6iFEXb60y","What You Know Bout Love","spotify:artist:0eDvMgVFoNV3TpwtrVCoTj","Pop Smoke","spotify:album:7e7t0MCrNDcJZsPwUKjmOc","Shoot For The Stars Aim For The Moon","spotify:artist:0eDvMgVFoNV3TpwtrVCoTj","Pop Smoke","2020-07-03","https://i.scdn.co/image/ab67616d0000b27377ada0863603903f57b34369","1","15","160000","","true","83","USUM72013339","spotify:user:4ikc1y0h0ajjjzaf70xkuk8ev","2020-08-11T21:09:32Z"
"spotify:track:1JDhNQ0oOT7XpclZn3aQ8F","West Coast Shit (feat. Tyga & Quavo)","spotify:artist:0eDvMgVFoNV3TpwtrVCoTj, spotify:artist:5LHRHt1k9lMyONurDHEdrp, spotify:artist:0VRj0yCOv2FXJNP47XQnx5","Pop Smoke, Tyga, Quavo","spotify:album:7e7t0MCrNDcJZsPwUKjmOc","Shoot For The Stars Aim For The Moon","spotify:artist:0eDvMgVFoNV3TpwtrVCoTj","Pop Smoke","2020-07-03","https://i.scdn.co/image/ab67616d0000b27377ada0863603903f57b34369","1","11","192000","","true","58","USUM72013370","spotify:user:4ikc1y0h0ajjjzaf70xkuk8ev","2020-08-11T21:10:01Z"
"spotify:track:1es91Lilzr2MraYFgS60YK","Lights Out","spotify:artist:5pVRwX5ZQR7hfJ18w8ZYkl, spotify:artist:6LnJKrtFnTEGdbWQ2riWCL","Ufo361, Ezhel","spotify:album:6DkWC425pAikMNKmNDnlJ8","Lights Out","spotify:artist:5pVRwX5ZQR7hfJ18w8ZYkl, spotify:artist:6LnJKrtFnTEGdbWQ2riWCL","Ufo361, Ezhel","2019-11-15","https://i.scdn.co/image/ab67616d0000b27362d0075a6a54a9a84ca0a2c9","1","5","192366","https://p.scdn.co/mp3-preview/eaf5f30336fce708e18cdece0349d43de66c4ade?cid=9950ac751e34487dbbe027c4fd7f8e99","true","49","DECE71900836","spotify:user:4ikc1y0h0ajjjzaf70xkuk8ev","2020-08-11T21:10:32Z"
"spotify:track:7GX5flRQZVHRAGd6B4TmDO","XO Tour Llif3","spotify:artist:4O15NlyKLIASxsJ0PrXPfz","Lil Uzi Vert","spotify:album:733e1ZfktLSwj96X5rsMeE","Luv Is Rage 2","spotify:artist:4O15NlyKLIASxsJ0PrXPfz","Lil Uzi Vert","2017-08-25","https://i.scdn.co/image/ab67616d0000b27341b41e6f7924e530a9b00f9c","1","16","182706","https://p.scdn.co/mp3-preview/115d957b81400862451425d9591dfa938da476da?cid=9950ac751e34487dbbe027c4fd7f8e99","true","84","USAT21703440","spotify:user:4ikc1y0h0ajjjzaf70xkuk8ev","2020-08-11T21:11:24Z"
"spotify:track:3kW4z2pIj5VY5fLjBrMRL5","P2","spotify:artist:4O15NlyKLIASxsJ0PrXPfz","Lil Uzi Vert","spotify:album:7IyoGB8J31fvQDwGtHAq9m","Eternal Atake","spotify:artist:4O15NlyKLIASxsJ0PrXPfz","Lil Uzi Vert","2020-03-06","https://i.scdn.co/image/ab67616d0000b273d5f1bbe527fa685633339add","1","16","234626","https://p.scdn.co/mp3-preview/921cde773a79522d702fe89fa443c214b03168df?cid=9950ac751e34487dbbe027c4fd7f8e99","true","70","USAT22001369","spotify:user:4ikc1y0h0ajjjzaf70xkuk8ev","2020-08-11T21:11:56Z"
"spotify:track:56uXDJRCuoS7abX3SkzHKQ","Myron","spotify:artist:4O15NlyKLIASxsJ0PrXPfz","Lil Uzi Vert","spotify:album:0fEO7g2c5onkaXsybEtuD2","Eternal Atake (Deluxe) - LUV vs. The World 2","spotify:artist:4O15NlyKLIASxsJ0PrXPfz","Lil Uzi Vert","2020-03-13","https://i.scdn.co/image/ab67616d0000b273dea510881ec1e506485303e4","1","1","224954","https://p.scdn.co/mp3-preview/87f92e8915ce58201e381b33744f26bbe951d967?cid=9950ac751e34487dbbe027c4fd7f8e99","true","74","USAT22001372","spotify:user:4ikc1y0h0ajjjzaf70xkuk8ev","2020-08-11T21:12:10Z"
"spotify:track:4SnlSaLJJ7reJMCHM5YUuX","Lotus","spotify:artist:4O15NlyKLIASxsJ0PrXPfz","Lil Uzi Vert","spotify:album:0fEO7g2c5onkaXsybEtuD2","Eternal Atake (Deluxe) - LUV vs. The World 2","spotify:artist:4O15NlyKLIASxsJ0PrXPfz","Lil Uzi Vert","2020-03-13","https://i.scdn.co/image/ab67616d0000b273dea510881ec1e506485303e4","1","2","193861","https://p.scdn.co/mp3-preview/63d5bc6221840502b81966a4ac5543b781539cd6?cid=9950ac751e34487dbbe027c4fd7f8e99","true","56","USAT22001630","spotify:user:4ikc1y0h0ajjjzaf70xkuk8ev","2020-08-11T21:12:16Z"
"spotify:track:4D7NrSeqkTarBrJ80b2sBc","Leaders (feat. NAV)","spotify:artist:4O15NlyKLIASxsJ0PrXPfz, spotify:artist:7rkW85dBwwrJtlHRDkJDAC","Lil Uzi Vert, NAV","spotify:album:0fEO7g2c5onkaXsybEtuD2","Eternal Atake (Deluxe) - LUV vs. The World 2","spotify:artist:4O15NlyKLIASxsJ0PrXPfz","Lil Uzi Vert","2020-03-13","https://i.scdn.co/image/ab67616d0000b273dea510881ec1e506485303e4","1","14","194843","https://p.scdn.co/mp3-preview/85db47b7323a02bb1588ff652c3450abed6ffa8a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","59","USAT22001642","spotify:user:4ikc1y0h0ajjjzaf70xkuk8ev","2020-08-11T21:12:34Z"
"spotify:track:2Fp9qq75MxGrtGUZ2oxk1Z","That Way - Bonus Track","spotify:artist:4O15NlyKLIASxsJ0PrXPfz","Lil Uzi Vert","spotify:album:0fEO7g2c5onkaXsybEtuD2","Eternal Atake (Deluxe) - LUV vs. The World 2","spotify:artist:4O15NlyKLIASxsJ0PrXPfz","Lil Uzi Vert","2020-03-13","https://i.scdn.co/image/ab67616d0000b273dea510881ec1e506485303e4","2","18","212354","https://p.scdn.co/mp3-preview/95a07250b75b7cdba2316b78f98c48918c3e7623?cid=9950ac751e34487dbbe027c4fd7f8e99","true","52","USAT22001371","spotify:user:4ikc1y0h0ajjjzaf70xkuk8ev","2020-08-11T21:12:50Z"
"spotify:track:6OaVWaGfhXn70ZJfdVcabn","NO BYSTANDERS","spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY","Travis Scott","spotify:album:41GuZcammIkupMPKH2OJ6I","ASTROWORLD","spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY","Travis Scott","2018-08-03","https://i.scdn.co/image/ab67616d0000b273072e9faef2ef7b6db63834a3","1","6","218283","https://p.scdn.co/mp3-preview/70bd42f5912cd79fcb026418dffb99bc57f45b14?cid=9950ac751e34487dbbe027c4fd7f8e99","true","75","USSM11806663","spotify:user:4ikc1y0h0ajjjzaf70xkuk8ev","2020-08-11T21:13:03Z"
"spotify:track:27a1mYSG5tYg7dmEjWBcmL","CAN'T SAY","spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY","Travis Scott","spotify:album:41GuZcammIkupMPKH2OJ6I","ASTROWORLD","spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY","Travis Scott","2018-08-03","https://i.scdn.co/image/ab67616d0000b273072e9faef2ef7b6db63834a3","1","13","198408","https://p.scdn.co/mp3-preview/4b3564ac8a8363c105fbc651062e2a466076c69c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","81","USSM11806670","spotify:user:4ikc1y0h0ajjjzaf70xkuk8ev","2020-08-11T21:13:38Z"
"spotify:track:2cYqizR4lgvp4Qu6IQ3qGN","BUTTERFLY EFFECT","spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY","Travis Scott","spotify:album:41GuZcammIkupMPKH2OJ6I","ASTROWORLD","spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY","Travis Scott","2018-08-03","https://i.scdn.co/image/ab67616d0000b273072e9faef2ef7b6db63834a3","1","15","190557","https://p.scdn.co/mp3-preview/68cba40a7199c972c7a2ad0df063c4d1f5e3dc73?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","USSM11704799","spotify:user:4ikc1y0h0ajjjzaf70xkuk8ev","2020-08-11T21:13:56Z"
"spotify:track:58TaFP5j5i9swOf584yon2","HOUSTONFORNICATION","spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY","Travis Scott","spotify:album:41GuZcammIkupMPKH2OJ6I","ASTROWORLD","spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY","Travis Scott","2018-08-03","https://i.scdn.co/image/ab67616d0000b273072e9faef2ef7b6db63834a3","1","16","217828","https://p.scdn.co/mp3-preview/3c903f4be7d5a311734bb11e610a2a455d15cbe8?cid=9950ac751e34487dbbe027c4fd7f8e99","true","72","USSM11806671","spotify:user:4ikc1y0h0ajjjzaf70xkuk8ev","2020-08-11T21:14:01Z"
