"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:76u71tQ2GALnwY0VJyOu83","LSD","spotify:artist:5ZS223C6JyBfXasXxrRqOk","Jhené Aiko","spotify:album:7CAAClnSiXdMibPT1oyl4k","Trip","spotify:artist:5ZS223C6JyBfXasXxrRqOk","Jhené Aiko","2017-09-22","https://i.scdn.co/image/ab67616d0000b2737ccc8005498d9f75b03333c2","1","1","105533","","false","49","USUM71710417","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-01-10T11:47:50Z"
"spotify:track:4dwNcnCoPnz1x83AWu1kAa","Jukai","spotify:artist:5ZS223C6JyBfXasXxrRqOk","Jhené Aiko","spotify:album:7CAAClnSiXdMibPT1oyl4k","Trip","spotify:artist:5ZS223C6JyBfXasXxrRqOk","Jhené Aiko","2017-09-22","https://i.scdn.co/image/ab67616d0000b2737ccc8005498d9f75b03333c2","1","2","256253","","false","49","USUM71710428","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-01-10T11:47:50Z"
"spotify:track:4mL59LVbKgOpEACxraGYdr","While We're Young","spotify:artist:5ZS223C6JyBfXasXxrRqOk","Jhené Aiko","spotify:album:7CAAClnSiXdMibPT1oyl4k","Trip","spotify:artist:5ZS223C6JyBfXasXxrRqOk","Jhené Aiko","2017-09-22","https://i.scdn.co/image/ab67616d0000b2737ccc8005498d9f75b03333c2","1","3","236160","","true","73","USUM71705478","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-01-10T11:47:50Z"
"spotify:track:2nvmHk4JnsZ94mygliLsou","Moments","spotify:artist:5ZS223C6JyBfXasXxrRqOk, spotify:artist:0c173mlxpT3dSFRgMO8XPh","Jhené Aiko, Big Sean","spotify:album:7CAAClnSiXdMibPT1oyl4k","Trip","spotify:artist:5ZS223C6JyBfXasXxrRqOk","Jhené Aiko","2017-09-22","https://i.scdn.co/image/ab67616d0000b2737ccc8005498d9f75b03333c2","1","4","178920","","false","60","USUM71710430","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-01-10T11:47:50Z"
"spotify:track:1DlMzdRaFpIABvx07jCgvQ","OLLA (Only Lovers Left Alive)","spotify:artist:5ZS223C6JyBfXasXxrRqOk, spotify:artist:6g8AmloI8egfrr3dm3SnUL","Jhené Aiko, TWENTY88","spotify:album:7CAAClnSiXdMibPT1oyl4k","Trip","spotify:artist:5ZS223C6JyBfXasXxrRqOk","Jhené Aiko","2017-09-22","https://i.scdn.co/image/ab67616d0000b2737ccc8005498d9f75b03333c2","1","5","348693","","false","47","USUM71710440","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-01-10T11:47:50Z"
"spotify:track:63LJjsJuqZgQyYibMXn9ku","When We Love","spotify:artist:5ZS223C6JyBfXasXxrRqOk","Jhené Aiko","spotify:album:7CAAClnSiXdMibPT1oyl4k","Trip","spotify:artist:5ZS223C6JyBfXasXxrRqOk","Jhené Aiko","2017-09-22","https://i.scdn.co/image/ab67616d0000b2737ccc8005498d9f75b03333c2","1","6","262626","","false","57","USUM71710441","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-01-10T11:47:50Z"
"spotify:track:2pg2TiYo9Rb8KeB5JjP7jS","Sativa","spotify:artist:5ZS223C6JyBfXasXxrRqOk, spotify:artist:1zNqQNIdeOUZHb8zbZRFMX","Jhené Aiko, Swae Lee","spotify:album:7CAAClnSiXdMibPT1oyl4k","Trip","spotify:artist:5ZS223C6JyBfXasXxrRqOk","Jhené Aiko","2017-09-22","https://i.scdn.co/image/ab67616d0000b2737ccc8005498d9f75b03333c2","1","7","276960","","true","79","USUM71710460","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-01-10T11:47:50Z"
"spotify:track:0PYmO55JPwEWgtyJbkN6mq","New Balance","spotify:artist:5ZS223C6JyBfXasXxrRqOk","Jhené Aiko","spotify:album:7CAAClnSiXdMibPT1oyl4k","Trip","spotify:artist:5ZS223C6JyBfXasXxrRqOk","Jhené Aiko","2017-09-22","https://i.scdn.co/image/ab67616d0000b2737ccc8005498d9f75b03333c2","1","8","279453","","true","56","USUM71710462","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-01-10T11:47:50Z"
"spotify:track:1LJdXxqYLqC1hP7dqawFBS","Newer Balance - Freestyle","spotify:artist:5ZS223C6JyBfXasXxrRqOk","Jhené Aiko","spotify:album:7CAAClnSiXdMibPT1oyl4k","Trip","spotify:artist:5ZS223C6JyBfXasXxrRqOk","Jhené Aiko","2017-09-22","https://i.scdn.co/image/ab67616d0000b2737ccc8005498d9f75b03333c2","1","9","65786","","false","46","USUM71710482","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-01-10T11:47:50Z"
"spotify:track:7tX9wItFwaTPCuVBneLrHs","You Are Here","spotify:artist:5ZS223C6JyBfXasXxrRqOk","Jhené Aiko","spotify:album:7CAAClnSiXdMibPT1oyl4k","Trip","spotify:artist:5ZS223C6JyBfXasXxrRqOk","Jhené Aiko","2017-09-22","https://i.scdn.co/image/ab67616d0000b2737ccc8005498d9f75b03333c2","1","10","219520","","false","48","USUM71710484","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-01-10T11:47:50Z"
