"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4XiXSj3nrm7AzOg5ckqB6s","Uhohtrouble","spotify:artist:4xXQxNcBCtsaz6Gw1IblE3","Michael Cera","spotify:album:1uxnZdfM0xoRUhaXy2Iez5","True That","spotify:artist:4xXQxNcBCtsaz6Gw1IblE3","Michael Cera","2014-08-14","https://i.scdn.co/image/ab67616d0000b2730409a2c89b43fc33d1f3cb0d","1","1","48000","https://p.scdn.co/mp3-preview/26610c11027a53af14feb34afb815d2ec0d12e65?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","TCACK1587291","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-12T02:49:25Z"
"spotify:track:5eB3muuAibVHt5eCk5WBI6","Moving In","spotify:artist:4xXQxNcBCtsaz6Gw1IblE3","Michael Cera","spotify:album:1uxnZdfM0xoRUhaXy2Iez5","True That","spotify:artist:4xXQxNcBCtsaz6Gw1IblE3","Michael Cera","2014-08-14","https://i.scdn.co/image/ab67616d0000b2730409a2c89b43fc33d1f3cb0d","1","2","108068","https://p.scdn.co/mp3-preview/09ff7c0b5583d85495fbe377c6288de525a26932?cid=9950ac751e34487dbbe027c4fd7f8e99","true","37","TCACK1587299","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-12T02:49:25Z"
"spotify:track:0XgRWgcs0Pcr9PSIdFWD4N","Clay Pigeons","spotify:artist:4xXQxNcBCtsaz6Gw1IblE3","Michael Cera","spotify:album:1uxnZdfM0xoRUhaXy2Iez5","True That","spotify:artist:4xXQxNcBCtsaz6Gw1IblE3","Michael Cera","2014-08-14","https://i.scdn.co/image/ab67616d0000b2730409a2c89b43fc33d1f3cb0d","1","3","186000","https://p.scdn.co/mp3-preview/75b6c6781ba33062b428235b2518a652bc621d9f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","TCACK1587301","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-12T02:49:25Z"
"spotify:track:1KfniRBYlEzK2TQdZNuKWO","What Gives (...I Can't Live Like This)","spotify:artist:4xXQxNcBCtsaz6Gw1IblE3","Michael Cera","spotify:album:1uxnZdfM0xoRUhaXy2Iez5","True That","spotify:artist:4xXQxNcBCtsaz6Gw1IblE3","Michael Cera","2014-08-14","https://i.scdn.co/image/ab67616d0000b2730409a2c89b43fc33d1f3cb0d","1","4","66768","https://p.scdn.co/mp3-preview/2e1e2a615ad0c6b05daa12a5015a5991c13ae1b2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","TCACK1587312","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-12T02:49:25Z"
"spotify:track:60Oxsu95BnK2ok7KE8gp5K","Of a Thursday","spotify:artist:4xXQxNcBCtsaz6Gw1IblE3","Michael Cera","spotify:album:1uxnZdfM0xoRUhaXy2Iez5","True That","spotify:artist:4xXQxNcBCtsaz6Gw1IblE3","Michael Cera","2014-08-14","https://i.scdn.co/image/ab67616d0000b2730409a2c89b43fc33d1f3cb0d","1","5","206053","https://p.scdn.co/mp3-preview/785c3a78d894b01bb187c0a9d3d299a2cda8ebd5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","TCACK1587314","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-12T02:49:25Z"
"spotify:track:5g3MdGGUQcg6lUfmuJXKIG","Too Much","spotify:artist:4xXQxNcBCtsaz6Gw1IblE3","Michael Cera","spotify:album:1uxnZdfM0xoRUhaXy2Iez5","True That","spotify:artist:4xXQxNcBCtsaz6Gw1IblE3","Michael Cera","2014-08-14","https://i.scdn.co/image/ab67616d0000b2730409a2c89b43fc33d1f3cb0d","1","6","185835","https://p.scdn.co/mp3-preview/69cde72b798135895e344d325d277e7c8ab0bab5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","TCACK1587316","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-12T02:49:25Z"
"spotify:track:1haygzFsN41MuQiRDjQlbq","Steady Now","spotify:artist:4xXQxNcBCtsaz6Gw1IblE3","Michael Cera","spotify:album:1uxnZdfM0xoRUhaXy2Iez5","True That","spotify:artist:4xXQxNcBCtsaz6Gw1IblE3","Michael Cera","2014-08-14","https://i.scdn.co/image/ab67616d0000b2730409a2c89b43fc33d1f3cb0d","1","7","120058","https://p.scdn.co/mp3-preview/ea2821345dacf73459912626693dcb000c9dfe9a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","TCACK1587321","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-12T02:49:25Z"
"spotify:track:5gejBIwHoKWFsaldxQ0eZM","Gershy's Kiss","spotify:artist:4xXQxNcBCtsaz6Gw1IblE3","Michael Cera","spotify:album:1uxnZdfM0xoRUhaXy2Iez5","True That","spotify:artist:4xXQxNcBCtsaz6Gw1IblE3","Michael Cera","2014-08-14","https://i.scdn.co/image/ab67616d0000b2730409a2c89b43fc33d1f3cb0d","1","8","167575","https://p.scdn.co/mp3-preview/55ab4a3fd51902b02dd62d9591653a01f686d0a4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","TCACK1587323","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-12T02:49:25Z"
"spotify:track:7sy6vg2AKY1Varm0iivQzA","Humdrummin","spotify:artist:4xXQxNcBCtsaz6Gw1IblE3","Michael Cera","spotify:album:1uxnZdfM0xoRUhaXy2Iez5","True That","spotify:artist:4xXQxNcBCtsaz6Gw1IblE3","Michael Cera","2014-08-14","https://i.scdn.co/image/ab67616d0000b2730409a2c89b43fc33d1f3cb0d","1","9","46053","https://p.scdn.co/mp3-preview/237e21c0eede133c2962fdcd103224a3d0553eb1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","TCACK1587325","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-12T02:49:25Z"
"spotify:track:6RBUY4TwfgJsWc9WyOonCc","2048","spotify:artist:4xXQxNcBCtsaz6Gw1IblE3","Michael Cera","spotify:album:1uxnZdfM0xoRUhaXy2Iez5","True That","spotify:artist:4xXQxNcBCtsaz6Gw1IblE3","Michael Cera","2014-08-14","https://i.scdn.co/image/ab67616d0000b2730409a2c89b43fc33d1f3cb0d","1","10","94850","https://p.scdn.co/mp3-preview/33f8988e0cdc9a11423cbc77d4159bf3de80101c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","TCACK1587327","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-06-12T02:49:25Z"
