"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:7urtwZEtOypb3r8HNi42dT","Duvet","spotify:artist:5jTtGLk1mGFMY5lQOvJYUj","bôa","spotify:album:4FuDtiC4q9CrL1bVMunIHE","Twilight","spotify:artist:5jTtGLk1mGFMY5lQOvJYUj","bôa","2001","https://i.scdn.co/image/ab67616d0000b273ec743375ac494655ed0db2fb","1","1","203600","","false","1","uscgj0659337","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T04:05:48Z"
"spotify:track:065mWeAFcIWOX52Cnj9f6M","Twilight","spotify:artist:5jTtGLk1mGFMY5lQOvJYUj","bôa","spotify:album:4FuDtiC4q9CrL1bVMunIHE","Twilight","spotify:artist:5jTtGLk1mGFMY5lQOvJYUj","bôa","2001","https://i.scdn.co/image/ab67616d0000b273ec743375ac494655ed0db2fb","1","2","228800","","false","0","uscgj0659338","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T04:05:48Z"
"spotify:track:6fYtZoUhbmvVgA7fRw53Kr","Fool","spotify:artist:5jTtGLk1mGFMY5lQOvJYUj","bôa","spotify:album:4FuDtiC4q9CrL1bVMunIHE","Twilight","spotify:artist:5jTtGLk1mGFMY5lQOvJYUj","bôa","2001","https://i.scdn.co/image/ab67616d0000b273ec743375ac494655ed0db2fb","1","3","307200","","false","0","uscgj0659339","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T04:05:48Z"
"spotify:track:1tgsUrBNQ9qBtl0OdsOGso","Rain","spotify:artist:5jTtGLk1mGFMY5lQOvJYUj","bôa","spotify:album:4FuDtiC4q9CrL1bVMunIHE","Twilight","spotify:artist:5jTtGLk1mGFMY5lQOvJYUj","bôa","2001","https://i.scdn.co/image/ab67616d0000b273ec743375ac494655ed0db2fb","1","4","236266","","false","0","uscgj0659340","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T04:05:48Z"
"spotify:track:7IlQIVklcAI9Sta8CFiYrl","Elephant","spotify:artist:5jTtGLk1mGFMY5lQOvJYUj","bôa","spotify:album:4FuDtiC4q9CrL1bVMunIHE","Twilight","spotify:artist:5jTtGLk1mGFMY5lQOvJYUj","bôa","2001","https://i.scdn.co/image/ab67616d0000b273ec743375ac494655ed0db2fb","1","5","234160","","false","0","uscgj0659341","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T04:05:48Z"
"spotify:track:7tQNlpDjQoHaqPXui0iV47","Scoring","spotify:artist:5jTtGLk1mGFMY5lQOvJYUj","bôa","spotify:album:4FuDtiC4q9CrL1bVMunIHE","Twilight","spotify:artist:5jTtGLk1mGFMY5lQOvJYUj","bôa","2001","https://i.scdn.co/image/ab67616d0000b273ec743375ac494655ed0db2fb","1","6","230000","","false","0","uscgj0659342","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T04:05:48Z"
"spotify:track:5wGtTGfUdijlDGrzNO04zl","Deeply","spotify:artist:5jTtGLk1mGFMY5lQOvJYUj","bôa","spotify:album:4FuDtiC4q9CrL1bVMunIHE","Twilight","spotify:artist:5jTtGLk1mGFMY5lQOvJYUj","bôa","2001","https://i.scdn.co/image/ab67616d0000b273ec743375ac494655ed0db2fb","1","7","274933","","false","0","uscgj0659343","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T04:05:48Z"
"spotify:track:4Lx07ONh8LaKwrSVND9YMj","One Day","spotify:artist:5jTtGLk1mGFMY5lQOvJYUj","bôa","spotify:album:4FuDtiC4q9CrL1bVMunIHE","Twilight","spotify:artist:5jTtGLk1mGFMY5lQOvJYUj","bôa","2001","https://i.scdn.co/image/ab67616d0000b273ec743375ac494655ed0db2fb","1","8","160866","","false","0","uscgj0659344","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T04:05:48Z"
"spotify:track:5a8ut7H6o5pqdB8A73SYuh","Welcome","spotify:artist:5jTtGLk1mGFMY5lQOvJYUj","bôa","spotify:album:4FuDtiC4q9CrL1bVMunIHE","Twilight","spotify:artist:5jTtGLk1mGFMY5lQOvJYUj","bôa","2001","https://i.scdn.co/image/ab67616d0000b273ec743375ac494655ed0db2fb","1","9","305626","","false","0","uscgj0659345","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T04:05:48Z"
"spotify:track:17jT2sswY95fInGiT3nfw7","For Jasmine","spotify:artist:5jTtGLk1mGFMY5lQOvJYUj","bôa","spotify:album:4FuDtiC4q9CrL1bVMunIHE","Twilight","spotify:artist:5jTtGLk1mGFMY5lQOvJYUj","bôa","2001","https://i.scdn.co/image/ab67616d0000b273ec743375ac494655ed0db2fb","1","10","317506","","false","0","uscgj0659346","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T04:05:48Z"
"spotify:track:6poCULVJv13jTsePQ0FWYS","Anna Maria","spotify:artist:5jTtGLk1mGFMY5lQOvJYUj","bôa","spotify:album:4FuDtiC4q9CrL1bVMunIHE","Twilight","spotify:artist:5jTtGLk1mGFMY5lQOvJYUj","bôa","2001","https://i.scdn.co/image/ab67616d0000b273ec743375ac494655ed0db2fb","1","11","245173","","false","0","uscgj0659347","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T04:05:48Z"
"spotify:track:2KphT1j1WWgm2FfzeAcgH3","Duvet [Acoustic]","spotify:artist:5jTtGLk1mGFMY5lQOvJYUj","bôa","spotify:album:4FuDtiC4q9CrL1bVMunIHE","Twilight","spotify:artist:5jTtGLk1mGFMY5lQOvJYUj","bôa","2001","https://i.scdn.co/image/ab67616d0000b273ec743375ac494655ed0db2fb","1","12","314320","","false","0","uscgj0659348","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T04:05:48Z"
"spotify:track:4sE0aO9fqNdRHfJeYMQH9b","Little Miss","spotify:artist:5jTtGLk1mGFMY5lQOvJYUj","bôa","spotify:album:4FuDtiC4q9CrL1bVMunIHE","Twilight","spotify:artist:5jTtGLk1mGFMY5lQOvJYUj","bôa","2001","https://i.scdn.co/image/ab67616d0000b273ec743375ac494655ed0db2fb","1","13","233480","","false","0","uscgj0659349","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T04:05:48Z"
"spotify:track:3sjyCuxVgca9C9RNLjaLVn","Drinking","spotify:artist:5jTtGLk1mGFMY5lQOvJYUj","bôa","spotify:album:4FuDtiC4q9CrL1bVMunIHE","Twilight","spotify:artist:5jTtGLk1mGFMY5lQOvJYUj","bôa","2001","https://i.scdn.co/image/ab67616d0000b273ec743375ac494655ed0db2fb","1","14","252626","","false","0","uscgj0659350","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2021-10-23T04:05:48Z"
