"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1OAyMiK0X0HvoELe5Rfvks","Lady (On Film)","spotify:artist:4tOVIRjlWWfR1RrAxyRqTE","Chromatics","spotify:album:6OqegZkCUq29CJarqL8trP","Cherry (Deluxe)","spotify:artist:4tOVIRjlWWfR1RrAxyRqTE","Chromatics","2017-12-09","https://i.scdn.co/image/ab67616d0000b273d24ace45b14f77bb5b1e22c8","1","10","201605","https://p.scdn.co/mp3-preview/32ae01f422f90cb5a17ef81345fb7ccde435e709?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","QM24S1705260","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-15T18:39:03Z"
"spotify:track:6ZICqzk71hekECPdzgOIMe","Red Car","spotify:artist:4tOVIRjlWWfR1RrAxyRqTE","Chromatics","spotify:album:6OqegZkCUq29CJarqL8trP","Cherry (Deluxe)","spotify:artist:4tOVIRjlWWfR1RrAxyRqTE","Chromatics","2017-12-09","https://i.scdn.co/image/ab67616d0000b273d24ace45b14f77bb5b1e22c8","1","3","264086","https://p.scdn.co/mp3-preview/44454220e7a6505c90294085de951fe7b195626d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","QMMMF1200020","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-15T18:47:20Z"
"spotify:track:7LoBU1WGYKdafd7lC0WDPc","At Your Door","spotify:artist:4tOVIRjlWWfR1RrAxyRqTE","Chromatics","spotify:album:6OqegZkCUq29CJarqL8trP","Cherry (Deluxe)","spotify:artist:4tOVIRjlWWfR1RrAxyRqTE","Chromatics","2017-12-09","https://i.scdn.co/image/ab67616d0000b273d24ace45b14f77bb5b1e22c8","1","5","273320","https://p.scdn.co/mp3-preview/36aa4414e710932d72f9ef8ecf4640a59fe4eec5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","QM24S1705258","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-15T18:54:44Z"
"spotify:track:64oG82347hpRz9aOACC7iI","Ceremony","spotify:artist:4tOVIRjlWWfR1RrAxyRqTE, spotify:artist:7atGlyFY5574ph1tGMs6gD","Chromatics, Glass Candy","spotify:album:6OqegZkCUq29CJarqL8trP","Cherry (Deluxe)","spotify:artist:4tOVIRjlWWfR1RrAxyRqTE","Chromatics","2017-12-09","https://i.scdn.co/image/ab67616d0000b273d24ace45b14f77bb5b1e22c8","1","4","313080","https://p.scdn.co/mp3-preview/ab813882b71b50ffa9a3523c0cdca61ae46d35b3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","QM24S1705257","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-15T18:54:55Z"
"spotify:track:0ot2fJYeIUCJDggi4HaP4l","White Light","spotify:artist:4tOVIRjlWWfR1RrAxyRqTE","Chromatics","spotify:album:6OqegZkCUq29CJarqL8trP","Cherry (Deluxe)","spotify:artist:4tOVIRjlWWfR1RrAxyRqTE","Chromatics","2017-12-09","https://i.scdn.co/image/ab67616d0000b273d24ace45b14f77bb5b1e22c8","1","6","181080","https://p.scdn.co/mp3-preview/7d753d016e9e1adee1c07d11d687efcdcfa9a629?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","QM24S1705259","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-15T19:06:58Z"
"spotify:track:5IpsbBF7LUTmlnNSKrJF8N","Candy (Original Version)","spotify:artist:4tOVIRjlWWfR1RrAxyRqTE","Chromatics","spotify:album:6OqegZkCUq29CJarqL8trP","Cherry (Deluxe)","spotify:artist:4tOVIRjlWWfR1RrAxyRqTE","Chromatics","2017-12-09","https://i.scdn.co/image/ab67616d0000b273d24ace45b14f77bb5b1e22c8","1","7","312026","https://p.scdn.co/mp3-preview/b966d88473a2f1b1f9c68568390e7ab0260a611a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","QMMMF1600003","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-15T19:08:47Z"
"spotify:track:4sRmzVSedvFkENbSJ342Ex","Cherry","spotify:artist:4tOVIRjlWWfR1RrAxyRqTE","Chromatics","spotify:album:6OqegZkCUq29CJarqL8trP","Cherry (Deluxe)","spotify:artist:4tOVIRjlWWfR1RrAxyRqTE","Chromatics","2017-12-09","https://i.scdn.co/image/ab67616d0000b273d24ace45b14f77bb5b1e22c8","1","9","271952","https://p.scdn.co/mp3-preview/5dab64cca4013a092119aed7a9211f89eb3f3206?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","QMMMF1300022","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-15T19:21:17Z"
"spotify:track:6IzyvVLAOBIuQUnbQsCn2Y","I Can't Keep Running","spotify:artist:4tOVIRjlWWfR1RrAxyRqTE","Chromatics","spotify:album:6OqegZkCUq29CJarqL8trP","Cherry (Deluxe)","spotify:artist:4tOVIRjlWWfR1RrAxyRqTE","Chromatics","2017-12-09","https://i.scdn.co/image/ab67616d0000b273d24ace45b14f77bb5b1e22c8","1","2","273783","https://p.scdn.co/mp3-preview/8dce943f57354d76ba91aa8952377bde6a27a384?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","QMMMF1600026","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-15T19:35:34Z"
"spotify:track:65OFzcycZBSerMAVXk2lof","Headlight's Glare","spotify:artist:4tOVIRjlWWfR1RrAxyRqTE","Chromatics","spotify:album:6OqegZkCUq29CJarqL8trP","Cherry (Deluxe)","spotify:artist:4tOVIRjlWWfR1RrAxyRqTE","Chromatics","2017-12-09","https://i.scdn.co/image/ab67616d0000b273d24ace45b14f77bb5b1e22c8","1","17","159560","https://p.scdn.co/mp3-preview/501ef4d180e18dad25818979f6cc169f262e2e95?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","QM24S1705266","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-15T19:46:46Z"
"spotify:track:7jGObWKMdSnKd8nXs9cn66","Lady Night Drive","spotify:artist:4tOVIRjlWWfR1RrAxyRqTE","Chromatics","spotify:album:6OqegZkCUq29CJarqL8trP","Cherry (Deluxe)","spotify:artist:4tOVIRjlWWfR1RrAxyRqTE","Chromatics","2017-12-09","https://i.scdn.co/image/ab67616d0000b273d24ace45b14f77bb5b1e22c8","1","16","329733","https://p.scdn.co/mp3-preview/a56f55ab25aed2860522ae512cb88d0a1931c941?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","QM24S1705265","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-05-15T19:53:41Z"
