"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2u1FWVxAb16qbgwPgygAdj","V","spotify:artist:07vycW8ICLf5hKb22PFWXw","Marcin Przybyłowicz","spotify:album:1B2QrHbMox8vPXUY7rXAFp","Cyberpunk 2077 - Original Score","spotify:artist:07vycW8ICLf5hKb22PFWXw, spotify:artist:27VhXJzIph9c75cBh1e8XM, spotify:artist:0360rTDeUjEyBXaz2Ki00a","Marcin Przybyłowicz, P.T. Adamczyk, Paul Leonard-Morgan","2020-12-11","https://i.scdn.co/image/ab67616d0000b273ca593ba6b61b7a164ae408b9","1","1","154146","https://p.scdn.co/mp3-preview/1981579e1e2d98f746284f658801558f3970989a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","PLI362015000","spotify:user:11100324499","2021-03-28T02:57:19Z"
"spotify:track:1ffhRcMHiQpvtCWJLYkPkE","Outsider No More","spotify:artist:27VhXJzIph9c75cBh1e8XM","P.T. Adamczyk","spotify:album:1B2QrHbMox8vPXUY7rXAFp","Cyberpunk 2077 - Original Score","spotify:artist:07vycW8ICLf5hKb22PFWXw, spotify:artist:27VhXJzIph9c75cBh1e8XM, spotify:artist:0360rTDeUjEyBXaz2Ki00a","Marcin Przybyłowicz, P.T. Adamczyk, Paul Leonard-Morgan","2020-12-11","https://i.scdn.co/image/ab67616d0000b273ca593ba6b61b7a164ae408b9","1","5","230306","https://p.scdn.co/mp3-preview/2d552c3869ef2cf3fc734a39f25fcc615b04fdcd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","PLI362015004","spotify:user:11100324499","2021-03-28T02:57:00Z"
"spotify:track:3m8UfZwPMMbiWfGR8Lg2cR","The Rebel Path","spotify:artist:27VhXJzIph9c75cBh1e8XM","P.T. Adamczyk","spotify:album:1B2QrHbMox8vPXUY7rXAFp","Cyberpunk 2077 - Original Score","spotify:artist:07vycW8ICLf5hKb22PFWXw, spotify:artist:27VhXJzIph9c75cBh1e8XM, spotify:artist:0360rTDeUjEyBXaz2Ki00a","Marcin Przybyłowicz, P.T. Adamczyk, Paul Leonard-Morgan","2020-12-11","https://i.scdn.co/image/ab67616d0000b273ca593ba6b61b7a164ae408b9","1","3","250960","https://p.scdn.co/mp3-preview/4886b01cc9051636b983c7138f73fcd9104c404f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","PLI362015002","spotify:user:11100324499","2021-03-28T02:57:37Z"
"spotify:track:1mJHg0f2yodWG7xmGaj8av","Cloudy Day","spotify:artist:07vycW8ICLf5hKb22PFWXw","Marcin Przybyłowicz","spotify:album:1B2QrHbMox8vPXUY7rXAFp","Cyberpunk 2077 - Original Score","spotify:artist:07vycW8ICLf5hKb22PFWXw, spotify:artist:27VhXJzIph9c75cBh1e8XM, spotify:artist:0360rTDeUjEyBXaz2Ki00a","Marcin Przybyłowicz, P.T. Adamczyk, Paul Leonard-Morgan","2020-12-11","https://i.scdn.co/image/ab67616d0000b273ca593ba6b61b7a164ae408b9","1","6","305000","https://p.scdn.co/mp3-preview/fbfd56ac12a15f9c555b24ab2bb83a35f0f729b4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","PLI362015005","spotify:user:11100324499","2021-03-28T02:57:46Z"
"spotify:track:52csNdG1mOCeGLeUHr7F6l","You Shall Never Have To Forgive Me Again","spotify:artist:27VhXJzIph9c75cBh1e8XM","P.T. Adamczyk","spotify:album:1B2QrHbMox8vPXUY7rXAFp","Cyberpunk 2077 - Original Score","spotify:artist:07vycW8ICLf5hKb22PFWXw, spotify:artist:27VhXJzIph9c75cBh1e8XM, spotify:artist:0360rTDeUjEyBXaz2Ki00a","Marcin Przybyłowicz, P.T. Adamczyk, Paul Leonard-Morgan","2020-12-11","https://i.scdn.co/image/ab67616d0000b273ca593ba6b61b7a164ae408b9","1","13","196400","https://p.scdn.co/mp3-preview/f791a17fc9b9b7c8a88a5cc47c9f6c9f48f276b9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","PLI362015012","spotify:user:11100324499","2021-03-28T02:58:19Z"
"spotify:track:1grfW6r1yUwrbuvu6YwTAB","Modern Anthill","spotify:artist:07vycW8ICLf5hKb22PFWXw","Marcin Przybyłowicz","spotify:album:1B2QrHbMox8vPXUY7rXAFp","Cyberpunk 2077 - Original Score","spotify:artist:07vycW8ICLf5hKb22PFWXw, spotify:artist:27VhXJzIph9c75cBh1e8XM, spotify:artist:0360rTDeUjEyBXaz2Ki00a","Marcin Przybyłowicz, P.T. Adamczyk, Paul Leonard-Morgan","2020-12-11","https://i.scdn.co/image/ab67616d0000b273ca593ba6b61b7a164ae408b9","2","2","203173","https://p.scdn.co/mp3-preview/5e904adb67dbaef6a13da906b27904f9654d7146?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","PLI362015020","spotify:user:11100324499","2021-03-28T02:59:33Z"
"spotify:track:07fIK1aunwUy0iP9U0HwOL","The Sacred And The Profane","spotify:artist:0360rTDeUjEyBXaz2Ki00a","Paul Leonard-Morgan","spotify:album:1B2QrHbMox8vPXUY7rXAFp","Cyberpunk 2077 - Original Score","spotify:artist:07vycW8ICLf5hKb22PFWXw, spotify:artist:27VhXJzIph9c75cBh1e8XM, spotify:artist:0360rTDeUjEyBXaz2Ki00a","Marcin Przybyłowicz, P.T. Adamczyk, Paul Leonard-Morgan","2020-12-11","https://i.scdn.co/image/ab67616d0000b273ca593ba6b61b7a164ae408b9","2","3","275826","https://p.scdn.co/mp3-preview/a956857de888bb1cf77429854f1449dc24312fb7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","PLI362015021","spotify:user:11100324499","2021-03-28T02:59:43Z"
"spotify:track:6AwixkGo6RfuNb1ioiwERs","Bells Of Laguna Bend","spotify:artist:0360rTDeUjEyBXaz2Ki00a","Paul Leonard-Morgan","spotify:album:1B2QrHbMox8vPXUY7rXAFp","Cyberpunk 2077 - Original Score","spotify:artist:07vycW8ICLf5hKb22PFWXw, spotify:artist:27VhXJzIph9c75cBh1e8XM, spotify:artist:0360rTDeUjEyBXaz2Ki00a","Marcin Przybyłowicz, P.T. Adamczyk, Paul Leonard-Morgan","2020-12-11","https://i.scdn.co/image/ab67616d0000b273ca593ba6b61b7a164ae408b9","2","8","261385","https://p.scdn.co/mp3-preview/ba836ccf56a0faef03bc5f5aa3488950dd004d4b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","PLI362015026","spotify:user:11100324499","2021-03-28T02:59:54Z"
"spotify:track:7xriaMEoVTABFOUmnWutPb","Atlantis","spotify:artist:27VhXJzIph9c75cBh1e8XM","P.T. Adamczyk","spotify:album:1B2QrHbMox8vPXUY7rXAFp","Cyberpunk 2077 - Original Score","spotify:artist:07vycW8ICLf5hKb22PFWXw, spotify:artist:27VhXJzIph9c75cBh1e8XM, spotify:artist:0360rTDeUjEyBXaz2Ki00a","Marcin Przybyłowicz, P.T. Adamczyk, Paul Leonard-Morgan","2020-12-11","https://i.scdn.co/image/ab67616d0000b273ca593ba6b61b7a164ae408b9","2","10","283106","https://p.scdn.co/mp3-preview/539ec5f8bb84cd9b58ed2cee5d60b4f3b5d9b56b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","PLI362015028","spotify:user:11100324499","2021-03-28T03:00:02Z"
"spotify:track:2RDOapSuS9Y5AETN75PtbH","Hanako & Yorinobu","spotify:artist:0360rTDeUjEyBXaz2Ki00a","Paul Leonard-Morgan","spotify:album:1B2QrHbMox8vPXUY7rXAFp","Cyberpunk 2077 - Original Score","spotify:artist:07vycW8ICLf5hKb22PFWXw, spotify:artist:27VhXJzIph9c75cBh1e8XM, spotify:artist:0360rTDeUjEyBXaz2Ki00a","Marcin Przybyłowicz, P.T. Adamczyk, Paul Leonard-Morgan","2020-12-11","https://i.scdn.co/image/ab67616d0000b273ca593ba6b61b7a164ae408b9","2","16","174880","https://p.scdn.co/mp3-preview/761fd62989ab6ac087b27db714cc37df5aed4deb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","PLI362015034","spotify:user:11100324499","2021-03-28T03:00:23Z"
"spotify:track:136sgok7ZeYKnzzfgM3DBk","Been Good To Know Ya","spotify:artist:07vycW8ICLf5hKb22PFWXw","Marcin Przybyłowicz","spotify:album:1B2QrHbMox8vPXUY7rXAFp","Cyberpunk 2077 - Original Score","spotify:artist:07vycW8ICLf5hKb22PFWXw, spotify:artist:27VhXJzIph9c75cBh1e8XM, spotify:artist:0360rTDeUjEyBXaz2Ki00a","Marcin Przybyłowicz, P.T. Adamczyk, Paul Leonard-Morgan","2020-12-11","https://i.scdn.co/image/ab67616d0000b273ca593ba6b61b7a164ae408b9","2","17","254560","https://p.scdn.co/mp3-preview/4d7c54348d45fbb91eef29594e449b9048b987ab?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","PLI362015035","spotify:user:11100324499","2021-03-28T03:00:32Z"
"spotify:track:3GR6MLpg7XXplpaXYyzoXa","Chippin' In","spotify:artist:1wfb72UB5sQSOOqiNQUjwl, spotify:artist:27VhXJzIph9c75cBh1e8XM, spotify:artist:6nS0T1lRhLRlaZtnmZ94Up","Damian Ukeje, P.T. Adamczyk, Kerry Eurodyne","spotify:album:4L3cV9CUK0MVXUXLYkWY23","Cyberpunk 2077: Radio, Vol. 3 (Original Soundtrack)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2020-12-25","https://i.scdn.co/image/ab67616d0000b2731dbbe25807996493bc175633","1","7","215979","https://p.scdn.co/mp3-preview/66e756216cf60e8acc8957a49bd7eefe41a34b51?cid=9950ac751e34487dbbe027c4fd7f8e99","true","52","USLS52085307","spotify:user:11100324499","2021-03-28T03:05:06Z"
"spotify:track:6pV1lc8lIc8ARNB6KsZukt","Never Fade Away (SAMURAI Cover)","spotify:artist:27VhXJzIph9c75cBh1e8XM, spotify:artist:21wBpKqWBjOZA1lERaq4lb","P.T. Adamczyk, Olga Jankowska","spotify:album:1B2QrHbMox8vPXUY7rXAFp","Cyberpunk 2077 - Original Score","spotify:artist:07vycW8ICLf5hKb22PFWXw, spotify:artist:27VhXJzIph9c75cBh1e8XM, spotify:artist:0360rTDeUjEyBXaz2Ki00a","Marcin Przybyłowicz, P.T. Adamczyk, Paul Leonard-Morgan","2020-12-11","https://i.scdn.co/image/ab67616d0000b273ca593ba6b61b7a164ae408b9","2","18","286240","https://p.scdn.co/mp3-preview/78932b31ddae77952e9b09789479cadd64d33b85?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","PLI362015036","spotify:user:11100324499","2021-03-28T03:00:35Z"
