"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6yPXttNwjeYlMZn2wEloAx","Notation Campfire - Steamworld Dig 2 Mix","spotify:artist:2gG1LfmQPkHZNptgVpYlpr","El Huervo","spotify:album:34IUri3MM0oqPrDSedlruH","Vandereer","spotify:artist:2gG1LfmQPkHZNptgVpYlpr","El Huervo","2016-03-11","https://i.scdn.co/image/ab67616d0000b2737b565e8b36a11999b5c92649","1","1","252897","https://p.scdn.co/mp3-preview/721dbee799d1995ae391bdddf197cdba2dc36a12?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","QMDA61551324","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-14T15:17:53Z"
"spotify:track:4zYXFZZzCCN5bztAmwJeOh","Bizz Bites Back","spotify:artist:2gG1LfmQPkHZNptgVpYlpr","El Huervo","spotify:album:34IUri3MM0oqPrDSedlruH","Vandereer","spotify:artist:2gG1LfmQPkHZNptgVpYlpr","El Huervo","2016-03-11","https://i.scdn.co/image/ab67616d0000b2737b565e8b36a11999b5c92649","1","2","261467","https://p.scdn.co/mp3-preview/6c8a8a7a1a8691056f81fefb8d43e15b55608b0e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","QMDA61551325","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-14T15:17:53Z"
"spotify:track:5npvh77mTmjSgHXbsA2ILS","Frilejd","spotify:artist:2gG1LfmQPkHZNptgVpYlpr","El Huervo","spotify:album:34IUri3MM0oqPrDSedlruH","Vandereer","spotify:artist:2gG1LfmQPkHZNptgVpYlpr","El Huervo","2016-03-11","https://i.scdn.co/image/ab67616d0000b2737b565e8b36a11999b5c92649","1","3","276221","https://p.scdn.co/mp3-preview/5a61aaac3e84f037ce5509dfe98f32e811d2c4c0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","QMDA61551326","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-14T15:17:53Z"
"spotify:track:3JcM4NpTnCBKSQoof1ignJ","Carried Away","spotify:artist:2gG1LfmQPkHZNptgVpYlpr","El Huervo","spotify:album:34IUri3MM0oqPrDSedlruH","Vandereer","spotify:artist:2gG1LfmQPkHZNptgVpYlpr","El Huervo","2016-03-11","https://i.scdn.co/image/ab67616d0000b2737b565e8b36a11999b5c92649","1","4","204738","https://p.scdn.co/mp3-preview/6e5682068d8d0323079d2b0c44d8bdd411ecd35e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","QMDA61551327","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-14T15:17:53Z"
"spotify:track:2gN3sk8TvG203VINncQNjt","All About You (Too)","spotify:artist:2gG1LfmQPkHZNptgVpYlpr","El Huervo","spotify:album:34IUri3MM0oqPrDSedlruH","Vandereer","spotify:artist:2gG1LfmQPkHZNptgVpYlpr","El Huervo","2016-03-11","https://i.scdn.co/image/ab67616d0000b2737b565e8b36a11999b5c92649","1","5","192597","https://p.scdn.co/mp3-preview/9b3dc4c5c54b948abc776f02c65007322e8a2618?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","QMDA61551328","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-14T15:17:53Z"
"spotify:track:6WmQJF5Cqcv3Q2KrJwB8PE","Envisage","spotify:artist:2gG1LfmQPkHZNptgVpYlpr, spotify:artist:3t6mJ7kVyksm3EDk3vuLZB","El Huervo, Brahm","spotify:album:34IUri3MM0oqPrDSedlruH","Vandereer","spotify:artist:2gG1LfmQPkHZNptgVpYlpr","El Huervo","2016-03-11","https://i.scdn.co/image/ab67616d0000b2737b565e8b36a11999b5c92649","1","6","112513","https://p.scdn.co/mp3-preview/695f08f0b434090bc3d58a6007cc924a10eaa040?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","QMDA61551329","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-14T15:17:53Z"
"spotify:track:7DcthsDcez4KVlls7ANic8","Rust","spotify:artist:2gG1LfmQPkHZNptgVpYlpr","El Huervo","spotify:album:34IUri3MM0oqPrDSedlruH","Vandereer","spotify:artist:2gG1LfmQPkHZNptgVpYlpr","El Huervo","2016-03-11","https://i.scdn.co/image/ab67616d0000b2737b565e8b36a11999b5c92649","1","7","297630","https://p.scdn.co/mp3-preview/d7ed0ebf8e3f965547cfca13065cc32b620a7636?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","QMDA61551330","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-14T15:17:53Z"
"spotify:track:1vrUyuKG5W3HDHIbYENVij","Irreversible","spotify:artist:2gG1LfmQPkHZNptgVpYlpr","El Huervo","spotify:album:34IUri3MM0oqPrDSedlruH","Vandereer","spotify:artist:2gG1LfmQPkHZNptgVpYlpr","El Huervo","2016-03-11","https://i.scdn.co/image/ab67616d0000b2737b565e8b36a11999b5c92649","1","8","340206","https://p.scdn.co/mp3-preview/2c5f3c0e4f2dc358c9e4af9fd58f6101b47e0f40?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","QMDA61551331","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-14T15:17:53Z"
"spotify:track:5mMr6ydJmbXFIdTCgPdEY1","Vandereer","spotify:artist:2gG1LfmQPkHZNptgVpYlpr","El Huervo","spotify:album:34IUri3MM0oqPrDSedlruH","Vandereer","spotify:artist:2gG1LfmQPkHZNptgVpYlpr","El Huervo","2016-03-11","https://i.scdn.co/image/ab67616d0000b2737b565e8b36a11999b5c92649","1","9","276046","https://p.scdn.co/mp3-preview/e1746eb08c4bdcc9b95bfaf9f7b61966f42e142e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","QMDA61551332","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-14T15:17:53Z"
"spotify:track:57rYP5g2IRFNwDdXkmbWsP","Cauldron","spotify:artist:2gG1LfmQPkHZNptgVpYlpr","El Huervo","spotify:album:34IUri3MM0oqPrDSedlruH","Vandereer","spotify:artist:2gG1LfmQPkHZNptgVpYlpr","El Huervo","2016-03-11","https://i.scdn.co/image/ab67616d0000b2737b565e8b36a11999b5c92649","1","10","892165","https://p.scdn.co/mp3-preview/81ed2023c8a860e95a06e791d1c7970be85426f8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","QMDA61551333","spotify:user:1c54cvxsij9m4uw6n6w0xzody","2022-04-14T15:17:53Z"
